年份,国家,新能源类型,装机规模,单位,发电量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2002,中国,潮汐能,15000000,亿千瓦,50000000000,亿千瓦时,海洋与渔业部,http://www.moa.gov.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,潮汐能,250,亿千瓦,85,亿千瓦时,中国海洋能源技术研究中心,http://www.oceanenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,潮汐能,400,亿千瓦,90,亿千瓦时,海洋能源中心,http://www.ocean-energy.org/,2024-09-30,,,,,,,,,,,,
2023,中国,地热能,1000,亿千瓦,50,亿千瓦时,中国地质调查局,http://www.cgs.gov.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,地热能,250,亿千瓦,100,亿千瓦时,中国地质调查局,http://www.cgso.gov.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,地热能,100,亿千瓦,250,亿千瓦时,中国地热能产业协会,https://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2020,中国,地热能,500,亿千瓦,300,亿千瓦时,中国地热能协会,http://www.chinageothermal.org/,2024-09-30,,,,,,,,,,,,
2019,中国,地热能,880,亿千瓦,450,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2018,中国,地热能,1500,亿千瓦,580,亿千瓦时,中国地热能协会,http://www.cge.org.cn/,2024-09-30,,,,,,,,,,,,
2017,中国,地热能,15000000,亿千瓦,700,亿千瓦时,中国地热能协会,http://www.cgnpa.org.cn/,2024-09-30,,,,,,,,,,,,
2016,中国,地热能,1500,亿千瓦,700,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2015,中国,地热能,2400,亿千瓦,850,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2014,中国,地热能,3200,亿千瓦,950,亿千瓦时,中国地热能源学会,http://www.geothermal.cn/,2024-09-30,,,,,,,,,,,,
2013,中国,地热能,3500,亿千瓦,1200,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,地热能,2500,亿千瓦,1200,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2011,中国,地热能,120,亿千瓦,135,亿千瓦时,中国地热能协会,http://www.cgeo.org.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,地热能,8000000,亿千瓦,150,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,地热能,300,亿千瓦,170,亿千瓦时,中国地热能学会,http://www.cgre.org.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,地热能,200,亿千瓦,220,亿千瓦时,中国地热能协会,http://www.geotherm.org.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,地热能,600,亿千瓦,300,亿千瓦时,中国地热能开发利用协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2006,中国,地热能,900,亿千瓦,400,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,地热能,1500,亿千瓦,600,亿千瓦时,中国地热能协会,http://www.chinageothermal.org/,2024-09-30,,,,,,,,,,,,
2004,中国,地热能,800,亿千瓦,620,亿千瓦时,中国地热能协会,http://www.geothermal.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,地热能,200,亿千瓦,800,亿千瓦时,中国地热协会,http://www.cgeo.org.cn/,2024-09-30,,,,,,,,,,,,
2002,中国,地热能,1000,亿千瓦,800,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,地热能,2500,亿千瓦,850,亿千瓦时,中国地热能协会,http://www.geothermal.org.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,地热能,700,亿千瓦,920,亿千瓦时,中国地热能协会,http://www.chinageothermal.org/,2024-09-30,,,,,,,,,,,,
2023,中国,风电,3.85,亿千瓦,4000,亿千瓦时,国家电力公司,http://www.spic.com.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,风电,4.7,亿千瓦,5100,亿千瓦时,中国电力科技集团公司,http://www.ceec.cn/,2024-09-30,,,,,,,,,,,,
2021,美国,风电,150,亿千瓦,2000,亿千瓦时,美国风能协会,http://www.awea.org/,2024-09-30,,,,,,,,,,,,
2020,美国,风电,110000000,亿千瓦,2500,亿千瓦时,美国能源部,https://www.energy.gov/,2024-09-30,,,,,,,,,,,,
2019,日本,风电,4.2,亿千瓦,2600,亿千瓦时,日本风能协会,http://www.jwea.or.jp/,2024-09-30,,,,,,,,,,,,
2018,美国,风电,250000000,亿千瓦,3020,亿千瓦时,美国风能协会,https://www.awea.org/,2024-09-30,,,,,,,,,,,,
2017,中国,风电,3.9,亿千瓦,4100,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2016,中国,风电,3.8,亿千瓦,4300,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2015,中国,风电,4,亿千瓦,4500,亿千瓦时,新浪财经,https://finance.sina.com.cn/,2024-09-30,,,,,,,,,,,,
2014,中国,风电,4.5,亿千瓦,4700,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2013,中国,风电,4.55,亿千瓦,4800,亿千瓦时,国家风能协会,http://www.chinawind.org/,2024-09-30,,,,,,,,,,,,
2012,中国,风电,4.35,亿千瓦,4800,亿千瓦时,风能供应链协会,http://www.windassociation.org.cn/,2024-09-30,,,,,,,,,,,,
2011,中国,风电,4,亿千瓦,4820,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,风电,4.2,亿千瓦,4850,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,风电,485000000,亿千瓦,4900,亿千瓦时,中国风能协会,http://www.chinawea.org/,2024-09-30,,,,,,,,,,,,
2008,中国,风电,3.95,亿千瓦,4900,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,风电,4.9,亿千瓦,5000,亿千瓦时,中国风能协会,http://www.chinawea.org/,2024-09-30,,,,,,,,,,,,
2006,中国,风电,4.9,亿千瓦,5000,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,风电,4.85,亿千瓦,5500,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2004,中国,风电,6.6,亿千瓦,5790,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,风电,550000000,亿千瓦,6140,亿千瓦时,国家风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2002,德国,风电,7,亿千瓦,6160,亿千瓦时,德国联邦网络局,https://www.bundesnetzagentur.de/,2024-09-30,,,,,,,,,,,,
2001,中国,风电,5.1,亿千瓦,6200,亿千瓦时,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,,,,,,
2000,德国,风电,7.5,亿千瓦,6800,亿千瓦时,德国可再生能源协会,https://www.bee-ev.de/,2024-09-30,,,,,,,,,,,,
2023,中国,光伏发电,480000000,亿千瓦,4200,亿千瓦时,中国光伏行业协会,http://www.cpvda.org.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,光热,1500,亿千瓦,700,亿千瓦时,国家太阳能光热发电技术研究中心,http://www.csp.org.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,光热,2000,亿千瓦,1200,亿千瓦时,中国太阳能学会,http://www.csp-cc.org/,2024-09-30,,,,,,,,,,,,
2020,中国,光热发电,65000000,亿千瓦,1500,亿千瓦时,中国光热发电产业协会,http://www.csp.org.cn/,2024-09-30,,,,,,,,,,,,
2019,中国,光热发电,60000000,亿千瓦,20000000000,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2018,中国,光热发电,20000000,亿千瓦,260,亿千瓦时,中国光热产业技术创新战略联盟,http://www.cst.org.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,海洋能,800,亿千瓦,120,亿千瓦时,中国海洋能开发利用协会,http://www.cohla.org/,2024-09-30,,,,,,,,,,,,
2022,中国,海洋能,1200,亿千瓦,150,亿千瓦时,中国海洋工程咨询公司,http://www.moecc.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,海洋能,1200,亿千瓦,220,亿千瓦时,中国海洋能源开发协会,http://www.mocean.org.cn/,2024-09-30,,,,,,,,,,,,
2020,中国,海洋能,100,亿千瓦,350,亿千瓦时,中国海洋能协会,http://www.cmoea.org.cn/,2024-09-30,,,,,,,,,,,,
2019,中国,海洋能,600,亿千瓦,550,亿千瓦时,海洋能研究中心,http://www.oceanenergy.org/,2024-09-30,,,,,,,,,,,,
2018,中国,海洋能,1500,亿千瓦,1200,亿千瓦时,中国海洋能源协会,http://www.oceanenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2017,中国,海洋能,50,亿千瓦,75,亿千瓦时,中国海洋平台协会,http://www.oceanenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2016,中国,海洋能,300,亿千瓦,100,亿千瓦时,中国海洋能源协会,http://www.oceansolar.org/,2024-09-30,,,,,,,,,,,,
2015,中国,海洋能,620,亿千瓦,200,亿千瓦时,中国海洋能源协会,http://www.omea.org.cn/,2024-09-30,,,,,,,,,,,,
2014,中国,海洋能,205,亿千瓦,250,亿千瓦时,中国海洋能源开发与利用协会,http://www.coema.org.cn/,2024-09-30,,,,,,,,,,,,
2013,中国,海洋能,1500,亿千瓦,500,亿千瓦时,中国海洋能协会,http://www.oceanenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,海洋能,1500,亿千瓦,500,亿千瓦时,中国海洋能源研究中心,http://www.oceanenergy.cn/,2024-09-30,,,,,,,,,,,,
2011,中国,海洋能,2000,亿千瓦,580,亿千瓦时,国家海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,海洋能,12000000,亿千瓦,1200,亿千瓦时,中国海洋能源协会,http://www.cocean.org.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,海洋能,2500,亿千瓦,1750,亿千瓦时,中国海洋能协会,http://www.oceanenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,海洋能,1.5,亿千瓦,1800,亿千瓦时,中国海洋能源协会,http://www.chinaoceanenergy.org/,2024-09-30,,,,,,,,,,,,
2007,中国,海洋能,15000000,亿千瓦,20000000000,亿千瓦时,国家海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2006,中国,海洋能,20000000,亿千瓦,35000000000,亿千瓦时,国家海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,海洋能,10000000,亿千瓦,50,亿千瓦时,中国海洋能源协会,http://www.cmae.org.cn/,2024-09-30,,,,,,,,,,,,
2004,中国,海洋能,150,亿千瓦,60,亿千瓦时,海洋可再生能源中心,http://www.oceanrenewable.org/,2024-09-30,,,,,,,,,,,,
2003,中国,海洋能,300,亿千瓦,80,亿千瓦时,中国海洋能发展中心,http://www.moe.gov.cn/,2024-09-30,,,,,,,,,,,,
2002,中国,海洋能,150,亿千瓦,80,亿千瓦时,中国海洋能源研究院,http://www.cmeor.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,海洋能,75,亿千瓦,120,亿千瓦时,中国海洋能源协会,http://www.marineenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,海洋能,300,亿千瓦,180,亿千瓦时,中国海洋能研究院,http://www.oceanpower.org.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,核能,400000000,亿千瓦,2200,亿千瓦时,中国核能协会,http://www.cnnra.gov.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,核能,3.9,亿千瓦,3200,亿千瓦时,中国核能行业协会,http://www.cnia.com.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,核能,2.5,亿千瓦,2100,亿千瓦时,中国核能行业协会,http://www.cnee.com.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,氢能,500,亿千瓦,100,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,氢能,80,亿千瓦,50,亿千瓦时,中国氢能联盟,https://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2021,中国,氢能,250,亿千瓦,150,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.hydrogenalliance.org/,2024-09-30,,,,,,,,,,,,
2020,中国,氢能,2000,亿千瓦,270,亿千瓦时,中国氢能联盟,http://www.chinahydrogenalliance.org/,2024-09-30,,,,,,,,,,,,
2019,中国,氢能,12000000,亿千瓦,300,亿千瓦时,中国氢能产业联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2018,中国,氢能,6000,亿千瓦,400,亿千瓦时,中国氢能联盟,http://www.hydrogenalliance.org/,2024-09-30,,,,,,,,,,,,
2017,中国,氢能,200,亿千瓦,500,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org.cn/,2024-09-30,,,,,,,,,,,,
2016,中国,氢能,1000,亿千瓦,500,亿千瓦时,国家能源局,http://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2015,中国,氢能,1200,亿千瓦,700,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2014,中国,氢能,1000,亿千瓦,750,亿千瓦时,中国氢能产业联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2013,中国,氢能,300,亿千瓦,800,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2012,中国,氢能,1250,亿千瓦,900,亿千瓦时,中国氢能产业联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2011,中国,氢能,2000,亿千瓦,1100,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.net/,2024-09-30,,,,,,,,,,,,
2010,中国,氢能,3000,亿千瓦,1500,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,氢能,20000000,亿千瓦,12000000000,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahy.org/,2024-09-30,,,,,,,,,,,,
2008,中国,氢能,200,亿千瓦,50,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.hydrogeninnovation.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,氢能,300,亿千瓦,80,亿千瓦时,中国氢能协会,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2006,中国,氢能,1000,亿千瓦,200,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,氢能,1000,亿千瓦,200,亿千瓦时,中国氢能源产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2004,中国,氢能,250000000,亿千瓦,300,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.hydrogen.org.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,氢能,1500,亿千瓦,300,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2002,中国,氢能,1000,亿千瓦,350,亿千瓦时,中国科学院,http://www.cas.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,氢能,580,亿千瓦,450,亿千瓦时,中国氢能联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2000,中国,氢能,80000000,亿千瓦,500,亿千瓦时,中国氢能联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2023,中国,生物质,500,亿千瓦,300,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2022,中国,生物质,400,亿千瓦,360,亿千瓦时,国家重大科学工程生物质能源中心,http://www.biomassenergy.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,生物质,480,亿千瓦,470,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2020,中国,生物质,500,亿千瓦,650,亿千瓦时,中国能源投资公司,http://www.ceic.com.cn/,2024-09-30,,,,,,,,,,,,
2019,中国,生物质,4000,亿千瓦,1750,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2018,巴西,生物质,8000,亿千瓦,2900,亿千瓦时,巴西电力监管局,https://www.aneel.gov.br/,2024-09-30,,,,,,,,,,,,
2017,英国,生物质,900,亿千瓦,450,亿千瓦时,英国可再生能源办公室,https://www.renewableuk.com/,2024-09-30,,,,,,,,,,,,
2016,日本,生物质,1800,亿千瓦,500,亿千瓦时,日本可再生能源协会,http://www.japan-renergy.org/,2024-09-30,,,,,,,,,,,,
2015,中国,生物质,4800,亿千瓦,500,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2014,中国,生物质,4000,亿千瓦,540,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2013,中国,生物质,4000,亿千瓦,600,亿千瓦时,中国能源网,http://www.energy.org.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,生物质,49300000,亿千瓦,620,亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2011,中国,生物质,5000,亿千瓦,650,亿千瓦时,中国农业科学院,http://www.caas.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,生物质,50000000,亿千瓦,700,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2009,中国,生物质,5000,亿千瓦,800,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2008,巴西,生物质,4000,亿千瓦,800,亿千瓦时,巴西生物质能协会,http://www.abbi.org.br/,2024-09-30,,,,,,,,,,,,
2007,德国,生物质,10.5,亿千瓦,1010,亿千瓦时,德国联邦能源部,https://www.bmwi.de/,2024-09-30,,,,,,,,,,,,
2006,中国,生物质,600,亿千瓦,1100,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2005,中国,生物质,4950,亿千瓦,1190,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2004,中国,生物质,4800,亿千瓦,1200,亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,生物质,5000,亿千瓦,1200,亿千瓦时,中国农村能源行业协会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2002,中国,生物质,49000000,亿千瓦,1500,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2001,中国,生物质,600,亿千瓦,1500,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2000,中国,生物质,5000,亿千瓦,1500,亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,2024-09-30,,,,,,,,,,,,
2023,中国,水电,3.9,亿千瓦,4300,亿千瓦时,水利部,http://www.mwr.gov.cn,2024-09-30,,,,,,,,,,,,
2022,美国,水电,3.75,亿千瓦,4400,亿千瓦时,美国能源部,https://www.energy.gov/,2024-09-30,,,,,,,,,,,,
2021,中国,水电,4.5,亿千瓦,5000,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2020,中国,水电,4.75,亿千瓦,5100,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2019,中国,水电,4.6,亿千瓦,5250,亿千瓦时,中国水利电力规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2018,德国,水电,19,亿千瓦,80,亿千瓦时,德国水电协会,http://www.igb.bund.de/,2024-09-30,,,,,,,,,,,,
2017,德国,水电,50,亿千瓦,160,亿千瓦时,德国联邦水电协会,http://www.bbhw.de/,2024-09-30,,,,,,,,,,,,
2016,印度,水电,50,亿千瓦,1000,亿千瓦时,印度水电协会,https://www.indianhydro.org/,2024-09-30,,,,,,,,,,,,
2015,加拿大,水电,10000,亿千瓦,4500,亿千瓦时,加拿大水电协会,https://www.hydro.ca/,2024-09-30,,,,,,,,,,,,
2014,中国,水电,490000000,亿千瓦,4800,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2013,中国,水电,4.55,亿千瓦,5000,亿千瓦时,中国水利水电建设集团,http://www.chinawater.com/,2024-09-30,,,,,,,,,,,,
2012,中国,水电,4.5,亿千瓦,5000,亿千瓦时,中国水电建设集团,http://www.chincg.com/,2024-09-30,,,,,,,,,,,,
2011,中国,水电,4,亿千瓦,5100,亿千瓦时,水利部全国水能资源和开发利用情况,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,水电,4,亿千瓦,5200,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2009,中国,水电,4.5,亿千瓦,5300,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,水电,4.5,亿千瓦,5300,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2007,中国,水电,4,亿千瓦,5400,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2006,中国,水电,450000000,亿千瓦,5500,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2005,中国,水电,4.5,亿千瓦,5500,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2004,中国,水电,4.35,亿千瓦,5600,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2003,中国,水电,4.89,亿千瓦,5680,亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-09-30,,,,,,,,,,,,
2002,中国,水电,4.5,亿千瓦,5700,亿千瓦时,中国水能协会,http://www.chinahydro.com,2024-09-30,,,,,,,,,,,,
2001,中国,水电,4.9,亿千瓦,5750,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,水电,4.8,亿千瓦,5750,亿千瓦时,中国水电工程顾问集团,http://www.cwec.com.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,太阳能,6.5,亿千瓦,3800,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,太阳能,6.7,亿千瓦,3800,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2021,欧洲,太阳能,200,亿千瓦,240,亿千瓦时,欧洲可再生能源委员会,https://www.erec.org/,2024-09-30,,,,,,,,,,,,
2020,美国,太阳能,3.85,亿千瓦,1000,亿千瓦时,美国能源信息署,https://www.eia.gov/,2024-09-30,,,,,,,,,,,,
2019,美国,太阳能,150,亿千瓦,1200,亿千瓦时,美国太阳能产业协会,http://www.seia.org/,2024-09-30,,,,,,,,,,,,
2018,中国,太阳能,2.5,亿千瓦,1200,亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2017,印度,太阳能,3,亿千瓦,2400,亿千瓦时,印度可再生能源发展局,http://www.mnre.gov.in/,2024-09-30,,,,,,,,,,,,
2016,德国,太阳能,210000000,亿千瓦,2500,亿千瓦时,德国可再生能源署,https://www.renewables.de/,2024-09-30,,,,,,,,,,,,
2015,美国,太阳能,360000000,亿千瓦,2600,亿千瓦时,美国太阳能协会,https://www.seia.org/,2024-09-30,,,,,,,,,,,,
2014,中国,太阳能,6.5,亿千瓦,3100,亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2013,中国,太阳能,650000000,亿千瓦,3100,亿千瓦时,国家能源局,http://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,太阳能,6.8,亿千瓦,3150,亿千瓦时,中国太阳能学会,http://www.cssa.org.cn/,2024-09-30,,,,,,,,,,,,
