能源类别,年度,合作国别,发展研究方式,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
储能技术,2025,中国、日本,企业孵化与科技引进,日本先进储能研究所,https://www.japanenergy.co.jp/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,双边合作科研,中国氢能产业技术创新战略联盟,https://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、阿根廷,企业合作研发,阿根廷可再生能源局,https://www.argentina.gob.ar/energia,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、摩洛哥,公共资金资助项目,摩洛哥可再生能源署,https://www.amre.ma/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、南非,高校联合研究,南非科技部,https://www.dst.gov.za/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、美国,国际科研计划,美国地质调查局,https://www.usgs.gov/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,企业合作与政府支持,澳大利亚可再生能源局,https://www.renewables.gov.au/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、荷兰,跨国研究项目,荷兰能源研究中心,https://www.ecn.nl/en/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、巴西,技术交流与合作,巴西可再生能源协会,https://www.abeeolica.org.br/,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、瑞士,科研机构合作,瑞士可再生能源协会,https://www.swissrenewables.ch/,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、印度尼西亚,地方政府与企业合作,印尼国家能源局,https://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,政府合作项目,中国国家能源局,http://www.nea.gov.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、孟加拉国,大学与企业合作,中国建筑科学研究院,http://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,国际科研合作,国际生物能源研究所,http://www.iberg.org,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,联合实验室研发,意大利地热能源协会,http://www.geotherm.it,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,企业主导项目,澳大利亚可再生能源署,http://www.energysource.gov.au,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,多方位合作研究,德国氢能与燃料电池协会,http://www.dhfc.de,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、南非,政府与科研机构合作,南非可再生能源联盟,http://www.sarec.org.za,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、阿根廷,行业资助研究,阿根廷可再生能源研究所,http://www.arnre.org,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、巴西,国际科研项目,巴西国家可再生能源办公室,http://www.renovables.gov.br,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、加拿大,高校间合作,加拿大海洋研究中心,http://www.cmar.ca,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,企业间伙伴关系,国际可再生能源机构,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、丹麦,联合研究计划,中国风能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,跨国科技合作,德国能源与水利部,https://www.bmwi.de/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、巴西,农业科技交流,南美洲生物质能研究机构,http://www.institutobioenergia.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府间科研项目,意大利地热能协会,http://www.geothermalitaly.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,科技创新竞赛,澳大利亚海洋科学研究所,https://www.csiro.au/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、埃及,高校合作项目,埃及能源部,http://www.moEE.gov.eg/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、西班牙,企业合作研究,西班牙可再生能源协会,http://www.aeeolica.org/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、日本,大规模实验项目,日本氢能协会,https://www.hydrogen.or.jp/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、印尼,技术合作与项目推广,印尼绿色技术协会,http://www.gtt.or.id/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,政府与企业合作,哈萨克斯坦可再生能源协会,http://www.kzrenewables.com,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、俄罗斯,跨国产业链合作,俄罗斯能源部,http://www.minenergo.gov.ru,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、越南,高校合作项目,越南国家大学,http://www.vnu.edu.vn,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,企业联营研究,意大利地热能研究所,http://www.italianrenewables.it,2024-09-29,,,,,,,,,,,,,
海洋能,2026,中国、澳大利亚,国际科研合作,澳大利亚再生能源局,http://www.cleanenergycouncil.org.au,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、德国,科研项目合作,德国区域发展与创新中心,http://www.dlr.de,2024-09-29,,,,,,,,,,,,,
潮汐能,2024,中国、法国,环保组织合作,法国环境与能源管理署,http://www.ademe.fr,2024-09-29,,,,,,,,,,,,,
电池能量存储,2025,中国、瑞士,产业研究合作,瑞士电力协会,https://www.swissenergy.ch,2024-09-29,,,,,,,,,,,,,
风能,2027,中国、南非,政府与科研机构协作,南非能源部门,http://www.energy.gov.za,2024-09-29,,,,,,,,,,,,,
太阳能,2027,中国、巴西,私企与政府合作,巴西可再生能源研究中心,http://www.renovaveis.org.br,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,政府间合作,中国国际发展合作署,https://www.cidca.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,私企合作,阿根廷可再生能源办公室,https://www.argentina.gob.ar/energia,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,国际学术交流,巴西联邦大学可再生能源研究所,https://www.ufrgs.br/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,技术转让与合作,意大利环境部,http://www.minambiente.it/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,政府研究资助,澳大利亚可再生能源局,https://www.energyrating.gov.au/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、日本,跨国企业合作,日本氢能协会,https://www.japan-hydrogen.com/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、埃及,科研合作,埃及可再生能源发展局,https://www.reed.gov.eg/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、印度尼西亚,高校合作项目,印度尼西亚国家能源部,https://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,地方政府与企业合作,俄罗斯自然资源部,http://www.mnr.gov.ru/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、菲律宾,国际合作研究,菲律宾能源部,https://www.doe.gov.ph/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,跨国企业合作,中国国际投资促进会,https://www.chinaip.org,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,技术交流与合作研发,中国可再生能源行业协会,http://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,高校联合研究,中国农业科学院,https://www.caas.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府间合作项目,国际地热协会,https://www.geothermal-energy.org,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,研究机构联合开发,中国海洋发展基金会,https://www.codf.org.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,企业技术合作与研发,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、印度尼西亚,非政府组织合作,东南亚可再生能源中心,http://www.searenergy.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、阿根廷,专项科研项目,中国风能协会,https://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,学术合作与技术转让,中国生态环境科学院,http://www.caeep.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、芬兰,政府资助与科研协作,中国地热能协会,http://www.chinese-geothermal.org,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、阿根廷,联合国资助项目,联合国开发计划署,https://www.undp.org/,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、乌克兰,企业与科研机构合作,乌克兰风能协会,https://www.windeurope.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,国际会议成果,巴西生物能源研究院,https://www.embrapa.br/en/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,学术期刊发布,意大利地热学会,https://www.geothermal-energy.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2023,中国、澳大利亚,政府与企业合作,澳大利亚能源局,https://www.energy.gov.au/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,跨国研究网络,德国氢能和燃料电池协会,https://www.dvtc.de/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、南非,地方政府与高校合作,南非可再生能源协会,https://www.sarec.org.za/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、埃及,国际非政府组织主导,国际可再生能源机构,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
潮汐能,2023,中国、挪威,科研机构与企业合作,挪威水电协会,https://www.nve.no/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、加拿大,双边经贸合作协议,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、阿联酋,企业合作与国际投资,全球氢能发展协会,https://www.globalhydrogen.org,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、越南,区域合作项目,越南乌鸦太阳能技术有限公司,https://www.cpv.org.vn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴基斯坦、哈萨克斯坦,多国科技合作,国际可再生能源署,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、俄罗斯,学术研究与实验,中国生物质能技术研发中心,https://www.brt.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2023,中国、肯尼亚,政府间合作,中国科学院地热研究所,https://www.igg.cas.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、挪威,科技创新委员会资助,国际海洋能源开发论坛,https://www.imoef.org,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、德国,双边技术交流,德国可再生能源联合会,https://www.bee-ev.de,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、印度尼西亚,校企合作研究,印度尼西亚国际太阳能市场总监协会,https://www.isolar.org,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、南非,创新研发项目,南非国家能源研究所,https://www.energy.gov.za,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、菲律宾,国际合作实验,菲律宾可再生能源协会,https://www.prea.org.ph,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,企业间合作,中国新能源演示中心,https://www.cgs.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、乌克兰,政府与企业合作,乌克兰能源部,https://mepr.gov.ua/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,国际科研项目,巴西农业研究公司,https://www.embrapa.br/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,大学与科研机构合作,土耳其地热协会,https://www.geothermal.org.tr/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、南非,科研机构主导,南非可再生能源局,http://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,政府资助研究,阿根廷国家科学技术研究委员会,https://www.conicet.gov.ar/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、埃及,企业间合作,埃及可再生能源委员会,http://www.reaneg.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,国际科研项目,俄罗斯科学院,http://www.ras.ru/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、韩国,大学与研究机构合作,韩国氢能协会,http://www.hydrogen.or.kr/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,政府与企业合作,意大利地热能协会,https://www.legea.it/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,企业联合开发,中国能源研究会,https://www.crest.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、蒙古国,技术转让与培训,中国可再生能源开发协会,https://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
水能,2024,中国、尼泊尔,国际政府合作,中国水电工程顾问集团,http://www.chinawaterpower.com,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,高校与地方政府合作,中国农业大学,http://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,科研机构国际交流,中国地热能学会,http://www.geothermal.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,公私合营项目,中国海洋开发研究中心,http://www.chinaoceanscience.org,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,跨国科研联盟,中国氢能产业技术创新战略联盟,http://www.chinahrw.com,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、巴西,区域合作开发,中国可再生能源发展促进中心,http://www.credp.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、南非,推动技术创新,中国科学院生物能源研究所,http://www.qdbeir.ac.cn,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、印度尼西亚,政府与研究机构联合项目,国家风能研究中心,http://www.cwind.org.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,跨国企业联合研发,阿根廷可再生能源协会,https://www.argentinarenewables.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、丹麦,国际合作科研项目,丹麦能源署,https://ens.dk/en,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,高校与企业合作,巴西生物能源研究中心,https://www.embrapa.br/en,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、新西兰,政府资助研究,新西兰地热能局,https://www.energysafety.govt.nz/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,科研机构与大学合作,澳大利亚可再生能源局,https://www.energy.gov.au/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、日本,工业和学术界合作,日本氢能协会,https://www.hydrogen.energy.gov/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、菲律宾,政府与科研合作,菲律宾可再生能源署,https://www.doe.gov.ph/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、埃及,国际投资合作,埃及太阳能研究所,https://www.era.gov.eg/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、印度尼西亚,大学与企业协作,印度尼西亚国家林业署,https://www.klhk.go.id/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,国际科技合作,意大利地热能源协会,http://www.geothermalassociation.it/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、哈萨克斯坦,企业间合作,世界银行,https://www.worldbank.org/,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、孟加拉国,政府与非政府组织合作,亚洲开发银行,https://www.adb.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、尼泊尔,高校与工业界合作,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,企业与研究机构联合,国际地热协会,https://www.geothermal.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、瑞典,政府资助项目,中国海洋大学,http://www.qd.edu.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,国际合作开发,国际氢能协会,http://www.ichs.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、乌兹别克斯坦,科研机构表率项目,中国科学院,http://www.cas.cn/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、南非,多方位合作,中国风能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
波浪能,2025,中国、澳大利亚,科研合作,中国海洋科学与技术研究院,http://www.noc.ac.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、意大利,企业与高校合作,国际能源署,https://www.iea.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、俄罗斯,跨国公司合作,中国能源研究院,http://www.ceri-energy.org/,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、哈萨克斯坦,国际联合实验,中国风能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、巴西,企业与高校合作,中国生物质能开发利用协会,http://www.cnbm.com.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、格鲁吉亚,技术交流与合作,地热能学会,http://www.geothermal.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、印度尼西亚,政府资助项目,中国海洋能源咨询中心,http://www.chinaoceans.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、乌克兰,高校与研究机构合作,中国光伏创新应用协会,http://www.pv-innovation.com/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、越南,区域合作项目,中国国际风能协会,http://www.cwind.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、南非,科学研究合作,中国生物能源开发中心,http://www.cnbioenergy.com/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、匈牙利,技术共享平台,中国地热能学会,http://www.geothermal-china.com/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、菲律宾,模型实验与示范项目,中国海洋动力研究中心,http://www.oceanpower.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、俄罗斯,行业联合体合作,中国太阳能产业协会,http://www.csp.org.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,跨国企业合作,国家风能中心,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,大学与企业合作,中国氢能产业技术创新战略联盟,http://www.chinapower.com.cn/,2024-09-29,,,,,,,,,,,,,
潮汐能,2024,中国、法国,国际学术交流,国际水能与水资源协会,https://www.iwa-network.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、阿根廷,社区合作项目,阿根廷生物质能研究所,https://www.argentina-biomass.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府间合作研究,意大利能源部,https://www.mise.gov.it/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,区域合作试点,澳大利亚能源市场监管局,https://www.aemc.gov.au/,2024-09-29,,,,,,,,,,,,,
储能技术,2024,中国、瑞典,行业技术标准制定,瑞典能源局,https://www.energimyndigheten.se/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,公共与私营部门合作,南非可再生能源行业协会,https://www.sarec.org.za/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,国际合作研究,阿根廷可再生能源协会,https://www.argentinarenewables.org,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、智利,企业技术合作,智利国家能源委员会,https://www.cne.cl,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、马来西亚,高校联动研究,马来西亚农业研究所,http://www.mardi.gov.my,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、新西兰,政府间研究,新西兰地热协会,https://www.geothermal.org.nz,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、南非,科研机构联合,南非可再生能源研究所,http://www.saref.org.za,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,企业 innovatie 合作,德国可再生能源研究所,https://www.renewables-in-germany.org,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、菲律宾,双向投资项目,菲律宾电力委员会,http://www.doe.gov.ph,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、俄罗斯,高校与企业联合,俄罗斯风能委员会,http://www.rwea.ru,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,地区研究项目,巴西能源研究公司,http://www.epe.gov.br,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、肯尼亚,国际研讨会跟进,肯尼亚地热开发局,http://www.geothermal.go.ke,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,企业与高校合作,中国氢能产业技术创新战略联盟,http://www.chinahydrogenalliance.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、非洲联盟,多国合作项目,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、加拿大,科研机构与企业合作,中国可再生能源学会,https://www.creia.org.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,政府与科研机构合作,联合国粮农组织,http://www.fao.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、菲律宾,企业主导与政府合作,广东省地热能开发研究院,http://www.gdgeo.com/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,高校与企业联合开发,中国海洋科学与技术大学,http://www.ocust.edu.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、印度尼西亚,政府、企业与非政府组织合作,亚太地区可再生能源技术中心,https://www.apec-energy.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、沙特阿拉伯,企业投资与技术转让,阿拉伯能源合作组织,http://www.apec.org/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、瑞士,国际学术合作,国际氢能学会,http://www.ihs.ch/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、乌克兰,科研机构和政府合作,乌克兰国家科学院,http://www.nas.gov.ua/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、阿联酋,政府与企业合作,国际可再生能源署,https://www.irena.org/Publications,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、德国,高校联合研究,中国风能协会,https://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、日本,行业合作研究中心,人民日报,https://www.people.com.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,国际科研项目,中国科学院资源环境与可持续发展研究中心,https://www.cae.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、匈牙利,政府资助研究,国家自然科学基金,http://www.nsfc.gov.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2023,中国、澳大利亚,私营企业与大学合作,中国海洋大学,https://www.ouc.edu.cn,2024-09-29,,,,,,,,,,,,,
摩擦能,2024,中国、南非,科研机构联合开发,中国能源网,http://www.chinaenergy.gov.cn,2024-09-29,,,,,,,,,,,,,
光热能,2024,中国、意大利,国际合作项目,清华大学能源与动力工程系,http://www.tsinghua.edu.cn,2024-09-29,,,,,,,,,,,,,
潮汐能,2023,中国、加拿大,科研机构与政府合作,清洁能源网,http://www.cleanenergy.org.cn,2024-09-29,,,,,,,,,,,,,
废物能源,2024,中国、瑞士,大学与企业合作,中国可再生能源学会,http://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,企业合作开发,中国能源局,http://www.nea.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿联酋,政府与国际组织合作,国际可再生能源机构,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,大学与企业合作,中国农业大学,http://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,国际科研合作,中国地质大学,http://www.cug.edu.cn/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,政府与研究机构合作,澳大利亚国立大学,http://www.anu.edu.au/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、韩国,企业主导的合作项目,朴槿惠新能源研究中心,https://www.koreaenergy.or.kr/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、俄罗斯,跨国政府项目,中国疾控中心,http://www.chinacdc.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、印度尼西亚,非政府组织合作,世界自然基金会,http://www.worldwildlife.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、南非,科研机构与企业合作,南非国家能源机构,http://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、新加坡,政府与私营部门合作,新加坡能源市场管理局,https://www.ema.gov.sg/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、日本,产业联盟合作,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,企业联合投资,南美可再生能源协会,http://www.renewableenergysouthamerica.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,国际合作研究,巴西风能协会,http://www.abeeolica.org.br/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、印度尼西亚,政府与研究机构合作,印尼能源与矿产资源部,http://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,科研机构与大学共同项目,澳大利亚海洋科学研究所,http://www.imos.org.au/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、菲律宾,国际投资开发,菲律宾地热能源公司,http://www.geothermal-philippines.com/,2024-09-29,,,,,,,,,,,,,
