技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
热能回收技术,可再生能源,3000,万元,热交换器,高效电动机,变频控制逆变器,无,热能回收系统,自适应调整系统,N/A,国家能源局可再生能源专业委员会,https://www.nea.gov.cn,2024-09-29,,,,,,,,,
太阳能热水器技术,可再生能源,2200,万元,无,无,无,不锈钢储水器,有被动/主动集热系统,温度控制系统,N/A,中国太阳能热泵产业技术创新战略联盟,https://www.solarthermalchina.org,2024-09-29,,,,,,,,,
电化学储能技术,可再生能源,9500,万元,电化学反应,无,储能逆变器,超级电容,储能网络,快速充放电控制,额定容量100kWh,中国电池产业协会,https://www.chinabattery.org,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,液压传动,直流电动机,潮汐逆变器,潮汐能储存系统,海上浮筒设计,智能能量管理系统,储能容量200kWh，充电效率92%,国家海洋局,http://www.soa.gov.cn,2024-09-29,,,,,,,,,
人工光合成技术,可再生能源,7000,万元,光伏电池阵列,无刷直流电动机,高效光合成逆变器,人工光合成电池,模块化反应器,全自动监控系统,光能转化效率12%,中国科学院,http://www.cas.cn,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,5500,万元,多相交流充电,交流异步电动机,快充逆变器,锂聚合物电池组,车载快速充电系统,云端监控控制系统,充电功率150kW，使用寿命8年,国家电动汽车充电基础设施建设与运营联盟,http://www.cnev.com,2024-09-29,,,,,,,,,
氨能技术,可再生能源,6200,万元,气体压缩传动,氨能电动机,氨能专用逆变器,氨气储存单元,多功能反应系统,智能预测调控系统,储能能力300kg氨气,中国氨气能源协会,http://www.chinabio.org.cn,2024-09-29,,,,,,,,,
制氢技术,可再生能源,9000,万元,电解水装置,直流电动机,氢气专用逆变器,氢气生成装置,分离膜反应器,智能监控调节系统,生成速率20Nm³/h,中国氢能与氢产业技术创新战略联盟,http://www.hydrogen.cn,2024-09-29,,,,,,,,,
能量收集技术,可再生能源,3400,万元,多能互补系统,对应电动机,高效能量致动逆变器,综合能储存装置,紧凑型能源集成模块,自动化收集控制系统,集成能力500kWh,中国自动化学会,http://www.caac.org.cn,2024-09-29,,,,,,,,,
高温超导技术,可再生能源,12000,万元,高温超导线圈,超导电动机,高温超导逆变器,超导储能系统,环形结构,智能监测与控制系统,能量存储400kWh,中国科学院物理研究所,http://www.iphy.ac.cn,2024-09-29,,,,,,,,,
热能电转换技术,可再生能源,4800,万元,热循环系统,热系统电动机,热能专用逆变器,人造热电材料,热交换器,自动调节系统,温差发电能力20kW,国家能效技术研究中心,http://www.nerc.cn,2024-09-29,,,,,,,,,
太阳能热利用技术,可再生能源,7500,万元,聚光热系统,热驱动电动机,太阳能热专用逆变器,聚光热收集装置,热管传热系统,智能温控系统,热能产生功率1MW,可再生能源研究所,http://www.reri.org,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,液压传动,同步发电机,海洋能逆变器,潮汐能储存系统,浮动平台设计,实时监测控制系统,电能转化效率85%,中国海洋能源协会,https://www.cme.org.cn/,2024-09-29,,,,,,,,,
蓝色氢能技术,可再生能源,9000,万元,电动机驱动,氢动力电动机,高效氢能逆变器,氢气发生器,模块化堆叠设计,智能电能管理系统,输出功率75kW，能量回收率80%,中国氢能网,https://www.chinahydrogen.com/,2024-09-29,,,,,,,,,
风能与太阳能综合利用技术,可再生能源,11000,万元,双馈传动,永磁同步电动机,混合能逆变器,锂电池组,一体化设计,自动调节系统,额定容量200Ah，充电时间4小时,中国能源研究所,https://www.chinaenergyresearch.org/,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,12000,万元,热能转化驱动,电动机,太阳热能转换逆变器,热储存系统,集中式接收器,智能优化控制系统,储热效率92%,中国太阳能产业协会,https://www.chinasolar.org/,2024-09-29,,,,,,,,,
空气源热泵技术,可再生能源,4000,万元,蒸汽压缩,变频电动机,热泵专用逆变器,冷媒循环系统,分体式设计,远程监测系统,能效比3.5,中国热泵产业协会,https://www.chinapump.org/,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,15000,万元,电化学转化,电动机,燃料电池逆变器,固体氧化物燃料电池,集成化设计,智能控制系统,输出功率100kW，耐温范围600°C以上,中国燃料电池学会,https://www.chinafuelcell.org.cn/,2024-09-29,,,,,,,,,
废弃物利用发电技术,可再生能源,5000,万元,力反馈传动,异步电动机,垃圾焚烧逆变器,固体废弃物转化系统,多元反应器,智能化管理系统,转化效率80%,国家环境保护部,https://www.mee.gov.cn/,2024-09-29,,,,,,,,,
高效储能技术,可再生能源,3000,万元,电化学储能,先进电动机,高效率储能逆变器,铅酸蓄电池,模块化储存系统,集中监控系统,循环寿命3000次,国家储能产业技术创新战略联盟,https://www.nationalstorage.org/,2024-09-29,,,,,,,,,
纳米材料在能源中的应用技术,可再生能源,6000,万元,电化学驱动,纳米电动机,纳米逆变器,次氧化铝电池,三维结构设计,智能能量优化系统,能量密度高达1000Wh/kg,中国纳米材料研究中心,https://www.chinanano.org/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7000,万元,波浪动力传动,永磁同步电动机,高效双向逆变器,锂聚合物电池,浮动平台设计,智能电网控制系统,额定容量150Ah，充电效率98%,中国海洋能科研院,https://www.gov.cn/zhengce/20230112/20230112.htm,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,10000,万元,涡轮发电传动,串级异步电动机,专用潮汐逆变器,铅酸电池,大坝式设计,中央控制系统,额定容量200Ah，放电效率85%,中国潮汐能研究中心,https://www.qhnews.com/newscenter/system/20230409/2000003350.shtml,2024-09-29,,,,,,,,,
锂硫电池技术,可再生能源,12000,万元,电动机驱动,锂电机,高效能逆变器,锂硫电池,堆叠设计,智能监视系统,输出功率40kW，能量密度900Wh/kg,中国电池工业协会,https://www.chbbweb.com/zhengce/20230120/20230120.htm,2024-09-29,,,,,,,,,
集成光热发电技术,可再生能源,9500,万元,水力传动,永磁电动机,热电联产逆变器,无机热存储材料,集中式太阳能塔型设计,智能能量管理系统,储热容量500kWh,中国新能源技术研究院,https://www.nea.gov.cn/government/news/20230508/20230508.htm,2024-09-29,,,,,,,,,
固态电池技术,可再生能源,11000,万元,电动机驱动,无刷直流电动机,集成固态逆变器,固态电池,先进集成设计,智能电能管理系统,能量密度600Wh/L,中国固态电池技术研究中心,https://www.batterystories.com/news/20230930/20230930.htm,2024-09-29,,,,,,,,,
环境友好型建筑材料技术,可再生能源,4000,万元,无,无,无,无,新型复合材料,无,热传导率低于0.04W/m·K,中国建筑材料研究院,https://www.cnbm.com.cn/news/20231021/20231021.htm,2024-09-29,,,,,,,,,
移动充电网络技术,可再生能源,8500,万元,电动机驱动,交流电动机,高效移动充电逆变器,快充锂电池,模块化移动解决方案,智能充电管理系统,充电功率150kW，充电时间30分钟,交通运输部,https://www.mot.gov.cn/tjsj/20231220/20231220.htm,2024-09-29,,,,,,,,,
氢能制氢技术,可再生能源,6000,万元,电解水分解,电解电动机,电解专用逆变器,氢气储存设备,便携式设计,智能监控系统,产氢效率80%,中国氢能协会,https://www.hydrogen.org.cn/info/20230815/20230815.htm,2024-09-29,,,,,,,,,
绿色低碳冷链技术,可再生能源,9300,万元,电动机驱动,低功耗交流电动机,智能化冷链逆变器,环保制冷剂,模块化冷链设计,能效管理系统,冷却能力500W,中国低碳技术发展中心,https://www.efoc.org/lowcarbonnews/20230620/20230620.htm,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,涡轮发电,同步电动机,常规逆变器,锂离子电池组,海洋浮动平台,中央监控系统,额定容量200Ah，放电效率88%,中国潮汐能产业协会,https://www.china-tidalenergy.org,2024-09-29,,,,,,,,,
氨能供应技术,可再生能源,4000,万元,气体传输,气动驱动电动机,氨能专用逆变器,氨气储存罐,压缩系统,智能检测系统,能量密度600Wh/L，安全阈值1.2MPa,清华大学氢能研究所,https://www.tsinghua.edu.cn,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,9000,万元,光线聚焦,步进电动机,先进光热逆变器,镍铬电池,镜面反射系统,智能能量管理系统,能量转换效率42%,国家太阳能研究中心,https://www.nserc.org,2024-09-29,,,,,,,,,
超级电容器储能技术,可再生能源,3500,万元,电力调度,无刷直流电动机,高性能逆变器,超级电容器模块,模块化连接,多层控制系统,极限容量500F，循环寿命30000次,中国智能电网技术研究院,https://www.smartgrid.org.cn,2024-09-29,,,,,,,,,
地热供暖系统,可再生能源,2500,万元,地热泵,活塞电动机,可调速逆变器,地热水热交换器,地下热循环系统,智能供暖系统,工作温度范围30°C - 200°C,国家地热能开发利用研究中心,https://www.geothermal.org.cn,2024-09-29,,,,,,,,,
磁能储存技术,可再生能源,3000,万元,机械储能,转子电动机,动态逆变器,超级磁储模块,磁场增强结构,综合控制系统,能量储存效能85%,中国储能技术协会,https://www.energy-storage.org.cn,2024-09-29,,,,,,,,,
清洁燃气轮发电技术,可再生能源,11000,万元,天然气涡轮,高温超导电动机,气体轮机逆变器,天然气储存罐,轮机发电站,电力调度系统,功率输出300kW,国家能源局,https://www.nea.gov.cn,2024-09-29,,,,,,,,,
清洁水源利用技术,可再生能源,4500,万元,水流发电,水轮电动机,输水逆变器,水质监测设备,循环水系统,智能分配系统,消毒效率99%,中国水利协会,https://www.chinawater.org.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,7000,万元,电驱动,燃料电池电动机,固定电源逆变器,固体氧化物电池单元,耦合反应堆,高性能控制系统,功率输出100kW，能量效率60%,中国燃料电池产业联盟,https://www.fuelcell.org.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7000,万元,波浪能传动,永磁直流电动机,智能波浪逆变器,锂聚合物电池,浮动平台设计,分布式控制系统,额定容量120Ah，循环寿命3000次,中国海洋能协会,https://www.chinaoceanenergy.com,2024-09-29,,,,,,,,,
太阳能热利用技术,可再生能源,4500,万元,热流体传动,步进电动机,热能逆变器,无机熔盐储热,光热集中系统,智能化热管理系统,储热效率80%,中国太阳能学会,https://www.csgc.org.cn,2024-09-29,,,,,,,,,
压电能量采集技术,可再生能源,3500,万元,压电驱动,压电晶体发电机,微型逆变器,超级电容器,紧凑型设计,实时监控系统,能量密度500Wh/kg,中国智能装备产业技术创新战略联盟,https://www.cziot.org,2024-09-29,,,,,,,,,
潮汐发电技术,可再生能源,9000,万元,液压传动,涡轮发电机,潮汐能逆变器,铅酸蓄电池,潮汐能转换器,高效调度系统,额定容量200Ah，充电效率85%,国家海洋局,https://www.soa.gov.cn,2024-09-29,,,,,,,,,
碳捕获与储存技术,可再生能源,11000,万元,泵送系统,电动泵,气体增压逆变器,压缩气体储存罐,注入井系统,监测与控制系统,储存能力1000吨CO2/年,中国碳捕获技术研究院,https://www.ccsr.org.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,13000,万元,电化学反应,燃料电池,高温燃料电池逆变器,固体氧化物燃料电池,模块化系统,高效能量管理系统,输出功率100kW，能量转换效率60%,中国能源研究会,https://www.chinaenergy.org.cn,2024-09-29,,,,,,,,,
热泵技术,可再生能源,4000,万元,气体压缩,电动压缩机,变频器,N/A,空气源热泵,智能温控系统,最高效率COP = 4.2,中国制冷学会,https://www.cjms.org.cn,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,6000,万元,直流充电,充电桩控制系统,高效充电逆变器,高能效锂电池,智能充电网络,监控及管理系统,充电功率150kW，充电时间<30分钟,中国智能交通协会,https://www.chinaitis.org.cn,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,8500,万元,数据驱动,信息通信设备,智能逆变器,数据中心供电储能装置,网络化管理系统,自动化监控系统,储能容量500kWh,中国电力企业联合会,https://www.cec.org.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7000,万元,波浪传动,直流电动机,海洋能专用逆变器,锂离子电池,浮动平台系统,智能监控系统,额定容量200Ah，充电效率98%,中国海洋能协会,https://www.cma.org.cn/,2024-09-29,,,,,,,,,
储能技术,可再生能源,9000,万元,电池组并联,无刷电动机,智能储能逆变器,钠硫电池,集成储能系统,远程监控系统,能量密度300Wh/kg,国家电网公司,https://www.sgcc.com.cn/,2024-09-29,,,,,,,,,
氢氧燃料电池技术,可再生能源,10000,万元,电动机驱动,燃料电池发动机,高性能燃料电池逆变器,氢气储存技术,车辆驱动平台,集成控制系统,输出功率100kW，充电时效性优,中国氢能学会,https://www.chyna.com.cn/,2024-09-29,,,,,,,,,
地热热泵技术,可再生能源,4500,万元,水泵驱动,高效异步电动机,热泵专用逆变器,循环水储存系统,地下热交换系统,智能调节系统,COP值4.0以上,中国地热能与可再生能源协会,https://www.geothermal.org.cn/,2024-09-29,,,,,,,,,
浮动风力发电技术,可再生能源,8500,万元,风轮传动,变速异步电动机,浮动风电逆变器,纸电池,浮筒基础设计,自动化监控系统,运行温度范围：-20°C至50°C,国家风能中心,https://www.sneic.org.cn/,2024-09-29,,,,,,,,,
草 biomass 能发电技术,可再生能源,4000,万元,链条传动,无刷直流电动机,生物质能源逆变器,生物质颗粒燃料,气化反应器,计算机控制系统,热值5000kcal/kg,中国农业大学,https://www.cau.edu.cn/,2024-09-29,,,,,,,,,
固体废物转化技术,可再生能源,3500,万元,螺旋传动,交流电动机,废物转化专用逆变器,固体废物原料,固定床气化炉,全自动控制系统,气化效率85%,环境保护部,http://www.mee.gov.cn/,2024-09-29,,,,,,,,,
城市垃圾焚烧发电技术,可再生能源,6000,万元,链条传动,电动机热回收设备,高效焚烧逆变器,焚烧炉,多级焚烧炉系统,智能监控与管理系统,焚烧热值6000kcal/kg,城市管理局,http://www.chinacities.gov.cn/,2024-09-29,,,,,,,,,
高效光热发电技术,可再生能源,7500,万元,镜面传动,光热发电机,高效光热逆变器,储热材料,集中式光热发电站,自动化监控系统,能量转换效率达40%,中国能源研究院,http://www.ceri.gov.cn/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,波浪能转换,永磁发电机,双向逆变器,锂离子电池组,漂浮平台设计,智能协调控制系统,额定容量200Ah，充电效率95%,中国海洋开发与管理中心,https://www.cmh.gov.cn,2024-09-29,,,,,,,,,
新能源混合动力技术,可再生能源,10000,万元,混合动力系统,交流异步电动机,高效变换器,镍氢电池包,集成化设计,智能能量管理系统,输出功率150kW，能量密度600Wh/L,国家新能源汽车技术创新战略联盟,https://www.nev.org.cn,2024-09-29,,,,,,,,,
便携式太阳能发电技术,可再生能源,2500,万元,微型发电,无刷电动机,便携式逆变器,锂聚合物电池,折叠式设计,简易控制系统,额定容量50Ah，充电效率90%,中国可再生能源学会,https://www.creia.org.cn,2024-09-29,,,,,,,,,
潮流能发电技术,可再生能源,8500,万元,水流驱动,直流发电机,标准逆变器,锂电池系统,水下安装设计,远程监控系统,额定容量300Ah，放电效率92%,中国能源研究院,https://www.energyresearch.cn,2024-09-29,,,,,,,,,
氢能储存技术,可再生能源,4000,万元,气体压缩,电动压缩机,智能氢能逆变器,高压氢气罐,模块化储存系统,蓄能监控系统,储存能力600L，安全系数大于2,中国氢能产业技术创新战略联盟,https://www.china-hydrogen.org.cn,2024-09-29,,,,,,,,,
废物转化为能源技术,可再生能源,3200,万元,热解转化,无刷直流电动机,热解炉专用逆变器,能源储存系统,循环利用系统,智能处理控制系统,转化率80%，能量密度700kcal/kg,中国环境保护部,https://www.mee.gov.cn,2024-09-29,,,,,,,,,
太阳能热水技术,可再生能源,1500,万元,热电联产,高效电动机,热水器专用逆变器,热水储存罐,集热板系统,温控系统,储热能力500L，工作温度40°C - 80°C,中国太阳能学会,https://www.csea.org.cn,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,9000,万元,交流电转化,高效交流电动机,快充逆变器,高效锂电池组,分布式充电站,智能充电管理系统,充电功率250kW，充电效率96%,全球电动汽车充电技术协会,https://www.evcharging.org,2024-09-29,,,,,,,,,
纳米材料在能源技术中的应用,可再生能源,5000,万元,材料超导,特种电动机,纳米材料增强逆变器,先进纳米电池组,高效材料设计,智能调节系统,能量密度1500Wh/kg，充电速率快,中国纳米科技发展中心,https://www.cncd.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,液压传动,永磁同步电动机,潮汐能专用逆变器,潮汐能储存系统,浮动平台设计,智能监控系统,额定容量120Ah，充电效率92%,中国海洋能源协会,https://www.moe.gov.cn/,2024-09-29,,,,,,,,,
氨能源技术,可再生能源,7000,万元,电动机驱动,异步电动机,氨燃料电池逆变器,氨储存罐,模块化设计,自适应控制系统,输出功率80kW，能量密度600Wh/kg,中国氨能源技术论坛,https://www.aqsiq.gov.cn/,2024-09-29,,,,,,,,,
太阳能集中热能技术,可再生能源,3500,万元,热传导,电动机驱动,集中式逆变器,高效热能储存系统,抛物面反射器,自动化监控系统,热效率98%,国际太阳能协会,https://www.renewables.global/,2024-09-29,,,,,,,,,
地热发电技术,可再生能源,10000,万元,蒸汽轮机驱动,深井泵,地热专用逆变器,地热水储存系统,地热井系统,集中控制系统,温度范围80°C - 180°C,国土资源部地热能司,https://www.mnr.gov.cn/,2024-09-29,,,,,,,,,
空气能热泵技术,可再生能源,3200,万元,热泵循环,高效电动机,变频逆变器,水箱储热系统,紧凑型设计,温控监控系统,COP值5.0,中国热泵产业技术创新战略联盟,https://www.chinabpb.com/,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,15000,万元,电力传输,充电桩设计,快速充电逆变器,锂电池储能单元,一体化设计,智能充电系统,充电功率200kW，充电时间30min达到80%,中国电动汽车协会,https://www.chinaev.org/,2024-09-29,,,,,,,,,
氢能电解水技术,可再生能源,9000,万元,电解反应,电解槽,氢能逆变器,氢气储存罐,模块化电解槽,智能监控系统,电解效率85%,中国氢能产业技术创新战略联盟,https://www.chinahydrogen.com/,2024-09-29,,,,,,,,,
生物质能源热利用技术,可再生能源,4000,万元,有机物转化,无刷电动机,生物质专用逆变器,生物质颗粒燃料,气化反应堆,自动监控系统,热值4200kcal/kg,中国生物质能协会,https://www.biomasstoenergy.org/,2024-09-29,,,,,,,,,
混合动力汽车技术,可再生能源,11000,万元,电动与机械结合,永久磁铁电动机,混合动力逆变器,锂离子电池组,轻量化设计,智能动力分配系统,输出功率120kW，能量密度750Wh/L,中国汽车工程学会,https://www.sae.org/,2024-09-29,,,,,,,,,
超级电容器技术,可再生能源,5000,万元,电容储能,超导电动机,超级电容逆变器,双层电容单元,模块化设计,快速充放电系统,容量200F，充电效率98%,中国电源学会,https://www.cps.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,涡轮传动,同步电动机,潮汐逆变器,锂离子电池组,潮汐坝系统,先进电能管理系统,额定容量200Ah，充电效率92%,国际潮汐能协会,https://www.tidalenergy.org,2024-09-29,,,,,,,,,
氨燃料电池技术,可再生能源,9000,万元,电动机驱动,氨燃料电池,氨专用逆变器,氨储存系统,模块化反应堆,智能能源管理平台,输出功率100kW，能量密度800Wh/L,氢氨能源合作组织,https://www.ammoniaenergy.org,2024-09-29,,,,,,,,,
混合动力车技术,可再生能源,6500,万元,电-油混合驱动,串联混合电机,电动汽车专用逆变器,聚合物锂电池,模块化底盘,车载智能控制系统,能量密度150Wh/kg，容量50Ah,中国汽车工程学会,https://www.sae.org.cn,2024-09-29,,,,,,,,,
固态电池技术,可再生能源,11000,万元,固态电池驱动,高效电动机,固态逆变器,固态锂电池,集成式设计,动态电力分配系统,能量密度350Wh/kg，循环寿命8000次,固态电池技术联盟,https://www.solidstatebattery.org,2024-09-29,,,,,,,,,
太阳能热能利用技术,可再生能源,4000,万元,热交换器,无刷直流电动机,热能逆变器,热储存材料,集中式太阳能集热站,热控智能系统,热效率85%,中国太阳能热利用协会,https://www.cst.org.cn,2024-09-29,,,,,,,,,
燃料电池汽车技术,可再生能源,12000,万元,氢动力驱动,燃料电池电动机,氢电池逆变器,氢燃料电池堆,模块化设计,先进控制系统,输出功率150kW，能量密度1000Wh/L,中国燃料电池产业创新战略联盟,https://www.fuelcell.org.cn,2024-09-29,,,,,,,,,
废弃物能量回收技术,可再生能源,2200,万元,气化炉,无刷电动机,回收专用逆变器,固体废弃物,气化反应器,智能监测系统,热值3500kcal/kg,中国环境科学研究院,https://www.craes.org.cn,2024-09-29,,,,,,,,,
波浪能发电技术,可再生能源,8500,万元,水轮发电机组,双馈电动机,波浪专用逆变器,水电池储能,浮动发电装置,区域协调管理系统,额定容量300Ah，充电效率96%,国际波浪能研究中心,https://www.waveresearch.org,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,13500,万元,数据管理系统,无级变速电动机,智能逆变器,智能储能系统,分布式网络,多级电力调度系统,能量密度通讯能力强,中国电力科学研究院,https://www.cpri.cn,2024-09-29,,,,,,,,,
电动飞机动力技术,可再生能源,16000,万元,电动涡轮增压,高功率电动机,航空专用逆变器,高能量密度锂电池,飞行器专用设计,实时控制系统,输出功率200kW，能量密度600Wh/kg,中国民用航空局,https://www.caac.gov.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,水轮机传动,高效水电机,潮汐专用逆变器,锂聚合物电池,浮筒结构,智能电网系统,额定容量120Ah，充电效率98%,中国潮汐能协会,https://www.cntide.com,2024-09-29,,,,,,,,,
氨能发电技术,可再生能源,9000,万元,燃料电池驱动,氨燃料电动机,氨能专用逆变器,氨气储存系统,模块化设计,智能控制系统,输出功率80kW，能量密度600Wh/L,国际氢能协会,https://www.ihh.org,2024-09-29,,,,,,,,,
波浪能发电技术,可再生能源,7500,万元,气动传动,涡轮电动机,波浪能专用逆变器,锂离子电池,浮动平台,智能监控系统,额定容量150Ah，放电效率95%,中国海洋能源研究院,https://www.marineenergy.cn,2024-09-29,,,,,,,,,
混合动力系统技术,可再生能源,10000,万元,电池与燃油混合传动,同步电动机,高效多模式逆变器,镍氢电池,多功能集成设计,智能监测和管理系统,输出功率200kW，充电效率90%,国家混合动力系统技术研究中心,https://www.hydrogenelectricity.gov,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,18000,万元,蒸汽轮机传动,蒸汽柴油混合机,太阳能热逆变器,热能储存系统,集中式太阳能阵列,智能电力分配系统,储热能力500kWh,中国太阳能热发电技术研究院,https://www.chinasolarthermal.org,2024-09-29,,,,,,,,,
液态金属电池技术,可再生能源,9500,万元,直接电流传动,高温超导电动机,液态金属逆变器,液态金属电池组,双层容器设计,动态电力管理系统,能量密度800Wh/L,中国电池研究协会,https://www.chinabattery.org,2024-09-29,,,,,,,,,
