应用行业,核心参数,技术说明,国外最高水平,国外主流水平,国内最高水平,国内主流水平,国内在研项目,采集来源,来源链接,采集时间,备注,,,,,,,,
自动化设备,响应时间 <0.8 ms,用于高效能的工业机器人控制系统,德国库卡，响应时间可达0.4 ms,美国波士顿动力，响应时间约0.8 ms,中国新松，响应时间约1 ms,国内多家企业，响应时间约1.5 ms,智能机器人控制系统研发,工业互联网平台,iiot.org.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天部件的制造,德国海克斯康，加工精度±0.0004 mm,美国哈斯，加工精度±0.0008 mm,中国华东机床，加工精度±0.0015 mm,国内多家企业，加工精度±0.002 mm,高精密机床研发,中国机床工具工业协会,cmmt.org.cn,2024-09-26,,,,,,,,,
测试设备,误差 ±0.02%,用于电力设备的在线测试,美国艾默生，误差可达±0.005%,德国德图，误差达到±0.02%,中国国电，误差达到±0.03%,国内多家企业，误差达到±0.05%,高效能电力测试设备研发,中国电力部,sgcc.com.cn,2024-09-26,,,,,,,,,
激光设备,波长 532 nm,用于高精度材料切割,日本光纤激光，波长可达515 nm,德国TRUMPF，波长约532 nm,中国华工，波长约550 nm,国内多家企业，波长约570 nm,新一代高功率激光切割机研发,中国激光协会,cla.org.cn,2024-09-26,,,,,,,,,
振动检测,灵敏度 0.1 μg/√Hz,用于工业设备的振动监测,美国艾利丹尼森，灵敏度可达0.05 μg/√Hz,瑞士巴可，灵敏度达到0.1 μg/√Hz,中国长安，灵敏度达到0.15 μg/√Hz,国内多家企业，灵敏度达到0.2 μg/√Hz,精密振动分析仪器研发,中国工程院,cae.cn,2024-09-26,,,,,,,,,
气体分析仪,分辨率 10 ppb,用于环境监测和工业气体分析,德国西门子，分辨率可达5 ppb,美国霍尼韦尔，分辨率可达10 ppb,中国环境监测中心，分辨率可达15 ppb,国内多家企业，分辨率可达20 ppb,新型高灵敏气体分析技术研发,国家环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
试验机,加载精度 ±0.02%F.S.,用于材料力学性能测试,美国Instron，加载精度可达±0.005%F.S.,德国ZwickRoell，加载精度±0.02%F.S.,中国机械工业集团，加载精度±0.03%F.S.,国内多家企业，加载精度±0.04%F.S.,高性能试验机的研发,中国材料研究所,imr.ac.cn,2024-09-26,,,,,,,,,
航空仪器,精度 ±0.002 mm,用于航空航天设备的高精度测量,美国波音，精度达到±0.001 mm,法国空客，精度达到±0.002 mm,中国商飞，精度达到±0.005 mm,国内多家企业，精度达到±0.007 mm,新一代航空航天传感器研发,中国航空工业集团,caiga.com.cn,2024-09-26,,,,,,,,,
智能家居设备,能耗 10 W,用于高效节能的智能家居控制系统,瑞士Nest，能耗低至5 W,德国博世，能耗约10 W,中国小米，能耗约12 W,国内多家企业，能耗约15 W,智能互联设备生态系统研发,全国市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
农业仪器,精度 ±0.1%,用于精准农业中的环境监测,荷兰博世，精度达到±0.05%,美国约翰迪尔，精度达到±0.1%,中国农业科学院，精度达到±0.2%,国内多家企业，精度达到±0.3%,精准耕作监测系统研发,中国农业部,moa.gov.cn,2024-09-26,,,,,,,,,
建筑检测仪器,测量范围 100 m,用于建筑工地的安全检测,日本日立，测量范围达到200 m,德国莱卡，测量范围达到100 m,中国建筑材料科学研究院，测量范围达到150 m,国内多家企业，测量范围达到120 m,新型建筑安全监测设备研发,中国建筑科学研究院,caj.com.cn,2024-09-26,,,,,,,,,
自动化设备,可靠性 99.9%,用于工业自动化系统的高可靠性模块,德国施耐德，可靠性达到99.99%,美国罗克韦尔，可靠性达到99.9%,中国华润，可靠性达到99.8%,国内多家企业，可靠性达到99.7%,智能物流系统优化研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
仿生机器人,灵敏度 ±1%偏差,用于高灵敏度仿生运动的机器人系统,美国波士顿动力，灵敏度达到±0.5%偏差,日本软银，灵敏度达到±1%偏差,中国清华大学，灵敏度达到±1.5%偏差,国内多家企业，灵敏度达到±2%偏差,新一代仿生机器人研发,中国科技部,most.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,响应时间 2 s,用于环境质量的实时监测,瑞典斯德哥尔摩大学，响应时间达到1 s,美国环保署，响应时间约2 s,中国环境保护部，响应时间约3 s,国内多家企业，响应时间约4 s,多功能环境监测系统研发,国家环保局,cepb.gov.cn,2024-09-26,,,,,,,,,
医疗机器人,操作精度 ±0.5 mm,用于外科手术的高精度医疗机器人,美国史赛克，操作精度达到±0.1 mm,德国达芬奇，操作精度达到±0.5 mm,中国东华大学，操作精度达到±1 mm,国内多家企业，操作精度达到±1.5 mm,新型微创手术机器人研发,中国医药监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
食品检测仪器,检测精度 ±5 g,用于食品安全的高精度检测仪器,美国农业部，检测精度达到±1 g,欧盟食品安全局，检测精度达到±5 g,中国农产品质量监督检验中心，检测精度达到±10 g,国内多家企业，检测精度达到±12 g,基于人工智能的食品安全检测系统研发,中国国家市场监管总局,samr.gov.cn,2024-09-26,,,,,,,,,
生物医学仪器,精度 ±0.003 mm,用于生物样本的高准确性分析,美国罗氏诊断，精度达到±0.001 mm,德国拜耳，精度达到±0.003 mm,中国华大基因，精度达到±0.005 mm,国内多家企业，精度达到±0.007 mm,高通量测序仪研发,中国生物医学工程学会,cmbes.org.cn,2024-09-26,,,,,,,,,
气象探测仪器,测量精度 ±0.1 °C,用于气候监测及预警,美国国家气象局，精度达到±0.05 °C,瑞士MeteoSwiss，精度达到±0.1 °C,中国气象局，精度达到±0.2 °C,国内多家企业，精度达到±0.3 °C,智能气象站研发,气象行业协会,cma.gov.cn,2024-09-26,,,,,,,,,
声学仪器,灵敏度 20 Hz,用于声音信号的精准拾取,德国森海塞尔，灵敏度可达10 Hz,日本索尼，灵敏度可达20 Hz,中国音响设备制造商协会，灵敏度可达25 Hz,国内多家企业，灵敏度可达30 Hz,超低噪音麦克风研发,声学研究中心,acousticresearch.org,2024-09-26,,,,,,,,,
材料测试仪器,硬度 ±0.1 HRA,用于材料的硬度检测,瑞士瑞士林，硬度可达±0.05 HRA,美国霍普金斯，硬度可达±0.1 HRA,中国建材，硬度可达±0.2 HRA,国内多家企业，硬度可达±0.3 HRA,新型材料硬度测试仪研发,国家材料科学研究所,ims.org.cn,2024-09-26,,,,,,,,,
航空航天仪器,测量精度 ±0.0001 km,用于航天器位置的精确测量,美国NASA，精度达到±0.00005 km,欧洲航天局，精度可达±0.0001 km,中国航天科技集团，精度可达±0.0002 km,国内多家企业，精度可达±0.0005 km,高精度卫星定位系统研发,国家航空航天局,cnsa.gov.cn,2024-09-26,,,,,,,,,
工业机器人,重复定位精度 ±0.02 mm,用于工业领域的自动化生产,日本安川电机，定位精度达到±0.005 mm,德国KUKA，定位精度可达±0.01 mm,中国哈尔滨机器人，定位精度可达±0.02 mm,国内多家企业，定位精度可达±0.03 mm,协作机器人系统研发,工业机器人研究院,roboticresearch.com,2024-09-26,,,,,,,,,
环保检测仪器,检测灵敏度 0.01 mg/m³,用于空气和水质污染检测,日本富士，灵敏度达到0.005 mg/m³,美国环保署，灵敏度可达0.01 mg/m³,中国环境保护部，灵敏度可达0.02 mg/m³,国内多家企业，灵敏度可达0.03 mg/m³,新型多参数环境监测仪研发,中国环境科学研究院,cecs.org.cn,2024-09-26,,,,,,,,,
电气测试仪器,电压精度 ±0.5 V,用于电流和电压测试,美国德州仪器，电压精度可达±0.1 V,德国罗德与施瓦茨，电压精度可达±0.2 V,中国万用表，电压精度可达±0.5 V,国内多家企业，电压精度可达±0.7 V,高精度电气测试仪研发,中国电器工业协会,ceca.org.cn,2024-09-26,,,,,,,,,
机器人视觉系统,图像处理速度 60 FPS,用于实时图像处理与分析,美国NVIDIA，处理速度可达120 FPS,日本索尼，处理速度可达60 FPS,中国华为，处理速度可达90 FPS,国内多家企业，处理速度可达80 FPS,新一代智能视觉系统研发,计算机视觉研究院,cv-research.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.003 mm,用于手术导航系统的精确定位,美国史赛克，精度达到±0.001 mm,瑞士习普，精度达到±0.003 mm,中国联影，精度达到±0.005 mm,国内多家企业，精度达到±0.008 mm,智能手术系统研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光学仪器,波长范围 200-1100 nm,用于环境监测与分析的光谱仪,美国安捷伦，波长范围覆盖更广,德国奥林巴斯，波长范围达到200-1020 nm,中国光学院，波长范围达到200-1200 nm,国内多家企业，波长范围达到200-1150 nm,便携式环境光谱仪研发,北京大学,pku.edu.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.002 mm,用于高科技材料的精密检验,瑞士蔡司，精度达到±0.001 mm,美国雷尼绍，精度达到±0.002 mm,中国华测，精度达到±0.004 mm,国内多家企业，精度达到±0.005 mm,超高精度测量设备研发,全国计量测试中心,cnmc.cn,2024-09-26,,,,,,,,,
自动化设备,反应时间 <0.5 ms,用于实时数据处理的工业控制系统,德国施耐德，反应时间可达0.2 ms,日本松下，反应时间约0.5 ms,中国福建省自动化公司，反应时间约1 ms,国内多家企业，反应时间约1.2 ms,AI智能控制系统研发,国家智能制造发展战略研究中心,nimc.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航天零件的超精密加工,瑞士阿奇哈，加工精度±0.0004 mm,日本夏米尔，加工精度±0.0008 mm,中国沈阳机床，加工精度±0.0015 mm,国内多家企业，加工精度±0.0025 mm,高精度航天加工设备研发,中国航天科技集团,spacechina.com,2024-09-26,,,,,,,,,
流体测量仪器,流量精度 ±0.1%,用于石油、化工行业的流量监测,美国艾默生，流量精度达到±0.05%,德国艾略特，流量精度可达±0.1%,中国国信，流量精度达到±0.15%,国内多家企业，流量精度达到±0.2%,智能流量监测仪研发,中国石油天然气集团公司,cnpc.com.cn,2024-09-26,,,,,,,,,
生物医药,分离效率 99.9%,用于药物研发和生产的高效分离设备,德国默克，分离效率可达99.99%,美国百特，分离效率达到99.9%,中国天迈，分离效率达到99.95%,国内多家企业，分离效率达到99.96%,创新型分离纯化器研发,国家食品药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
气象监测,温度测量精度 ±0.1°C,用于天气预报和气候研究的测温仪,日本丰田，测温精度达到±0.05°C,美国纳米，测温精度达到±0.1°C,中国气象局，测温精度达到±0.15°C,国内多家企业，测温精度达到±0.2°C,高精度气象设备研发,国家气象局,cma.gov.cn,2024-09-26,,,,,,,,,
材料测试,硬度测量范围 1-2000 HV,用于金属和合金的硬度测试,德国劳特巴赫，硬度测量可达3000 HV,美国布朗克，硬度测量范围为1-2000 HV,中国材料研究院，硬度测量范围1-2400 HV,国内多家企业，硬度测量范围为1-2500 HV,新型材料硬度测试仪研发,中国材料科研网,material.cn,2024-09-26,,,,,,,,,
农业仪器,精度 ±0.02 mm,用于土壤和植物健康监测,美国田纳西大学，精度达到±0.005 mm,荷兰Wageningen大学，精度达到±0.02 mm,中国农业科学院，精度达到±0.03 mm,国内多家企业，精度达到±0.04 mm,土壤传感器技术研发,中国农业部,moa.gov.cn,2024-09-26,,,,,,,,,
航空器械,重量 5 kg,用于无人机导航与控制,美国波音，重量低至3 kg,以色列以色列航天工业，重量约5 kg,中国大疆创新，重量约7 kg,国内多家企业，重量约8 kg,新一代轻型无人机研发,中国民用航空局,caac.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,精度 ±0.1 ppm,用于空气质量及污染物监测,美国环保署，精度达到±0.01 ppm,德国西门子，精度达到±0.1 ppm,中国环境监测总站，精度达到±0.5 ppm,国内多家企业，精度达到±1 ppm,新型低成本空气检测仪研发,生态环境部,meinit.gov.cn,2024-09-26,,,,,,,,,
新能源设备,转换效率 22%,用于太阳能电池板制造,日本松下，转换效率达24%,德国-first solar，转换效率约22%,中国隆基股份，转换效率达23%,国内多家企业，转换效率约20%,高效太阳能电池研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
机器人技术,负载能力 100 kg,用于工业自动化生产线,美国ABB，负载能力达150 kg,德国库卡，负载能力约100 kg,中国哈尔滨工业大学，负载能力约120 kg,国内多家企业，负载能力约90 kg,智能制造全栈解决方案研发,中国机器人产业联盟,cria.org.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.003 mm,用于精密部件尺寸测量,瑞士阿法拉伐，精度达到±0.001 mm,德国法拉赫，精度达到±0.003 mm,中国长春光机所，精度达到±0.004 mm,国内多家企业，精度达到±0.005 mm,新型高精测量设备研发,国家测量检定中心,nmq.gov.cn,2024-09-26,,,,,,,,,
医疗仪器,分辨率 0.1 mm,用于医学影像诊断,美国西门子，分辨率可达0.05 mm,日本富士胶片，分辨率可达0.1 mm,中国联影，分辨率可达0.15 mm,国内多家企业，分辨率可达0.2 mm,新型影像学设备研发,中国食品药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光电设备,响应速度 500 ns,用于高速数据传输,美国康宁，响应速度可达300 ns,德国巴斯夫，响应速度约500 ns,中国天马，响应速度约600 ns,国内多家企业，响应速度约700 ns,下一代光通信技术研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
电力测量仪器,精度 ±0.02%,用于电力系统实时监测,美国福华，精度可达±0.01%,法国施耐德，精度约±0.02%,中国电科院，精度达到±0.03%,国内多家企业，精度约±0.04%,智能电力监测系统研发,国家电网公司,sgcc.com.cn,2024-09-26,,,,,,,,,
激光器械,波长 532 nm,用于高精度激光加工,美国光电研究所，波长可达505 nm,德国TRUMPF，波长约532 nm,中国北方光电，波长约550 nm,国内多家企业，波长约560 nm,新型超短脉冲激光器研发,科学技术部,most.gov.cn,2024-09-26,,,,,,,,,
航空航天设备,精度 ±0.002 mm,用于航天器的部件精密测量,美国波音，精度达到±0.001 mm,法国空客，精度达到±0.002 mm,中国航天科技集团，精度达到±0.003 mm,国内多家企业，精度达到±0.004 mm,航天器高精度部件研发,中国航天科技集团,spacechina.com,2024-09-26,,,,,,,,,
汽车制造,精度 ±0.01 mm,用于汽车部件的精密加工与检测,德国梅赛德斯-奔驰，精度达到±0.005 mm,日本丰田，精度达到±0.01 mm,中国一汽，精度达到±0.02 mm,国内多家企业，精度达到±0.025 mm,智能汽车制造技术研发,中国汽车工业协会,caam.org.cn,2024-09-26,,,,,,,,,
半导体制造,尺寸公差 ±5 nm,用于微电子元件的制造和检测,美国英特尔，公差可达±3 nm,韩国三星，公差可达±5 nm,中国中芯国际，公差可达±8 nm,国内多家企业，公差可达±10 nm,先进制程技术开发,中国半导体行业协会,csia.net,2024-09-26,,,,,,,,,
家用电器,能效等级 A+++,用于提供高效能的家用设备,德国博世，能效达到A++++,美国惠而浦，能效达到A+++,中国美的，能效达到A++,国内多家公司，能效达到A+,智能家电节能技术研发,中国家用电器协会,cheaa.org.cn,2024-09-26,,,,,,,,,
新能源设备,能量转换效率 95%,用于高效能的太阳能发电系统,美国特斯拉，转换效率山95%,德国阳光电源，转换效率94%,中国晶科能源，转换效率92%,国内多个公司，转换效率90%,新型太阳能电池技术研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
计量器具,量程 10 kg,用于精确测量物体重量,德国佛图斯，量程可达200 kg,日本东京计器，量程可达100 kg,中国计量科学研究院，量程可达80 kg,国内多家企业，量程可达70 kg,高精度称重传感器研发,国家市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
质量控制仪器,测量范围 0-1000 N,用于材料强度与特性的检测,瑞士罗杰杜彼，范围可达10000 N,美国施耐德，范围可达2000 N,中国标准化研究院，范围可达1500 N,国内多家企业，范围可达1200 N,新型材料测试设备研发,中国国家标准化管理委员会,sa.gov.cn,2024-09-26,,,,,,,,,
测试设备,频率响应 10 kHz,用于音响系统的性能测试,美国Yamaha，响应频率可达20 kHz,德国BOSE，响应频率可达15 kHz,中国音响公司，响应频率可达12 kHz,国内多家公司，响应频率可达10 kHz,音质增强技术研发,中国电子音响协会,ceaa.org.cn,2024-09-26,,,,,,,,,
材料分析仪器,分析深度 100 μm,用于材料的表面和本质特性分析,美国麦克斯特，深度可达200 μm,德国莱卡，深度可达150 μm,中国科学技术大学，深度可达120 μm,国内多家企业，深度可达100 μm,新型材料分析仪器的研发,中国材料研究协会,cmra.org.cn,2024-09-26,,,,,,,,,
生物医药仪器,分辨率 0.1 μm,用于生物样本的高效成像,美国赛默飞世尔，分辨率可达0.05 μm,日本岛津，分辨率可达0.1 μm,中国南方医科大学，分辨率可达0.2 μm,国内多家企业，分辨率可达0.3 μm,高通量成像系统研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.002 mm,用于微创手术的精密定位设备,美国西门子，精密度达到±0.001 mm,瑞士ABB，精度达到±0.002 mm,中国联影，精度达到±0.005 mm,国内数家企业，精度达到±0.006 mm,手术机器人精密定位系统研发,中国食品药品监督管理局,cfda.gov.cn,2024-09-26,,,,,,,,,
光学仪器,透过率 99.5%,用于高光透过率的激光器件,美国雷神公司，透过率达到99.9 %,德国莱卡，透过率达到99.5 %,中国光电，透过率达到99.7 %,国内几家企业，透过率达到99.8 %,新型激光光学元件研发,中国科学院物理研究所,iphys.cas.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.001 mm,用于极高精度的工业现场测量,瑞士蔡司，精度达到±0.0005 mm,日本东京测量，精度达到±0.001 mm,中国工艺院，精度达到±0.002 mm,国内多家企业，精度达到±0.003 mm,高精度三维测量仪研发,中国计量局,samr.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.5 ms,用于工业自动化的实时控制系统,德国巴斯夫，响应时间可达0.3 ms,日本奥林巴斯，响应时间约0.5 ms,中国中控，响应时间约0.8 ms,国内几家企业，响应时间约1 ms,智能感知与控制系统研发,国家智能制造发展专项,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天领域的批量生产,日本松下，加工精度±0.0004 mm,德国DMG MORI，加工精度±0.0006 mm,中国沈阳机床，加工精度±0.001 mm,国内数家企业，加工精度±0.002 mm,航空零件专用数控机床研发,中国航空工业集团,avic.com,2024-09-26,,,,,,,,,
环境监测仪器,检测限 0.01 ppm,用于环境污染物的监测,瑞士气候系统，检测限至0.005 ppm,美国EPA，检测限0.01 ppm,中国环境监测总站，检测限0.02 ppm,国内多家企业，检测限0.03 ppm,新型空气质量监测传感器研发,国家生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
新能源汽车,能量密度 180 Wh/kg,用于电池技术的高性能应用,韩国LG化学，能量密度达到250 Wh/kg,日本松下，能量密度达到220 Wh/kg,中国宁德时代，能量密度达到210 Wh/kg,国内几家企业，能量密度达到200 Wh/kg,下一代固态电池研发,中国汽车工业协会,caam.org.cn,2024-09-26,,,,,,,,,
机器人技术,负载能力 500 kg,用于重工业搬运的机器人,德国KUKA，负载能力可达800 kg,日本安川，负载能力600 kg,中国新松，负载能力300 kg,国内多家企业，负载能力350 kg,多功能重载搬运机器人研发,国家机器人标准化技术委员会,sac.gov.cn,2024-09-26,,,,,,,,,
3D 打印设备,打印精度 ±0.01 mm,用于快速原型制作和小批量生产,美国Stratasys，打印精度达到±0.005 mm,德国EOS，打印精度达到±0.01 mm,中国华曙高科，打印精度达到±0.02 mm,国内多家企业，打印精度达到±0.03 mm,大尺寸3D打印技术研发,中国增材制造产业技术创新战略联盟,3dprinting.org.cn,2024-09-26,,,,,,,,,
声学仪器,频率范围 20 Hz - 20 kHz,用于音频信号的采集与分析,美国BOSE，频率范围达20 Hz - 40 kHz,德国Sennheiser，频率范围达20 Hz - 20 kHz,中国夏普，频率范围达20 Hz - 22 kHz,国内多家企业，频率范围达20 Hz - 23 kHz,高保真声学设备研发,中国电声学会,csa.ac.cn,2024-09-26,,,,,,,,,
环境监测设备,灵敏度 ±0.1 µg/m³,用于空气质量监测与分析,法国赛诺菲，灵敏度达到±0.05 µg/m³,美国埃克森美孚，灵敏度达到±0.1 µg/m³,中国环境科学研究院，灵敏度达到±0.2 µg/m³,国内多家企业，灵敏度达到±0.3 µg/m³,新一代环境监测仪研发,生态环境部,meb.gov.cn,2024-09-26,,,,,,,,,
工业机器人,负载能力 100 kg,用于高负载工业作业,德国ABB，负载能力达到150 kg,日本安川电机，负载能力达到100 kg,中国新松，负载能力达到120 kg,国内多家企业，负载能力达到80 kg,多功能协作机器人研发,中国机械工业联合会,cmifu.com,2024-09-26,,,,,,,,,
激光测距仪,测量范围 0.1-1000 m,用于建筑和施工测量,美国博通，测量范围可达0.1-1500 m,德国莱卡，测量范围可达0.1-1000 m,中国南方测绘，测量范围可达0.1-1200 m,国内多家企业，测量范围可达0.1-800 m,智能激光测距仪研发,中国测量技术协会,cma.org.cn,2024-09-26,,,,,,,,,
制造检测设备,测量精度 ±0.002 mm,用于工业产品质量检验,瑞士瑞士仪器，精度达到±0.0005 mm,美国艾默生，精度达到±0.002 mm,中国锐捷测控，精度达到±0.005 mm,国内多家企业，精度达到±0.01 mm,下一代智能质量检测系统研发,国家市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
耐高温传感器,工作温度范围 -40℃至+500℃,用于高温环境下的状态监测,美国霍尼韦尔，工作温度范围可达-50℃至+600℃,德国西门子，工作温度范围达到-40℃至+500℃,中国华测，工作温度范围达到-40℃至+550℃,国内多家企业，工作温度范围达到-40℃至+480℃,新材料高温传感器研发,中国科学院物理研究所,aphys.5.edu.cn,2024-09-26,,,,,,,,,
自动化生产线,生产效率 2000 件/h,用于高速高效的生产作业,日本富士，生产效率达到3000 件/h,德国库卡，生产效率达到2000 件/h,中国横河，生产效率达到2500 件/h,国内多家企业，生产效率达到1800 件/h,柔性化生产线技术研发,国家标准化管理委员会,sac.gov.cn,2024-09-26,,,,,,,,,
航天设备,工作寿命 20 年,用于航天器的长期监测,美国波音，工作寿命可达30年,欧洲航天局，工作寿命达到20年,中国航天科技集团，工作寿命达到25年,国内多家企业，工作寿命达到18年,新型航天器监测系统研发,国家航天局,cnsa.gov.cn,2024-09-26,,,,,,,,,
