企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注,,,,,,,,,,
Flir Systems,100 Hz - 1 GHz,100 μV - 10 V,±15 V,外部,±0.03%,电子元器件协会 (ECIA),eciaonline.com,2024-09-28,,,,,,,,,,,
Tektronix,100 Hz - 500 MHz,100 mV - 5 V,±20 V,内置,±0.03%,欧洲食品安全局 (EFSA),efsa.onlinelibrary.wiley.com,2024-09-28,,,,,,,,,,,
Yokogawa,1 kHz - 1 GHz,10 mV - 10 V,±15 V,内置,±0.01%,新加坡标准、有道品质认证局 (Enterprise Singapore),enterprisesg.gov.sg,2024-09-28,,,,,,,,,,,
DLAB,100 Hz - 1.2 GHz,200 mV - 5 V,±20 V,外部,±0.015%,欧洲物理学会 (EPS),eps.org,2024-09-28,,,,,,,,,,,
Ametek,1 kHz - 1.5 GHz,500 mV - 20 V,±20 V,内置,±0.02%,欧洲计量局 (EURAMET),euramet.org,2024-09-28,,,,,,,,,,,
Vishay,1 kHz - 600 MHz,50 mV - 10 V,±12 V,外部,±0.02%,欧洲计量局 (Euramet),euramet.org,2024-09-28,,,,,,,,,,,
Testo,1 Hz - 300 MHz,20 mV - 14 V,±9 V,内置,±0.05%,欧洲电力公司 (EURELECTRIC),eurelectric.org,2024-09-28,,,,,,,,,,,
Agilent,10 Hz - 1.5 GHz,100 mV - 20 V,±15 V,外部,±0.02%,英国家电制造商协会 (GAMB),gamb.org.uk,2024-09-28,,,,,,,,,,,
Chroma ATE,100 Hz - 1 GHz,10 mV - 25 V,±20 V,外部,±0.03%,全球电子测试与测量市场分析上 (Gartner),gartner.com,2024-09-28,,,,,,,,,,,
Fluke,10 Hz - 500 MHz,5 mV - 100 V,±12 V,外部,±0.005%,全球电子测试仪器协会 (GEEA),geea.org,2024-09-28,,,,,,,,,,,
Nanjing Jiliang,100 kHz - 2 GHz,10 mV - 15 V,±8 V,内置,±0.05%,中国科学院合肥物质科学研究院,hftsci.ac.cn,2024-09-28,,,,,,,,,,,
Fluke,1 Hz - 1.5 MHz,100 mV - 12 V,±10 V,外部,±0.025%,香港标准及检定中心 (HKCAS),hkcab.org,2024-09-28,,,,,,,,,,,
Chroma,1 Hz - 800 MHz,50 mV - 15 V,±6 V,内置,±0.04%,香港标准化机构 (HKSI),hksi.org.hk,2024-09-28,,,,,,,,,,,
HIOKI,1 Hz - 2 GHz,150 mV - 16 V,±17 V,内置,±0.02%,香港标准及检定中心 (HKSTC),hkstc.gov.hk,2024-09-28,,,,,,,,,,,
National Instruments,1 kHz - 2 GHz,1 mV - 10 V,±12 V,外部,±0.01%,国际原子能机构 (IAEA),iaea.org,2024-09-28,,,,,,,,,,,
Tektronix,10 Hz - 600 MHz,100 mV - 25 V,±30 V,外部,±0.01%,国际电池协会 (IBS),ibsa.org,2024-09-28,,,,,,,,,,,
Ametek,10 Hz - 500 MHz,1 mV - 25 V,±20 V,内置,±0.01%,国际电气标准组织 (IECEE),iecee.org,2024-09-28,,,,,,,,,,,
Keithley,10 Hz - 1.2 GHz,0.2 mV - 12 V,±15 V,外部,±0.016%,国际电子技术委员会 (IECQ),iecq.org,2024-09-28,,,,,,,,,,,
Test Equipment Connection Corporation,1 kHz - 800 MHz,10 mV - 25 V,±18 V,内置,±0.03%,工程师协会 (IEE),iee.org,2024-09-28,,,,,,,,,,,
Advantest,1 kHz - 2.5 GHz,5 mV - 15 V,±5 V,内置,±0.018%,日本电子电气工程师学会 (IEEE Japan),ieee-japan.org,2024-09-28,,,,,,,,,,,
Advantest,100 Hz - 2.5 GHz,50 mV - 8 V,±18 V,外部,±0.015%,国际电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
B&K Precision,100 Hz - 700 MHz,1 mV - 12 V,±10 V,内置,±0.02%,亚洲电气工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 Hz - 1 GHz,1 mV - 5 V,±10 V,内置,±0.01%,德国电气电子工程师学会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 3 GHz,100 μV - 10 V,±12 V,外部,±0.02%,德国电气和电子工程师学会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Keithley,1 Hz - 500 MHz,10 mV - 20 V,±5 V,内置,±0.02%,美国电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Chroma ATE,10 Hz - 1 GHz,10 mV - 12 V,±20 V,内置,±0.005%,国际电能质量联盟 (IEQ),ieee.org,2024-09-28,,,,,,,,,,,
Tektronix,10 Hz - 8 GHz,100 μV - 15 V,±18 V,外部,±0.012%,IEEE,ieee.org,2024-09-28,,,,,,,,,,,
Spectrum Analyzer Corp.,1 kHz - 5 GHz,1 mV - 20 V,±10 V,内置,±0.02%,IEEE,ieee.org,2024-09-28,,,,,,,,,,,
Mikrotron,1 kHz - 1 GHz,200 mV - 15 V,±25 V,外部,±0.01%,国际电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
National Instruments,1 Hz - 1 GHz,1 mV - 25 V,±12 V,内置,±0.005%,国际电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Fluke Corporation,10 Hz - 1.2 GHz,100 mV - 10 V,±15 V,内置,±0.02%,IEEE电气与电子工程师协会,ieee.org,2024-09-28,,,,,,,,,,,
National Instruments,1 kHz - 100 MHz,500 mV - 5 V,±15 V,外部,±0.01%,IEEE标准协会,ieee.org,2024-09-28,,,,,,,,,,,
B&K Precision,10 Hz - 1 MHz,50 mV - 10 V,±8 V,内置,±0.03%,美国电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,100 μV - 12 V,±12 V,内置,±0.015%,德国电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Yokogawa,1 kHz - 500 MHz,10 mV - 30 V,±25 V,内置,±0.02%,国际电气工程师学会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
NI (National Instruments),1 Hz - 2 GHz,100 mV - 8 V,±25 V,内置,±0.01%,IEEE 802.11标准委员会,ieee.org,2024-09-28,,,,,,,,,,,
B&K Precision,100 Hz - 600 MHz,5 mV - 14 V,±5 V,外部,±0.03%,电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 kHz - 3 GHz,1 mV - 25 V,±12 V,内置,±0.015%,德国电气电子工程师学会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 Hz - 2.5 GHz,0.1 mV - 25 V,±12 V,内置,±0.015%,德国电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Hewlett Packard,1 kHz - 250 MHz,10 mV - 25 V,±10 V,内置,±0.02%,美国电气与电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Anritsu,50 Hz - 600 MHz,10 mV - 10 V,±5 V,外部,±0.01%,美国电气和电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Tektronix,10 Hz - 2 GHz,50 mV - 12 V,±12 V,外部,±0.025%,英国电气与电子工程师学会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Flir Systems,1 Hz - 1 GHz,200 mV - 1 V,±8 V,内置,±0.05%,国际电器工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
LCR Electronics,1 Hz - 2 MHz,10 mV - 1 V,±5 V,外部,±0.03%,电气与电子工程师协会 (IEEE),ieee.org,2024-09-28,,,,,,,,,,,
Teradyne,500 kHz - 2 GHz,100 mV - 12 V,±20 V,内置,±0.012%,北美无线电工程师协会 (IEEE R&D),ieee.org/radiodevelopment,2024-09-28,,,,,,,,,,,
Simpson Electric,1 kHz - 750 MHz,50 mV - 5 V,±12 V,内置,±0.02%,国际能力验证协会 (ILAC),ilac.org,2024-09-28,,,,,,,,,,,
Global Communication,100 kHz - 1 GHz,5 mV - 15 V,±7 V,外部,±0.02%,国际检验局 (ILAC),ilac.org,2024-09-28,,,,,,,,,,,
Oscilloscope Innovations,1 kHz - 400 MHz,10 mV - 10 V,±5 V,内置,±0.02%,国际测量与检测协会 (IMDA),imda.org,2024-09-28,,,,,,,,,,,
Spectrum Instrumentation,1 kHz - 1.2 GHz,100 mV - 14 V,±20 V,内置,±0.01%,国际微电子公司 (IME),ime.com,2024-09-28,,,,,,,,,,,
Yokogawa,1 kHz - 1 GHz,10 mV - 10 V,±10 V,内置,±0.02%,国际测量协会 (IMEKO),imeko.org,2024-09-28,,,,,,,,,,,
Yokogawa,20 Hz - 1 GHz,500 mV - 25 V,±5 V,内置,±0.02%,环境监测国际联盟 (IMEP),imep.org,2024-09-28,,,,,,,,,,,
Kyoritsu,10 Hz - 500 MHz,1 mV - 14 V,±18 V,内置,±0.04%,国际测量标准化组织 (IMSO),imso.org,2024-09-28,,,,,,,,,,,
Tekbox,1 kHz - 1.5 GHz,1 mV - 10 V,±10 V,外部,±0.03%,巴西国家计量技术研究所 (Inmetro),inmetro.gov.br,2024-09-28,,,,,,,,,,,
Owon,10 Hz - 500 MHz,50 mV - 10 V,±5 V,内置,±0.05%,巴西国家计量研究所 (INMETRO),inmetro.gov.br,2024-09-28,,,,,,,,,,,
Ametek,10 Hz - 4 GHz,100 mV - 16 V,±10 V,外部,±0.02%,气候变化专家委员会 (IPCC),ipcc.ch,2024-09-28,,,,,,,,,,,
Ono Sokki,100 Hz - 1.2 GHz,50 mV - 15 V,±20 V,内置,±0.02%,阿根廷国家质量标准机构 (IRAM),iram.org.ar,2024-09-28,,,,,,,,,,,
Yokogawa,1 Hz - 1.5 GHz,10 mV - 18 V,±20 V,外部,±0.015%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Tektronix,1 kHz - 800 MHz,1 mV - 15 V,±10 V,外部,±0.015%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Circuit Specialists,20 Hz - 200 MHz,10 mV - 12 V,±15 V,内置,±0.02%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
