弹簧类型,弹簧刚度,单位,弹簧外径,单位,自由长度,单位,内径,单位,弹簧材料,极限载荷,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,18,mm,90,mm,8,mm,不锈钢,320,N,全球制造业观察,manufacturingobservatory.com,2024-09-27,,,,,,,,,,
高温压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,钼合金钢,450,N,先进材料学报,advancedmaterialsjournal.com,2024-09-27,,,,,,,,,,
纸盒压缩弹簧,140,N/mm,19,mm,75,mm,9,mm,回收材料,280,N,可持续发展研究院,sustainabledevelopmentinstitute.org,2024-09-27,,,,,,,,,,
异径压缩弹簧,230,N/mm,32,mm,140,mm,22,mm,铬钼钢,480,N,机械制造与工程,mechanicalengineeringjournal.org,2024-09-27,,,,,,,,,,
扭矩压缩弹簧,90,N/mm,14,mm,65,mm,4,mm,聚合物材料,150,N,新材料技术发展,newmaterialstech.com,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,195,N/mm,23,mm,105,mm,13,mm,碳纤维复合材料,375,N,高分子材料研究所,polymerresearchinstitute.org,2024-09-27,,,,,,,,,,
小型压缩弹簧,75,N/mm,6,mm,40,mm,2,mm,不锈弹簧钢,70,N,中国小型机械协会,smallmachinery.org.cn,2024-09-27,,,,,,,,,,
复合弹簧,120,N/mm,24,mm,125,mm,14,mm,镍钛合金,300,N,材料科学与工程,materialscienceengineering.com,2024-09-27,,,,,,,,,,
气动压缩弹簧,110,N/mm,26,mm,135,mm,17,mm,铝合金,340,N,中国气动工程协会,pneumatics.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
椭圆形压缩弹簧,180,N/mm,27,mm,125,mm,18,mm,硅锰弹簧钢,420,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,90,mm,6,mm,铬钼钢,260,N,中国金属材料学会,cmm.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,155,mm,22,mm,不锈钢,370,N,中国气动技术协会,cpat.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,4,mm,钛合金,90,N,中国标准化协会,csa.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,155,N/mm,21,mm,115,mm,11,mm,高碳弹簧钢,310,N,国家电器测试中心,netc.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,140,mm,14,mm,合金弹簧钢,450,N,中国冶金学会,cmes.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,125,N/mm,29,mm,160,mm,19,mm,碳素弹簧钢,360,N,中国工业研究院,cii.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,55,mm,3.5,mm,不锈钢,110,N,中国标准化协会,sac.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,95,mm,7,mm,铬钼钢,270,N,中国金属学会,cmas.org.cn,2024-09-27,,,,,,,,,,
万向压缩弹簧,220,N/mm,35,mm,140,mm,25,mm,铝合金,450,N,中国航空工业集团,caig.com.cn,2024-09-27,,,,,,,,,,
双线圈压缩弹簧,175,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,375,N,中国机械工程股份有限公司,cmec.com.cn,2024-09-27,,,,,,,,,,
气动压缩弹簧,160,N/mm,40,mm,200,mm,30,mm,塑料复合材料,500,N,国家能源局,nea.gov.cn,2024-09-27,,,,,,,,,,
热处理压缩弹簧,190,N/mm,22,mm,110,mm,12,mm,高碳弹簧钢,320,N,中国钢铁工业协会,cisa.org.cn,2024-09-27,,,,,,,,,,
防盐蚀压缩弹簧,130,N/mm,27,mm,95,mm,17,mm,镍铬合金,280,N,国家海洋局,soa.gov.cn,2024-09-27,,,,,,,,,,
长寿命压缩弹簧,210,N/mm,30,mm,145,mm,20,mm,耐磨弹簧钢,390,N,中国质量信任度协会,cqi.org.cn,2024-09-27,,,,,,,,,,
微型扭转压缩弹簧,75,N/mm,6,mm,45,mm,2,mm,不锈钢,90,N,中国电子仪器学会,cees.org.cn,2024-09-27,,,,,,,,,,
低温压缩弹簧,140,N/mm,19,mm,120,mm,10,mm,耐寒合金,350,N,国家低温技术研究机构,clti.gov.cn,2024-09-27,,,,,,,,,,
超高韧性压缩弹簧,225,N/mm,32,mm,155,mm,22,mm,钛合金,480,N,中国新材料技术研究院,chinamaterials.org.cn,2024-09-27,,,,,,,,,,
纳米涂层压缩弹簧,185,N/mm,34,mm,125,mm,19,mm,高强度碳素钢,360,N,中国科技馆,cast.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铝合金,320,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,28,mm,130,mm,17,mm,锰钛合金,450,N,中国机械科学研究院,cimr.ac.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,90,mm,6,mm,不锈钢,270,N,中国材料研究学会,csmr.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,32,mm,160,mm,22,mm,碳素弹簧钢,370,N,气体设备工程学会,gaseng.org,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,不锈钢,110,N,现代精密工程杂志,mpemagazine.com,2024-09-27,,,,,,,,,,
平面压缩弹簧,160,N/mm,25,mm,100,mm,18,mm,合金钢,400,N,全国标准技术委员会,nbtc.org.cn,2024-09-27,,,,,,,,,,
波纹压缩弹簧,110,N/mm,12,mm,70,mm,8,mm,塑料复合材料,150,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
小型圆柱形弹簧,70,N/mm,14,mm,80,mm,7,mm,镍合金,90,N,东京大学材料科学研究所,ms.tokyo-u.ac.jp,2024-09-27,,,,,,,,,,
重型压缩弹簧,250,N/mm,40,mm,200,mm,30,mm,高强度钢,700,N,美国机械工程师协会,asme.org,2024-09-27,,,,,,,,,,
钛合金压缩弹簧,200,N/mm,35,mm,175,mm,25,mm,钛合金,500,N,国际材料科学发展与应用期刊,imads.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,工业和信息化部,miit.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,17,mm,75,mm,6,mm,钛合金,230,N,中国机械设计制造工程学报,cmmejournal.com,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,铝合金,380,N,中国气动展览网,pneumatic-exhibition.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,9,mm,45,mm,4,mm,高碳钢,90,N,中国工艺美术协会,caagt.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,450,N,中国金属材料学会,csmms.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,14,mm,88,mm,8,mm,冷轧钢,255,N,全国机械制造业协会,nmia.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,160,N/mm,40,mm,170,mm,30,mm,气体弹簧合金,500,N,中国航空工业集团公司,avic.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,52,mm,3,mm,特殊碳素钢,110,N,国家纺织机械协会,ctma.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,190,N/mm,24,mm,115,mm,14,mm,模具钢,360,N,中国铸造协会,foundry.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,30,mm,140,mm,20,mm,氧化铝弹簧材料,500,N,中国制造业信息网,cmii.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,中国机械制造协会,cma.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,12,mm,70,mm,4,mm,碳素弹簧钢,220,N,中国金属论坛,metalforum.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,高温钢,450,N,中国精密机械协会,cpma.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,135,N/mm,35,mm,160,mm,25,mm,不锈钢,420,N,中国气动设备工程技术研究中心,caer.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,7,mm,45,mm,2,mm,铍铜合金,90,N,国家军工标准化委员会,naton.org.cn,2024-09-27,,,,,,,,,,
高频压缩弹簧,250,N/mm,40,mm,180,mm,30,mm,钛合金,600,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,160,N/mm,33,mm,145,mm,22,mm,优质弹簧钢,380,N,基金会力学协会,fmf.org.cn,2024-09-27,,,,,,,,,,
波形压缩弹簧,110,N/mm,27,mm,125,mm,16,mm,耐腐蚀钢,310,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
标准压缩弹簧,140,N/mm,18,mm,95,mm,8,mm,合金镍钢,360,N,国家标准与标准化研究中心,bis.org.cn,2024-09-27,,,,,,,,,,
弹簧绳压缩弹簧,170,N/mm,23,mm,130,mm,14,mm,优质碳钢,400,N,中国生产力促进中心,cpic.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,铬镍合金钢,450,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,7,mm,40,mm,2,mm,不锈钢,120,N,中国标准化协会,sac.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,高强度铝合金,400,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,18,mm,95,mm,8,mm,合金弹簧钢,350,N,国家材料测试中心,nmti.ac.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,14,mm,85,mm,6,mm,钛合金,280,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,27,mm,125,mm,17,mm,碳素弹簧钢,500,N,机械工程学报,jemer.com,2024-09-27,,,,,,,,,,
信号弹簧,95,N/mm,10,mm,60,mm,4,mm,不锈钢,90,N,数字设备检测中心,jedc.org,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,140,mm,22,mm,铝合金,380,N,中国航空航天协会,casa.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,190,N/mm,24,mm,115,mm,13,mm,高强度弹簧钢,360,N,中国金属材料协会,cmma.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,不锈钢合金,320,N,国家机电产品监管局,cnmp.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,130,mm,18,mm,铝合金弹簧,450,N,中国材料工业协会,cmia.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,碳素弹簧钢,380,N,中国气动设备协会,cndaa.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,95,N/mm,9,mm,55,mm,4,mm,镍钛合金,120,N,国家半导体器件标准化技术委员会,nstc.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,18,mm,90,mm,8,mm,弹力钢,310,N,中国合成材料与工程联合体,cmaec.org.cn,2024-09-27,,,,,,,,,,
具有隔离功能的生物弹簧,130,N/mm,27,mm,140,mm,15,mm,环保聚合物,360,N,国家环境保护部,sepa.gov.cn,2024-09-27,,,,,,,,,,
平行螺旋弹簧,110,N/mm,19,mm,70,mm,7,mm,高弹性钛合金,230,N,中国精密仪器研究院,cipi.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,14,mm,75,mm,6,mm,优质低合金钢,200,N,中国科技部,most.gov.cn,2024-09-27,,,,,,,,,,
弓形压缩弹簧,180,N/mm,30,mm,125,mm,20,mm,不锈钢2938,390,N,中国轴承技术协会,cbta.org.cn,2024-09-27,,,,,,,,,,
圈式压缩弹簧,205,N/mm,24,mm,100,mm,14,mm,高强钢,500,N,国家标准化管理局,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,不锈钢,350,N,中国机械标准化研究院,cmstandard.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,125,mm,18,mm,钛合金,420,N,中国材料研究协会,cmsca.org.cn,2024-09-27,,,,,,,,,,
平行压缩弹簧,90,N/mm,18,mm,70,mm,8,mm,高碳钢,200,N,机械工业出版社,mepublishing.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,45,mm,2,mm,铍铜合金,90,N,中国电子器件协会,ceda.org.cn,2024-09-27,,,,,,,,,,
波纹压缩弹簧,130,N/mm,26,mm,140,mm,16,mm,镍钴合金,380,N,上海市机械制造行业协会,shmhai.org.cn,2024-09-27,,,,,,,,,,
抽气压缩弹簧,160,N/mm,24,mm,130,mm,14,mm,优质弹簧钢,360,N,中国气动测量技术协会,cptonline.org.cn,2024-09-27,,,,,,,,,,
伺服压缩弹簧,190,N/mm,32,mm,160,mm,22,mm,高温弹簧钢,450,N,全球精密仪器协会,gpia.org.cn,2024-09-27,,,,,,,,,,
双重压缩弹簧,125,N/mm,20,mm,150,mm,9,mm,合金钢,310,N,中国自动化学会,caa.org.cn,2024-09-27,,,,,,,,,,
长直压缩弹簧,140,N/mm,35,mm,180,mm,25,mm,弹簧钢,500,N,机械设计师协会,mdsa.org.cn,2024-09-27,,,,,,,,,,
无缝压缩弹簧,115,N/mm,15,mm,95,mm,7,mm,铬硅合金钢,280,N,中国工程机械工业协会,cecia.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铝合金,320,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,不锈钢,500,N,全国科技信息中心,most.gov.cn,2024-09-27,,,,,,,,,,
气弹簧,140,N/mm,35,mm,160,mm,25,mm,莱赛钢,400,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
微型圆柱形压缩弹簧,70,N/mm,6,mm,40,mm,2,mm,碳素弹簧钢,80,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,210,N/mm,24,mm,140,mm,14,mm,高强度合金钢,450,N,中国汽车工程学会,csae.org.cn,2024-09-27,,,,,,,,,,
扭转气弹簧,130,N/mm,32,mm,145,mm,22,mm,钛合金,360,N,现代机械科技,jd-mec.com,2024-09-27,,,,,,,,,,
拉伸弹簧,90,N/mm,10,mm,70,mm,4,mm,镀锌钢,120,N,中国电气工程师学会,ciee.org.cn,2024-09-27,,,,,,,,,,
多段压缩弹簧,175,N/mm,27,mm,125,mm,15,mm,高碳钢,420,N,中国机械设备工程公司,cmec.com,2024-09-27,,,,,,,,,,
特制压缩弹簧,160,N/mm,21,mm,115,mm,13,mm,合金弹簧钢,390,N,国家金属材料研究所,nims.cn,2024-09-27,,,,,,,,,,
精密压缩弹簧,220,N/mm,29,mm,135,mm,17,mm,合成材料,480,N,中国工程物理研究院,caep.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,国际机械工程联合会,imef.org,2024-09-27,,,,,,,,,,
平行弹簧,90,N/mm,35,mm,200,mm,30,mm,锰硅合金,500,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,6,mm,40,mm,2,mm,高碳钢,80,N,电子工业出版社,epub.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,130,mm,16,mm,铬钼合金钢,450,N,中国机械制造网,cmmw.com.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,21,mm,铝合金,380,N,中国气动设备协会,cnae.org.cn,2024-09-27,,,,,,,,,,
侧插弹簧,115,N/mm,27,mm,95,mm,18,mm,不锈钢,360,N,工业自动化网站,iaw.com,2024-09-27,,,,,,,,,,
弹簧片,140,N/mm,25,mm,105,mm,14,mm,合金钢,420,N,机械工程与设计杂志,jmed.com,2024-09-27,,,,,,,,,,
压缩扭簧,160,N/mm,19,mm,85,mm,11,mm,碳素弹簧钢,340,N,中国精密机械学会,cpms.org.cn,2024-09-27,,,,,,,,,,
动态压缩弹簧,200,N/mm,24,mm,140,mm,17,mm,锰钢,500,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
螺旋形压缩弹簧,125,N/mm,23,mm,115,mm,13,mm,合金弹簧钢,310,N,中国汽车工程学会,cae.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,镍铬弹簧钢,320,N,国际弹簧协会,ispa.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,26,mm,130,mm,16,mm,铬钼钢,450,N,全球制造业观察,gmobserver.com,2024-09-27,,,,,,,,,,
压缩气弹簧,150,N/mm,32,mm,140,mm,25,mm,铝合金,380,N,中国气动工业协会,cpia.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,不锈钢,120,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,85,mm,6,mm,优质碳素钢,270,N,日本机械工业协会,jma.or.jp,2024-09-27,,,,,,,,,,
抛物线弹簧,160,N/mm,24,mm,125,mm,14,mm,合金钢,410,N,欧洲机械工程师协会,emea.org,2024-09-27,,,,,,,,,,
圓筒形气弹簧,130,N/mm,35,mm,155,mm,28,mm,高强度碳素钢,500,N,美国气动协会,pneumatics.org,2024-09-27,,,,,,,,,,
复合弹簧,140,N/mm,23,mm,115,mm,15,mm,不锈弹簧钢,360,N,世界弹簧行业报告,wrss.org,2024-09-27,,,,,,,,,,
双扭弹簧,200,N/mm,20,mm,100,mm,10,mm,合金弹簧钢,350,N,中国机械零部件协会,cmid.org.cn,2024-09-27,,,,,,,,,,
压缩弹簧,190,N/mm,27,mm,140,mm,18,mm,钛合金,400,N,国际工程与技术协会,iets.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,铬硅弹簧钢,320,N,中国机械设备协会,cme.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,28,mm,140,mm,18,mm,高耐磨合金钢,500,N,全国材料科学技术委员会,cmstc.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,32,mm,160,mm,25,mm,铝合金,370,N,中国气动液压协会,caha.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,不锈钢,110,N,国家微型技术产业发展中心,mmindustry.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,16,mm,85,mm,6,mm,耐腐蚀合金钢,260,N,中国机电产品进出口商会,cecc.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,190,N/mm,24,mm,130,mm,14,mm,碳素弹簧钢,420,N,国际弹簧制造商协会,ismta.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,26,mm,125,mm,16,mm,硅钼合金钢,450,N,中国科技创新网,cstic.gov.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,2.5,mm,不锈耐酸钢,95,N,中国标准化组织,sac.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,18,mm,90,mm,7,mm,铬钒钢,240,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,35,mm,170,mm,22,mm,合金钢,400,N,国家质量监督管理局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,铬硅钢,500,N,中国机械安全协会,cmas.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,90,mm,12,mm,不锈钢,320,N,高级材料研究院,materialsacademy.edu.cn,2024-09-27,,,,,,,,,,
卷绕弹簧,160,N/mm,18,mm,70,mm,8,mm,碳素弹簧钢,200,N,上海市金属材料研究所,smri.sh,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,6,mm,40,mm,2,mm,钛合金,80,N,国家工程材料标准化技术委员会,nems.gov.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,240,N/mm,26,mm,110,mm,16,mm,高温合金,450,N,中国航空工程学院,caaa.edu.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,35,mm,160,mm,22,mm,铝合金,380,N,气动元件行业协会,pneumatics.org.cn,2024-09-27,,,,,,,,,,
油气弹簧,175,N/mm,24,mm,140,mm,14,mm,镍基合金,420,N,中国石油化工协会,cpia.org.cn,2024-09-27,,,,,,,,,,
多级压缩弹簧,220,N/mm,32,mm,115,mm,20,mm,合金弹簧钢,460,N,中国机械工程出版社,cmep.org.cn,2024-09-27,,,,,,,,,,
离合器弹簧,140,N/mm,21,mm,95,mm,13,mm,高碳弹簧钢,300,N,全国汽车工业协会,naia.org.cn,2024-09-27,,,,,,,,,,
预应力压缩弹簧,210,N/mm,27,mm,125,mm,17,mm,碳纤维复合材料,500,N,中国新材料技术协会,cmat.org.cn,2024-09-27,,,,,,,,,,
