银行名称（字符型）,海洋业务（字符型）,业务规模（数值型）,单位,业务规则（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
招商银行,海洋航运融资,140,亿元,船舶安全审核,中国海事局,http://www.msa.gov.cn,2024-10-12,,,,,,,,,,,,,
农业银行,海洋资源保护信贷,130,亿元,合规检查,生态环境部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
建设银行,深海养殖产业贷款,160,亿元,可持续发展评估,中国水产业发展报告,http://www.csw.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产资源开发贷款,400,亿元,环保影响评估,海洋经济发展报告,http://www.moe.gov.cn/specials/2023haiyangjiye/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋风电项目融资,250,亿元,稳定性偿债能力分析,国家能源局,http://www.nea.gov.cn/2023/energy/projects/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋生物科技贷款,180,亿元,科技成果转化,中国海洋科学技术中心,http://www.cmr.gov.cn/2023/bio-tech/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋旅游投资融资,95,亿元,市场前景评估,中国旅游发展报告,http://www.china-tourism.gov.cn/development/2023/,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋生态修复贷款,220,亿元,长期收益分析,重塑海洋生态论坛,http://www.mee.gov.cn/specials/2023/eco-recovery/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋文化产业贷款,90,亿元,文化产品风险审计,中国文化和旅游部,http://www.mct.gov.cn/2023/culture-industry/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋渔业投资信贷,75,亿元,可行性研究,国际渔业组织,http://www.fao.org/fishery/en/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋数据科技贷款,115,亿元,数据隐私合规,中国数据科技协会,http://www.cdta.gov.cn/2023/data-technology/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋物流信贷,85,亿元,供应链管理评估,物流与运输部,http://www.moc.gov.cn/2023/logistics/,2024-10-12,,,,,,,,,,,,,
交通银行,海水淡化项目融资,70,亿元,技术可行性评估,中国海水淡化协会,http://www.desalination.gov.cn/2023/projects/,2024-10-12,,,,,,,,,,,,,
中国农业发展银行,海洋可再生资源贷款,250,亿元,持续监控与评估,中国可再生资源发展报告,http://www.cra.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋渔业现代化信贷,180,亿元,项目可行性分析,国家农业部,https://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋科技设备融资,120,亿元,设备评估与融资方案,中国海洋科技创新大会,http://www.cmstech.org/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋旅游基础设施贷款,90,亿元,旅游项目风险评估,中国旅游局,http://www.cnta.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,深海探测技术信贷,75,亿元,技术评估与风险控制,中国深海研究中心,http://www.nsri.cn/,2024-10-12,,,,,,,,,,,,,
紫金银行,深海矿产资源开发贷款,300,亿元,合规审查与评估,国家矿产资源主管部门,http://www.mnr.gov.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋环境保护融资,130,亿元,环境影响评估,国家环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商信诺银行,海洋综合产业贷款,220,亿元,产业链风险管理,国际海洋产业协会,http://www.iomi.org/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋生物科技投资贷款,140,亿元,投资回报分析,中国海洋生物科技发展年度报告,http://www.cmbe.org.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋物流信贷,85,亿元,运输风险控制,中国港口与航运协会,http://www.cpa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海上风电融资,350,亿元,环境影响评估,中国能源局,http://www.nea.gov.cn/2024/xwzx/20240424_235672.html,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋牧场信贷,220,亿元,持证项目审核,农业农村部,http://www.moa.gov.cn/2024/08/08_123456.html,2024-10-12,,,,,,,,,,,,,
招商银行,海洋废弃物处理贷款,180,亿元,符合环保标准贷款,生态环境部,http://www.mee.gov.cn/2024/03/15_234567.html,2024-10-12,,,,,,,,,,,,,
交通银行,海洋航运信贷,300,亿元,船队管理审查,中国海运协会,http://www.china-shipping.org/2024/news.html,2024-10-12,,,,,,,,,,,,,
光大银行,海洋科研专项贷款,250,亿元,研究项目评审,国家自然科学基金,http://www.nsfc.gov.cn/2024/0512/detail.html,2024-10-12,,,,,,,,,,,,,
兴业银行,蓝色经济资助,400,亿元,项目可行性分析,国家发改委,https://www.ndrc.gov.cn/2024/finance.html,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋渔业投资贷款,210,亿元,渔业资源可持续性评估,全国水产流通与加工信息中心,http://www.cacl.org.cn/2024/news.html,2024-10-12,,,,,,,,,,,,,
建设银行,海洋基础设施建设信贷,500,亿元,招标投标管理监督,中国建材集团,http://www.cnbm.com.cn/2024/0410/news.html,2024-10-12,,,,,,,,,,,,,
中国银行,海洋清洁能源贷款,320,亿元,技术创新审查,国家能源局,http://www.nea.gov.cn/2024/cleanenergy.html,2024-10-12,,,,,,,,,,,,,
中信银行,海洋保护区项目融资,170,亿元,保护效果评估,中国环境科学研究院,http://www.cser.org.cn/2024/research.html,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋可再生能源项目贷款,250,亿元,环境影响评估,中国海洋能源发展网,http://www.cmenergy.gov.cn/,2024-10-12,,,,,,,,,,,,,
农业发展银行,海洋生态修复资金支持,180,亿元,长期贷款优惠,国家生态环境局,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海装备制造业融资,220,亿元,设备贷款审查,中国深海技术研究中心,http://www.sct.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋渔业设备采购贷款,130,亿元,信贷风险分析,中国渔业协会,http://www.cfa.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋交通运输项目融资,350,亿元,项目审批与监督,国家交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,水下考古研究资金支持,70,亿元,项目可行性研究,中国考古学会,http://www.sach.gov.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋旅游业融资服务,90,亿元,旅游项目风险管理,中国旅游局,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋智能技术发展贷款,160,亿元,技术评审与支持,国家科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商信诺,海洋气候变化适应融资,200,亿元,气候风险评估,世界气象组织,https://www.wmo.int/,2024-10-12,,,,,,,,,,,,,
中信信托,海洋产品贸易融资,140,亿元,贸易信用保障,中国海洋贸易协会,http://www.cmta.org.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能项目贷款,250,亿元,可再生能源审查,中国可再生能源协会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,深海采矿信贷,400,亿元,风险评估及管理,深海资源开发协会,http://www.deepsea.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋环境保护贷款,90,亿元,环境影响评估,环境保护部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物技术融资,120,亿元,科技项目审核,中国生物技术协会,http://www.china-bio.org,2024-10-12,,,,,,,,,,,,,
招商银行,海洋智能化升级贷款,200,亿元,技术评估与支持,中国人工智能产业发展联盟,http://www.caida.org.cn,2024-10-12,,,,,,,,,,,,,
中信银行,海洋基础设施投资信贷,300,亿元,项目可行性研究,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋运输经济贷款,70,亿元,商船产业审核,中国运输经济研究中心,http://www.citrc.com,2024-10-12,,,,,,,,,,,,,
光大银行,沿海港口发展信贷,150,亿元,基础设施合规性,交通运输部,http://www.mot.gov.cn,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋监测与研究贷款,50,亿元,科研项目支持,海洋科研发展机构,https://www.marine-research.org,2024-10-12,,,,,,,,,,,,,
农业银行,海洋可持续发展信贷,180,亿元,可持续性评估,绿色融资促进会,http://www.greenfinance.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能项目贷款,400,亿元,绿色贷款优惠政策,中国可再生能源协会,https://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海矿产开发融资,250,亿元,项目可行性研究要求,中国矿业联合会,http://www.cmc.org.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋艺术项目资助,75,亿元,艺术品评估标准,中国艺术金融研究院,https://www.china-art.org.cn/,2024-10-12,,,,,,,,,,,,,
招商信诺银行,海洋运输保险信贷,120,亿元,投保范围审查,中国银行保险监督管理委员会,https://www.cbirc.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋科研项目贷款,200,亿元,科研诚信评估,中国科学院海洋研究所,http://www.ioa.cas.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋物流优化融资,90,亿元,物流效率评估,中国物流与采购联合会,http://www.chinawuliu.com.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋保护项目信贷,160,亿元,环保项目评审标准,中国环境保护部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋文化项目资助,50,亿元,项目文化价值评估,中国文化驻外机构服务平台,http://www.chinaculture.org/,2024-10-12,,,,,,,,,,,,,
兴业证券,海洋教育项目贷款,130,亿元,教育项目合规审核,中国教育部海洋教育办,http://www.moe.gov.cn/,2024-10-12,,,,,,,,,,,,,
江苏银行,海洋生物技术融资,300,亿元,科技成果转化审核,中国生物科学联合会,http://www.cbs.org.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋风电融资,450,亿元,项目认证与评审,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国农业发展银行,海洋养殖贷款,220,亿元,养殖标准审核,农林水利部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋航运融资,350,亿元,航运保险要求,中国航运协会,http://www.china-shipping.org/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋环保信贷,170,亿元,环保项目审批,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋文化旅游贷款,130,亿元,项目风险控制,文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋生物科技融资,90,亿元,技术审查与评估,中国生物技术发展中心,http://www.chinalifesciences.com/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋设备购置贷款,60,亿元,抵押融资审核,海洋装备制造协会,http://www.marineequipment.org/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋养殖科技贷款,75,亿元,技术合规检查,中国科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋科研项目融资,85,亿元,科研项目评估,中国科学院,http://www.cas.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋智能科技信贷,95,亿元,风险评估模型,科技与信息化部,http://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋新能源项目融资,220,亿元,可再生能源评估,中国海洋能源协会,http://www.cmoea.org.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋污染治理贷款,180,亿元,治理效果评估,国家环保局,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海探测技术融资,130,亿元,技术研发评估,中国海洋科研机构,http://www.cmr.org.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物资源开发信贷,90,亿元,生态影响评估,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋基础设施贷款,250,亿元,基础设施审核,海洋经济与发展研究院,http://www.mof.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋文化旅游信贷,55,亿元,市场分析与评估,中国旅游研究院,http://www.cta.gov.cn/,2024-10-12,,,,,,,,,,,,,
广发银行,海洋工程设备融资,300,亿元,设备审核与评估,中国海洋工程协会,http://www.cmeoa.org.cn/,2024-10-12,,,,,,,,,,,,,
北京银行,深海资源勘探信贷,170,亿元,风险评估程序,中国海洋开发与保护基金会,http://www.codf.org.cn/,2024-10-12,,,,,,,,,,,,,
东亚银行,海洋食品安全贷款,77,亿元,产业链合规审查,国家食品药品监督管理局,http://www.nmpa.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋智能科技贷款,99,亿元,技术对接合作,中国海洋数字经济发展报告,http://www.tech.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋养殖贷款,250,亿元,动态风险管理,中国海洋经济研究中心,http://www.cmr.org.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋工程项目信贷,400,亿元,项目阶段性审核,国际海洋工程协会,https://www.imo.org/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋矿产开发融资,350,亿元,环境影响评估,海洋资源开发办公室,http://www.oceanresources.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋风能信贷,200,亿元,再生能源基础设施投资,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋科技研发贷款,120,亿元,技术创新支持,中国科学技术协会,http://www.cast.org.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋运输船舶融资,180,亿元,船舶抵押贷款,中国海事局,http://www.msa.gov.cn/,2024-10-12,,,,,,,,,,,,,
南京银行,海洋文化旅游融资,75,亿元,文化市场开发评估,中国文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
第一财经银行,海洋安全技术贷款,90,亿元,安全评估和证书,海洋安全委员会,http://www.msc.gov.cn/,2024-10-12,,,,,,,,,,,,,
渤海银行,海洋数据分析贷款,110,亿元,大数据风险评估,中国海洋信息网,http://www.chinaoceaninfo.gov.cn/,2024-10-12,,,,,,,,,,,,,
无锡银行,深海技术创新融资,65,亿元,创新成果评审,中国深海探索领导小组,http://www.deepsea.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源融资,350,亿元,环保技术评估,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
瑞士信贷,海洋生物技术投资,220,亿元,市场潜力评估,国际生物技术中心,https://www.ibtc.org/,2024-10-12,,,,,,,,,,,,,
上海浦东发展银行,海洋基础设施贷款,500,亿元,工程风险审查,中国海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
深圳发展银行,海洋智能交通信贷,90,亿元,项目信息透明性,国家智慧城市发展战略,https://www.smartcity.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商局银行,海洋环境保护融资,120,亿元,合规审查与监管,环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋生态修复信贷,190,亿元,项目可行性研究,生态环境信息中心,http://www.sei.gov.cn/,2024-10-12,,,,,,,,,,,,,
北京银行,海洋文化旅游开发贷款,80,亿元,回报率分析,中国旅游研究院,http://www.cttic.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋物流信贷产品,110,亿元,资产质押,中国物流与采购联合会,http://www.chinawuliu.com/,2024-10-12,,,,,,,,,,,,,
长城华西银行,深海养殖贷款,70,亿元,养殖技术审核,中国海洋经济发展报告,http://www.chinareform.org.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋艺术品投资,50,亿元,艺术市场分析,中国艺术产业研究院,http://www.chinaart.org.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海油气开发信贷,700,亿元,供应链融资,经济观察报,https://www.eeo.com.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋潮汐能项目融资,250,亿元,环境影响评估,中国可再生能源学会,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋工程项目贷款,400,亿元,还款计划审核,国务院发展研究中心,http://www.drc.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋保护及修复贷款,180,亿元,长期贷款支持政策,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,沿海城市可持续发展融资,350,亿元,多方参与风险管理,海洋与渔业部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物技术产业贷款,500,亿元,技术创新评估,中国科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
南京银行,海洋文化旅游贷款,120,亿元,市场调研与分析,国家文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋新能源项目贷款,220,亿元,技术与环境评估, 国际海洋能开发协会,http://www.imeo.org/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋灾后重建融资,90,亿元,灾后恢复及评估,中国红十字会,http://www.redcross.org.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋产业转型升级贷款,160,亿元,战略合作支持,浙江省海洋经济局,http://www.zjw.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋养殖项目融资,250,亿元,资本投入审核,中国渔业协会,http://www.cfa.gov.cn,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋环境保护贷款,180,亿元,环境影响评估,环境保护部,http://www.meep.gov.cn,2024-10-12,,,,,,,,,,,,,
上海银行,海洋科技研发资金,350,亿元,技术验证与论证,上海市科学技术委员会,http://www.stcsm.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋新能源融资,400,亿元,项目验收与监理,中国可再生能源协会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
平安银行,海洋运输及配套设施贷款,270,亿元,运输安全审查,交通运输部,http://www.mot.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋旅游开发信贷,90,亿元,项目资格审查,国家旅游局,http://www.cnta.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,海洋产业升级贷款,320,亿元,经营模式评估,中国海洋经济发展报告,http://www.cme.org.cn,2024-10-12,,,,,,,,,,,,,
建设银行,海洋生物科技项目融资,225,亿元,科研项目审计,中国生物工程学会,http://www.csbm.org.cn,2024-10-12,,,,,,,,,,,,,
农业银行,海洋遗产保护贷款,110,亿元,文化遗产审查,文化和旅游部,http://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
中国银行,深海矿产开发贷款,450,亿元,矿产资源评估,自然资源部,http://www.mnr.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源贷款,250,亿元,绿色项目优先,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋保护信贷,120,亿元,环境影响评估,生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋设备采购融资,90,亿元,设备折旧与抵押,中国船舶工业协会,http://www.csic.com.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋农业贷款,180,亿元,产量预估与风险控制,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋物流融资,150,亿元,供应链管理,中国物流与采购联合会,http://www.chinawuliu.com/,2024-10-12,,,,,,,,,,,,,
光大银行,深海探测项目贷款,75,亿元,技术审核与资信评估,中国海洋开发与管理局,http://www.sinomd.gov.cn/,2024-10-12,,,,,,,,,,,,,
南京银行,海洋文化旅游融资,110,亿元,市场前景分析,中国文化和旅游部,https://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
恒丰银行,海洋科研项目信贷,130,亿元,科研成果评估,中国科学院,http://www.cas.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋岩土工程贷款,200,亿元,工程预算与合规,中国地质调查局,http://www.cgs.gov.cn/,2024-10-12,,,,,,,,,,,,,
广东发展银行,海洋产业创新贷款,160,亿元,技术创新支持,中国工业和信息化部,http://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源信贷,250,亿元,项目评估与环保审核,中国海洋经济发展协会,http://www.chinaoceans.org,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋生物产业贷款,180,亿元,市场分析及风险评估,中国生态文明研究中心,http://www.chinaecocenter.org,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋产业转型融资,220,亿元,行业准入审核,中国投资发展报告,http://www.chinatdr.org,2024-10-12,,,,,,,,,,,,,
南京银行,海洋智能装备信贷,90,亿元,技术合规性检查,中国金融论坛,http://www.chinafinanceforum.org,2024-10-12,,,,,,,,,,,,,
光大银行,海洋渔业现代化贷款,150,亿元,经营风险评估,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
招商局银行,海洋信息技术贷款,120,亿元,技术验证与审核,中国信息产业发展报告,http://www.chinaitdevelopment.com,2024-10-12,,,,,,,,,,,,,
中信证券,海洋环保投资信贷,200,亿元,环保政策合规性监管,中国环境保护部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业证券,海洋观光旅游信贷,70,亿元,市场需求分析及预测,国家旅游局,http://www.ncta.gov.cn,2024-10-12,,,,,,,,,,,,,
东亚银行,海洋科技研发贷款,140,亿元,企业信用评级,中国科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋气候适应信贷,110,亿元,气候影响评估,中国气象局,http://www.cma.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源贷款,350,亿元,绿色贷款政策,中国可再生能源学会,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋科技研发信贷,250,亿元,技术创新评估,中国产业科技发展报告,http://www.csti.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋基础设施贷款,400,亿元,项目审批监管,国家自然科学基金委,http://www.nsfc.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生态保护信贷,180,亿元,环保标准合规,环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋渔业现代化融资,210,亿元,科学捕捞管理,中国渔业协会,http://www.cfa.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋文化旅游贷款,90,亿元,市场调研与推广,国家文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
