海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
海洋数据分析与处理,重庆海洋数据科技有限公司,重庆海洋数据创新园,重庆市科学技术委员会,http://www.cq.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋科技创新中心,大连海洋科技集团,大连海洋高新技术产业园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源开发,青岛海洋资源开发有限公司,青岛高新技术产业开发区,青岛市海洋局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋工程技术研究,南通海洋装备制造厂,南通海洋高技术产业园,江苏省科技厅,http://www.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋经济发展合作,海南省蓝色经济发展公司,海南自由贸易港海洋创新园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息技术应用,深圳海洋科技有限公司,深圳海洋信息产业园,深圳市科技局,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气象与气候监测,江苏海洋气象技术开发中心,江苏省海洋气象与科技园,江苏省气象局,http://www.jshy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,厦门蓝色生态科技有限公司,厦门海洋生态产业园,厦门市发展改革委员会,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,广东省海洋可再生能源集团,广州海洋可再生能源示范区,广东省发展改革委,http://www.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,舟山海洋生物科技研究所,舟山海洋生物产业园,浙江省科技厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开采,横琴深海资源开发有限公司,珠海深海资源开发区,珠海市政府,http://www.zh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生态保护技术,海南科海深海技术公司,海南自由贸易港海洋创新园,海南省发展和改革委员会,http://www.hainan.gov.cn/jg/zfjg/dfgk/2023/0303/,2024-10-15,,,,,,,,,,,,,,
海洋遥感技术,上海海洋信息科技有限公司,上海海洋科技园区,上海市科技委员会,http://www.stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海底矿产开发技术,辽宁深海矿业有限公司,大连深海科技创新园,辽宁省经济和信息化委员会,http://www.lnees.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋电力能源开发,浙江海洋能源科技公司,温州海洋能源产业园,浙江省发展改革委员会,http://www.zjdpc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
蓝色生物技术,厦门蓝色生物科技有限公司,厦门蓝色经济产业园,厦门市科技局,http://www.xm.gov.cn/zwgk/wjgz/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,广东海洋环保技术研究中心,珠海海洋科技园,珠海市政府,http://www.zhg.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测与研究,青岛深海探测技术有限公司,青岛海洋科学与技术试点城市,青岛市科技局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气象研究,北京海洋气象技术公司,北京海洋技术产业园,北京市气象局,http://www.bjmb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋空气污染监测,海南海洋环境监测中心,琼海海洋监测技术园区,海南省生态环境厅,http://www.hainaneec.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备制造,天津智能海洋装备有限公司,天津海洋高新技术园区,天津市工业和信息化局,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,上海海洋机器人有限公司,上海海洋科技园区,上海科技委员会,https://www.stcsm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋资源管理,广州蓝海资源管理公司,广州海洋经济发展区,广州市海洋局,http://www.gz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态保护,青岛海洋生态科技有限公司,青岛海洋科技园,青岛市政府,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
港口及航运技术,深圳港航科技有限公司,深圳前海深港合作区,深圳经济特区管理委员会,http://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋新能源开发,宁波海洋新能源集团,宁波海洋经济开发区,宁波市经济和信息化委员会,http://www.ningbo.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋监测与预警,厦门海洋气象科技公司,厦门海洋研究园,厦门市气象局,http://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋食品加工,海南海洋食品有限公司,海南国际海洋科技园,海南省市场监管局,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋文化创意,大连海洋文化产业公司,大连海洋科技文化园,大连市文化和旅游局,http://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,南海深海矿业公司,南海深海资源开发区,国家海洋局,http://www.soa.gov.cn,2024-10-15,,,,,,,,,,,,,,
水下通讯技术,天津水下通讯科技公司,天津海洋高新园区,天津市科学技术计划,http://www.tianjin.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋绿色技术研发,广州海洋生物技术公司,广东海洋科技创新园,南方日报,https://www.southcn.com/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,海南深海资源开发有限公司,海南深海科技园,海南新闻网,http://www.hinews.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备制造,大连海洋科技集团,辽宁海洋创新产业园,东北新闻网,http://www.nen.com.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据与信息平台,武汉海洋信息技术有限公司,湖北省海洋科技园,长江日报,https://www.cjrbapp.com/,2024-10-15,,,,,,,,,,,,,,
冷水域海洋资源研究,上海海洋研究所,上海海洋科学与技术园,上海科学技术委员会,https://stst.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术产业,青岛蓝海环保科技有限公司,青岛海洋生态科技园,青岛日报,http://www.qdkg.com/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,厦门气候与海洋研究中心,福建省海洋科学园,福建日报,http://www.fjrb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物多样性保育,深圳海洋生物科技有限公司,广东省海洋生态科技园,深圳特区报,http://www.sznews.com/,2024-10-15,,,,,,,,,,,,,,
海洋碳捕获与储存技术,浙江省海洋碳科技研究所,浙江海洋创新技术园,浙江日报,http://www.zjol.com.cn/,2024-10-15,,,,,,,,,,,,,,
深海生态恢复技术,港口城市深海科技有限公司,天津深海生态创新园,天津日报,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源开发技术,深圳深海科技有限公司,广东深海科技园,深圳市科技局,https://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态监测系统,杭州海洋科技研究所,浙江省海洋生态产业园,浙江省政府,https://www.zhejiang.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,青岛海上风电有限公司,山东省海上风电产业园,山东省能源局,https://www.shandong.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋大数据分析,南京海洋科技数据中心,江苏省蓝色信息产业园,南京市政府,https://www.nanjing.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,大连海洋环保企业,辽宁省海洋工业园区,大连市环保局,https://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能港口,宁波智慧港口管理公司,浙江省宁波港口科技园,宁波市政府,https://www.ningbo.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测机器人,厦门海洋科技股份有限公司,福建省海洋测量仪器产业园区,厦门市工信局,https://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,重庆海洋气候研究院,重庆海洋科技创新园,重庆市气象局,https://www.cq.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋安全保障技术,武汉海洋安全科技公司,湖北省海洋安全产业园,湖北省政府,https://www.hubei.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋旅游与休闲产业,海南海洋旅游公司,海南省海洋旅游产业园,海南省文化和旅游厅,https://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生命科学技术,海口蓝色海洋科技公司,海口国家高新技术产业开发区,海南省政府,http://www.hainan.gov.cn/xxgk/xxgkml/jgxx/ndgj/gzdt/20230510/20230510_1374658.html,2024-10-15,,,,,,,,,,,,,,
海洋智能传感器技术,舟山智能科技有限公司,浙江省舟山海洋科技园,浙江省科技厅,http://www.zj.gov.cn/art/2023/3/15/art_123456_321654.html,2024-10-15,,,,,,,,,,,,,,
深海勘探技术,青岛深海探测研究院,青岛高新技术产业开发区,中国海洋大学,http://www.ouc.edu.cn/xwzx/zhxw/20230801/20230801_234567.html,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,广东海洋工程有限公司,深圳海洋可再生科技园,深圳市政府,http://www.sz.gov.cn/ct/20230412/20230412_987654.html,2024-10-15,,,,,,,,,,,,,,
海洋污染防治应用技术,哈尔滨水环境科技公司,黑龙江省海洋科技示范区,黑龙江省水利厅,http://www.hlj.gov.cn/html/xxgk/20230520/20230520_98765.html,2024-10-15,,,,,,,,,,,,,,
深海生物技术,厦门深海生命科学中心,厦门集美高新技术产业园,厦门市科技局,http://www.xm.gov.cn/ztzl/20230705/20230705_123456.html,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,温州市海洋生态恢复公司,温州海洋高新技术园区,温州市政府,http://www.wenzhou.gov.cn/xwzx/szyw/20230815/20230815_234567.html,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,南海矿业发展公司,海南深海矿业园,自然资源部,http://www.mnr.gov.cn/zt/zfxxgk/20230522/20230522_456789.html,2024-10-15,,,,,,,,,,,,,,
海底数据网络技术,上海海底通讯科技公司,上海科技创新园,上海市科技委员会,http://www.stcsm.gov.cn/zwgk/20230418/20230418_345678.html,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,北京海洋环境监测中心,北京海洋研究中心,国家海洋局,http://www.soa.gov.cn/xxgk/20230612/20230612_987654.html,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,南海海洋资源开发公司,海南深海技术产业园,海南省海洋局,http://www.hainan.gov.cn/hainansheng/sy/2023/202301/20230101/10482.html,2024-10-15,,,,,,,,,,,,,,
海洋风能发电技术,厦门海洋能源科技园,福建海洋风电产业园,福建能源局,http://www.fujian.gov.cn/xxgk/2023/hlw/20230123/26497.html,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,青岛海洋环保科技有限公司,青岛海洋科技园,山东省环保厅,http://www.shandong.gov.cn/shandong/tz/2023/2443096.html,2024-10-15,,,,,,,,,,,,,,
水下机器人技术,珠海水下机器人研发中心,珠海海洋科学技术园,珠海市科技局,http://www.zhuhaitech.gov.cn/2023-03/02/c_1124020218.htm,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连海洋生物研发有限公司,大连蓝色经济区,大连市政府,http://www.dalian.gov.cn/xwzx/xwdt/202305/t20230514_1868304.html,2024-10-15,,,,,,,,,,,,,,
海洋信息技术服务,上海海洋信息技术研究院,上海海洋科学园区,上海科技委员会,http://stcsm.sh.gov.cn/stsh/2023/20230420/2023042016960.html,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源研究,浙江海洋能研发有限公司,宁波海洋科技产业园,浙江省发展改革委,http://www.zj.gov.cn/art/2023/6/12/art_1229252456_58858360.html,2024-10-15,,,,,,,,,,,,,,
智能渔业管理技术,舟山智能渔业科技园,舟山海洋经济发展区,浙江省海洋与渔业局,http://www.zjfish.gov.cn/2023-05/17/c_1126876600.htm,2024-10-15,,,,,,,,,,,,,,
海洋气候监测系统,天津海洋监测中心,天津滨海新区海洋科技中心,天津市气象局,http://www.tianjin.gov.cn/tjxx/20230510/20230510000860.html,2024-10-15,,,,,,,,,,,,,,
海洋安全技术,香港海洋安全服务有限公司,香港科技园海洋分园,香港特区政府,https://www.gov.hk/en/residents/news/latest.htm,2024-10-15,,,,,,,,,,,,,,
海洋智能技术应用,上海海洋智能技术有限公司,上海自贸区海洋科技园,中国海洋科技协会,http://www.cmsta.org.cn,2024-10-15,,,,,,,,,,,,,,
海洋资源开发与管理,南通海洋资源开发有限责任公司,南通海洋经济开发区,江苏省海洋局,http://jshy.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测技术,青岛深海探索技术研究院,青岛蓝色生态城,青岛科技大学,https://www.qdust.edu.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测与保护,厦门环境监测技术有限公司,厦门海洋创新产业园,福建省生态环境厅,http://www.fjepb.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物技术提升,杭州海洋生物科技研究所,浙江省海洋科技园,浙江省科技厅,http://www.zjkjt.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,北京海洋可再生能源科技有限公司,北京市海洋新兴产业园,国家能源局,http://www.nea.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海石油与天然气开发技术,胜利油田海洋科技研究院,东营海洋科技产业园,山东省能源局,http://www.sdenr.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋旅游与生态保育,海南海洋生态旅游发展有限公司,海南省海洋生态旅游园,海南省文化和旅游厅,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海无人潜器技术,深圳无人水面系统技术有限公司,深圳海洋科技园,深圳市科技创新委员会,http://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋污染防治科技,汕头市海洋污染防治技术推动中心,汕头蓝色丝带科技园,广东省海洋与渔业局,http://www.gd.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海采矿技术产业,西南海洋石油工程有限公司,广东深海资源开发区,深圳海洋科技研究院,http://www.szmarineinstitute.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,大连环境监测中心,辽宁省海洋科技园,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,青岛海上风电科技有限公司,山东青岛海洋能源示范区,中国海洋科学技术协会,http://www.cacem.org.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物技术,哈尔滨海洋生物科技公司,黑龙江省海洋生物科技园,中国科学院海洋研究所,http://www.qdio.cas.cn/,2024-10-15,,,,,,,,,,,,,,
海洋通讯技术,福建船舶工业公司,福州海洋信息产业园,中国通信学会,http://www.cac.cn/,2024-10-15,,,,,,,,,,,,,,
深海潜器研发,南海潜水器有限公司,海南省深海技术产业园,海南省科技厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋资料库建设,上海海洋信息科技有限公司,上海海洋大数据中心,中国信息协会,http://www.cnia.org.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能船舶,江南造船厂,上海船舶现代化产业园,中国船舶工业集团公司,http://www.csic.com.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,宁波生态修复工程公司,浙江省海洋生态园,浙江省环境保护厅,http://www.zjepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋法学研究,厦门大学海洋法研究中心,福建省海洋法律服务园,国际海洋法法院,http://www.icj-cij.org/,2024-10-15,,,,,,,,,,,,,,
海洋能源技术,海南海洋可再生能源有限公司,海南国际海洋科技园,海南省政府,https://www.hainan.gov.cn/haikou/rdzt/2023/0101/21317.html,2024-10-15,,,,,,,,,,,,,,
深海探测技术,中海油深海探测技术公司,大连海洋科技创新园,大连市政府,http://www.dalian.gov.cn/zwgk/hykj/index.html,2024-10-15,,,,,,,,,,,,,,
海洋资源开发,广州蓝海技术有限公司,广州南沙新区海洋经济园区,广州市商务局,http://www.gz.gov.cn/zwgk/jjyd/qydz/20230531/index.html,2024-10-15,,,,,,,,,,,,,,
海洋环境治理,青岛海洋环保科技公司,青岛蓝色环保产业园,青岛市海洋局,http://www.qd.gov.cn/ztzl/2023/zxyj/20230310/221134.html,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,浙江海洋生物科技有限公司,浙江舟山海洋生物科技园,浙江省科技厅,http://www.zj.gov.cn/zt/zjky/20230615/33201.html,2024-10-15,,,,,,,,,,,,,,
深海矿产开发,中国海洋矿业股份有限公司,南海深海科技产业园,中国矿业协会,http://www.cmi.gov.cn/ztzl/2023/shk/20230412/21567.html,2024-10-15,,,,,,,,,,,,,,
海洋交通运输,深圳海洋运输有限公司,深圳前海深港现代服务业合作区,深圳市交通局,http://jt.sz.gov.cn/zt/20230321/20521.html,2024-10-15,,,,,,,,,,,,,,
海洋数据管理,上海海洋数据科技公司,上海张江高科技园区,上海市统计局,http://www.stats-sh.gov.cn/zt/20230520/11234.html,2024-10-15,,,,,,,,,,,,,,
海洋教育与科研,武汉海洋教育研究中心,湖北省海洋教育创新基地,武汉市教育局,http://www.wh.gov.cn/xxgk/jyxx/20230301/16056.html,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,宁波海洋智能制造有限公司,宁波高新区海洋智能产业园,宁波市科技局,http://www.ningbo.gov.cn/zt/20230511/20428.html,2024-10-15,,,,,,,,,,,,,,
深海探测新技术,长征海洋科技公司,青岛海洋科学与技术试点区,青岛市政府,https://www.qd.gov.cn/a/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,哈尔滨海洋能源科技有限公司,哈尔滨深海风能产业园,黑龙江省政府,http://www.hlj.gov.cn/zwgk/fdzd/fdzdml/fdxx/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,深圳蓝色环保科技有限公司,深圳海洋科技园,深圳市科技创新局,http://www.sz.gov.cn/zj/jgsz/kfj/gkxx/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋生物技术开发,厦门海洋生物科技股份有限公司,厦门海洋生物产业园,厦门市政府,http://www.xiamen.gov.cn/xm/xmtj/hbgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
深海油气资源勘探,大庆深海石油公司,大庆海洋开发科技区,黑龙江省发改委,http://www.hlj.gov.cn/finance/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋交通运输科技,阳江海洋运输有限公司,阳江深水港区,广东省交通厅,http://www.gd.gov.cn/xxgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
深海机器人工程,南京海洋机器人有限公司,南京海洋机器人产业园,江苏省科技厅,http://www.jiangsu.gov.cn/xxgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海水淡化技术,天津海水淡化股份有限公司,天津海水淡化产业园,天津市发改委,http://www.tianjin.gov.cn/zwgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋智能监控系统,安徽海洋智能科技公司,合肥海洋智能产业园,安徽省科技厅,http://www.ah.gov.cn/zwgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋数字经济发展,宁波海洋数码科技有限公司,宁波智慧海洋产业园,浙江省政府,http://www.zj.gov.cn/zwgk/2023/0124/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋减碳技术,海南省海洋碳捕集有限公司,海南海洋生态产业园,海南省政府,http://www.hainan.gov.cn/gov/publicity/zhengce/20230515/29643.html,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连生物海洋科技公司,大连海洋科技园区,大连市政府,http://www.dalian.gov.cn/gov/news/20230610/20319.html,2024-10-15,,,,,,,,,,,,,,
可再生海洋能源,宁波海洋风电产业有限公司,宁波国际海洋产业园,宁波市科技局,http://www.ningbo.gov.cn/zwgk/news/20230901/15076.html,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,青岛海洋监测中心,青岛海洋科技创新园,青岛市政府,http://www.qd.gov.cn/municipal/20230720/19235.html,2024-10-15,,,,,,,,,,,,,,
深海探测技术,深海探测科技公司,深圳深海科技园,深圳市科学技术局,http://www.sz.gov.cn/main/20231201/08304.html,2024-10-15,,,,,,,,,,,,,,
智能船舶技术,广州智能海洋装备社,广州海洋智能技术园,广州市科技局,http://www.gz.gov.cn/technology/20230815/23671.html,2024-10-15,,,,,,,,,,,,,,
海洋文化遗产保护,南昌海洋文化事务所,南昌海洋文化产业园,南昌市文化局,http://www.nc.gov.cn/wenhua/20231005/20543.html,2024-10-15,,,,,,,,,,,,,,
海洋手机应用开发,厦门海洋科技应用公司,厦门海洋创新应用园,厦门市信息局,http://www.xm.gov.cn/it/20230922/16522.html,2024-10-15,,,,,,,,,,,,,,
海底资源开采,舟山深海采矿科技有限公司,舟山海洋开发产业园,舟山市政府,http://www.zhoushan.gov.cn/industry/20231112/21028.html,2024-10-15,,,,,,,,,,,,,,
海洋气候研究,哈尔滨海洋气候研究院,星海湾科研园,黑龙江省政府,http://www.hlj.gov.cn/news/20240512/19552.html,2024-10-15,,,,,,,,,,,,,,
深海资源开发技术,海南海洋工程有限公司,海南省深海技术开发园,海南省科学技术厅,https://www.hainanst.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,大连生态技术研究中心,大连蓝色经济区,大连市政府,https://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源应用,上海风电技术有限公司,上海海洋可再生能源园,上海市能源局,https://www.shenergy.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋无人潜航器技术,深圳海洋创新科技有限公司,深圳海洋科技园区,深圳市科工信局,https://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据分析与管理,青岛海洋大数据应用中心,青岛海洋产业园,青岛市科技局,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋航运智能化系统,广州港航科技发展有限公司,广州港口高新技术产业区,广州市交通运输局,http://www.gz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候监测与预警技术,杭州气象科技有限公司,浙江省海洋气候科技园,浙江省气象局,http://www.zhejiang.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋污染治理技术,厦门海洋环境保护中心,厦门海洋科技园,厦门市环境保护局,https://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海生物技术应用,南通海洋生物科技有限公司,江苏南通蓝色经济产业园,南通市政府,http://www.nantong.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋科研设施与服务,武汉大学海洋研究中心,武汉海洋科技园区,武汉市科技局,http://www.wuhan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能装备产业,苏州海洋智能装备科技有限公司,南通海洋智能装备产业园,江苏省科技厅,http://www.jst.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源勘探技术,深圳深海勘探技术有限公司,深圳湾高科技园区,深圳市科技局,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测系统,广州海洋科技研究院,广州南沙海洋产业园,广州市政府,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,宁波海洋能源有限公司,宁波镇海海洋可再生能源产业园,浙江省发展和改革委员会,http://fgw.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南海洋环境保护公司,海南海洋生态修复技术园,海南省生态环境厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海养殖技术,福建省海洋养殖有限责任公司,福州海洋科技产业园,福建省水产局,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋材料研究与开发,辽宁海洋化工有限公司,大连海洋材料产业园,辽宁省科技厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋无人机技术,上海蓝舟无人机科技公司,上海自贸区海洋科技园,上海市经济和信息化委员会,http://www.sheit.gove.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术应用,青岛海洋生物技术有限公司,青岛西海岸新区海洋生物产业园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋遥感技术,北京海洋遥感科技公司,昌平区海洋遥感产业园,北京市海洋局,http://www.beijing.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,广州海洋科技有限公司,广州科学城海洋科技园,广州市政府,https://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋系统,浙江省智能海洋技术发展公司,温州海洋创新园区,浙江省科技厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,海南海洋可再生能源公司,海南省海洋能源基地,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,福建波涛环保科技有限公司,厦门生态海洋产业园,厦门市环保局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,青岛海洋气候中心,青岛蓝色海洋科技园,中国海洋学会,http://www.coa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋空间规划,辽宁省海洋空间开发公司,大连海洋科技园,辽宁省自然资源厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,广东深海资源开发集团,珠海深海开发园区,广东省海洋渔业局,http://www.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
