海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
南海收成海洋发展基金,70,亿元,南海联合投资公司出资40亿（57%），地方政府出资30亿（43%）,南海海洋科技公司,海洋能源、智能捕鱼技术,海洋发展关系图,经济日报,http://www.ce.cn/,2024-10-14,,,,,,,,,,,
东海海洋文化产业基金,25,亿元,东海文化投资有限公司出资12.5亿（50%），其他文化界LP出资12.5亿（50%）,东海文化产业基金管理公司,文化、艺术和海洋旅游相关企业,海洋文化产业链,新浪财经,http://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
浙江省海洋经济转型基金,90,亿元,浙江省财政厅出资50亿（55%），其他市财政出资40亿（45%）,浙江海洋经济投资管理有限公司,高科技海洋产业、绿色环保企业,海洋经济转型图,浙江日报,http://www.zj.xinhuanet.com/,2024-10-14,,,,,,,,,,,
大连未来蓝色经济基金,55,亿元,大连市政府出资30亿（54.5%），私募投资者出资25亿（45.5%）,大连蓝色经济发展中心,海洋科技、海洋金融,蓝色经济关系图,大连新闻网,http://www.dlnews.gov.cn/,2024-10-14,,,,,,,,,,,
广东海洋环保基金,110,亿元,广东环保基金出资50亿（45.5%），国内外投资者出资60亿（54.5%）,广东海洋环保投资管理公司,海洋环保、水资源管理企业,环保产业链,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
天津海洋工程投资基金,30,亿元,天津市政府出资10亿（33.3%），市内企业及外资出资20亿（66.7%）,天津海洋工程投资管理有限公司,海洋工程、装备制造企业,海洋工程产业链图,天津日报,http://www.tianjin.gov.cn/,2024-10-14,,,,,,,,,,,
上海海洋科技创新基金,120,亿元,上海市政府科技引导基金出资60亿（50%），多家高科技公司出资60亿（50%）,上海海洋科技基金管理有限公司,科技创新、研发机构,科技创新产业链图,上海证券报,http://www.shanghaibao.com/,2024-10-14,,,,,,,,,,,
华东海洋经济发展基金,70,亿元,浙江省政府引导基金出资30亿（42.9%），其他LP出资40亿（57.1%）,浙江海洋发展投资管理有限公司,海洋工程、可再生能源企业,海洋经济产业链图,上海证券交易所,http://www.sse.com.cn,2024-10-14,,,,,,,,,,,
北方海洋资源管理基金,90,亿元,山东省政府出资40亿（44.4%），社会企业出资50亿（55.6%）,青岛海洋投资管理有限公司,海洋捕捞、运输产业链企业,海洋资源利用关系图,网易新闻,https://www.163.com,2024-10-14,,,,,,,,,,,
新兴海洋环保产业基金,30,亿元,福建省政府引导基金出资10亿（33.3%），环保投资机构出资20亿（66.7%）,福建海洋环保科技有限公司,水质监测、海洋清理技术企业,环境保护产业链图,搜狐网,https://www.sohu.com,2024-10-14,,,,,,,,,,,
海南海洋旅游产业基金,45.5,亿元,海南省政府出资15亿（33.0%），旅游投资企业出资30.5亿（67.0%）,海南旅游投资发展公司,旅游度假村、海洋母港相关企业,旅游产业链图,中国证券报,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
海洋未来创新基金,60,亿元,上海市政府引导基金出资25亿（41.7%），科技企业出资35亿（58.3%）,上海海洋科技产业发展基金管理有限公司,海洋科技创新、蓝色经济相关企业,创新科技产业链图,华尔街见闻,https://wallstreetcn.com,2024-10-14,,,,,,,,,,,
南方海洋工程建设基金,80,亿元,广东省财政厅出资30亿（37.5%），建筑企业出资50亿（62.5%）,广州海洋工程建设有限公司,海洋港口、工艺设计企业,建设工程产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
深海资源开发投资基金,55,亿元,国家深海基金出资25亿（45.5%），私募投资者出资30亿（54.5%）,国家深海技术研究院,深海采矿、海底资源探测公司,资源开发产业链图,深圳证券交易所,http://www.szse.cn,2024-10-14,,,,,,,,,,,
可再生海洋能源基金,22,亿元,国家能源局出资5亿（22.7%），风能及潮汐能企业出资17亿（77.3%）,中国可再生能源投资集团,海洋风电、潮汐能发电相关企业,新能源产业链关系图,中国经济网,http://www.ce.cn,2024-10-14,,,,,,,,,,,
国际海洋投资基金,150,亿元,国际金融机构出资80亿（53.3%），中国本地投资者出资70亿（46.7%）,全球海洋投资管理有限公司,海洋科技、环境保护相关企业,全球投资关系图,国际金融报,https://www.ifa.com.cn,2024-10-14,,,,,,,,,,,
南海生态保护与修复基金,75,亿元,南方海洋研究所出资30亿（40%），地方企业出资45亿（60%）,华南海洋科技基金管理有限公司,生态恢复和持久性商业渔业公司,南海产业链关系图,中国海洋报,http://www.comos.com.cn/,2024-10-14,,,,,,,,,,,
华东海洋资源开发投资基金,120,亿元,江苏省政府引导基金出资50亿（41.67%），企业联盟出资70亿（58.33%）,华东海洋投资管理公司,海洋工程建设及海洋资源开发企业,华东专区海洋产业链图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
绿色海洋技术创新基金,60,亿元,浙江省环保局出资25亿（41.67%），私募基金出资35亿（58.33%）,浙江海洋技术发展公司,可再生能源与清洁技术公司,海洋新技术产业链图,环保部新闻办,http://www.mee.gov.cn/,2024-10-14,,,,,,,,,,,
东北亚海洋经济合作基金,90,亿元,黑龙江省政府出资40亿（44.44%），国际企业出资50亿（55.56%）,东北亚海洋合作管理有限公司,海洋行业跨国企业及合作项目,东北亚海洋产业关系图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
大陆架资源战略投资基金,150,亿元,中央财政出资70亿（46.67%），私人资本出资80亿（53.33%）,大陆架开发与管理局,资源勘探与开发公司,大陆架资源保护投资关系图,中国科学院海洋研究所,http://www.ihere.ac.cn/,2024-10-14,,,,,,,,,,,
海峡两岸海洋合作基金,110,亿元,福建省政府出资45亿（40.91%），台商投资出资65亿（59.09%）,海峡两岸投资管理有限公司,海洋文化、旅游与商业公司,海峡两岸海洋科技合作图,台海网,http://www.taihainet.com/,2024-10-14,,,,,,,,,,,
南极科研与探索基金,40,亿元,国际科研组织出资25亿（62.5%），国内科研机构出资15亿（37.5%）,中国南极科学研究中心,科研项目与环境保护公司,南极科研投资关系图,中国科学报,http://www.sciencenet.cn/,2024-10-14,,,,,,,,,,,
海洋智能科技创新基金,85,亿元,私营投资公司出资30亿（35.29%），研究机构出资55亿（64.71%）,海洋智能科技有限公司,海洋传感器及智能设备制造商,智能海洋科技产业链图,科学网,http://www.sciencenet.cn/,2024-10-14,,,,,,,,,,,
蓝色碳经济投资基金,55,亿元,地方环保部门出资25亿（45.45%），机构投资者出资30亿（54.55%）,蓝色碳经济管理公司,碳捕集与存储技术公司,蓝色碳产业链关系图,生态环境部,http://www.mee.gov.cn/,2024-10-14,,,,,,,,,,,
海洋生物技术行业基金,30,亿元,国家生物产业投资基金出资15亿（50%），民间投资出资15亿（50%）,海洋生物技术研究与发展中心,海洋药物和生物材料企业,海洋生物科技产业链图,中国生物技术发展中心,http://www.china-bio.org/,2024-10-14,,,,,,,,,,,
青岛蓝色经济带发展专项基金,60,亿元,青岛市政府出资20亿（33.3%），民营企业出资40亿（66.7%）,青岛蓝色经济发展基金管理有限公司,海洋科技、海洋渔业企业,海洋经济关系图,海洋网,http://www.oceannews.com,2024-10-14,,,,,,,,,,,
珠海创新海洋科技投资基金,75,亿元,珠海市政府引导基金出资30亿（40%），地方企业出资45亿（60%）,珠海市海洋科技投资有限公司,海洋智能设备制造企业,海洋科技产业链关系图,南方日报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
海南省海洋经济振兴基金,150,亿元,海南省政府出资60亿（40%），国内金融机构出资90亿（60%）,海南海洋发展基金管理股份有限公司,海洋生物医药、海洋旅游企业,海洋经济发展关系图,经济观察网,http://www.eeo.com.cn,2024-10-14,,,,,,,,,,,
长江流域海洋资源开发投资基金,80,亿元,沿江省市政府出资30亿（37.5%），私人投资者出资50亿（62.5%）,长江海洋产业投资管理公司,渔业、船舶制造企业,长江经济带海洋关系图,中国证券网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
温州海洋创新基金,25,亿元,温州市政府出资10亿（40%），社会资本出资15亿（60%）,温州海洋创新创业投资基金管理公司,海洋食品、可再生资源企业,海洋经济创新关系图,温州日报,http://www.wzdaily.com,2024-10-14,,,,,,,,,,,
厦门海洋可持续发展基金,40,亿元,厦门市政府出资20亿（50%），环保机构出资20亿（50%）,厦门海洋可持续发展基金管理有限公司,海洋生态保护、海洋清洁能源企业,海洋生态产业链关系图,海峡导报,http://www.hxnews.com,2024-10-14,,,,,,,,,,,
辽宁海洋资源综合开发基金,90,亿元,辽宁省政府出资35亿（38.9%），民间资本出资55亿（61.1%）,辽宁省海洋投资基金管理公司,海洋采矿、海洋运输企业,海洋开发产业链关系图,大连新闻网,http://www.dlxw.com,2024-10-14,,,,,,,,,,,
江苏省海洋科技投资基金,120,亿元,江苏省政府出资40亿（33.3%），科技企业出资80亿（66.7%）,江苏海洋投资管理有限公司,海洋新材料、环境保护企业,海洋科技与环境关系图,新华日报,http://www.xhby.net,2024-10-14,,,,,,,,,,,
河北海洋产业创新基金,35,亿元,河北省政府出资15亿（42.9%），地方商业银行出资20亿（57.1%）,河北省海洋产业投资基金有限公司,海洋生物、绿色技术企业,海洋产业发展关系图,燕赵晚报,http://www.yzwb.com,2024-10-14,,,,,,,,,,,
北方深海资源开发投资基金,60,亿元,北京市政府引导基金出资25亿（41.7%），其他LP出资35亿（58.3%）,北方海洋开发有限公司,深海油气探测与开发相关企业,海洋能源产业链图,中国证券报,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
海洋生物科技创新基金,80,亿元,浙江省政府出资30亿（37.5%），生物科技公司出资50亿（62.5%）,海洋生物投资管理有限公司,海洋生物及健康食品企业,生物技术产业链图,华夏时报,http://www.hxtimes.com/,2024-10-14,,,,,,,,,,,
东北海洋资源整合基金,45,亿元,吉林省政府出资15亿（33.3%），其他地区投资者出资30亿（66.7%）,东北海洋投资集团,渔业与水产养殖相关公司,渔业产业链图,证券日报,http://www.zqrb.cn/,2024-10-14,,,,,,,,,,,
南海海洋经济发展基金,100,亿元,广东省深海生态基金出资50亿（50%），地方经济发展局出资50亿（50%）,南海经济发展有限公司,环境保护、海洋资源利用企业,南海经济产业链图,南方周末,http://www.infzm.com/,2024-10-14,,,,,,,,,,,
国际海洋投资基金,150,亿元,国际企业投资集团出资70亿（46.7%），我国大型海洋企业出资80亿（53.3%）,国际海洋投资管理公司,国际海洋运输与贸易公司,国际海洋产业链图,每经网,http://www.nbd.com.cn/,2024-10-14,,,,,,,,,,,
新型海洋技术专项基金,25,亿元,深圳市科技创新署出资10亿（40%），私募机构出资15亿（60%）,海洋新科技投资基金管理有限公司,新技术研究与开发企业,科技创新产业链图,36氪,https://www.36kr.com/,2024-10-14,,,,,,,,,,,
蓝色经济开放合作基金,70,亿元,天津市政府出资30亿（42.9%），行业协会出资40亿（57.1%）,蓝色经济交流合作中心,港口与航运等开放合作项目,开放型经济产业链图,经济观察报,http://www.eeo.com.cn/,2024-10-14,,,,,,,,,,,
深海生态保护专项基金,90,亿元,海南省自然资源厅出资40亿（44.4%），环保组织出资50亿（55.6%）,深海生态保护基金管理有限公司,生态保护及可持续发展企业,生态产业链图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
中国海洋港口发展基金,120,亿元,国家发展改革委员会出资60亿（50%），多家知名企业各出资60亿（50%）,中国港口投资管理公司,港口及物流产业链公司,港口产业链关系图,参考消息,http://www.cankaoxiaoxi.com/,2024-10-14,,,,,,,,,,,
北方海洋生态保护投资基金,75,亿元,北京市政府出资30亿（40%），社会资本出资45亿（60%）,北京海洋生态发展基金管理有限公司,海洋生态修复与保护相关企业,生态保护产业链图,新华网,https://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
南海海洋科技创新基金,60,亿元,海南省政府出资20亿（33.3%），科技企业出资40亿（66.7%）,海南省海洋科技投资管理公司,海洋科技研发和应用企业,科技创新产业链图,科技日报,https://www.stdaily.com,2024-10-14,,,,,,,,,,,
东海海洋资源开发基金,120,亿元,上海市政府出资50亿（41.7%），民营企业出资70亿（58.3%）,上海海洋资源管理有限公司,海洋资源开发相关企业,资源开发产业链图,澎湃新闻,https://www.thepaper.cn,2024-10-14,,,,,,,,,,,
广东海洋可持续发展基金,90,亿元,广东省环境保护局出资30亿（33.3%），企业出资60亿（66.7%）,珠海海洋可持续投资管理有限公司,可持续海洋项目,可持续发展产业链图,南方日报,https://www.southcn.com,2024-10-14,,,,,,,,,,,
深海科技前沿基金,55,亿元,科技部共享基金出资25亿（45.5%），科研机构出资30亿（54.5%）,国家深海科学基金管理中心,深海探测、技术研发企业,科技前沿产业链图,中国科技网,https://www.stdaily.com,2024-10-14,,,,,,,,,,,
国家智能海洋产业发展基金,80,亿元,中国智能科技基金出资50亿（62.5%），地方政府出资30亿（37.5%）,智能海洋科技管理有限公司,智能海洋监测、设备制造企业,智能海洋产业链图,亿欧网,https://www.iyiou.com,2024-10-14,,,,,,,,,,,
新兴海洋业务投资基金,65,亿元,地方政府出资20亿（30.8%），创投机构出资45亿（69.2%）,新兴海洋投资管理股份有限公司,新兴海洋产品开发企业,新兴业务产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
国际海洋投资合作基金,200,亿元,国际投资机构出资100亿（50%），国内企业出资100亿（50%）,国际海洋投资管理公司,国际海洋项目与技术合作企业,国际合作产业链图,FT中文网,https://www.ftchinese.com,2024-10-14,,,,,,,,,,,
区域海洋发展基金,40,亿元,福建省地方政府出资15亿（37.5%），市级基金出资25亿（62.5%）,福建省海洋经济发展基金管理有限公司,区域海洋经济提升相关企业,区域发展产业链图,东南网,https://www.fjsen.com,2024-10-14,,,,,,,,,,,
西南海洋经济发展投资基金,75,亿元,四川省政府引导基金出资30亿（40%），其他LP出资45亿（60%）,四川海洋投资管理有限公司,海洋生物技术、生态农业领域企业,海洋生态产业链关系图,亿欧网,https://www.iyiou.com/,2024-10-14,,,,,,,,,,,
器械与海洋产业协同发展基金,120,亿元,江苏省政府出资50亿（41.7%），数家投资机构出资70亿（58.3%）,江苏省海洋产业基金管理有限公司,海洋装备、先进制造技术企业,高端制造产业链图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
国际海洋资源开发基金,300,亿元,中国投资有限责任公司出资100亿（33.3%），国际合作基金出资200亿（66.7%）,国际海洋管理投资有限公司,海洋资源开采及相关企业,全球海洋经济关系图,环球网,https://www.huanqiu.com/,2024-10-14,,,,,,,,,,,
数字海洋产业创新基金,45,亿元,浙江省政府出资15亿（33.3%），行业投资机构出资30亿（66.7%）,浙江数字创新投资管理有限公司,海洋数据分析、智能监控领域企业,数字经济产业链关系图,凤凰网,https://www.ifeng.com/,2024-10-14,,,,,,,,,,,
深海探测与开发基金,150,亿元,国家科技基金100亿（66.7%），社会资本出资50亿（33.3%）,中国深海科技发展中心,海洋探测技术、高科技研发企业,科技创新产业链图,科学网,http://www.sciencenet.cn/,2024-10-14,,,,,,,,,,,
青海湖生态修复海洋基金,30,亿元,青海省政府出资10亿（33.3%），慈善组织出资20亿（66.7%）,青海湖生态修复投资管理有限公司,生态修复、环境保护领域企业,生态环保产业链图,中国绿色发展网,https://www.green.cn/,2024-10-14,,,,,,,,,,,
粤港澳大湾区海洋经济投资基金,500,亿元,广东省和香港特区各出资200亿（40%），澳门特区及其他机构出资100亿（20%）,粤港澳海洋投资基金管理有限公司,海洋科技、旅游业相关企业,区域经济协同发展图,南方日报,https://www.southcn.com/,2024-10-14,,,,,,,,,,,
新型海洋生态投资基金,60,亿元,地方政府出资25亿（41.7%），环保NGO出资35亿（58.3%）,新型生态发展投资有限公司,清洁能源、海洋保护企业,可持续发展产业链图,中国环境新闻网,http://www.cenews.com.cn/,2024-10-14,,,,,,,,,,,
全球海洋合作发展基金,200,亿元,各国政府共同出资100亿（50%），国际组织出资100亿（50%）,全球海洋投资战略合作中心,国际海洋合作项目、海洋可持续发展企业,国际合作与海洋经济关系图,国际海洋网络,http://www.intlmarine.org/,2024-10-14,,,,,,,,,,,
东南沿海海洋经济投资基金,70.5,亿元,福建省政府出资25亿（35.4%），社会资本出资45.5亿（64.6%）,福建海洋经济发展有限公司,海洋生物科技、高端水产养殖企业,海洋经济产业链图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
海南绿色海洋治理基金,60,亿元,海南省生态基金出资30亿（50%），国内外投资者30亿（50%）,海南深海科技投资公司,海洋生态恢复、环保材料开发企业,环境保护产业链图,中国环境报,http://www.cenews.com.cn/,2024-10-14,,,,,,,,,,,
北方港口现代化发展私募基金,120,亿元,北京市财政局出资40亿（33.3%），国际投资者80亿（66.7%）,北京港口投资管理有限公司,港口设施建设、物流科技企业,港口产业链逻辑图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
生态海洋科技发展股权基金,90,亿元,浙江省科技厅出资30亿（33.3%），私人投资者60亿（66.7%）,浙江省海洋科技发展公司,海洋高科技、无人机监测产业,高科技行业链关系图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
廊坊海洋环境改善基金,45,亿元,河北省政府出资15亿（33.3%），风险投资机构30亿（66.7%）,廊坊海洋投资管理公司,海洋环境监测、废水处理企业,环境科学产业链图,中国水业网,http://www.chinawater.com.cn/,2024-10-14,,,,,,,,,,,
南海智能渔业发展基金,30,亿元,广东省渔业协会出资10亿（33.3%），民间资本20亿（66.7%）,南海渔业投资管理有限公司,智能捕捞技术、渔业物联网企业,智慧渔业产业链关系图,全国水产养殖网,https://www.chinaseafood.org/,2024-10-14,,,,,,,,,,,
深海资源开发投资基金,150,亿元,中央政府出资60亿（40%），外资公司90亿（60%）,中国深海开发投资有限公司,深海采矿、深海油气勘探企业,能源产业链关系图,中国石油报,http://www.cnpc.com.cn/,2024-10-14,,,,,,,,,,,
循环经济海洋产业基金,25,亿元,山东省循环经济协同发展基金出资25亿（100%）,山东省循环经济投资管理有限公司,海洋废物回收、可再生资源企业,循环经济产业链图,环保部,http://www.mee.gov.cn/,2024-10-14,,,,,,,,,,,
海洋健康产业投资基金,80,亿元,地方政府与大型医疗集团各出资40亿（50%）,全国海洋健康企业孵化中心,海洋药品、海洋保健食品企业,医疗健康产业链图,健康时报,http://www.jkb.com.cn/,2024-10-14,,,,,,,,,,,
东海蓝色经济发展基金,60,亿元,上海市政府引导基金出资24亿（40%），民间资本出资36亿（60%）,上海蓝色经济投资管理有限公司,海洋工程、海洋生物科技企业,东海经济带关系图,证券时报,http://www.stcn.com/,2024-10-14,,,,,,,,,,,
南方海洋科技创新基金,80,亿元,广东省科技厅出资32亿（40%），合作企业出资48亿（60%）,南方海洋科技股权投资管理有限公司,海洋环境保护、海洋监测设备制造企业,海洋科技产业链关系图,中新社,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
海南海洋经济转型基金,45,亿元,海南省政府出资15亿（33.3%），其他企业出资30亿（66.7%）,海南海洋经济发展基金管理有限公司,旅游、蓝色食品安全相关企业,海南蓝色经济关系图,中国基金报,http://www.chinafundnews.com/,2024-10-14,,,,,,,,,,,
深海捕捞现代化基金,100,亿元,国家海洋局引导基金出资50亿（50%），地方企业出资50亿（50%）,深海捕捞投资管理有限公司,深海渔业、海洋可再生能源企业,深海产业链关系图,财新网,http://www.caixin.com/,2024-10-14,,,,,,,,,,,
全球海洋环境治理基金,25,亿元,国际海洋保护组织出资10亿（40%），国际合作基金出资15亿（60%）,全球海洋环保投资管理公司,海洋清理、保护区建设相关企业,全球海洋治理关系图,环保部官网,http://www.mee.gov.cn/,2024-10-14,,,,,,,,,,,
南海海洋资源开发基金,70,亿元,云南省政府出资30亿（42.9%），外资机构出资40亿（57.1%）,南海资源开发投资管理有限公司,海洋矿产、油气资源开发领域的企业,南海开发关系图,北京日报,http://www.bjd.com.cn/,2024-10-14,,,,,,,,,,,
海洋智能制造开放基金,90,亿元,江苏省政府出资36亿（40%），产业链企业出资54亿（60%）,江苏海洋智能制造中心,智能设备制造、海洋机器人企业,海洋智能产业链图,证券市场红周刊,http://www.redweekly.com/,2024-10-14,,,,,,,,,,,
东北蓝色经济振兴基金,30,亿元,吉林省政府出资12亿（40%），私募出资18亿（60%）,东北海洋经济发展基金管理有限公司,水产养殖、深海旅游企业,东北蓝色经济链图,光明日报,http://www.gmw.cn/,2024-10-14,,,,,,,,,,,
黄海生态修复投资基金,15,亿元,山东省政府引导基金出资5亿（33.3%），社会资本出资10亿（66.7%）,黄海生态投资管理有限公司,生态修复、海洋环保相关企业,海洋生态关系图,地方政府官网,http://www.shandong.gov.cn/,2024-10-14,,,,,,,,,,,
东南沿海海洋绿色投资基金,60,亿元,福建省海洋产业发展基金出资24亿（40%），私募机构出资36亿（60%）,福建海洋投资管理公司,绿色渔业、海洋生物技术公司,绿色海洋生态产业链图,投中网,https://m.chinaventure.com.cn,2024-10-14,,,,,,,,,,,
海南蓝色经济创新基金,75,亿元,海南省政府出资30亿（40%），社会资本出资45亿（60%）,海南海洋投资基金管理有限公司,海洋旅游、海洋环保及可持续发展项目,蓝色经济产业链关系图,海南日报,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
山东海洋新兴产业基金,50,亿元,山东省财政厅出资20亿（40%），地方企业出资30亿（60%）,山东海洋投资基金管理中心,海洋装备制造、海洋信息技术公司,海洋新兴产业链图,山东经济新闻网,http://www.sdjjnews.com,2024-10-14,,,,,,,,,,,
上海海洋科技创新基金,100,亿元,上海市科技发展资金出资50亿（50%），风投机构出资50亿（50%）,上海海洋投资基金管理有限公司,海洋科研机构、创新型海洋企业,海洋科技产业链关系图,上海证券报,http://www.sse.com.cn,2024-10-14,,,,,,,,,,,
南方海洋绿色发展基金,30,亿元,广东省政府引导基金出资12亿（40%），其它社会资本出资18亿（60%）,南方海洋基金管理有限公司,海洋环保、可再生能源企业,绿色发展产业链图,南方都市报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
东北亚海洋经济发展基金,90,亿元,辽宁省政府出资36亿（40%），私营企业出资54亿（60%）,东北亚海洋投资管理公司,港口服务、海洋物流企业,海洋经济发展关系图,中国海洋网,http://www.chinaocean.net,2024-10-14,,,,,,,,,,,
西南陆海联动产业基金,85,亿元,云南省发展改革委员会出资34亿（40%），各类投资机构出资51亿（60%）,西南海洋投资管理公司,水产养殖、海洋资源开发企业,陆海联动产业链图,云南日报,http://www.yn239.net,2024-10-14,,,,,,,,,,,
浙江海洋综合开发基金,120,亿元,浙江省政府出资60亿（50%），多家大型企业出资60亿（50%）,浙江海洋投资基金管理有限公司,海洋文化、海洋科技产业,海洋综合开发产业链图,浙江日报,http://www.zjnews.com.cn,2024-10-14,,,,,,,,,,,
海洋科技发展与投资基金,40,亿元,国家自然科学基金出资16亿（40%），科技公司出资24亿（60%）,海洋科技投资管理公司,高新技术海洋企业,海洋科技发展关系图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
全国海洋生态保护基金,110,亿元,生态环境部出资55亿（50%），国际环保组织出资55亿（50%）,全国海洋生态保护投资管理有限公司,海洋生态保护、可持续发展项目,生态保护产业链图,环境保护部,http://www.mee.gov.cn,2024-10-14,,,,,,,,,,,
大连海洋科技创新基金,30,亿元,大连市科技局出资12亿（40%），企业投资18亿（60%）,大连海洋经济发展研究院,海洋科技、智能制造相关企业,海洋科技产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
海洋环境保护投资基金,75,亿元,海南省生态环境厅出资30亿（40%），社会资本出资45亿（60%）,海南海洋发展投资有限公司,环保科技、新能源企业,环保产业链关系图,人民网,http://www.people.com.cn,2024-10-14,,,,,,,,,,,
青岛海洋经济发展母基金,100,亿元,青岛市政府出资40亿（40%），地方企业出资60亿（60%）,青岛市母基金管理有限公司,海洋生物、海洋工程企业,海洋产业链图,财经网,https://www.caijing.com.cn,2024-10-14,,,,,,,,,,,
宁波海洋创新投资基金,25,亿元,宁波科技创新基金出资10亿（40%），行业企业出资15亿（60%）,宁波海洋科学基金管理有限公司,海洋装备、海上风电企业,海洋装备产业链图,浙江日报,http://www.zjrb.cn,2024-10-14,,,,,,,,,,,
中国海洋科技基金,54,亿元,中央政府出资20亿（37%），其他LP出资34亿（63%）,中国海洋管理集团,海洋高端设备制造业,高端制造产业链关系图,中国财经网,http://www.chinacaijing.com,2024-10-14,,,,,,,,,,,
台湾海洋生物产业专项基金,40,亿元,台湾地方政府出资15亿（37.5%），产业财团出资25亿（62.5%）,台湾海洋生物投资公司,海洋生物技术、保健品企业,海洋生物产业链图,联合新闻网,https://www.udn.com,2024-10-14,,,,,,,,,,,
南通海洋经济发展基金,55,亿元,南通市政府出资22亿（40%），私募投资机构出资33亿（60%）,南通海洋经济研究院,水产养殖、海洋食品行业,水产业链关系图,南通日报,http://www.ntnews.com,2024-10-14,,,,,,,,,,,
