保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
华安保险,海洋在线货运险,3500,万人民币,保险行业协会,https://www.iaic.org.cn,2024-10-13,,,,,,,,,,,,,,
银保监会,海洋污染责任险,800,万人民币,中国财经网,http://www.chinafinance.net,2024-10-13,,,,,,,,,,,,,,
信保基金公司,海运货物保险,4000,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
安邦保险,船舶租赁险,500,万人民币,今日头条,https://www.toutiao.com,2024-10-13,,,,,,,,,,,,,,
鼎和保险,渔船保险,1200,万人民币,海洋经济网,http://www.oceanec.com,2024-10-13,,,,,,,,,,,,,,
富德生命人寿保险,海上安全险,900,万人民币,保险日报,http://www.insurance-daily.com,2024-10-13,,,,,,,,,,,,,,
中意人寿保险,海洋航行险,3000,万人民币,中国船舶工业集团,http://www.cssc.net.cn,2024-10-13,,,,,,,,,,,,,,
国华保险,水产养殖险,1200,万人民币,中国保险报,http://www.cb.com.cn/,2024-10-13,,,,,,,,,,,,,,
大都会人寿,海洋环境责任险,4000,万人民币,蓝色经济,http://www.blueconomy.org/,2024-10-13,,,,,,,,,,,,,,
安盛保险,深海探测险,2200,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
中国平安,海洋工程险,3500,万人民币,经济日报,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
中国信保,船舶抵押险,900,万人民币,保监会,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
阳光财险,海上货物总险,3000,万人民币,南方周末,http://www.infzm.com/,2024-10-13,,,,,,,,,,,,,,
新光海航,渔业保险,800,万人民币,金融时报,http://financialnews.com/,2024-10-13,,,,,,,,,,,,,,
中国再保险,水上事故险,1600,万人民币,环境保护部,http://www.mee.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,远洋渔业险,2500,万人民币,海洋发展网,http://www.oceandevelopment.org/,2024-10-13,,,,,,,,,,,,,,
富邦保险,海洋生物种群保护险,1300,万人民币,全国工商联,http://www.acftu.org/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋业务中断险,4200,万人民币,中国保险信息网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国任保险,海洋货物运输险,6100,万人民币,保险学报,http://www.icinsurance.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,漁业综合险,2750,万人民币,中国水产频道,http://www.sohu.com/c/392524259,2024-10-13,,,,,,,,,,,,,,
大都会人寿,船舶碰撞险,3600,万人民币,香港保险协会,https://www.hkia.com.hk/,2024-10-13,,,,,,,,,,,,,,
平安养老金保险,环评责任险,2200,万人民币,环境保护署,http://www.sepa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
太平人寿,国际货物险,900,万人民币,中国外贸网,http://www.chinaforeigntrade.com/,2024-10-13,,,,,,,,,,,,,,
新华人寿,水上载货险,3900,万人民币,航运界,http://www.shippingnews.com/,2024-10-13,,,,,,,,,,,,,,
永诚保险,海洋石油作业险,4800,万人民币,中国石油网,http://www.cnpc.com.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,海上盗抢险,1300,万人民币,国际海事组织,http://www.imo.org/,2024-10-13,,,,,,,,,,,,,,
光大保险,水下设备险,1550,万人民币,中国数字经济网,http://www.china-digital-economy.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋责任险,6000,万人民币,中国保险网,http://www.cib.com.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,渔船险,900,万人民币,财经网,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
中信保诚险,海洋公益险,1200,万人民币,北京商报,http://www.bjd.com.cn/,2024-10-13,,,,,,,,,,,,,,
永安保险,海运货物险,4000,万人民币,每日经济新闻,https://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
阳光财险,航行险,3500,万人民币,中国保险报,http://www.cnbm.cn/,2024-10-13,,,,,,,,,,,,,,
安邦保险,海洋工程险,2500,万人民币,国际船舶网,http://www.ims.cn/,2024-10-13,,,,,,,,,,,,,,
人保财险,港口操作险,500,万人民币,中国金融新闻网,https://www.financialnews.com.cn/,2024-10-13,,,,,,,,,,,,,,
合众保险,船舶灭失险,700,万人民币,新浪财经,https://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
中华保险,码头责任险,1800,万人民币,中国经营网,http://www.ceweekly.cn/,2024-10-13,,,,,,,,,,,,,,
华安财险,水上运输险,3000,万人民币,保险行业协会,http://www.ia.org.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋工程项目险,4500,万人民币,中国保险网,http://www.china-insurance.com,2024-10-13,,,,,,,,,,,,,,
新华养老保险,深海探测险,3200,万人民币,腾讯新闻,https://news.qq.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋气候变动险,6000,万人民币,气象局,http://www.cma.gov.cn,2024-10-13,,,,,,,,,,,,,,
安盛天平保险,水下设施险,2500,万人民币,中国水运网,http://www.chinashippingnews.com,2024-10-13,,,,,,,,,,,,,,
光大永明人寿,渔船保险,1500,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
信诚人寿,船舶购置险,3700,万人民币,中国海工新闻网,http://www.china-offshore.com,2024-10-13,,,,,,,,,,,,,,
国安保险,海洋环境污染险,800,万人民币,上海证券报,http://www.stcn.com,2024-10-13,,,,,,,,,,,,,,
华夏保险,海洋设备损失险,2900,万人民币,中国环境保护网,http://www.mep.gov.cn,2024-10-13,,,,,,,,,,,,,,
人民财险,居住海域险,1600,万人民币,大连海事大学,http://www.dlmu.edu.cn,2024-10-13,,,,,,,,,,,,,,
天平保险,航道安全险,2300,万人民币,搜狐财经,http://www.sohu.com/finance,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,深海探测险,7500,万人民币,中国保险监督管理委员会,http://www.cbirc.gov.cn,2024-10-13,,,,,,,,,,,,,,
中意人寿保险,水产养殖险,1200,万人民币,海洋与渔业部,http://www.moa.gov.cn,2024-10-13,,,,,,,,,,,,,,
华海保险,远洋渔业险,4000,万人民币,全国渔业协会,http://www.cnaf.org.cn,2024-10-13,,,,,,,,,,,,,,
渤海保险,海洋环境责任险,900,万人民币,中国环保部,http://www.mee.gov.cn,2024-10-13,,,,,,,,,,,,,,
华安保险,海上风电保险,2100,万人民币,可再生能源协会,http://www.creia.org.cn,2024-10-13,,,,,,,,,,,,,,
国富人寿,海洋科研险,3500,万人民币,科学技术部,http://www.most.gov.cn,2024-10-13,,,,,,,,,,,,,,
新中国保险,海洋文化旅游险,1400,万人民币,中国旅游局,http://www.cnta.gov.cn,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋探险险,2300,万人民币,探险协会,http://www.explorersclub.org,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋资源共享险,600,万人民币,联合国海洋事务部,http://www.un.org/ocean,2024-10-13,,,,,,,,,,,,,,
光大保险,海洋导航险,3200,万人民币,中国海事局,http://www.msa.gov.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋风暴险,1200,万人民币,保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国平安,海洋环境责任险,4500,万人民币,证券时报,https://www.stcn.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海运综合险,3500,万人民币,财富中文网,https://www.fortunechina.com/,2024-10-13,,,,,,,,,,,,,,
阳光财险,非战争海运险,900,万人民币,中国保险网,https://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,远洋航行险,3200,万人民币,经济日报,http://www.jjrb.com/,2024-10-13,,,,,,,,,,,,,,
大都会人寿,货物运输险,2600,万人民币,和讯网,https://www.hexun.com/,2024-10-13,,,,,,,,,,,,,,
信诚保险,污染责任险,1100,万人民币,金融界,http://www.jrj.com/,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋工程险,4000,万人民币,中国船舶报,http://www.shipnews.cn/,2024-10-13,,,,,,,,,,,,,,
国盛保险,零担货运险,1800,万人民币,中国航务周刊,http://www.chinashipnews.com/,2024-10-13,,,,,,,,,,,,,,
瑞士再保险,水深数据保险,5700,万人民币,再保险国际,https://www.swissre.com/,2024-10-13,,,,,,,,,,,,,,
中国人寿保险,海洋环境责任险,1200,万人民币,保险行业发展网,https://www.insuranceindustry.com,2024-10-13,,,,,,,,,,,,,,
阳光人寿,海洋设备损失险,1700,万人民币,国际海洋保险杂志,https://www.maritimeinsurancejournal.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,海工设备险,3200,万人民币,海洋科技研究中心,http://www.marine-tech-research.org,2024-10-13,,,,,,,,,,,,,,
信诚保险,深海探测器保险,900,万人民币,深海学会,http://www.deep-sea-society.org,2024-10-13,,,,,,,,,,,,,,
新华人寿,海洋捕鱼保险,4500,万人民币,中国水产协会,http://www.chinawaterfish.org,2024-10-13,,,,,,,,,,,,,,
第一资本保险,海运货损险,2500,万人民币,全球航运观察,https://www.globalshippingwatch.com,2024-10-13,,,,,,,,,,,,,,
国信保险,海底电缆保险,2000,万人民币,电信行业信息网,https://www.telecomindustryinfo.com,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋灾害险,400,万人民币,中国气象局,http://www.cma.gov.cn,2024-10-13,,,,,,,,,,,,,,
中再集团,海洋原料供应链险,3700,万人民币,国际再保险协会,https://www.international-reinsurance.com,2024-10-13,,,,,,,,,,,,,,
富邦保险,养殖业保险,2100,万人民币,养殖与海洋经济网,https://www.aquacultureandeconomy.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋运输责任险,6000,万人民币,海运观察,https://www.shippingobserver.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,渔船保险,1200,万人民币,中国渔业网,https://www.chinafishery.com/,2024-10-13,,,,,,,,,,,,,,
泰康人寿,海洋钻探险,4500,万人民币,全球钻探期刊,https://www.drillingglobal.com/,2024-10-13,,,,,,,,,,,,,,
中邮保险,潜水作业险,900,万人民币,潜水新闻网,https://www.divingnews.com/,2024-10-13,,,,,,,,,,,,,,
长安责任保险,污染责任险,3500,万人民币,环境保护网,https://www.epa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安邦保险,水下工程险,2500,万人民币,海洋工程杂志,https://www.oceanengineering.com/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋非航运货物险,2300,万人民币,国际货运网,https://www.intlfreight.com/,2024-10-13,,,,,,,,,,,,,,
农险公司,海洋农产品运输险,1400,万人民币,农业保险网,https://www.agriinsurance.com/,2024-10-13,,,,,,,,,,,,,,
东方保险,运动型船舶险,1100,万人民币,海洋运动杂志,https://www.oceansports.com/,2024-10-13,,,,,,,,,,,,,,
盛世保险,邮轮责任险,9800,万人民币,邮轮资讯网,https://www.cruiseinfo.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋运输责任险,6000,万人民币,中国保险报,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
光大永明人寿保险,海洋设施险,4500,万人民币,中国保险行业协会,http://www.ia.org.cn,2024-10-13,,,,,,,,,,,,,,
华泰保险,渔船保险,2000,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋环境责任险,3500,万人民币,保险信息网,http://www.insurinfo.com,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,船舶碰撞险,1200,万人民币,投资界,https://www.pedaily.cn,2024-10-13,,,,,,,,,,,,,,
中华人寿,运输中断险,900,万人民币,南方日报,http://www.southcn.com,2024-10-13,,,,,,,,,,,,,,
人民财险,海洋货物丢失险,3400,万人民币,保险专业网,http://www.insurancepro.com,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋工程险,7500,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
平安养老保险,渔业损失险,1100,万人民币,中国船舶工业协会,http://www.csia.org.cn,2024-10-13,,,,,,,,,,,,,,
首创安保险,海洋危机管理险,4000,万人民币,每日经济新闻,http://www.nbd.com.cn,2024-10-13,,,,,,,,,,,,,,
华夏保险,海洋设施险,4000,万人民币,保险行业协会,https://www.ia.org.cn/,2024-10-13,,,,,,,,,,,,,,
中国平安,渔船险,1200,万人民币,海洋与渔业部,http://www.moa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,优质水域保险,1800,万人民币,国际海事组织,http://www.imo.org/,2024-10-13,,,,,,,,,,,,,,
国联保险,远洋运输险,3000,万人民币,国家发展改革委,http://www.ndrc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
新光海运保险,定期事故险,950,万人民币,海事新闻网,http://www.jms.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国再保险公司,海洋天然灾害险,2200,万人民币,中国气象局,http://www.cma.gov.cn/,2024-10-13,,,,,,,,,,,,,,
永诚保险,油气平台险,3500,万人民币,中国海洋大学,https://www.ouc.edu.cn/,2024-10-13,,,,,,,,,,,,,,
中宏保险,深海探测险,500,万人民币,国家海洋局,http://www.soa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国投安保,环保责任险,2000,万人民币,环保部,http://www.mee.gov.cn/,2024-10-13,,,,,,,,,,,,,,
大都会保险,国际贸易险,4200,万人民币,世界贸易组织,https://www.wto.org/,2024-10-13,,,,,,,,,,,,,,
华安保险,远洋捕捞保险,1200,万人民币,海洋网,http://www.oceannews.cn/,2024-10-13,,,,,,,,,,,,,,
中法人寿,海洋设备意外险,3500,万人民币,保险界,http://www.insurance.com.cn/,2024-10-13,,,,,,,,,,,,,,
阳光财险,海洋环境污染保险,6000,万人民币,中国保险报,http://www.cnbm.com.cn/,2024-10-13,,,,,,,,,,,,,,
太平保险,海洋运输责任险,4000,万人民币,经济参考报,http://www.jjckb.cn/,2024-10-13,,,,,,,,,,,,,,
中国大地保险,近海航行险,1800,万人民币,财经网,http://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
诚泰保险,船员人身险,900,万人民币,21世纪经济报道,http://www.21cbh.com/,2024-10-13,,,,,,,,,,,,,,
国保险,集装箱运输保险,4200,万人民币,中国证券报,http://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,深海探测保险,750,万人民币,新财富,http://www.xcf.cn/,2024-10-13,,,,,,,,,,,,,,
人保财险,水上运输设备险,3200,万人民币,每经网,http://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
紫金保险,海上货物延误险,1100,万人民币,华尔街日报中文网,http://cn.wsj.com/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋货物运输保险,4500,万人民币,海洋经济研究网,https://www.oceaneconomics.com,2024-10-13,,,,,,,,,,,,,,
中银保险,船舶UTI（超大吨位）保险,6000,万人民币,保险时报,http://www.cnsinsurance.com,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋工程责任险,3500,万人民币,中国海洋发展论坛,http://www.cioe.org.cn,2024-10-13,,,,,,,,,,,,,,
国信保险,海洋产品责任险,2200,万人民币,中国保监会,http://www.cbirc.gov.cn,2024-10-13,,,,,,,,,,,,,,
诚泰保险,船舶操纵险,4200,万人民币,中国商业保险网,http://www.csb.gov.cn,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋风险综合险,5000,万人民币,人民网,http://www.people.com.cn,2024-10-13,,,,,,,,,,,,,,
新光保险,海事诉讼险,1800,万人民币,快财经,https://www.kuaicj.com,2024-10-13,,,,,,,,,,,,,,
国泰君安保险,渔业保险,1200,万人民币,中国海洋渔业协会,http://www.caf.org.cn,2024-10-13,,,,,,,,,,,,,,
华夏人寿,环境责任险,3000,万人民币,海洋与渔业部,http://www.moa.gov.cn,2024-10-13,,,,,,,,,,,,,,
长城保险,船舶失踪险,900,万人民币,经济日报,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
中国平安保险,海运货物险,6000,万人民币,海事服务平台,http://www.msa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋工程险,4000,万人民币,金融界,https://finance.jrj.com.cn/,2024-10-13,,,,,,,,,,,,,,
民族保险,海洋环境责任险,3500,万人民币,中国保险报,http://www.cbichina.com/,2024-10-13,,,,,,,,,,,,,,
太平保险,海上搜救险,1200,万人民币,航运在线,http://www.shippingonline.cn/,2024-10-13,,,,,,,,,,,,,,
重庆保险,特种货物险,2200,万人民币,中国海洋网,http://www.chinaoceans.com/,2024-10-13,,,,,,,,,,,,,,
大都会人寿保险,船舶责任险,500,万人民币,新华网,https://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
信诚保险,临时入境船舶险,700,万人民币,每日经济新闻,http://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋事故险,1300,万人民币,财经网,http://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
农险公司,渔船损失险,1800,万人民币,中国渔业网,http://www.fisheries.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中再集团,海洋工程施工险,2500,万人民币,保险学会,http://www.ii.org.cn/,2024-10-13,,,,,,,,,,,,,,
中华人寿保险公司,深海探测险,3500,万人民币,中国保险报,http://www.zgxb.com.cn/,2024-10-13,,,,,,,,,,,,,,
信泰保险,海洋油气勘探险,4500,万人民币,中国海洋新闻网,http://www.soa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
盛世保险,水上施工险,3100,万人民币,中国保险行业协会,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华夏保险,海洋货物存储险,2800,万人民币,海事服务网,http://www.hmfsw.com/,2024-10-13,,,,,,,,,,,,,,
安诚保险,海洋法律责任险,6200,万人民币,环球时报,http://www.globaltimes.cn/,2024-10-13,,,,,,,,,,,,,,
太平保险,渔业损失险,1200,万人民币,中国渔业网,http://www.cnfishing.com/,2024-10-13,,,,,,,,,,,,,,
富德生命人寿,海洋气候异常险,3900,万人民币,气象网,http://www.weather.com.cn/,2024-10-13,,,,,,,,,,,,,,
国华人寿,航运风险险,5500,万人民币,中国航运网,http://www.cncargo.com/,2024-10-13,,,,,,,,,,,,,,
东华保险,船舶综合险,7200,万人民币,海洋法律网,http://www.oceanlaw.cn/,2024-10-13,,,,,,,,,,,,,,
三峡人寿,深海捕捞险,2500,万人民币,中华水产网,http://www.cfs.org.cn/,2024-10-13,,,,,,,,,,,,,,
安盛天平保险,海洋货物运输保险,1200,万人民币,中保网,http://www.cnbm.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋工程责任保险,4000,万人民币,保险行业协会,http://www.ia.org.cn/,2024-10-13,,,,,,,,,,,,,,
