机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
服务机器人,家用清洁机器人,自动充电、智能路径规划,家庭清洁、室内维护,中国家电协会,http://www.cheaa.com,,
教育机器人,智能启蒙机器人,语言学习、趣味互动,语言教育、幼儿启蒙,广东省教育厅,http://www.gdep.edu.cn,,
工业机器人,多关节机械臂,灵活、高效率,汽车制造、装配流水线,中国机器人产业发展联盟,http://www.caid.org.cn,,
救援机器人,可伸缩机械臂,精准抓取、灵活操控,救灾现场、危险物品搬运,国家自然灾害应急救援中心,http://www.ncdrc.gov.cn,,
物流机器人,搬运机器人,智能识别、动态调度,工业搬运、配送,国际物流与运输协会,http://www.ilta.org,,
教育机器人,机器人编程教育平台,趣味编程、项目实践,编程课程、青少年科技活动,中国青少年科技创新活动中心,https://www.cys.org.cn,,
服务机器人,翻译机器人,实时翻译、多语言支持,国际会议、旅游行业,中国语音技术研究中心,http://www.cvtc.gov.cn,,
医疗机器人,护理机器人,陪伴型、健康监测,老年护理、康复支持,中国老龄事业发展基金会,http://www.clf.org.cn,,
物流机器人,空中运输无人机,快速配送、空中投递,城市物流、快递服务,中国快递协会,http://www.ceo.org.cn,,
工业机器人,分拣机械手,视覺识别、自动分拣,仓库管理、物流中心,中国物流与采购联合会,http://www.clpf.org.cn,,
无人机,多用途无人机,灵活运输、实时数据采集,城市规划、资源勘探,中国航天科技有限公司,http://www.casc.com.cn,,
服务机器人,健康助手机器人,自我学习、个性化服务,家居健康监测、老年人陪伴,中国医疗与健康科技协会,http://www.cmht.org.cn,,
救援机器人,移动探测机器人,高精度探测、夜视能力,火灾救援、震后搜救,消防救援技术研究所,http://www.firetech.org.cn,,
农业机器人,自动化播种机,精准播种、智能监控,农田种植、农业生产,中国农业机械协会,http://www.cam.org.cn,,
工业机器人,焊接机器人,高效焊接、自动化操作,金属制品制造、重工业,中国焊接学会,http://www.cws.org.cn,,
物流机器人,无人配送车,智能路线规划、自动停靠,社区配送、校园物流,中国智慧物流联盟,http://www.chinalogistics.org.cn,,
家庭清洁机器人,圆形清扫平台,自动充电、智能规划,家庭清洁、地毯吸尘,智能家居产业协会,https://www.smart-home.org,,
医疗服务机器人,导引移动助手,病人互动、健康监测,医院、养老院,中国医疗器械行业协会,https://www.cmda.org.cn,,
救援机器人,四肢多功能结构,爬坡能力、实时视频传输,灾难现场、建筑物坍塌救援,国际救援机器人联盟,https://www.irra.org,,
农业机器人,智能拖拉机,精准施肥、播种作业,大型农田、温室,中国农业机械化协会,https://www.cama.org.cn,,
无人配送机器人,小型行驶平台,自动导航、寻路避障,城市配送、餐饮外卖,中国快递协会,https://www.cae.org.cn,,
工业机器人,关节型机械臂,高自由度、高精度,汽车制造、产品装配,中国工业自动化设备行业协会,http://www.iaeda.org.cn,,
陪伴机器人,互动型语音系统,情感识别、音乐播放,儿童教育、老人陪伴,人工智能与心理学研究中心,https://www.ai-psychology.org,,
建筑施工机器人,爬墙设计,自动砖砌、线路安装,代码施工、建筑装修,中国建筑科技协会,https://www.chinatech.org.cn,,
调酒机器人,多头液体分配系统,多种饮品调制、快速服务,餐饮行业、酒吧,中国餐饮行业协会,https://www.catering.org.cn,,
安保机器人,移动监控平台,24小时监控、报警系统,商场、企业园区,中国安全技术防范协会,https://www.cast.org.cn,,
清扫机器人,V型拖把结构,湿干两用、智能规划,酒店、写字楼,中国清洁行业协会,https://www.chinacleaning.org.cn,,
能量管理机器人,智能检测仪,能源监测、数据分析,能源公司、企业智能管理,中国能源研究院,https://www.energyinstitute.org.cn,,
娱乐机器人,轮式移动底盘,唱歌、跳舞、故事互动,儿童娱乐、公园活动,中国玩具行业协会,https://www.toy.org.cn,,
高空作业机器人,可伸缩臂架,适应多种高度、精准作业,建筑维护、检修,中国高空作业平台协会,https://www.china-platform.org.cn,,
数据分析机器人,算法决策系统,深度学习、自主决策,金融分析、市场预测,中国人工智能学会,https://www.cais.org.cn,,
草坪修剪机器人,环形切割结构,自动回充、智能规划,家庭花园、社区绿地,中国园艺科技协会,https://www.horticulture.org.cn,,
无人驾驶汽车,复杂传感器系统,智能交通、导航定位,私人交通、共享出行,中国自动驾驶产业联盟,https://www.chinadrive.org.cn,,
环境监测机器人,移动探测平台,空气质量监测、水质监测,生态恢复、城市管理,环境保护部,http://www.epb.gov.cn,,
餐饮机器人,全自动烹饪系统,智能调味、自动翻炒,快速餐饮、外卖服务,中国餐饮产业协会,http://www.ccia.org.cn,,
安防机器人,移动监控平台,实时视频监控、人脸识别,公共安全、企业安保,国家公共安全部,http://www.nps.gov.cn,,
农业机器人,无人耕作机,精准播种、自动施肥,智能农业、精准种植,中国农业科学院,https://www.caas.cn,,
手术机器人,多关节机械臂,高清三维影像、微创手术,医院外科手术,中国医学科学院,http://www.cams.cn,,
娱乐机器人,人形交互平台,语音表情、互动游戏,家庭陪伴、儿童教育,中国玩具和婴童用品协会,http://www.ctumas.com,,
水下机器人,遥控潜水器,深海探测、高清拍摄,水下工程调查、科学研究,中国海洋研究所,http://www.ocean.gov.cn,,
医疗辅助机器人,移动护理站,老年护理、健康监测,医院、养老院,国家卫生健康委员会,http://www.nhc.gov.cn,,
巡检机器人,城市监控车,自动巡逻、故障检测,城市基础设施管理,城市管理研究中心,https://www.urbancenter.gov.cn,,
救护机器人,快速反应平台,实时紧急救援、药品递送,市政紧急服务,中国应急管理中心,http://www.emergency.gov.cn,,
物流仓储机器人,自动拣货系统,智能调度、快速拣选,电商配送、仓储管理,电商协会,http://www.ecommerce.org.cn,,
信息服务机器人,自助服务终端,智能问答、信息查询,机场、商场咨询,商业服务协会,http://www.businessservices.org.cn,,
清扫机器人,自动清洁系统,智能路径规划、独立工作,办公场所、家庭清洁,中国清洁产业协会,http://www.cleanindustry.org.cn,,
远程陪伴机器人,视频交互平台,远程控制、实时互动,老年关怀、家庭支持,中国老龄协会,http://www.cpa.org.cn,,
物流分拣机器人,机械臂分拣系统,智能识别、快速分拣,配送中心、快递行业,中国物流与采购联合会,http://www.cflp.org.cn,,
人工智能助手,对话式智能平台,自然语言处理、个性化推荐,在线客服、智能家居,中国人工智能产业联盟,http://www.ai.org.cn,,
导览机器人,智能导航系统,语音导览、路线规划,博物馆、展览会,文化和旅游部,http://www.mct.gov.cn,,
空间探索机器人,移动探测车,抗极端环境、数据采集,太空探索、科学研究,中国国家航天局,http://www.cnsa.gov.cn,,
情感交流机器人,情感识别平台,非语言互动、情感分析,心理辅导、教育陪伴,中国社会科学院,http://www.cssn.cn,,
教育机器人,互动教学平台,虚拟现实、沉浸式学习,语言学习、科学教育,中国教育部,https://www.moe.gov.cn,,
无人机,固定翼无人机,长续航、高效能,地理勘测、环境监测,中国无人机应用协会,http://www.caua.org.cn,,
服务机器人,自走式导航系统,避障功能、实时定位,酒店服务、家庭护理,中国服务机器人研究院,https://www.sri.org.cn,,
工业机器人,多关节机械臂,灵活性高、精准度高,汽车制造、重物搬运,中国工业机器人产业发展联盟,http://www.cirn.org.cn,,
物流机器人,自主移动底盘,智能路径规划、实时监控,智能仓储、自动配送,供应链技术创新中心,https://www.sctic.org,,
医疗机器人,手术辅助臂,高精度手术、更少创伤,微创手术、远程医疗,中国医疗机器人产业发展协会,http://www.cmra.org.cn,,
农用机器人,智能耕作机,精准农业、环境友好,播种、施肥监控,中国农业科技创新大会,http://www.cst.org.cn,,
教育机器人,编程学习模块,模块化设计、在线课堂,青少年编程训练、科学实验,人工智能教育协会,https://www.aiedu.org,,
安保机器人,巡逻移动机器人,全天候监控、多种传感器,公共场所安全、海关检查,全国安保技术协会,http://www.securityassoc.org,,
救援机器人,履带底盘结构,高强度负重、复杂地形适应,城市救援、事故现场调查,国家灾害救助中心,http://www.ndrc.gov.cn,,
娱乐机器人,社交互动领域,情感分析、AI陪伴,家庭娱乐、老年人陪护,中国老龄化科技研究中心,http://www.csr.org.cn,,
工业机器人,并联机器人,快速抓取、性能稳定,食品加工、装配线,中国机械工程学会,http://www.cmes.org.cn,,
服务机器人,智能导览系统,实时语音导航、全景互动,商场、博物馆导览,智能服务机器人技术大会,http://www.isrt.org.cn,,
科研机器人,多功能实验平台,数据处理、自动化实验,化学实验、物理实验,中国科学技术协会,http://www.cast.org.cn,,
无人机,垂直起降无人机,灵活操作、多任务执行,建筑监测、快速投递,中国航空航天协会,http://www.caas.org.cn,,
教育机器人,编程教育机器人,创造力提升、团队合作,编程竞赛、科学展览,全国青少年科技创新活动,http://www.cys.org.cn,,
安防机器人,固定式监控平台,智能监控、自动报警,医院安全、商业地产,中国安防品牌协会,http://www.cpsa.org.cn,,
环境清洁机器人,自动清理系统,高效清洁、环境友好,城市公园、机场,全国环保科技展览会,http://www.cest.org.cn,,
 医疗机器人,多功能手术臂,精准操作、实时监控,外科手术、远程医疗,中国医疗机器人技术研究中心,http://www.cmrt.org.cn,,
特种机器人,水下无人探测器,深海适应、数据采集,海洋研究、环境监测,国家海洋局,http://www.soa.gov.cn,,
工厂助理机器人,移动机器人平台,自主导航、任务分配,生产线支持、零件运输,工业自动化技术开发中心,http://www.iatdc.org.cn,,
安防机器人,巡逻平台,实时监控、防入侵防护,企业安保、公共安全,中国安防行业协会,http://www.cpa.org.cn,,
农业机器人,可调节割草机,精准施肥、自动割草,现代农业、智能种植,中国农业机械化协会,http://www.cama.org.cn,,
调酒机器人,自动调酒台,智能配方、快速出酒,酒吧、餐厅,中国餐饮行业协会,http://www.caca.org.cn,,
清洁机器人,智能扫地机,智能规划、自动充电,家庭清洁、商场维护,家电行业协会,http://www.cheaa.com,,
远程操作机器人,可操控机械臂,实时反馈、灵活操作,危险环境作业、远程维修,中国远程操作技术研究院,http://www.crtr.org.cn,,
智能家居机器人,多功能智能助手,语音控制、家庭管理,家务助理、智能安防,中国智能家居产业技术创新战略联盟,http://www.chinasmartrc.org.cn,,
娱乐机器人,互动展演机器人,表演艺术、交互性强,主题公园、展览会,中国网络与信息安全产业发展论坛,http://www.cniis.org.cn,,
宇航机器人,行星探测器,多功能探测、长续航,太空探索、科研实验,中国国家航天局,http://www.cnsa.gov.cn,,
智能仓储机器人,自动货架系统,高效存取、库房管理,物流园区、分拣中心,中国物流与采购联合会,http://www.cflp.org.cn,,
无人驾驶汽车,智能驾驶平台,自动导航、环境感知,共享出行、货物配送,互联网汽车行业协会,http://www.internetcars.org.cn,,
辅助养护机器人,智能护理系统,患者监测、行为分析,居家照护、老年护理,中国老年科学研究中心,http://www.craig.org.cn,,
教育辅导机器人,AI学习助手,个性化教学、互动反馈,在线教育、课后辅导,中国教育部,http://www.moe.gov.cn,,
智能鉴别机器人,多传感器分析系统,快速识别、实时数据分析,公共安全、材料检测,中国检验检测认证协会,http://www.cnas.org.cn,,
自动化维修机器人,智能检测和修复设备,精准检测、自动修复,基础设施检修、设备维护,中国机械维护与维修协会,http://www.cmrta.org.cn,,
灾后评估机器人,复合探测平台,高效评估、数据记录,灾后恢复、应急管理,国家应急管理局,http://www.mem.gov.cn,,
医疗机器人,手术辅助系统,精准定位、远程操控,微创手术、远程诊疗,国家医疗器械监管局,http://www.nmpa.gov.cn,,
家庭清洁机器人,智能移动底盘,自动充电、擦地功能,家庭清洁、地板保养,中国家居行业协会,http://www.chinahomefurnishing.com,,
农业机器人,多功能收割机,精准种植、数据分析,粮食生产、作物监测,中国农业科技网,http://www.caat.cn,,
安保机器人,巡逻车体,实时监控、访客识别,公共场所安防、校园巡逻,中国安防协会,http://www.cpsa.org.cn,,
送餐机器人,自导航配送车,急速配送、智能避障,餐厅、酒店送餐服务,中国机器人产业协会,http://www.cria.org.cn,,
语言学习机器人,语音交互平台,多语言支持、语音纠正,语言学习、个人助理,中国教育部,http://www.moe.gov.cn,,
儿童陪伴机器人,互动娱乐平台,情感交互、陪伴学习,儿童教育、情感陪伴,中国青少年科技教育协会,http://www.cyae.org.cn,,
物流无人配送车,电动驱动平台,智能引导、集中管理,城市智能物流,中国交通运输协会,http://www.chinatransportation.com,,
社交机器人,人形交互界面,情感分析、对话能力,社交陪伴、心理辅导,全国心理健康协会,http://www.cpsy.org.cn,,
探测机器人,三维激光扫描装置,环境探测、数据收集,环境监测、灾害预防,国家环境保护部,http://www.mee.gov.cn,,
虚拟医生机器人,远程诊断系统,病例分析、健康建议,线下诊所、健康咨询,国家卫生健康委员会,http://www.nhc.gov.cn,,
智能健身机器人,运动引导平台,实时监测、个性化训练,健身房、个人训练,中国健身行业协会,http://www.chinafitness.com,,
救援无人机,复合翼设计,高空监测、实时数据传输,自然灾害监测、搜救任务,中国应急管理学院,http://www.cemc.edu.cn,,
体育裁判机器人,高精度视觉系统,实时判罚、数据分析,各类体育比赛,国家体育总局,http://www.sport.gov.cn,,
水下机器人,子母型底盘,深海探测、稳定性高,海洋科学研究、资源探测,国家海洋局,http://www.soa.gov.cn,,
记忆辅具机器人,智能辅具平台,遗忘提醒、日程管理,老年人照护、记忆辅助,中国老龄产业协会,http://www.caoi.org.cn,,
气候监测机器人,多功能数据收集平台,实时监测、环境分析,气候变化研究、环境保护,中国气象局,http://www.cma.gov.cn,,
人机协作机器人,协作臂系统,动态配合、安全围栏,生产线协作、智能制造,中国制造业联合会,http://www.cmf.org.cn,,
陪伴机器人,交互式机器人框架,情感识别、智能聊天,养老护理、陪伴服务,老年人服务研究中心,https://www.eldercare.org.cn,,
农业机器人,自主导航系统,作物监测、精准施肥,智能农业、作物管理,中国农业科学院,https://www.caas.cn,,
清洁机器人,自动清扫装置,感应式导航、高效清洁,家庭清洁、商场保洁,中国清洁产业科技创新联盟,http://www.cleantech.org.cn,,
医疗机器人,手术辅助机械臂,高精度、智能引导,外科手术、微创手术,中国医疗器械行业协会,http://www.cmeia.org.cn,,
安防机器人,移动监控平台,视频分析、实时监测,公共安全、校园安防,中国安全技术协会,http://www.chssecurity.org.cn,,
仓储机器人,自动化搬运系统,自主避障、快速搬运,电商仓库、物流配送,中国物流与采购联合会,https://www.clp.org.cn,,
社交机器人,智能平台,用户个性化、社交互动,社交活动、情感陪伴,中国人工智能教育促进会,https://www.caipe.org.cn,,
保姆机器人,家庭服务系统,自动提醒、任务调度,家庭管理、儿童看护,家庭科学与技术研究中心,http://www.familytech.org.cn,,
虚拟助手,语音交互系统,智能语音、在线服务,在线客服、个人助理,中国网络技术发展中心,http://www.cntic.org.cn,,
海洋机器人,水下无人航行器,水下探测、自主导航,海洋探测、环境监测,中国海洋科学院,https://www.coi.ac.cn,,
无人驾驶汽车,智能驾驶平台,全自动驾驶、环境感知,智能交通、乘客运输,中国智能网联汽车产业创新联盟,http://www.chinavc.com.cn,,
仓储无人机,垂直起降装置,快速配送、高效运输,快递物流、仓储补货,中国无人机行业协会,http://www.uia.org.cn,,
多用途机器人,模块化设计,可重构、多功能,教育、家庭、医疗,中国机器人产业链发展论坛,http://www.cridf.org.cn,,
软件服务机器人,虚拟交互界面,AI驱动、自学习能力,企业管理、数据分析,中国软件行业协会,http://www.csia.org.cn,,
无人清扫车,智能导航平台,全自动清扫、环保技术,城市环境、道路清洁,中国城市清洁协会,http://www.cuac.org.cn,,
无人机送货系统,智能调度系统,实时监控、高效调度,快递配送、紧急救援,中国无人配送技术研究院,http://www.ddrs.org.cn,,
旅游导览机器人,位置定位设备,语音讲解、路线规划,博物馆、景区导览,中国旅游协会,http://www.cta.org.cn,,
医疗机器人,手术辅助臂,精准操作、远程控制,微创手术、远程医疗,中国医学科学院,http://www.cams.ac.cn,,
农业机器人,轮式拖拉机,自动播种、数据分析,精准农业、灌溉管理,中国农业科学院,http://www.caas.cn,,
安防机器人,巡逻无人车,自动导航、实时监控,校园安防、商场监控,北京市公安局,http://www.bjgaj.gov.cn,,
服务机器人,智能导购系统,图像识别、语音交互,零售店铺、购物中心,中国超市协会,http://www.china-supermarket.com,,
送餐机器人,多轮驱动平台,自主导航、实时定位,餐饮服务、酒店送餐,餐饮行业协会,http://www.catering.org.cn,,
物流机器人,重载运输车,载重力强、智能调度,重型货物搬运,中国物流与采购联合会,http://www.chinawuliu.com,,
清洁机器人,自动洁净车,智能规划、自我充电,商场、办公楼清洁,中国清洁行业协会,http://www.chinaclean.com,,
社交机器人,人形交互系统,情感交流、个性化服务,家庭陪伴、老年人关怀,中国老龄产业协会,http://www.chinaaaging.org.cn,,
犬类监视机器人,隐形监控单元,集成热感应、夜视功能,动物监控、生态保护,中国野生动物保护协会,http://www.wildlifeprotection.cn,,
研究机器人,模仿生物结构,生物适应、精确模拟,生物研究、材料科学,中国科学技术研究院,http://www.cast.org.cn,,
制造辅助机器人,重型机械臂,极高的负载能力、精准定位,汽车制造、钢铁生产,中国机械工程学会,http://www.cmes.org,,
陪伴机器人,内嵌AI助手,语音咨询、娱乐交互,儿童陪伴、教育娱乐,中国智能设备研究中心,http://www.cierc.org.cn,,
探索机器人,全地形运动平台,强大导航、实时探测,极端环境下的探测,中国科学院合肥物质科学研究院,http://www.hf.cas.cn,,
建筑机器人,墙体铺设机械,自动化建造、施工精度,城市建设、房屋装修,中国建筑业协会,http://www.china-cba.org,,
环境监测机器人,水质分析车,多传感器集成、实时数据反馈,水体污染监测、生态研究,环境保护部,http://www.mee.gov.cn,,
艺术创作机器人,绘画机械臂,自由绘画、风格模仿,艺术展览、艺术教育,中国艺术研究院,http://www.caa.gov.cn,,
竞技机器人,竞技平台,即时反馈、策略优化,机器人竞赛、运动普及,全国机器人竞技协会,http://www.roboticscompetition.org.cn,,
交易机器人,高频交易系统,快速决策、大数据分析,金融市场交易、股票分析,中国金融科技创新中心,http://www.cfintech.cn,,
教育机器人,交互式白板系统,多人互动、实时反馈,课堂教学、团队协作,中国教育技术协会,https://www.ceta.org.cn,,
家庭机器人,家庭管理平台,语音助手、家居控制,智能家居管理、娱乐,中国智能家居产业技术创新战略联盟,https://www.cihome.org.cn,,
医疗机器人,手术机械臂,高精度、微创手术,外科手术、康复治疗,中国医疗器械行业协会,http://www.cmia.com.cn,,
无人车,传感器融合平台,自动驾驶、环境感知,智能交通、城市配送,智联网汽车创新研究院,https://www.intelligentcar.org,,
安防机器人,全向移动底盘,自主巡逻、实时监控,公共安全、智能建筑,中国安防百强企业,https://www.securitychinal.com,,
清洁机器人,自主导航系统,智能清扫、路径规划,家庭护理、商业清洁,中国家电协会,https://www.cheaa.org,,
救护机器人,紧急医疗运输车,快速反应、急救设备配备,现场急救、医疗救援,国家卫生健康委员会,http://www.nhc.gov.cn,,
巡逻机器人,地面巡逻系统,实时监控、自主避障,校园安全、社区巡查,全国社区治理研究中心,https://www.community.gov.cn,,
农业机器人,智能施肥系统,精准施肥、环境监测,精准农业、植保服务,中国农业科学院,http://www.caas.cn,,
娱乐机器人,多功能互动系统,游戏平台、社交互动,家庭娱乐、教育游戏,中国游戏产业协会,https://www.cgig.org.cn,,
建筑机器人,自动化施工平台,高度集成、施工效率高,建筑施工、土木工程,中国建筑业协会,http://www.china-moa.com,,
导览机器人,智能导航模块,自助导览、信息查询,博物馆、商场导览,国家文化和旅游部,http://www.mct.gov.cn,,
施工机器人,机械手臂,高精密、自动化操作,建筑施工、装配线,中国机器人产业发展联盟,https://www.robocn.org.cn,,
工业搬运机器人,自动升降系统,负载能力强、稳定性高,生产工业、物流搬运,中华机械工程学会,http://www.cmec.org.cn,,
异形机器人,模块化设计,多用途、灵活操作,未来城市、灵活工作空间,清华大学机器人研究所,https://www.robotics.tsinghua.edu.cn,,
水下机器人,深海探测系统,耐压、高清图像传输,海洋研究、石油勘探,中国海洋学会,http://www.cos.org.cn,,
服务机器人,智能接待系统,面部识别、信息服务,酒店迎宾、FAQ解答,中国酒店业协会,http://www.cha.edu.cn,,
教育辅助机器人,知识传播平台,知识检索、学习指导,课外辅导、在线学习,中国在线教育研究院,https://www.oei.edu.cn,,
医疗机器人,手术臂,精准控制、远程手术,微创手术、远程医疗,中国医疗机器人产业创新联盟,http://www.cmra.org.cn,,
清洁机器人,全自动吸尘器,智能规划、高效吸尘,家庭清洁、企业扫描,家用机器人协会,http://www.homma.org.cn,,
救护机器人,移动急救平台,自动导航、实时监测,紧急医疗响应,国家卫生健康委员会,http://www.nhc.gov.cn,,
农业机器人,智能植保机,精准撒药、环境监测,农田管理、病虫害防治,中国农业科学院,http://www.caas.cn,,
人形机器人,关节驱动系统,高度仿真、情感交流,社交陪伴、心理辅导,中国社会工作协会,http://www.csw.org.cn,,
物流机器人,智能货架,自动补货、智能分拣,商超、仓库管理,中国零售业协会,http://www.crra.org.cn,,
无人机,固定翼模型,长时间巡航、覆盖广,环境监测、考古勘察,中国无人机协会,http://www.cudai.org.cn,,
服务机器人,多功能移动底盘,多任务执行、智能路径,酒店管理、客服,中国服务机器人产业协会,http://www.csria.org.cn,,
娱乐机器人,互动娱乐平台,语音识别、游戏互动,家庭娱乐、儿童教育,中国玩具和婴童用品协会,http://www.ctjpa.org.cn,,
