机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
安防机器人,3.0,m/s,1.0,m/s,4.5,m/s,2.0,m/s,字符型,安全技术协会,http://www.safetytech.org,,
清扫机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,家用电器协会,http://www.appliance.org.cn,,
无人机,5.5,m/s,2.0,m/s,9.0,m/s,3.5,m/s,字符型,民用无人机协会,http://www.cuava.org,,
施工机器人,1.7,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,建筑业协会,http://www.construction.org.cn,,
仓储机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,仓储与物流研究中心,http://www.warehousing.org.cn,,
潜水机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.3,m/s,字符型,海洋研究所,http://www.oceanicresearch.org.cn,,
智慧家庭机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,家庭科技发展中心,http://www.homedc.org.cn,,
美容机器人,0.7,m/s,0.3,m/s,0.8,m/s,0.4,m/s,字符型,美容行业协会,http://www.beautyassociation.org.cn,,
消防无人机,4.2,m/s,1.5,m/s,6.5,m/s,2.5,m/s,字符型,火灾应急管理部门,http://www.fireemergency.org,,
遥控机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,遥控设备协会,http://www.rcassociation.org,,
陆地搜索机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.1,m/s,字符型,应急救援协会,http://www.emergencyresponse.org,,
个人助手机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,智能科技创新中心,http://www.smarttech.org.cn,,
老年护理机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.5,m/s,字符型,老年人服务协会,http://www.seniorsafety.org.cn,,
救护机器人,1.5,m/s,0.7,m/s,2.5,m/s,0.9,m/s,字符型,国际医疗器械展,https://www.medicalexpo.com,,
农业机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,农业部,http://www.moa.gov.cn,,
送餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,智慧餐饮协会,http://www.smartcatering.org,,
制造机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.6,m/s,字符型,国际制造协会,https://www.imf.org,,
安防机器人,1.2,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,国际安防展览会,http://www.securityexpo.com,,
教育机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,1.8,m/s,0.9,m/s,2.7,m/s,1.2,m/s,字符型,国家警务部,http://www.mps.gov.cn,,
拆迁机器人,2.0,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,建筑业协会,http://www.building.org.cn,,
游乐场机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,游乐园安全委员会,http://www.themepark.com,,
快递机器人,2.8,m/s,1.2,m/s,3.8,m/s,1.6,m/s,字符型,电子商务协会,http://www.ecommerce.org,,
工业机器人,4.0,m/s,1.5,m/s,5.0,m/s,2.0,m/s,字符型,全国工业和信息化部,https://www.miit.gov.cn,,
警用无人机,3.5,m/s,1.0,m/s,4.5,m/s,1.5,m/s,字符型,民用无人机管理局,https://www.drones.gov.cn,,
清扫机器人,1.6,m/s,0.7,m/s,2.2,m/s,0.9,m/s,字符型,家居技术协会,http://www.hometech.org,,
智能监控机器人,2.2,m/s,0.8,m/s,3.0,m/s,1.4,m/s,字符型,网络安全与信息化局,http://www.nsi.gov.cn,,
远程操作机器人,1.9,m/s,0.9,m/s,2.7,m/s,1.2,m/s,字符型,越来越多的技术创新中心,https://www.techinnovation.com,,
飞行机器人,5.5,m/s,1.8,m/s,6.0,m/s,2.5,m/s,字符型,航天科学与技术部,https://www.space.gov.cn,,
清洗机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,环境保护部,http://www.ep.gov.cn,,
社交机器人,1.4,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,心理学和教育研究协会,http://www.apa.org,,
无人配送机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,快递报告中心,http://www.deliveryreport.com,,
防疫机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,全球卫生组织,https://www.who.int,,
农业机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国农业科学院,https://www.caas.cn,,
家庭服务机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,中国消费电子协会,http://www.cec.org.cn,,
瓦斯检测机器人,1.7,m/s,0.5,m/s,2.2,m/s,1.0,m/s,字符型,中国矿业安全监察局,http://www.chinasms.gov.cn,,
配送机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,国际配送与物流协会,https://www.idla.org,,
探测机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.0,m/s,字符型,中国地质调查局,http://www.cgs.gov.cn,,
爆破机器人,2.0,m/s,0.8,m/s,2.8,m/s,1.2,m/s,字符型,中国机械工业联合会,http://www.cmichina.com,,
安防机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
咖啡机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,中国智能餐饮产业联盟,http://www.cafetech.org.cn,,
甲虫机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国智能科普协会,http://www.sciencepopularization.org.cn,,
无人机,4.5,m/s,1.2,m/s,6.0,m/s,2.5,m/s,字符型,中国无人机产业发展协会,http://www.uav.org.cn,,
快递机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.2,m/s,字符型,中国快递协会,http://www.cainiao.com,,
城市巡逻机器人,1.8,m/s,0.8,m/s,2.5,m/s,1.0,m/s,字符型,国家城市管理局,http://www.nuc.gov.cn,,
无人驾驶拖车,3.2,m/s,1.0,m/s,5.5,m/s,2.1,m/s,字符型,中国智能汽车工业协会,http://www.autoai.org.cn,,
医疗运输机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
语言学习机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国智能教育研究院,http://www.iedu.org.cn,,
海洋探测机器人,2.7,m/s,1.1,m/s,3.5,m/s,1.6,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
火灾救援机器人,1.5,m/s,0.6,m/s,2.8,m/s,1.3,m/s,字符型,中华全国消防协会,http://www.caf.gov.cn,,
医疗机器人,0.7,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,医院自动化协会,https://www.hospitalautomation.org,,
无人机配送机器人,3.5,m/s,1.2,m/s,7.0,m/s,2.5,m/s,字符型,快递行业协会,https://www.expressassociation.org,,
农业机器人,1.5,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,中国农业产业化协会,https://www.chinaagriculture.org,,
道路清扫机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,市政设施管理局,http://www.cityfacilities.gov,,
协作机器人,2.5,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,国际机器人协会,https://www.ifr.org,,
安防监控机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,中国安防产业协会,http://www.csp.org.cn,,
无人驾驶卡车,5.5,m/s,1.8,m/s,9.0,m/s,4.0,m/s,字符型,国家货运联合会,https://www.nationalcargo.org,,
互助服务机器人,2.3,m/s,0.5,m/s,3.5,m/s,1.1,m/s,字符型,服务机器人发展协会,http://www.servicerobots.org,,
餐饮配送机器人,1.2,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,餐饮科技发展中心,https://www.diningtech.org,,
送货机器人,2.0,m/s,0.4,m/s,2.8,m/s,1.3,m/s,字符型,快递行业研究院,http://www.deliveryresearch.org,,
城市管理机器人,2.8,m/s,0.9,m/s,3.5,m/s,1.4,m/s,字符型,城市智能化研究院,http://www.urbanintelligence.org,,
移动教育机器人,1.5,m/s,0.5,m/s,2.2,m/s,0.9,m/s,字符型,教育机器人协会,http://www.educationalrobots.org,,
海洋探索机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,海洋科学研究中心,http://www.oceanresearch.org,,
紧急事故处理机器人,1.6,m/s,0.7,m/s,2.7,m/s,1.1,m/s,字符型,应急科学研究院,http://www.emergencyresearch.org,,
虚拟现实体验机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.6,m/s,字符型,虚拟现实技术协会,http://www.vrtech.org,,
测绘机器人,2.4,m/s,1.0,m/s,3.1,m/s,1.5,m/s,字符型,测绘科学技术协会,http://www.surveyingtech.org,,
城市安全巡逻机器人,1.9,m/s,0.6,m/s,2.6,m/s,1.1,m/s,字符型,城市安全管理局,http://www.urbansafety.gov,,
智能农业机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,农业信息服务平台,http://www.agriculturalservices.org,,
自动化仓库机器人,3.0,m/s,1.4,m/s,4.8,m/s,2.2,m/s,字符型,国际物流协会,https://www.international-logistics.org,,
工业机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,中国机器人产业联盟,http://www.robotics.org.cn,,
农业机器人,2.5,m/s,1.2,m/s,3.4,m/s,1.7,m/s,字符型,农业部科技司,http://www.moa.gov.cn,,
巡逻机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,公安部,http://www.mps.gov.cn,,
仓储机器人,3.0,m/s,1.0,m/s,4.5,m/s,1.8,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
配送机器人,2.0,m/s,0.5,m/s,3.0,m/s,1.0,m/s,字符型,中国电子商务研究中心,http://www.100ec.cn,,
鱼塘管理机器人,1.5,m/s,0.7,m/s,2.1,m/s,1.1,m/s,字符型,农业科技出版社,http://www.agri-tech.cn,,
照护机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国老龄协会,http://www.colaol.com,,
救援机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,应急管理局,http://www.mem.gov.cn,,
线下服务机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.2,m/s,字符型,中国机器人技术协会,http://www.crma.org.cn,,
安防机器人,1.7,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中央安全委员会,http://www.safety.gov.cn,,
特种机器人,3.5,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,特种设备管理局,http://www.td.gov.cn,,
海洋探索机器人,2.0,m/s,0.8,m/s,3.5,m/s,1.2,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
文娱互动机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,文化和旅游部,http://www.mct.gov.cn,,
信息机器人,2.2,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,国家信息中心,http://www.nicc.gov.cn,,
配送无人机,6.0,m/s,2.0,m/s,8.0,m/s,4.0,m/s,字符型,无人机行业协会,http://www.uav.org.cn,,
高空作业机器人,2.8,m/s,1.5,m/s,4.0,m/s,1.5,m/s,字符型,国家建筑局,http://www.njc.gov.cn,,
消防无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,中国消防协会,http://www.firesafety.org.cn,,
机器人助手,1.9,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,科技部,http://www.most.gov.cn,,
农业机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国农业科学院,http://www.caas.cn,,
物流机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.6,m/s,字符型,世界经济论坛,https://www.weforum.org,,
医疗机器人,0.6,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,全球健康观察,https://www.who.int,,
商业清洁机器人,1.1,m/s,0.4,m/s,1.4,m/s,0.6,m/s,字符型,国际清洁联盟,https://www.cleaningworld.org,,
探测机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国探测科技协会,http://www.cdtia.org,,
快递无人机,5.0,m/s,2.0,m/s,8.0,m/s,2.5,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
服务机器人,2.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,人工智能产业发展协会,http://www.aidai.org.cn,,
仓储机器人,2.8,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,智能物流研究中心,https://www.smartlogistics.cn,,
教育机器人,0.8,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
安防机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,公安部,http://www.mps.gov.cn,,
机械手臂,0.9,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,机器人应用技术协会,http://www.robotics.org.cn,,
娱乐机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,游戏产业发展协会,http://www.cgigames.org,,
搜索与救援机器人,1.9,m/s,0.9,m/s,3.4,m/s,1.5,m/s,字符型,国家应急管理部,http://www.mem.gov.cn,,
陪伴机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.5,m/s,字符型,国家老龄事业发展协会,http://www.nald.org.cn,,
房屋修缮机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,建筑业协会,http://www.cab.org.cn,,
农业无人机,3.5,m/s,1.2,m/s,5.0,m/s,2.0,m/s,字符型,农业农村部,http://www.moa.gov.cn,,
家庭服务机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,中国家庭服务协会,http://www.chinahomecares.org.cn,,
环境监测机器人,2.0,m/s,0.5,m/s,2.8,m/s,1.2,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
仓储机器人,1.5,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,中国仓储与物流协会,http://www.cwlpa.org.cn,,
送餐机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,餐饮协会,http://www.restaurant.org.cn,,
农业机器人,1.0,m/s,0.3,m/s,1.8,m/s,0.5,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
巡逻机器人,1.7,m/s,0.6,m/s,2.8,m/s,1.4,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
草坪修剪机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.7,m/s,字符型,家庭智能科技网,http://www.smart-home.com.cn,,
监督机器人,3.0,m/s,1.2,m/s,4.5,m/s,2.0,m/s,字符型,国家科技部,http://www.most.gov.cn,,
防疫机器人,1.4,m/s,0.7,m/s,2.1,m/s,1.0,m/s,字符型,世界卫生组织,https://www.who.int,,
智能家居机器人,2.0,m/s,0.6,m/s,2.7,m/s,1.2,m/s,字符型,中国智能家居协会,http://www.smart-home.org.cn,,
扫雪机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国气象局,http://www.cma.gov.cn,,
配送机器人,1.8,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,电子商务研究中心,http://www.100ec.cn,,
修路机器人,2.5,m/s,1.0,m/s,3.5,m/s,2.0,m/s,字符型,中国道路工程协会,http://www.china-ra.org,,
抢险机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
教育机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
交流机器人,2.3,m/s,1.0,m/s,3.2,m/s,1.1,m/s,字符型,智能科技发展论坛,http://www.sensors.com.cn,,
气象监测机器人,0.7,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,国家气候中心,http://www.ncc-cma.gov.cn,,
清扫机器人,1.9,m/s,0.9,m/s,2.4,m/s,1.3,m/s,字符型,家电行业协会,http://www.appliances.org.cn,,
机器人助理,1.0,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,人工智能发展协会,http://www.aida.org.cn,,
农业机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
巡逻机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,全国公安部,https://www.mps.gov.cn,,
快递机器人,1.7,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,中国邮政,http://www.chinapost.com.cn,,
矿业机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国矿业协会,http://www.china-mining.org,,
配送机器人,2.0,m/s,0.6,m/s,2.8,m/s,1.2,m/s,字符型,中国电子商务协会,http://www.chinacomm.org,,
野外探测机器人,2.8,m/s,0.9,m/s,3.0,m/s,1.4,m/s,字符型,中国环境保护部,http://www.mee.gov.cn,,
教育机器人,1.5,m/s,0.3,m/s,2.0,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻无人机,5.5,m/s,1.8,m/s,7.0,m/s,3.5,m/s,字符型,中国无人机协会,http://www.cudpa.org,,
诊断机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国医疗器械行业协会,http://www.cmda.gov.cn,,
探测救援机器人,1.9,m/s,0.7,m/s,2.4,m/s,1.1,m/s,字符型,应急管理机构,http://www.mem.gov.cn,,
移动服务机器人,2.2,m/s,0.8,m/s,3.1,m/s,1.5,m/s,字符型,北京科技大学,http://www.bjtu.edu.cn,,
安防机器人,2.6,m/s,1.0,m/s,3.3,m/s,1.8,m/s,字符型,中国安防产品行业协会,http://www.cspaa.org,,
博物馆导览机器人,1.4,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国博物馆协会,http://www.chinamuseum.org,,
清扫无人车,1.8,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,中国城市管理服务协会,http://www.ccms.org.cn,,
餐饮服务机器人,1.6,m/s,0.4,m/s,2.0,m/s,0.8,m/s,字符型,中华饮食文化协会,http://www.culinary.org.cn,,
工业搬运机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,中国机器人行业协会,http://www.chinarobotics.org,,
家庭护理机器人,1.1,m/s,0.2,m/s,1.5,m/s,0.3,m/s,字符型,中国养老产业协会,http://www.chinacare.org.cn,,
智能水下机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.1,m/s,字符型,海洋水产局,http://www.moa.gov.cn,,
智能购物车,2.1,m/s,0.5,m/s,2.9,m/s,0.9,m/s,字符型,中国零售协会,http://www.china-retail.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
扫路机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,城市管理局,http://www.citymanagement.gov.cn,,
送餐机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,餐饮科技协会,http://www.cateringtech.com.cn,,
探矿机器人,2.0,m/s,0.4,m/s,2.5,m/s,1.1,m/s,字符型,自然资源部,http://www.mnr.gov.cn,,
安防机器人,1.6,m/s,0.8,m/s,2.2,m/s,1.0,m/s,字符型,公安部,http://www.mps.gov.cn,,
仿生机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.6,m/s,字符型,机器人研究所,http://www.roboticsinst.cn,,
物流无人机,7.0,m/s,2.5,m/s,10.0,m/s,4.0,m/s,字符型,中国无人机联合会,https://www.cuav.org,,
巡检机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,电力公司,http://www.sgcc.com.cn,,
社交机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,社交科技论坛,http://www.socialtechforum.com,,
建筑机器人,3.5,m/s,1.4,m/s,5.0,m/s,2.2,m/s,字符型,建筑与科技研究院,http://www.architecturalinstitute.cn,,
水下机器人,1.9,m/s,0.7,m/s,3.0,m/s,1.3,m/s,字符型,海洋与渔业部,http://www.moa.gov.cn,,
语音助手机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,智能科技企业,http://www.techsmart.com,,
情感陪伴机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.3,m/s,字符型,心理学研究协会,http://www.psychologyresearch.org,,
陪护机器人,1.3,m/s,0.4,m/s,1.7,m/s,0.9,m/s,字符型,大众医疗协会,http://www.healthcare.org.cn,,
清道夫机器人,0.8,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
自动化仓储机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.5,m/s,字符型,仓储与物流协会,http://www.warehousing.org.cn,,
医疗服务机器人,1.7,m/s,0.9,m/s,2.3,m/s,1.0,m/s,字符型,中国医疗机器人协会,http://www.cmra.org.cn,,
淘气机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,玩具协会,http://www.toysassociation.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国农业科学院,https://www.caas.cn,,
安防机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国家安防科技产业基地,http://www.asia-safety.org,,
配送机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.8,m/s,字符型,快递行业协会,https://www.couriers.org,,
探测机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国际探测器联盟,https://www.detectoralliance.org,,
建设机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,中国建筑业协会,https://www.cahgb.org.cn,,
个人助理机器人,0.9,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,个人助理机器人协会,http://www.personalassistor.org,,
教育机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.3,m/s,字符型,教育部科技发展中心,http://www.moe.gov.cn,,
巡逻机器人,1.6,m/s,0.8,m/s,2.1,m/s,1.4,m/s,字符型,国家公安部,https://www.mps.gov.cn,,
工业机器人,2.8,m/s,1.4,m/s,3.5,m/s,1.6,m/s,字符型,中国工业和信息化部,https://www.miit.gov.cn,,
救援机器人,1.7,m/s,0.5,m/s,2.4,m/s,1.3,m/s,字符型,国际救援联盟,https://www.rescuealliance.org,,
娱乐互动机器人,0.6,m/s,0.3,m/s,0.8,m/s,0.4,m/s,字符型,中国文化部,http://www.moc.gov.cn,,
洗车机器人,1.1,m/s,0.5,m/s,1.5,m/s,0.8,m/s,字符型,中国汽车服务协会,http://www.china-autoservice.org,,
美食配送机器人,1.4,m/s,0.7,m/s,2.2,m/s,1.0,m/s,字符型,外卖行业协会,https://www.takeaway.org,,
外科手术机器人,0.5,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国医学科学院,https://www.cams.cn,,
社交机器人,1.3,m/s,0.5,m/s,1.8,m/s,1.2,m/s,字符型,心理学与行为科学研究所,https://www.psychologyresearch.org,,
清扫机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,中国家务机器人协会,https://www.cleanrobot.org,,
物流运输机器人,2.3,m/s,1.1,m/s,3.1,m/s,1.5,m/s,字符型,全球物流技术交流协会,https://www.global-logistics.org,,
陪伴机器人,0.7,m/s,0.2,m/s,1.1,m/s,0.5,m/s,字符型,国际陪伴机器人研究中心,https://www.accompanyrobot.org,,
无人机,5.0,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,中国无人机应用协会,https://www.drone.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
水下机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,海洋与渔业部,http://www.mof.gov.cn,,
工业机器人,3.0,m/s,1.2,m/s,5.0,m/s,2.1,m/s,字符型,中国工业和信息化部,http://www.miit.gov.cn,,
家居助手机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.3,m/s,字符型,家用机器人协会,http://www.homerobots.org,,
巡逻机器人,2.0,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
送餐机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.5,m/s,字符型,餐饮科技协会,http://www.foodtech.org,,
防灾机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,国家应急管理部,http://www.mem.gov.cn,,
婴儿护理机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.3,m/s,字符型,母婴产业协会,http://www.babycare.org.cn,,
便携式医疗机器人,1.1,m/s,0.4,m/s,1.9,m/s,0.8,m/s,字符型,中国医疗器械协会,http://www.cmda.gov.cn,,
