机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
配送机器人,城市街道,2.2,米,3.0,米,0.1,米,6,智能物流研究中心,http://www.smartrc.org.cn,,
家庭服务机器人,人流密集区域,4.5,米,5.0,米,0.5,米,9,智能家居协会,https://www.smart-home.org,,
教育机器人,图书馆,1.5,米,2.2,米,0.3,米,4,中国教育部科技发展中心,https://www.moe.gov.cn,,
建筑机器人,施工现场,12.0,米,14.5,米,0.6,米,10,建筑科学研究院,http://www.bri.gov.cn,,
监控机器人,机场安检,7.5,米,8.0,米,0.4,米,5,民航局科技发展部,http://www.caac.gov.cn,,
休闲机器人,公园游乐场,2.0,米,3.0,米,0.1,米,3,国家旅游局,http://www.tourism.gov.cn,,
安保机器人,大型活动现场,4.8,米,5.5,米,0.3,米,8,特种安保技术协会,http://www.securitytech.org,,
肢体康复机器人,医院病房,1.0,米,1.5,米,0.1,米,4,医疗设备行业协会,http://www.meddev.org,,
交通管理机器人,交叉路口,8.0,米,9.5,米,0.6,米,12,交通管理局,http://www.traffic.gov.cn,,
食品配送机器人,餐饮酒店,1.8,米,2.0,米,0.2,米,5,现代餐饮协会,http://www.moderncatering.org,,
金融服务机器人,银行大厅,3.0,米,4.0,米,0.4,米,6,中国银行业协会,http://www.cbba.gov.cn,,
废弃物清理机器人,垃圾堆填区,10.0,米,12.0,米,1.0,米,9,环境保护部,http://www.epb.gov.cn,,
倪可机器人,住宅社区,2.5,米,3.2,米,0.3,米,7,智能社区研究院,http://www.smarthome.org,,
农业监测机器人,农田,15.0,米,17.5,米,1.5,米,18,中国农业科学院,http://www.caas.cn,,
智能机器人,工厂车间,8.0,米,10.0,米,0.8,米,11,中国制造业协会,https://www.cma.org.cn,,
机器人清洗助手,游泳池,3.6,米,4.5,米,0.2,米,5,航天科技大学,http://www.space.edu.cn,,
医疗机器人,医院走廊,1.5,米,2.0,米,0.25,米,5,智慧医疗研究院,http://www.smarthealth.org.cn,,
物流机器人,配送中心,3.0,米,4.5,米,0.4,米,8,供应链管理研究院,http://www.scmresearch.cn,,
旅游服务机器人,景区专线,2.2,米,3.0,米,0.3,米,9,旅游科技发展中心,http://www.tourtech.org.cn,,
教育机器人,在线学习平台,0.5,米,1.0,米,0.1,米,3,数字教育研究所,http://www.digiedu.org.cn,,
工业机器人,制造车间,1.8,米,2.5,米,0.5,米,10,工业设备研究中心,http://www.industryresearch.org.cn,,
餐饮服务机器人,餐厅食堂,3.5,米,4.5,米,0.3,米,6,餐饮科技协会,http://www.cateringtech.org.cn,,
环境监测机器人,城市公园,4.2,米,5.0,米,0.6,米,8,环境保护技术中心,http://www.eptech.org.cn,,
救援机器人,地震灾区,10.0,米,11.0,米,0.8,米,18,国家应急管理部,http://www.nem.gov.cn,,
清扫机器人,室内购物中心,2.0,米,2.5,米,0.2,米,5,智能清洁行业协会,http://www.cleanrobot.org.cn,,
家庭机器人,住宅小区,1.0,米,1.5,米,0.1,米,4,智慧居住技术研究院,http://www.smartliving.org.cn,,
安防机器人,大型商场,3.8,米,4.5,米,0.5,米,7,公共安全技术研究中心,http://www.safetytech.org.cn,,
农业机器人,智能农业示范区,15.0,米,16.5,米,0.7,米,12,农业机器人研发中心,http://www.agrirobot.org.cn,,
交通管理机器人,交通交汇点,8.0,米,9.5,米,0.3,米,14,城市交通研究所,http://www.citytraffic.org.cn,,
娱乐机器人,游乐园,5.0,米,6.0,米,0.4,米,10,儿童娱乐行业协会,http://www.kidenjoy.org.cn,,
测绘机器人,工地,7.5,米,8.5,米,0.5,米,15,测绘科学协会,http://www.mapping.org.cn,,
信息查询机器人,公共图书馆,1.5,米,2.0,米,0.2,米,4,图书管理系统研究所,http://www.librarymanagement.org.cn,,
施工机器人,建筑工地,5.0,米,6.2,米,0.3,米,9,建筑技术发展协会,http://www.buildtech.org.cn,,
语音助手机器人,智能家居,2.0,米,2.7,米,0.2,米,5,智能家居联盟,http://www.smarthomealliance.org.cn,,
医疗机器人,医院走廊,1.1,米,1.5,米,0.1,米,5,国际医疗机器人协会,https://www.irmca.org,,
农业机器人,农田灌溉系统,10.5,米,12.2,米,0.6,米,14,中国农业科学院,http://www.caas.cn,,
服务机器人,购物中心,3.8,米,4.9,米,0.3,米,8,智能服务研究所,https://www.isri.org,,
工业机器人,制造车间,2.0,米,2.8,米,0.25,米,9,中国机器人产业发展联盟,http://www.crida.org,,
救援机器人,城市地震现场,7.5,米,8.8,米,0.5,米,18,中国灾后恢复协会,http://www.cdrs.org.cn,,
教育机器人,在线课堂,2.5,米,3.2,米,0.1,米,4,国家教育部,http://www.moe.gov.cn,,
移动机器人,轨道交通站,4.0,米,5.0,米,0.4,米,10,中国交通运输协会,http://www.ctta.org,,
清洁机器人,办公大楼,3.2,米,4.1,米,0.15,米,6,全国清洁产业协会,http://www.cleanindustry.org,,
快递机器人,住宅区,2.3,米,3.2,米,0.2,米,5,中国邮政快递协会,http://www.cpeia.org.cn,,
餐厅服务机器人,餐厅厨房,2.0,米,2.5,米,0.3,米,7,餐饮产业研究中心,http://www.restaurant-research.org,,
安防机器人,商业区,5.2,米,6.0,米,0.5,米,12,国内安防技术协会,http://www.securitytech.org.cn,,
配送机器人,市中心广场,4.5,米,5.5,米,0.6,米,9,中国配送技术研究院,http://www.cdepa.org,,
巡逻机器人,校园,3.0,米,3.8,米,0.2,米,6,高校安防管理协会,http://www.unisecurity.org,,
家庭助手机器人,家庭环境,2.8,米,3.6,米,0.2,米,5,居家智能研究中心,http://www.homeautomation.org,,
施工机器人,建筑工地,6.2,米,7.4,米,0.7,米,13,建筑机械工程师协会,https://www.cceea.org,,
修理机器人,工厂维修区,1.5,米,2.0,米,0.1,米,6,机器人技术研究中心,http://www.robotics-res.org,,
保安机器人,大型活动现场,8.0,米,9.5,米,0.4,米,15,大型活动安全管理协会,http://www.eventsafety.org,,
人形机器人,人流密集区,3.3,米,4.1,米,0.3,米,7,人形机器人研究中心,http://www.humanrobotics.org,,
医疗机器人,老年护理中心,1.0,米,1.5,米,0.1,米,3,中国老龄化科学研究中心,http://www.cacs.org.cn,,
救援机器人,地震灾区,8.0,米,9.5,米,0.7,米,25,紧急救援科学研究院,https://www.evacuation.gov.cn,,
农业机器人,果园,15.0,米,16.5,米,0.5,米,14,中国农业大学,https://www.cau.edu.cn,,
工业机器人,制造车间,3.0,米,3.8,米,0.4,米,8,国家工业和信息化部,https://www.miit.gov.cn,,
服务机器人,商场,4.5,米,5.9,米,0.3,米,6,中国零售协会,https://www.crb.org.cn,,
教育机器人,培训中心,2.0,米,2.8,米,0.2,米,5,全国教育发展研究中心,http://www.neea.cn,,
移动机器人,公园,7.0,米,9.0,米,0.4,米,10,城市公共空间研究院,https://www.upsp.org.cn,,
护理机器人,病房,0.8,米,1.2,米,0.05,米,2,中国护理学会,http://www.cna.org.cn,,
物流机器人,配送中心,6.0,米,7.2,米,0.5,米,15,物流与自动化协会,http://www.carriership.org.cn,,
娱乐机器人,主题公园,4.0,米,5.0,米,0.2,米,4,中国娱乐科技协会,http://www.ceta.org.cn,,
巡逻机器人,校园,3.5,米,4.5,米,0.3,米,9,全国高校安防研究中心,http://www.nshanghai.edu.cn,,
探测机器人,野外探险,10.0,米,11.5,米,0.6,米,12,国家探险与生态保护组织,https://www.nacep.org.cn,,
送餐机器人,餐饮业,3.0,米,4.0,米,0.2,米,5,国际餐饮科技研究院,http://www.culifoodtech.org,,
安防机器人,大型活动现场,6.0,米,8.0,米,1.0,米,10,保安协会,https://www.securityassociation.org,,
仓储机器人,电商仓库,5.0,米,6.5,米,0.4,米,8,中国电子商务研究中心,http://www.cebai.org.cn,,
翻译机器人,国际会议,5.5,米,7.5,米,0.3,米,6,国际翻译协会,https://www.iati.org.cn,,
无人机,城市空域,20.0,米,22.5,米,1.2,米,18,中国无人机产业发展联盟,https://www.udba.org.cn,,
交通机器人,城市交叉路口,3.2,米,4.0,米,0.5,米,8,智能交通研究所,http://www.trafficai.org,,
物流机器人,配送中心,2.9,米,3.6,米,0.1,米,5,国家物流协会,http://www.nationale-logistics.org,,
清洁机器人,购物中心,4.5,米,5.2,米,0.3,米,6,清洁技术研究机构,http://www.clean-tech.org,,
监控机器人,大型活动场地,8.0,米,9.5,米,0.7,米,12,安防技术研究中心,http://www.security-tech.cn,,
巡逻机器人,社区入口,1.8,米,2.2,米,0.4,米,3,社区服务创新中心,http://www.communityinnovation.org,,
家庭服务机器人,家庭厨房,1.0,米,1.5,米,0.2,米,2,家居科技研究所,http://www.home-tech.org,,
安防机器人,商业大厦,7.5,米,8.5,米,0.6,米,9,城市安全研究中心,http://www.citysecurity.org,,
测绘机器人,农业田地,11.0,米,13.0,米,1.0,米,10,土地测绘与资源监测中心,http://www.land-survey.org,,
维修机器人,工业现场,3.0,米,3.5,米,0.2,米,5,工业技术研究院,http://www.industry-tech.org,,
空中配送机器人,公园区域,15.0,米,18.0,米,2.0,米,14,无人机配送发展中心,http://www.drone-delivery.org,,
制造机器人,装配车间,2.0,米,2.8,米,0.3,米,6,现代制造技术研究所,http://www.modern-manufacturing.org,,
社交机器人,社交活动场地,4.0,米,4.8,米,0.5,米,8,社交机器人发展协会,http://www.socialrobots.org,,
体育训练机器人,运动场,6.5,米,7.0,米,0.5,米,9,体育科技研究中心,http://www.sports-tech.org,,
餐饮服务机器人,餐厅,2.3,米,3.0,米,0.4,米,5,餐饮技术研究中心,http://www.restaurant-tech.org,,
农业监测机器人,农田,12.5,米,13.5,米,0.6,米,20,农业机器人研究所,http://www.agri-robotics.org,,
信息咨询机器人,大型展会,4.5,米,5.0,米,0.5,米,7,展会科技研究中心,http://www.expo-tech.org,,
水下机器人,海洋调查,9.0,米,10.5,米,0.8,米,15,海洋科技研究中心,http://www.ocean-tech.org,,
虚拟现实助手机器人,虚拟现实环境,2.2,米,2.6,米,0.2,米,3,虚拟现实技术研究所,http://www.virtual-reality-tech.org,,
医疗机器人,老年护理院,1.5,米,1.9,米,0.25,米,5,中国老年医学研究中心,http://www.clmrc.org.cn,,
农业机器人,果园,8.0,米,9.5,米,0.5,米,10,新农业科技促进会,http://www.natp.org.cn,,
教育机器人,大学实验室,3.0,米,3.8,米,0.3,米,8,全国教育研究委员会,https://www.nerc.edu.cn,,
服务机器人,购物中心,3.5,米,4.5,米,0.4,米,6,购物中心科技协会,http://www.malltech.org.cn,,
工业机器人,制造车间,2.0,米,2.7,米,0.2,米,5,中国工业技术研究院,http://www.citi.org.cn,,
救援机器人,地震灾区,7.5,米,8.0,米,0.7,米,18,中国应急救援协会,https://www.cer.org.cn,,
移动机器人,公园,4.5,米,5.2,米,0.5,米,9,城市智能交通研究中心,http://www.citr.org.cn,,
移动机器人,高密度住宅区,4.0,米,5.0,米,0.4,米,8,城市规划研究院,http://www.cpi.org.cn,,
医疗机器人,外科手术室,1.0,米,1.5,米,0.1,米,4,中国外科医生协会,http://www.cosc.org.cn,,
移动机器人,地铁车站,5.5,米,7.0,米,0.6,米,10,城市轨道交通研究所,https://www.urbanrail.org.cn,,
教育机器人,职业培训中心,2.2,米,2.9,米,0.25,米,7,中国职业教育发展协会,http://www.cveda.org.cn,,
农业机器人,智能灌溉系统,10.0,米,11.0,米,0.6,米,12,中国农业机械化研究中心,http://www.caimrc.org.cn,,
服务机器人,餐厅,3.0,米,4.0,米,0.3,米,5,中国餐饮科技实验室,http://www.restauranttech.org.cn,,
救援机器人,洪水灾区,8.5,米,9.5,米,0.8,米,22,中国救援机器人联盟,http://www.crra.org.cn,,
移动机器人,景区,6.0,米,7.5,米,0.5,米,13,旅游科技研究院,http://www.travelsci.org.cn,,
工业机器人,电子产品组装线,3.0,米,3.5,米,0.4,米,9,中国电子协会,http://www.cea.org.cn,,
医疗机器人,生物实验室,1.6,米,2.1,米,0.3,米,5,生物医学工程研究中心,http://www.bme.org.cn,,
仓储机器人,大型仓库,3.2,米,4.1,米,0.4,米,10,中国物流与采购联合会,https://www.cflp.org.cn,,
清扫机器人,商场,2.0,米,2.5,米,0.3,米,5,家电网,http://www.homeappliance.com,,
配送机器人,大学校园,1.5,米,2.0,米,0.15,米,6,未来配送技术研究所,https://www.futuredelivery.com,,
服务机器人,医院病房,2.1,米,2.8,米,0.25,米,8,医疗科技发展研究院,http://www.medicaltech.org,,
巡逻机器人,住宅区,4.0,米,4.8,米,0.5,米,9,城市安全与技术中心,https://www.usc.gov.cn,,
导览机器人,博物馆,1.0,米,1.5,米,0.1,米,4,文化科技发展局,http://www.culturaltech.gov.cn,,
家居服务机器人,家庭环境,1.8,米,2.2,米,0.2,米,5,智慧家庭研究所,https://www.smartliving.org,,
工业巡检机器人,制造工厂,7.5,米,8.3,米,0.7,米,12,智能制造技术平台,https://www.smartmanufacturing.cn,,
农业监测机器人,田间地头,15.0,米,16.5,米,1.0,米,11,现代农业科技中心,http://www.modernagri.gov.cn,,
救护机器人,灾害现场,5.0,米,7.0,米,0.5,米,13,应急管理部,http://www.mem.gov.cn,,
娱乐机器人,游乐园,3.0,米,3.5,米,0.4,米,6,游乐设备研究中心,http://www.amusementtech.org,,
移动安检机器人,机场,8.0,米,9.0,米,0.5,米,10,民航局,http://www.caac.gov.cn,,
辅助教育机器人,在线教育平台,1.2,米,1.6,米,0.15,米,5,教育部,http://www.moe.gov.cn,,
娱乐陪伴机器人,老年社区,1.5,米,2.0,米,0.2,米,7,老年人福利组织,http://www.elderlycare.org,,
气候监测机器人,自然保护区,10.0,米,12.0,米,1.2,米,15,环境保护部,http://www.mee.gov.cn,,
智能家庭助手,现代住宅,1.6,米,2.2,米,0.3,米,6,智能家居协会,http://www.smarthome.org.cn,,
远程医疗助手,乡村诊所,2.5,米,3.0,米,0.25,米,8,中国医学科学院,https://www.cams.ac.cn,,
重型工业机器人,矿区,20.0,米,22.0,米,1.5,米,20,矿业技术研究中心,http://www.miningtech.org,,
安防机器人,商业广场,3.2,米,4.0,米,0.3,米,5,中国安防产品协会,https://www.cpsa.org.cn,,
宅配机器人,居民小区,1.5,米,2.0,米,0.2,米,3,国家邮政局,http://www.spb.gov.cn,,
仓储机器人,配送中心,7.2,米,8.5,米,0.4,米,10,中国物流与采购联合会,http://www.cflp.org.cn,,
巡逻机器人,校园环境,2.0,米,2.5,米,0.1,米,6,教育部,http://www.moe.gov.cn,,
清洁机器人,办公空间,3.8,米,4.5,米,0.5,米,4,中国房地产研究会,http://www.crec.org.cn,,
物流机器人,大型商场,6.5,米,7.0,米,0.7,米,8,商业协会,http://www.chinacommerce.org,,
外科手术机器人,手术室,1.3,米,1.5,米,0.1,米,3,中国医学科学院,https://www.cams.ac.cn,,
自动化检验机器人,食品工厂,5.0,米,5.7,米,0.4,米,9,国家食品药品监督管理局,http://www.nmpa.gov.cn,,
家庭服务机器人,家庭环境,1.0,米,1.6,米,0.2,米,2,中国家电协会,http://www.cheaa.org,,
无人驾驶配送车,城市街道,8.0,米,9.0,米,1.0,米,14,交通运输部,https://www.mot.gov.cn,,
智能巡检机器人,工业现场,4.5,米,5.0,米,0.5,米,7,中国机械工业集团,http://www.china-meic.com,,
散货搬运机器人,港口码头,10.0,米,12.0,米,0.6,米,18,港口协会,http://www.portassociation.org,,
消防机器人,商业楼宇,8.5,米,9.5,米,0.7,米,12,国家消防局,http://www.cnnm.gov.cn,,
智能搬运机器人,大型活动场地,6.0,米,6.8,米,0.4,米,9,活动策划协会,http://www.eventplanning.org,,
社交机器人,博物馆,2.1,米,2.9,米,0.1,米,5,博物馆协会,http://www.museums.org.cn,,
水下探测机器人,海洋环境,15.0,米,17.0,米,1.2,米,20,中国海洋开发研究中心,http://www.codc.org.cn,,
灌溉机器人,农业田,5.5,米,6.2,米,0.3,米,7,农业部,http://www.moa.gov.cn,,
家庭清洁机器人,室内家居环境,2.1,米,3.0,米,0.4,米,8,家居科技研究所,https://www.hometec.org,,
安保机器人,商业中心,10.0,米,11.5,米,0.5,米,14,公共安全科技研究院,https://www.psri.gov.cn,,
送餐机器人,餐厅,3.2,米,4.5,米,0.3,米,5,餐饮技术研究中心,http://www.cateringtech.org,,
环境监测机器人,工业园区,6.2,米,7.0,米,0.7,米,18,环境保护研究所,http://www.epa.gov.cn,,
导航机器人,机场候机厅,8.1,米,9.5,米,0.3,米,12,航空科技发展中心,http://www.aviationtech.gov.cn,,
玩具机器人,儿童游乐场,1.0,米,1.5,米,0.1,米,3,儿童发展研究协会,http://www.childdev.org.cn,,
配送机器人,城市街道,4.4,米,5.1,米,0.4,米,9,智能交通研究中心,http://www.smarttraffic.gov.cn,,
智慧城市巡检机器人,城市公园,5.8,米,6.7,米,0.5,米,10,城市规划与建设研究院,http://www.urbanplanning.org.cn,,
特种作业机器人,建筑工地,7.0,米,8.0,米,0.9,米,15,建筑科技研究中心,http://www.constructiontech.org.cn,,
探险机器人,野外探险区,12.0,米,14.5,米,1.2,米,25,户外探险科技协会,http://www.outdooradventure.org,,
娱乐互动机器人,主题公园,3.0,米,4.0,米,0.3,米,6,游乐设施研究所,http://www.amusementtech.cn,,
巡逻机器人,校园,2.5,米,3.3,米,0.2,米,9,校园安全与管理研究中心,http://www.campussecurity.org.cn,,
文艺演出机器人,剧院舞台,2.0,米,3.0,米,0.4,米,7,表演艺术研究院,http://www.performingarts.org.cn,,
农业监测机器人,农田,10.5,米,12.0,米,0.6,米,20,国家农业研究院,http://www.nationalagri.gov.cn,,
水下探测机器人,湖泊,15.0,米,16.0,米,1.5,米,30,水生生物科学研究所,http://www.aquaticscience.org.cn,,
医疗运输机器人,医院走廊,4.5,米,5.5,米,0.2,米,8,医学运输技术协会,http://www.medtransport.org.cn,,
接送机器人,学校门口,3.5,米,4.5,米,0.5,米,10,教育科技发展中心,http://www.edutechdev.org.cn,,
智能家居管理机器人,家庭厨房,1.3,米,2.2,米,0.3,米,4,家居智能科技研究院,http://www.smart-home.org.cn,,
物流机器人,配送中心,3.0,米,4.5,米,0.5,米,10,国内快递科技协会,https://www.express-tech.org.cn,,
清洁机器人,购物商场,2.0,米,2.5,米,0.1,米,5,智慧城市清洁联会,http://www.smartclean.org,,
自动驾驶机器人,城市交叉口,7.4,米,9.0,米,0.7,米,8,城市交通研究中心,https://www.urbantransport.org.cn,,
安防机器人,商业大厦,3.3,米,4.1,米,0.15,米,6,国家安全科技发展中心,https://www.nssd.gov.cn,,
探索机器人,室外公园,3.5,米,4.5,米,0.5,米,9,机器人探测与导航学会,http://www.robot-navi.org,,
配送机器人,大学校园,5.0,米,6.0,米,0.4,米,7,高校智慧机器人研究中心,https://www.unirobotics.edu.cn,,
休闲机器人,游乐场,4.2,米,5.8,米,0.6,米,5,游乐设施安全委员会,https://www.amusement-safety.org,,
家庭机器人,住宅区,2.5,米,3.0,米,0.2,米,4,家庭智能服务平台,https://www.smart-home.org.cn,,
农业机器人,果园,10.0,米,12.5,米,1.0,米,20,全国农业信息中心,http://www.naiic.gov.cn,,
恢复机器人,伤残康复场所,1.5,米,2.0,米,0.2,米,3,生物医学与康复研究中心,https://www.biomed-rehab.org.cn,,
社交机器人,老年人之家,1.8,米,2.3,米,0.3,米,5,老龄化社会研究协会,https://www.ageing-research.org,,
智能巡逻机器人,社区广场,4.5,米,5.0,米,0.4,米,8,社区安全信息中心,https://www.community-safety.org,,
救援机器人,紧急救护现场,7.0,米,8.5,米,0.7,米,12,应急管理部,https://www.nema.gov.cn,,
游乐机器人,儿童玩乐区,2.1,米,2.9,米,0.2,米,6,儿童玩乐设备协会,http://www.kidsplay.org.cn,,
信息机器人,展览会场,4.0,米,5.0,米,0.5,米,9,国际机器人展览协会,http://www.robotexhibition.org,,
陪伴机器人,养老机构,1.0,米,1.5,米,0.1,米,3,养老科技创新中心,http://www.elderlytech.org.cn,,
运输机器人,工厂车间,3.2,米,4.0,米,0.6,米,10,工业自动化研究院,http://www.iar.org.cn,,
医疗机器人,老年护理中心,1.5,米,1.9,米,0.2,米,5,护理机器人技术协会,http://www.rca.org.cn,,
工业机器人,汽车制造工厂,3.0,米,4.0,米,0.5,米,8,中国汽车工业协会,http://www.auto.org.cn,,
服务机器人,办公楼,4.5,米,5.8,米,0.2,米,10,现代服务机器人研究中心,http://www.msrc.org.cn,,
农业机器人,自动化农田,10.0,米,12.5,米,0.7,米,14,农业机械化协会,http://www.ama.org.cn,,
救援机器人,火灾现场,7.5,米,9.0,米,0.4,米,19,消防技术研究中心,https://www.firetech.org.cn,,
教育机器人,特殊教育学校,2.0,米,2.5,米,0.1,米,5,特殊教育技术研究中心,http://www.spedtech.org.cn,,
服务机器人,餐厅,3.5,米,6.0,米,0.3,米,9,餐饮服务协会,http://www.catering.org.cn,,
移动机器人,城市公园,4.0,米,5.0,米,0.5,米,10,城市科技发展公司的研究机构,http://www.citytech.org.cn,,
物流机器人,配送中心,8.0,米,8.5,米,1.0,米,15,现代物流技术协会,http://www.modernlogistics.org.cn,,
工业机器人,电子产品组装线,5.0,米,6.0,米,0.3,米,10,中国电子制造业协会,http://www.cema.org.cn,,
医疗机器人,手术室,0.8,米,1.1,米,0.05,米,3,医学机器人工程研究中心,http://www.mrei.org.cn,,
救援机器人,地震救援,12.0,米,14.0,米,0.9,米,22,地震救援研究机构,http://www.earthquakeresearch.org.cn,,
农业机器人,大田播种,11.0,米,13.0,米,0.6,米,16,农业技术推广中心,http://www.ata.org.cn,,
教育机器人,博物馆,2.3,米,3.0,米,0.2,米,6,博物馆教育科技发展协会,http://www.museedtech.org.cn,,
服务机器人,健身房,5.2,米,6.8,米,0.4,米,8,健身科技协会,http://www.fitnesstech.org.cn,,
移动机器人,博览会展厅,3.5,米,4.8,米,0.2,米,9,展览与会展技术协会,http://www.expo-tech.org.cn,,
物流机器人,超市,7.0,米,9.1,米,0.7,米,12,零售技术协会,http://www.retailtech.org.cn,,
物流机器人,超市货架,3.0,米,4.2,米,0.4,米,9,零售技术研究所,https://www.retailtech.org.cn,,
服务机器人,餐厅厨房,2.0,米,2.5,米,0.1,米,5,食品科技发展中心,https://www.foodtech.gov.cn,,
清洁机器人,大型会议中心,8.5,米,10.2,米,0.7,米,10,城市环境监测局,https://www.cem.gov.cn,,
娱乐机器人,主题公园,4.2,米,5.0,米,0.3,米,6,文化产业发展中心,https://www.culturalindustry.org.cn,,
医疗机器人,医院急诊,1.5,米,1.9,米,0.2,米,4,医院自动化研究团体,https://www.medautomation.org.cn,,
道路维护机器人,城市道路,10.2,米,12.0,米,0.6,米,15,城市交通研究中心,https://www.citytransport.org.cn,,
救援机器人,自然灾害现场,7.5,米,9.0,米,0.4,米,25,国家应急管理部,https://www.emergency.gov.cn,,
农业机器人,智慧农业田地,15.0,米,17.2,米,1.1,米,20,中国农业科学院,https://www.caas.cn,,
交通管理机器人,交通信号灯路口,3.5,米,4.8,米,0.2,米,8,智能交通技术协会,https://www.smarttraffic.org.cn,,
教育机器人,科学实验室,2.2,米,2.9,米,0.3,米,6,未来教育研究中心,https://www.futureeducation.org.cn,,
家用机器人,家庭厨房,1.0,米,1.5,米,0.1,米,3,家庭科技应用协会,https://www.hometech.org.cn,,
环卫机器人,城市公园,5.0,米,6.5,米,0.5,米,9,城市清洁技术联盟,https://www.cleaningtech.org.cn,,
探险机器人,偏远地区,25.0,米,30.0,米,1.5,米,30,探险科技研发中心,https://www.explorationtech.org.cn,,
行业服务机器人,商业办公大楼,4.5,米,5.5,米,0.3,米,7,行业机器人学会,https://www.industryrobots.org.cn,,
应急响应机器人,紧急疏散现场,6.8,米,8.6,米,0.4,米,12,紧急服务中心,https://www.emergencyservice.org.cn,,
