设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,智能送餐机器人,0.5,mm,3,±0.2,mm,12,N,字符型,中国机器人产业协会,https://www.cria.org.cn,,
特种机器人,水下机器人,2.0,mm,6,±0.7,mm,80,N,字符型,国家水资源管理中心,https://www.nwrm.gov.cn,,
并联机械手,六自由度空气悬浮机器人,0.15,mm,6,±0.05,mm,60,N,字符型,国际自动化工程师协会,https://www.iaea.org,,
SCARA机器人,OMRON SCARA,0.08,mm,4,±0.03,mm,50,N,字符型,日本机器人学会,https://www.rsj.or.jp,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,45,N,字符型,瑞士自动化与机器人协会,https://www.saar.ch,,
特种机器人,搜救机器人,1.8,mm,5,±1.2,mm,75,N,字符型,国际救援组织,https://www.internationalrescue.org,,
服务机器人,接待机器人,0.6,mm,3,±0.4,mm,20,N,字符型,中国服务机器人研究中心,https://www.csrrc.org.cn,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.01,mm,30,N,字符型,德国机器人技术协会,https://www.robotik-deutschland.de,,
六轴机械手,Yaskawa Motoman,0.05,mm,6,±0.02,mm,70,N,字符型,日本电气株式会社,https://www.yaskawa.co.jp,,
特种机器人,喷漆机器人,0.9,mm,4,±0.5,mm,55,N,字符型,国际喷涂技术协会,https://www.paint.org,,
服务机器人,护理机器人,1.0,mm,5,±0.6,mm,25,N,字符型,中华护理协会,https://www.cna.org.cn,,
并联机械手,T型并联机器人,0.12,mm,4,±0.04,mm,65,N,字符型,清华大学机器人研究中心,https://www.thu.edu.cn,,
特种机器人,环境监测机器人,1.2,mm,5,±0.9,mm,40,N,字符型,环保部,https://www.mee.gov.cn,,
协作机器人,FANUC CR-35iA,0.3,mm,6,±0.1,mm,35,N,字符型,国际协作机器人协会,https://www.icra.org,,
服务机器人,清洗机器人,1.5,mm,4,±1.2,mm,32,N,字符型,国内清洁设备论坛,https://www.cleaningchina.org,,
六轴机械手,KUKA AGILUS,0.1,mm,6,±0.06,mm,50,N,字符型,半导体行业协会,https://www.semi.org,,
服务机器人,智能送餐机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国智能机器人产业发展协会,https://www.csrid.org,,
特种机器人,农田灌溉无人机,1.0,mm,4,±0.6,mm,50,N,字符型,国家农委,https://www.nra.gov.cn,,
并联机械手,并联3D打印机,0.15,mm,5,±0.05,mm,25,N,字符型,中国3D打印行业协会,https://www.3dprint.org.cn,,
服务机器人,医用搬运机器人,0.7,mm,3,±0.3,mm,20,N,字符型,世界卫生组织,https://www.who.int,,
六轴机械手,ABB IRB 6700,0.09,mm,6,±0.04,mm,80,N,字符型,国际自动化协会,https://www.iaa.org,,
服务机器人,家用陪伴机器人,1.2,mm,5,±0.5,mm,12,N,字符型,中国科技日报,https://www.stdaily.com,,
特种机器人,海洋探测机器人,1.8,mm,4,±0.7,mm,65,N,字符型,中国海洋科技协会,https://www.cma.org.cn,,
六轴机械手,KUKA LBR iiwa,0.13,mm,7,±0.06,mm,36,N,字符型,国际机器人联合会,https://www.ifr.org,,
SCARA机器人,三菱RV-F系列,0.15,mm,4,±0.03,mm,45,N,字符型,日本机器人产业协会,https://www.jira.org,,
并联机械手,高精度拼装机器人,0.05,mm,3,±0.01,mm,50,N,字符型,中国机器人产业发展中心,https://www.rcdi.org.cn,,
服务机器人,物流仓储机器人,0.9,mm,5,±0.4,mm,38,N,字符型,国际物流与仓储协会,https://www.wla.org,,
特种机器人,核废料处理机器人,1.5,mm,3,±0.9,mm,90,N,字符型,国际原子能机构,https://www.iaea.org,,
六轴机械手,YASKAWA MOTOMAN,0.08,mm,6,±0.04,mm,70,N,字符型,中国机械工程学会,https://www.cmes.org.cn,,
服务机器人,教育机器人,1.3,mm,4,±0.5,mm,22,N,字符型,全球教育机器人协会,https://www.ge-ra.org,,
特种机器人,矿山勘探机器人,2.0,mm,4,±1.2,mm,75,N,字符型,中国矿业联合会,https://www.cmih.org.cn,,
SCARA机器人,Denso SCARA,0.3,mm,4,±0.15,mm,30,N,字符型,日本电机工业会,https://www.jema.org,,
六轴机械手,KUKA KR C4,0.1,mm,6,±0.02,mm,60,N,字符型,德国机械与系统工程协会,https://www.vdma.org,,
服务机器人,智能陪护机器人,0.6,mm,5,±0.2,mm,15,N,字符型,中国机器人产业联盟,https://www.robotics.org.cn,,
特种机器人,水下机器人,2.0,mm,6,±0.7,mm,80,N,字符型,国家海洋局,https://www.soa.gov.cn,,
并联机械手,柔性装配机器人,0.25,mm,3,±0.05,mm,45,N,字符型,中国科学院自动化研究所,https://www.ia.ac.cn,,
SCARA机器人,安川SCARA,0.05,mm,4,±0.01,mm,38,N,字符型,日本机器人技术协会,https://www.jara.jp,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.04,mm,50,N,字符型,国际机器人学会,https://www.isa.org,,
服务机器人,医疗导诊机器人,1.0,mm,5,±0.3,mm,12,N,字符型,中国医疗器械协会,https://www.cmda.net.cn,,
特种机器人,舱内巡检机器人,1.8,mm,4,±0.9,mm,65,N,字符型,中国船舶工业集团,https://www.csic.com.cn,,
六轴机械手,KUKA LBR iiwa,0.1,mm,7,±0.02,mm,30,N,字符型,德国自动化与机器人协会,https://www.vdma.org,,
协作机器人,Rethink Robotics Baxter,0.3,mm,7,±0.1,mm,22,N,字符型,环球机器人行动平台,https://www.robotiq.com,,
六轴机械手,Yaskawa MOTOMAN,0.18,mm,6,±0.03,mm,60,N,字符型,自动控制与机器人协会,https://www.icra.org,,
特种机器人,无人配送机器人,1.0,mm,4,±0.4,mm,20,N,字符型,中国快递协会,https://www.cainiao.com,,
服务机器人,厨房助手机器人,0.5,mm,5,±0.15,mm,16,N,字符型,中国家庭服务机器人协会,https://www.china-service-robot.org,,
六轴机械手,MOTOMAN-HP50D,0.2,mm,6,±0.04,mm,75,N,字符型,日本电气公司,https://www.nec.com,,
并联机械手,FlexPicker机器人,0.1,mm,3,±0.02,mm,50,N,字符型,全球包装与包装机械协会,https://www.pmac.org,,
协作机器人,RoboDK虚拟机器人,0.25,mm,6,±0.05,mm,25,N,字符型,虚拟现实与机器人学会,https://www.robodk.com,,
特种机器人,消防无人机,2.0,mm,4,±1.0,mm,80,N,字符型,中国应急管理部,https://www.mem.gov.cn,,
服务机器人,室内清洁机器人,1.2,mm,5,±0.6,mm,18,N,字符型,中国智能服务机器人协会,https://www.chinasmartrobotics.org,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.05,mm,29,N,字符型,德国产业4.0网络,https://www.industrie40.de,,
并联机械手,Stewart平台机器人,0.5,mm,6,±0.1,mm,100,N,字符型,国际机械自动化协会,https://www.iamma.org,,
特种机器人,农业无人机,2.0,mm,4,±1.0,mm,85,N,字符型,中国农业科学院,https://www.caas.cn,,
服务机器人,外卖配送机器人,0.9,mm,4,±0.4,mm,15,N,字符型,中国电子商务研究中心,https://www.cbeic.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.02,mm,75,N,字符型,国际机器人研究所,https://www.iri.org,,
特种机器人,清障机器人,3.0,mm,3,±1.8,mm,80,N,字符型,中国市场监管总局,https://www.samr.gov.cn,,
服务机器人,健康监测机器人,0.6,mm,5,±0.3,mm,20,N,字符型,中国医疗机器人研究中心,https://www.cmrc.org.cn,,
六轴机械手,Yaskawa Motoman GP7,0.1,mm,6,±0.05,mm,60,N,字符型,日本工业机器人协会,https://www.jira.or.jp,,
协作机器人,Rethink Robotics Sawyer,0.4,mm,7,±0.09,mm,22,N,字符型,美国机器人协会,https://www.robotics.org,,
特种机器人,海洋探测机器人,1.8,mm,4,±1.2,mm,90,N,字符型,国家海洋局,https://www.soa.gov.cn,,
服务机器人,接待机器人,1.0,mm,5,±0.5,mm,25,N,字符型,人工智能发展联盟,https://www.aida.org,,
服务机器人,零售启示机器人,0.7,mm,4,±0.35,mm,12,N,字符型,零售科技协会,https://www.retailtech.org,,
特种机器人,探险机器人,2.2,mm,6,±1.0,mm,50,N,字符型,国际探险发现协会,https://www.expansion.org,,
六轴机械手,MOTOMAN-KA,0.05,mm,6,±0.02,mm,73,N,字符型,亚洲机器人联合会,https://www.arj.org,,
并联机械手,Trinamic 3D打印机器人,0.4,mm,3,±0.15,mm,45,N,字符型,3D打印技术协会,https://www.3dprint.org,,
特种机器人,高空作业机器人,1.4,mm,4,±0.9,mm,65,N,字符型,国家高空作业安全协会,https://www.esc.org,,
服务机器人,家庭护理机器人,0.5,mm,4,±0.2,mm,12,N,字符型,中国健康机器人研究中心,https://www.healthrobotics.org,,
特种机器人,水下探测机器人,1.0,mm,6,±0.7,mm,50,N,字符型,海洋工程协会,https://www.oceanengineering.org,,
并联机械手,精准医疗机器人,0.05,mm,3,±0.02,mm,20,N,字符型,国家医疗器械监督管理局,https://www.nmpa.gov.cn,,
服务机器人,智能餐饮机器人,1.2,mm,4,±0.6,mm,25,N,字符型,中国餐饮机器人协会,https://www.cateringrobot.org,,
协作机器人,教育机器人,0.4,mm,6,±0.1,mm,15,N,字符型,国际机器人教育联盟,https://www.roboteducation.org,,
六轴机械手,工程施工机器人,0.2,mm,6,±0.04,mm,80,N,字符型,中国建筑科学研究院,https://www.cari.org.cn,,
特种机器人,救援机器人,2.0,mm,3,±1.0,mm,90,N,字符型,中国灾难救援协会,https://www.rescue.org.cn,,
六轴机械手,精密装配机器人,0.1,mm,6,±0.03,mm,55,N,字符型,国际精密工程协会,https://www.precisionengineering.org,,
服务机器人,老人陪护机器人,1.5,mm,3,±0.5,mm,40,N,字符型,中国老龄事业发展协会,https://www.chinaelderly.org,,
并联机械手,小型包装机器人,0.25,mm,3,±0.1,mm,22,N,字符型,中国包装机械协会,https://www.packaging.org.cn,,
SCARA机器人,工厂自动化SCARA,0.08,mm,4,±0.05,mm,38,N,字符型,中国制造业发展研究院,https://www.cmri.org.cn,,
特种机器人,灾后评估机器人,1.0,mm,5,±0.4,mm,65,N,字符型,中国应急管理部,https://www.mem.gov.cn,,
六轴机械手,医用机器人手术助手,0.02,mm,6,±0.01,mm,30,N,字符型,国家医疗服务中心,https://www.nmhs.gov.cn,,
协作机器人,工厂生产协作机器人,0.6,mm,6,±0.2,mm,58,N,字符型,中国工业自动化协会,https://www.china-automation.org,,
服务机器人,智能垃圾分类机器人,1.8,mm,4,±0.7,mm,28,N,字符型,环保机器人研究中心,https://www.environmentrobot.org,,
特种机器人,高空作业机器人,0.15,mm,3,±0.08,mm,75,N,字符型,国际高空作业设备联合会,https://www.ihaea.org,,
六轴机械手,货运搬运机器人,0.5,mm,6,±0.2,mm,85,N,字符型,货运机器人技术研究所,https://www.cargorobotics.org,,
服务机器人,清洁服务机器人,0.5,mm,5,±0.3,mm,15,N,字符型,国际自动化协会,https://www.iaa.org,,
特种机器人,救援机器人,2.0,mm,4,±1.0,mm,80,N,字符型,中国应急管理部,https://www.mem.gov.cn,,
并联机械手,高精度Delta机器人,0.2,mm,3,±0.05,mm,60,N,字符型,IEEE机器人与自动化杂志,https://www.ieee-ras.org,,
SCARA机器人,安川SCARA,0.15,mm,4,±0.1,mm,45,N,字符型,日本机器人协会,https://www.jara.jp,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.02,mm,75,N,字符型,全球自动化协会,https://www.automate.org,,
服务机器人,物流搬运机器人,1.0,mm,4,±0.5,mm,50,N,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
协作机器人,KUKA LBR iiwa,0.4,mm,7,±0.1,mm,20,N,字符型,KUKA技术中心,https://www.kuka.com,,
六轴机械手,Yaskawa MOTOMAN,0.05,mm,6,±0.03,mm,64,N,字符型,日本电气机械公司,https://www.yaskawa.com,,
六轴机械手,FANUC M-10iA,0.2,mm,6,±0.05,mm,70,N,字符型,日本机器人协会,https://www.jara.jp,,
特种机器人,农业采摘机器人,1.5,mm,4,±0.7,mm,65,N,字符型,中国农业机械化协会,https://www.cama.org.cn,,
服务机器人,餐饮服务机器人,0.6,mm,6,±0.2,mm,25,N,字符型,中国餐饮业协会,https://www.chinacatering.org,,
特种机器人,探测机器人,2.0,mm,3,±1.2,mm,90,N,字符型,国家技术监督局,https://www.standards.gov.cn,,
六轴机械手,Universal Robots UR10,0.3,mm,6,±0.1,mm,48,N,字符型,全球机器人技术协会,https://www.worldrobotics.org,,
服务机器人,老年护理机器人,1.2,mm,4,±0.5,mm,30,N,字符型,中国老年人协会,https://www.celder.org,,
特种机器人,越野机器人,2.5,mm,5,±1.5,mm,85,N,字符型,国家军械局,https://www.nsm.gov.cn,,
并联机械手,高速Pick-and-Place机器人,0.4,mm,3,±0.1,mm,55,N,字符型,德国机械工程协会,https://www.vdma.org,,
六轴机械手,Mitsubishi RV-2AJ,0.1,mm,6,±0.02,mm,58,N,字符型,日本三菱电机,https://www.mitsubishielectric.com,,
协作机器人,ABB YuMi,0.15,mm,7,±0.05,mm,50,N,字符型,瑞士机器人技术协会,https://www.robotics.ch,,
远程操作机器人,EOD机器人,3.0,mm,4,±2.0,mm,40,N,字符型,国际反恐组织,https://www.ict.org,,
并联机械手,RoboDK Delta,0.25,mm,3,±0.07,mm,85,N,字符型,欧洲机器人协会,https://www.eurobotics.org,,
服务机器人,家庭陪伴机器人,1.0,mm,6,±0.5,mm,15,N,字符型,家庭科技创新中心,https://www.homeinnovations.org,,
特种机器人,海洋清理机器人,1.8,mm,5,±1.2,mm,30,N,字符型,海洋保护局,https://www.ocean.gov,,
六轴机械手,Mitsubishi RV-6SL,0.09,mm,6,±0.03,mm,70,N,字符型,日本工业机器人协会,https://www.jira.or.jp,,
服务机器人,餐厅送餐机器人,1.2,mm,4,±0.6,mm,20,N,字符型,餐饮科技协会,https://www.fandtech.org,,
特种机器人,灭火机器人,2.0,mm,5,±1.5,mm,90,N,字符型,国际消防安全协会,https://www.ifsaa.org,,
供应链机器人,自动搬运机器人,0.5,mm,6,±0.2,mm,60,N,字符型,物流与自动化协会,https://www.laas.org,,
六轴机械手,KUKA LBR iiwa,0.08,mm,7,±0.02,mm,55,N,字符型,德国机械工程学会,https://www.vdma.org,,
农业机器人,精准农业无人机,1.0,mm,4,±0.5,mm,150,N,字符型,国际农业机械学会,https://www.iam.org,,
特种机器人,核应急机器人,2.0,mm,4,±1.8,mm,80,N,字符型,国家核安全局,https://www.nrc.gov,,
服务机器人,老年护理机器人,2.5,mm,3,±1.2,mm,25,N,字符型,国家老龄工作委员会,https://www.nag.gov.cn,,
工业清洗机器人,高压清洗机器人,0.6,mm,5,±0.1,mm,110,N,字符型,中国清洁技术协会,https://www.cta.org.cn,,
六轴机械手,Yaskawa Motoman,0.07,mm,6,±0.02,mm,90,N,字符型,日本机器人行业协会,https://www.jara.jp,,
服务机器人,卫星通信机器人,1.5,mm,4,±0.9,mm,50,N,字符型,国际卫星组织,https://www.isoa.org,,
AGV机器人,智能物流小车,1.2,mm,3,±0.5,mm,20,N,字符型,中国智能物流研究院,https://www.citsri.org,,
服务机器人,陪伴机器人,0.5,mm,6,±0.3,mm,12,N,字符型,中国机器人产业协会,https://www.cria.org.cn,,
特种机器人,核电站维护机器人,3.0,mm,5,±2.0,mm,90,N,字符型,中国核能安全局,https://www.cnsc.gov.cn,,
并联机械手,库存管理机器人,0.4,mm,3,±0.1,mm,50,N,字符型,中国自动化技术协会,https://www.casa.org.cn,,
协作机器人,轻量级组装机器人,0.3,mm,6,±0.05,mm,15,N,字符型,日本机器人协会,https://www.jara.jp,,
特种机器人,救援机器人,2.0,mm,4,±1.2,mm,80,N,字符型,国际救援组织,https://www.ilo.org,,
服务机器人,老年人看护机器人,1.0,mm,5,±0.6,mm,25,N,字符型,中国老龄产业发展协会,https://www.cla.org.cn,,
六轴机械手,安川Motoman,0.15,mm,6,±0.03,mm,60,N,字符型,日本安川电机公司,https://www.yaskawa.co.jp,,
几何机器人,教育机器人,1.8,mm,4,±0.9,mm,40,N,字符型,国际教育机器人协会,https://www.uer.org,,
SCARA机器人,安川SCARA,0.09,mm,4,±0.2,mm,45,N,字符型,中国电子学会,https://www.cec.org.cn,,
协作机器人,Steve生产线机器人,0.7,mm,6,±0.4,mm,30,N,字符型,德国工程协会,https://www.vdma.org,,
六轴机械手,Kawasaki IK系列,0.1,mm,6,±0.02,mm,70,N,字符型,日本川崎重工业,https://www.khi.co.jp,,
特种机器人,矿山检测机器人,2.2,mm,5,±1.3,mm,85,N,字符型,国家矿山安全监管局,https://www.nms.gov.cn,,
服务机器人,餐饮外送机器人,0.6,mm,4,±0.2,mm,32,N,字符型,中国餐饮行业协会,https://www.china-catering.org,,
并联机械手,医疗手术助力机器人,0.05,mm,6,±0.02,mm,55,N,字符型,国际医学机器人研究会,https://www.imra.org,,
服务机器人,家庭清洁机器人,1.4,mm,5,±0.7,mm,20,N,字符型,国际家居协会,https://www.ihs.com,,
特种机器人,地震救援机器人,2.8,mm,4,±1.6,mm,75,N,字符型,全球救灾合作组织,https://www.werc.org,,
SCARA机器人,旅行箱打包机器人,0.2,mm,4,±0.01,mm,37,N,字符型,国际包装协会,https://www.ipc.org,,
服务机器人,餐厅送餐机器人,1.0,mm,3,±0.5,mm,20,N,字符型,智能餐饮发展委员会,https://www.smartcatering.org,,
清洁机器人,室内清扫机器人,0.5,mm,4,±0.2,mm,15,N,字符型,清洁行业协会,https://www.cleaningindustry.org,,
特种机器人,农业无人机,1.2,mm,3,±0.7,mm,40,N,字符型,农业科技推广中心,https://www.agriculturetech.org,,
协作机器人,小型工业协作机器人,0.15,mm,6,±0.05,mm,28,N,字符型,国际协作机器人协会,https://www.cobot.org,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,75,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,医院巡逻机器人,1.0,mm,4,±0.6,mm,22,N,字符型,医疗机器人研究所,https://www.medrobotics.org,,
特种机器人,核能维修机器人,2.0,mm,4,±1.0,mm,90,N,字符型,国际核能机构,https://www.iaea.org,,
服务机器人,老年护工机器人,1.5,mm,5,±0.8,mm,35,N,字符型,老年服务协会,https://www.seniorservices.org,,
并联机械手,高速Pick-and-Place机器人,0.2,mm,3,±0.1,mm,60,N,字符型,智能制造科技协会,https://www.smartmanufacturing.org,,
特种机器人,水下探测机器人,3.0,mm,3,±1.2,mm,100,N,字符型,海洋科学研究所,https://www.oceanresearch.org,,
服务机器人,商场导购机器人,0.5,mm,3,±0.3,mm,18,N,字符型,商业机器人协会,https://www.commercialrobots.org,,
六轴机械手,MOTOMAN MH50,0.05,mm,6,±0.02,mm,70,N,字符型,日本机器人协会,https://www.japanrobotics.org,,
特种机器人,消防无人艇,2.0,mm,4,±1.0,mm,85,N,字符型,中国应急管理部,https://www.mem.gov.cn,,
服务机器人,社区互动机器人,1.0,mm,4,±0.5,mm,25,N,字符型,社会服务机器人中心,https://www.socialrobotics.org,,
六轴机械手,KUKA LBR iiwa,0.1,mm,7,±0.05,mm,50,N,字符型,德国工业机器人协会,https://www.germanrobotics.org,,
特种机器人,海洋清洁机器人,1.0,mm,4,±0.4,mm,45,N,字符型,环保科技协会,https://www.environmentaltech.org,,
服务机器人,智能家居助手,0.5,mm,6,±0.3,mm,30,N,字符型,家居智能技术协会,https://www.hometech.org,,
服务机器人,智能陪伴机器人,1.0,mm,5,±0.5,mm,15,N,字符型,中国老龄化产业协会,https://www.caa.org.cn,,
特种机器人,地面水下机器人,1.2,mm,6,±0.6,mm,50,N,字符型,国际海洋机器人协会,https://www.marine-robotics.org,,
并联机械手,三维打印机器人,0.25,mm,3,±0.15,mm,45,N,字符型,中国3D打印行业协会,https://www.china3dprint.org,,
服务机器人,酒店服务机器人,0.9,mm,4,±0.4,mm,28,N,字符型,国际酒店技术网,https://www.hoteltechworld.com,,
特种机器人,扫雷机器人,1.8,mm,2,±1.0,mm,80,N,字符型,非政府组织扫雷协会,https://www.minesweeper.org,,
六轴机械手,机器人焊接手臂,0.5,mm,6,±0.03,mm,75,N,字符型,中国焊接协会,https://www.cwa.org.cn,,
协作机器人,小型协作机器人,0.6,mm,6,±0.2,mm,20,N,字符型,国际工业机器人协会,https://www.worldrobotics.org,,
特种机器人,遥控疏浚机器人,2.0,mm,3,±0.7,mm,90,N,字符型,国际水利工程协会,https://www.waterengineering.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.02,mm,60,N,字符型,瑞士ABB公司,https://global.abb,,
并联机械手,Puma机械手,0.35,mm,3,±0.12,mm,65,N,字符型,国际机械平台论坛,https://www.impf.org,,
服务机器人,医疗健康机器人,1.1,mm,4,±0.5,mm,32,N,字符型,世界卫生组织,https://www.who.int,,
机器人,战争侦查无人机,2.2,mm,5,±0.8,mm,120,N,字符型,国际防务论坛,https://www.defenseforum.org,,
特种机器人,火灾侦查机器人,0.4,mm,4,±0.2,mm,40,N,字符型,国家火灾监测中心,https://www.firemonitoring.org,,
