公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
腾讯科技,智能语音识别技术,基于人工智能的语音识别系统,识别准确率高，语音处理速度快,智能语音识别软件著作权,腾讯官网,https://cloud.tencent.com/product/asr,2024-09-15,,,,,,,,,,,,
京东数科,数据驱动营销技术,基于大数据分析的精准营销解决方案,提高转化率，降低营销成本,数据精准营销软件著作权,京东官网,https://jcloud.com/product/marketing,2024-09-15,,,,,,,,,,,,
字节跳动,机器学习平台,高效的机器学习建模与部署工具,支持多种算法，操作简便,机器学习平台软件著作权,字节跳动官网,https://www.bytedance.com/en/tech/ml,2024-09-15,,,,,,,,,,,,
小米科技,智能家居系统,集成化的智能家居管理平台,无人值守，控制便捷,智能家居管理软件著作权,小米官网,https://www.mi.com/smart-home,2024-09-15,,,,,,,,,,,,
平安科技,人工智能风控技术,覆盖广泛的物联网解决方案,实现设备互联互通，数据交互高效,物联网管理软件著作权,中兴官网,https://www.zte.com.cn/cn/products/iot,2024-09-15,,,,,,,,,,,,
百度,自动驾驶技术,利用AI实现风险控制与管理,风险识别快速，决策支持精准,人工智能风控软件著作权,平安官网,https://www.pingan.com/ai/risks,2024-09-15,,,,,,,,,,,,
网易,云游戏技术,基于深度学习的自驾车技术平台,安全性高，路径规划智能,自动驾驶软件著作权,百度官网,https://www.baidu.com/auto,2024-09-15,,,,,,,,,,,,
京东数字科技,人工智能推荐系统,线上实时游戏处理平台,低延迟，高并发支持,云游戏管理软件著作权,网易官网,https://www.163.com/game,2024-09-15,,,,,,,,,,,,
腾讯云,边缘计算技术,基于用户行为的个性化推荐算法,提升用户购买转化率，优化用户体验,推荐系统软件著作权,京东数字科技官网,https://www.jd.com/digital,2024-09-15,,,,,,,,,,,,
阿里云,智能语音识别技术,提升网络响应速度的边缘计算解决方案,实时处理能力强，降低延迟,边缘计算软件著作权,腾讯云官网,https://cloud.tencent.com/edge,2024-09-15,,,,,,,,,,,,
平安科技,智能风险评估平台,自然语言处理与语音转文本技术,识别率高，支持多语种,语音识别软件著作权,阿里云官网,https://www.aliyun.com/product/ai/voice,2024-09-15,,,,,,,,,,,,
钉钉,在线协作与办公平台,高速率、低延迟的移动通信技术,使万物互联更为高效，全面提升连接体验,5G通信软件著作权,华为官网,https://www.huawei.com/cn/technology/5g,2024-09-15,,,,,,,,,,,,
美团点评,城市大数据平台,利用数据模型进行风险预测与评估,准确率高，快速响应市场变化,风险评估软件著作权,平安科技官网,http://www.pingan.com/technology/risk,2024-09-15,,,,,,,,,,,,
IBM,云原生服务,多功能团队协作与远程办公解决方案,支持实时通讯，任务高效管理,在线办公软件著作权,钉钉官网,https://www.dingtalk.com,2024-09-15,,,,,,,,,,,,
博冠科技,人工智能算法,整合城市消费数据进行分析与决策,基于数据驱动的城市治理方案,城市大数据软件著作权,美团官网,https://www.meituan.com/tech,2024-09-15,,,,,,,,,,,,
星云信息,边缘计算技术,连接设备与用户的物联网解决方案,实现设备智能化，推动智慧城市,物联网软件著作权,中兴官网,https://www.zte.com.cn/cn/smart-city,2024-09-15,,,,,,,,,,,,
云锐科技,智能客服系统,利用AI技术进行自主驾驶系统研发,安全性高，运行成本低,自动驾驶软件著作权,百度官网,https://www.baidu.com/tech/autodrive,2024-09-15,,,,,,,,,,,,
宏智科技,物联网平台,支持快速开发与部署的云基础架构,提升应用交付速度，降低Latency,云原生服务软件著作权,IBM官网,https://www.ibm.com/cloud/native,2024-09-15,,,,,,,,,,,,
维亿科技,数字孪生技术,基于深度学习的图像识别系统,识别准确率高达98%，处理速度快,图像识别算法软件著作权,博冠科技官网,https://www.boguangtech.com/ai,2024-09-15,,,,,,,,,,,,
云腾科技,区块链身份验证技术,基于边缘设备的数据处理与分析平台,减少延迟，提升实时性,边缘计算软件著作权,星云信息官网,https://www.xingyuninfo.com/edge,2024-09-15,,,,,,,,,,,,
智汇科技,自动化测试平台,应用自然语言处理的客户服务解决方案,支持多语言，24小时在线服务,智能客服软件著作权,云锐科技官网,https://www.yunrui.com/customer-service,2024-09-15,,,,,,,,,,,,
达熙科技,5G通信技术,集成智能设备的数据监控与管理系统,支持多种无线通讯协议,物联网管理软件著作权,宏智科技官网,https://www.hongzhi.com/iot,2024-09-15,,,,,,,,,,,,
智感科技,智慧城市解决方案,创建物理对象的数字化模拟平台,提供实时数据反馈，优化决策,数字孪生软件著作权,维亿科技官网,https://www.weiyi.com/digital-twin,2024-09-15,,,,,,,,,,,,
天云科技,量子计算技术,无中介的数字身份管理解决方案,提高身份验证安全性，防止伪造,身份验证软件著作权,云腾科技官网,https://www.yunteng.com/blockchain-id,2024-09-15,,,,,,,,,,,,
星海科技,人工智能技术,支持各种软件的自动化测试解决方案,缩短测试周期，提高测试覆盖率,自动化测试软件著作权,智汇科技官网,https://www.zhihui.com/automation-testing,2024-09-15,,,,,,,,,,,,
云创科技,边缘计算技术,高速度、大容量的第五代通信技术,周转延迟减少至1ms,5G通信软件著作权,达熙科技官网,https://www.daxi.com/5g,2024-09-15,,,,,,,,,,,,
迅智科技,物联网技术,集成城市管理与服务的平台,提升城市服务效率，智能调度资源,智慧城市软件著作权,智感科技官网,https://www.zhigansmart.com/smart-city,2024-09-15,,,,,,,,,,,,
恒信通,机器人流程自动化技术,基于量子叠加的计算模型,在数据处理能力上突破经典计算限制,量子计算软件著作权,天云科技官网,https://www.tianyun.com/quantum-computing,2024-09-15,,,,,,,,,,,,
红杉网络,5G网络技术,基于深度学习的智能客服系统,支持自然语言处理，响应准确率高,智能客服软件著作权,星海科技官网,https://www.xinghai.com.cn/ai,2024-09-15,,,,,,,,,,,,
中软国际,云原生技术,动态边缘数据处理平台,减少延迟，提高实时性,边缘计算软件著作权,云创科技数据报告,https://www.yun-creation.com/edge,2024-09-15,,,,,,,,,,,,
科智联,大数据备份与恢复技术,智能设备互联与数据采集系统,大规模设备接入，数据实时采集,物联网管理软件著作权,迅智科技产品手册,https://www.xunzhi.com/iot,2024-09-15,,,,,,,,,,,,
云辰科技,智能推荐系统,企业内部流程自动化解决方案,降低人工成本，提高工作效率,机器人流程自动化软件著作权,恒信通官网,https://www.hengxintong.com/rpa,2024-09-15,,,,,,,,,,,,
新视觉科技,计算机视觉技术,下一代移动通信网络架构,传输速度快，覆盖范围广,5G网络管理软件著作权,红杉网络白皮书,https://www.hongshan.net/5g,2024-09-15,,,,,,,,,,,,
万维数字,虚拟现实技术,基于微服务架构的应用平台,快速部署，弹性扩展,云原生应用软件著作权,中软国际智库,http://www.chinasoft.com/cloudnative,2024-09-15,,,,,,,,,,,,
光大科技,人工智能技术,全方位数据备份和灾难恢复解决方案,高安全性，数据恢复迅速,数据备份软件著作权,科智联官网,https://www.kezhi.com/data-recovery,2024-09-15,,,,,,,,,,,,
亿佰科技,物联网平台,基于用户行为分析的个性化推荐平台,提高用户粘性，优化转化率,推荐算法软件著作权,云辰科技案例分析,https://www.yuncheng.com/recommendation,2024-09-15,,,,,,,,,,,,
神州数码,虚拟现实技术,图像识别与分析平台,对图像处理精度高，应用广泛,计算机视觉软件著作权,新视觉科技研究报告,https://www.newvision.com/vision,2024-09-15,,,,,,,,,,,,
京东科技,边缘计算技术,沉浸式虚拟体验系统,提供真实感，交互性强,虚拟现实软件著作权,万维数字官网,https://www.wanwei.com/vr,2024-09-15,,,,,,,,,,,,
青云科技,自动化测试技术,基于深度学习的智能决策支持系统,自主学习能力强，适应性高,人工智能决策软件著作权,光大科技官网,https://www.gdai.com/ai,2024-09-15,,,,,,,,,,,,
腾讯云,大数据存储技术,智能设备联网与数据融合解决方案,实时数据采集，处理效率高,物联网管理软件著作权,亿佰科技官网,http://www.iyibai.com/iot,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,区块链云服务,高速率低延迟的5G网络解决方案,网络容量大，连接稳定性高,5G网络管理软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
金山办公,在线协同办公技术,沉浸式虚拟环境构建与应用,用户体验真实，互动性强,虚拟现实应用软件著作权,神州数码官网,https://www.digitalchina.com/vr,2024-09-15,,,,,,,,,,,,
百度,自然语言处理技术,将计算和存储能力向数据源靠近,降低延迟，提高数据处理效率,边缘计算软件著作权,京东科技官网,https://www.jd.com/edge,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,人工智能技术,全生命周期的软件测试自动化平台,测试覆盖率高，降低人力成本,自动化测试软件著作权,青云科技官网,https://www.qingcloud.com/test,2024-09-15,,,,,,,,,,,,
腾讯科技,智能客服系统,高可用性和可扩展性的数据存储解决方案,支持快速查询，容灾能力强,大数据存储软件著作权,腾讯云官网,https://cloud.tencent.com/bigdata,2024-09-15,,,,,,,,,,,,
百度公司,大规模搜索引擎技术,基于区块链的分布式应用平台,数据不可篡改，交易透明,区块链云服务软件著作权,阿里巴巴官网,https://www.alibaba.com/blockchain,2024-09-15,,,,,,,,,,,,
京东科技,供应链管理技术,基于云的团队协作与文件共享平台,支持实时编辑，安全性高,在线协同办公软件著作权,金山办公官网,https://www.wps.cn/collaboration,2024-09-15,,,,,,,,,,,,
小米科技,物联网平台,高效的文本分析与理解系统,支持多场景应用，准确率高,自然语言处理软件著作权,百度官网,https://cloud.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
网易科技,虚拟现实技术,面向全场景的5G接入解决方案,网络速率高，延迟低，支持万物互联,5G通信管理软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
易鑫科技,自动驾驶技术,基于深度学习的智能数据分析平台,极大提升决策效率，精确度高,人工智能分析软件著作权,阿里巴巴官网,https://www.alibaba.com/ai,2024-09-15,,,,,,,,,,,,
字节跳动,推荐算法技术,基于AI的自动化客服解决方案,全天候服务，响应时间短,智能客服软件著作权,腾讯官网,https://www.tencent.com/en/customer-service,2024-09-15,,,,,,,,,,,,
海康威视,视频监控技术,优化的索引与检索算法,搜索精准度高，响应速度快,搜索引擎管理软件著作权,百度官网,https://www.baidu.com/search-engine,2024-09-15,,,,,,,,,,,,
云智科技,人工智能技术,智能化的供应链柔性调度平台,降低库存成本，提升交货效率,供应链管理软件著作权,京东官网,https://www.jd.com/supply-chain,2024-09-15,,,,,,,,,,,,
未来网络,5G通信技术,智能设备连接与互操作能力,实现多设备联动，用户体验优越,物联网管理软件著作权,小米官网,https://www.mi.com/iot,2024-09-15,,,,,,,,,,,,
易联科技,物联网平台,沉浸式互动体验平台,增强用户参与感，场景真实感强,虚拟现实软件著作权,网易官网,https://www.163.com/vr,2024-09-15,,,,,,,,,,,,
深蓝软控,机器学习算法,基于人工智能的自动控制系统,提高行车安全性，降低交通事故率,自动驾驶软件著作权,易鑫官网,https://www.ezcar.com/autonomous-driving,2024-09-15,,,,,,,,,,,,
南方新媒,增强现实技术,个性化内容推送系统,提升用户粘性，提高内容消费率,内容推荐软件著作权,字节跳动官网,https://www.bytedance.com/recommendation,2024-09-15,,,,,,,,,,,,
智远科技,边缘计算技术,智能化视频分析与处理系统,实时监测，反应迅速，安全性高,视频监控软件著作权,海康威视官网,https://www.hikvision.com/en/video-surveillance,2024-09-15,,,,,,,,,,,,
智慧云宇,自动化测试技术,智能监控与分析系统,支持实时数据监测，智能决策支持,人工智能平台软件著作权,云智科技官网,https://www.yunzhi.com/ai,2024-09-15,,,,,,,,,,,,
星链科技,量子计算技术,高速低延迟的无线通信解决方案,支持高速数据传输，连接设备数量倍增,5G通信软件著作权,未来网络官网,https://www.weilaid.com/5g,2024-09-15,,,,,,,,,,,,
云帆科技,流媒体技术,集成化物联网设备管理系统,互联互通性强，实现智能家居,物联网管理软件著作权,易联科技官网,https://www.eelink.com/iot,2024-09-15,,,,,,,,,,,,
青云科技,智能合约技术,基于数据的智能预测平台,学习能力强，准确性高,机器学习软件著作权,深蓝软控官网,https://www.deepbluecontrol.com/ml,2024-09-15,,,,,,,,,,,,
华为技术有限公司,5G网络技术,沉浸式用户体验解决方案,真实感强，交互性高,增强现实软件著作权,南方新媒官网,https://www.nfmedia.com/ar,2024-09-15,,,,,,,,,,,,
腾讯科技,人工智能技术,数据处理与存储于近端设备,降低延迟，提升实时性,边缘计算软件著作权,智远科技官网,https://www.zhyuan.com/edge,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,物联网技术,高效的应用软件测试平台,自动化程度高，缩短测试周期,自动化测试软件著作权,智慧云宇官网,https://www.zhihui.cloud/testing,2024-09-15,,,,,,,,,,,,
百度在线网络技术公司,自然语言处理技术,革命性计算能力解决方案,计算速度超越传统计算机,量子计算软件著作权,星链科技官网,https://www.xinglian.com/quantum,2024-09-15,,,,,,,,,,,,
网易公司,云游戏技术,高效的视频传输与处理平台,支持4K高清视频流，延迟低,流媒体软件著作权,云帆科技官网,https://www.yunfan.com/streaming,2024-09-15,,,,,,,,,,,,
京东数字科技,智能物流技术,基于区块链的自动化执行协议,减少信任成本，提高效率,智能合约软件著作权,青云科技官网,https://www.qingyun.com/smartcontract,2024-09-15,,,,,,,,,,,,
滴滴出行,智能出行技术,高速度、大容量的无线通信技术,低延迟，大连接数，支持智能终端,5G网络管理软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
中兴通讯,边缘计算技术,基于机器学习的智能决策系统,提高业务智能化水平，优化客户体验,AI决策软件著作权,腾讯科技官网,https://www.tencent.com/AI,2024-09-15,,,,,,,,,,,,
美团点评,餐饮智能化技术,智能设备互联互通平台,实现设备间数据共享与协同工作,物联网平台软件著作权,阿里巴巴官网,https://www.alibaba.com/iot,2024-09-15,,,,,,,,,,,,
云顶科技,人工智能训练平台,基于深度学习的语言理解与生成体系,支持多语言翻译和语音识别,NLP软件著作权,百度官网,https://www.baidu.com/NLP,2024-09-15,,,,,,,,,,,,
华为技术有限公司,5G网络优化技术,基于云端架构的游戏分发与管理平台,提供高品质游戏体验，降低用户负担,云游戏服务软件著作权,网易游戏官网,https://www.163.com/games,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,边缘计算技术,综合供应链与物流管理系统,提升物流效率，降低运输成本,物流管理软件著作权,京东官网,https://www.jd.com/logistics,2024-09-15,,,,,,,,,,,,
海南钜隆科技,智能合约技术,高精度的语音转文本技术,准确率高，适用场景广泛,语音识别软件著作权,科大讯飞官网,https://www.iflytek.com/voice,2024-09-15,,,,,,,,,,,,
用友网络科技,企业资源计划（ERP）系统,基于大数据的动态调度系统,提高出行效率，降低等待时间,出行调度软件著作权,滴滴官网,https://www.didiglobal.com/technology,2024-09-15,,,,,,,,,,,,
金蝶软件,云财务解决方案,实时数据处理与分析系统,减少延迟，提高响应速度,边缘计算管理软件著作权,中兴官网,https://www.zte.com.cn/edge-computing,2024-09-15,,,,,,,,,,,,
平安科技,智慧医疗解决方案,基于AI的餐饮管理与预测系统,提升运营效率，优化客户服务,餐饮管理软件著作权,美团官网,https://www.meituan.com/technology,2024-09-15,,,,,,,,,,,,
奥克斯信息,物联网设备管理平台,全面优化的AI模型训练与调优系统,显著提升模型精度，加速训练时间,AI训练软件著作权,云顶科技官网,https://www.yundingtech.com/ai,2024-09-15,,,,,,,,,,,,
达摩院,量子计算技术,支持多用户高效接入的5G网络管理技术,提升网络吞吐量，降低延迟,5G网络管理软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
瑞云科技,智能推荐系统,为IoT设备提供本地数据处理方案,减少数据传输延迟，增强数据安全性,边缘计算软件著作权,阿里巴巴官网,https://www.alibaba.com/edge-computing,2024-09-15,,,,,,,,,,,,
腾讯云,人工智能技术,为合同执行提供自动化保障的区块链技术,降低合同纠纷风险，增加交易透明度,智能合约软件著作权,钜隆科技官网,https://www.julon.com/smart-contracts,2024-09-15,,,,,,,,,,,,
支付宝,金融科技风控技术,优化企业内部资源分配与管理的综合性系统,提高企业运营效率，降低管理成本,ERP系统软件著作权,用友官网,https://www.yonyou.com/erp,2024-09-15,,,,,,,,,,,,
华为,边缘计算技术,基于云服务的全面财务管理工具,实时财务数据分析，提升决策效率,云财务软件著作权,金蝶官网,https://www.kd.com/cloud-finance,2024-09-15,,,,,,,,,,,,
字节跳动,内容推荐算法,医疗数据管理与分析的集成平台,提升医疗服务效率，改善患者体验,智慧医疗软件著作权,平安科技官网,https://www.pingan.com/healthcare,2024-09-15,,,,,,,,,,,,
京东,智能供应链管理技术,支持各种IoT设备的监控与管理系统,提高设备管理效率，减少运维成本,物联网管理软件著作权,奥克斯官网,https://www.aokansoft.com/iot,2024-09-15,,,,,,,,,,,,
奥美科技,移动支付解决方案,用于复杂计算问题的量子处理平台,显著提高计算速度与效率,量子计算软件著作权,达摩院官网,https://damoinstitute.com/quantum,2024-09-15,,,,,,,,,,,,
深信服,虚拟专用网技术,基于数据分析的个性化内容推荐平台,提升用户粘性，增加业务转化率,推荐系统软件著作权,瑞云科技官网,https://www.ruiyun.com/recommender,2024-09-15,,,,,,,,,,,,
金蝶软件,企业资源计划管理技术,基于深度学习的智能语音识别系统,识别准确率高达98%，支持多语言,智能语音识别软件著作权,腾讯云官网,https://cloud.tencent.com/ai,2024-09-15,,,,,,,,,,,,
大华股份,视频监控智能分析技术,基于机器学习的信用评分和风险评估系统,实时风控，降低信贷违约率,金融风控软件著作权,支付宝官网,https://www.alipay.com/risk,2024-09-15,,,,,,,,,,,,
易观海量,数据挖掘与分析平台,边缘设备智能数据处理与实时监控平台,数据延迟降低至毫秒级，支持智能制造,边缘计算软件著作权,华为官网,https://www.huawei.com/tech/edge,2024-09-15,,,,,,,,,,,,
云杉科技,人工智能算法,个性化新闻与视频推荐系统,用户粘性提升，推荐准确率达85%,推荐算法软件著作权,字节跳动官网,https://www.bytedance.com/recommender,2024-09-15,,,,,,,,,,,,
恒星科技,物联网技术,基于AI的货物调度与库存管理系统,库存成本减少20%，物流效率提升,供应链管理软件著作权,京东官网,https://www.jd.com/supplychain,2024-09-15,,,,,,,,,,,,
睿智云产品,边缘计算技术,方便快捷的多渠道移动支付平台,支持多种支付方式，交易加密安全,移动支付软件著作权,奥美科技官网,https://www.aomeitech.com/mobilesolutions,2024-09-15,,,,,,,,,,,,
赛迪信息,虚拟现实技术,提供安全的数据传输与远程访问,加密算法先进，用户隐私保护,VPN软件著作权,深信服官网,https://www.sangfor.com/vpn,2024-09-15,,,,,,,,,,,,
蓝鲸有限公司,自动化测试技术,集成化的ERP系统助力企业管理,数据实时共享，决策支持增强,ERP软件著作权,金蝶官网,https://www.kd.com/erp,2024-09-15,,,,,,,,,,,,
智械科技,机器学习平台,基于AI的视频监控系统，提供智能分析,实时预警，智能识别异常行为,视频监控软件著作权,大华官网,https://www.dahuatech.com/security,2024-09-15,,,,,,,,,,,,
博天科技,量子计算技术,为企业提供深度市场分析与预测服务,分析结果精准，洞察市场趋势,数据分析软件著作权,易观官网,https://www.analysys.com.cn/mining,2024-09-15,,,,,,,,,,,,
海蝶软件,智能客服系统,深度学习模型优化与应用平台,智能化决策，支持多场景应用,人工智能算法软件著作权,云杉科技官网,https://www.yunshanc.com/ai,2024-09-15,,,,,,,,,,,,
星际数据,数据仓库技术,智能设备互联与数据收集系统,实时监控与数据分析能力强,物联网管理软件著作权,恒星科技官网,https://www.hengxing.com/iot,2024-09-15,,,,,,,,,,,,
云图信息技术,API管理技术,提升数据处理效率的边缘计算平台,减少延迟，优化带宽利用,边缘计算软件著作权,睿智云官网,https://www.ruizhiyun.com/edge,2024-09-15,,,,,,,,,,,,
天翼云,边缘计算技术,增强现实与虚拟现实交互系统,沉浸式体验，应用领域广,虚拟现实软件著作权,赛迪信息官网,https://www.caida.com/vr,2024-09-15,,,,,,,,,,,,
合肥科技,人工智能算法,软件自动化测试与质量保障系统,提高测试覆盖率，降低出错率,自动化测试软件著作权,蓝鲸官网,https://www.bluewhale.com/test,2024-09-15,,,,,,,,,,,,
晨讯科技,物联网应用平台,全自动模型训练与评估工具,简化模型部署，实现快速迭代,机器学习软件著作权,智械科技官网,https://www.zhimachine.com/ml,2024-09-15,,,,,,,,,,,,
