公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
博思软件,制造业、能源,能源管理系统,能源数据监控、效率分析,物联网与智能控制,博思官网,https://www.bossoft.com/cases/,2024-09-15,,,,,,,,,,,,
易华录,证券、金融,智能数据处理平台,数据分类与分析,机器学习与人工智能,易华录官网,https://www.ehualu.com,2024-09-15,,,,,,,,,,,,
紫光股份,教育、政府,智慧校园解决方案,在线教育平台与课程管理,云计算与大数据,紫光股份官网,http://www.unisoc.com,2024-09-15,,,,,,,,,,,,
暖心科技,医疗、健康管理,智慧医疗平台,远程诊断与健康监测,物联网技术,暖心科技官网,https://www.warmtech.com,2024-09-15,,,,,,,,,,,,
深信服科技,网络安全、政企,综合安全解决方案,网络攻击防护,网络安全防护体系,深信服官网,https://www.sangfor.com,2024-09-15,,,,,,,,,,,,
神州信息,制造业、资源管理,智慧工厂解决方案,生产流程监控与优化,大数据分析与AI调度,神州信息官网,https://www.izhenhua.com,2024-09-15,,,,,,,,,,,,
迈克菲科技,网络安全、金融,反欺诈系统,风险识别与预警,行为分析与数据挖掘,迈克菲官网,https://www.mcafee.com,2024-09-15,,,,,,,,,,,,
零一科技,电信、互联网,云通讯平台,语音和视频通话服务,VoIP和数据传输,零一科技官网,https://www.01tech.com,2024-09-15,,,,,,,,,,,,
优拓科技,自动化、物流,智能仓储解决方案,库存管理与分拣系统,机器人与AI,优拓科技官网,https://www.youto.com,2024-09-15,,,,,,,,,,,,
海云人才,人力资源管理、金融,人力资源信息化解决方案,人才招聘与绩效管理,HR数据分析平台,海云人才官网,https://www.haiyun.com,2024-09-15,,,,,,,,,,,,
乐信科技,电子商务、金融,供应链金融解决方案,资金流转与风险控制,区块链技术,乐信科技官网,https://www.lexin.com,2024-09-15,,,,,,,,,,,,
华为技术,通信、零售,智能零售解决方案,客户行为分析、库存管理,AI与大数据应用,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
用友网络,制造业、供应链,用友ERP系统,集成化企业资源管理,云计算与人工智能,用友网络官网,http://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、物流,云上物流解决方案,高效的货物追踪与管理,云计算与大数据,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,金融、教育,金蝶云财务软件,实时财务数据分析,智能化财务管理,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
博鳌亚洲论坛,公共政策、国际合作,多方合作平台,网络会议与文档共享,区块链技术,博鳌亚洲论坛官网,http://www.boaoforum.org/,2024-09-15,,,,,,,,,,,,
云知声,人机交互、智能家居,语音交互系统,自然语言理解与语音识别,深度学习算法,云知声官网,https://www.unisound.com/,2024-09-15,,,,,,,,,,,,
北京微创科技,医疗、健康,智能健康管理平台,健康数据监控与分析, IoT与大数据,微创科技官网,https://www.microport.com/,2024-09-15,,,,,,,,,,,,
东软集团,IT服务、交通,智慧交通解决方案,交通流量监测与分析,大数据与AI分析,东软集团官网,https://www.neusoft.com/,2024-09-15,,,,,,,,,,,,
智云科技,社区服务、物联网,智能社区平台,智慧物业管理,物联网技术,智云科技官网,http://www.zhy.com.cn/,2024-09-15,,,,,,,,,,,,
中兴通讯,通信、城市管理,智慧城市解决方案,市政服务与数据管理,云通讯与大数据分析,中兴官网,https://www.zte.com.cn/cn/,2024-09-15,,,,,,,,,,,,
云信科技,物流、仓储,智能物流管理系统,运输路径优化、库存管理,物联网与大数据,云信科技官网,https://www.yunxin.com/logistics/,2024-09-15,,,,,,,,,,,,
慧聪云,制造业、供应链,云端供应链协同平台,实时数据分享、需求预测,区块链技术应用,慧聪云官网,https://www.hc360.com/supplychain/,2024-09-15,,,,,,,,,,,,
赛尔网络,教育、在线培训,智能学习管理系统,个性化学习路径、课程管理,人工智能与大数据分析,赛尔网络官网,https://www.sier.com/learning/,2024-09-15,,,,,,,,,,,,
东方科技,零售、电子商务,全渠道销售平台,销售数据分析、顾客关系管理,机器学习与数据挖掘,东方科技官网,https://www.dongfangkeji.com/ecommerce/,2024-09-15,,,,,,,,,,,,
星际科技,金融服务、保险,智能风险评估平台,风险监测、数据驱动决策,深度学习算法,星际科技官网,https://www.xingjikeji.com/finance/,2024-09-15,,,,,,,,,,,,
普融科技,医疗、健康管理,智能健康监测系统,患者健康数据分析、预警,生物信息学,普融科技官网,https://www.puron.com/health/,2024-09-15,,,,,,,,,,,,
思源软件,人力资源、服务业,企业员工管理系统,人事档案管理、薪资计算,云计算与移动应用,思源软件官网,https://www.siyuan.com/hr/,2024-09-15,,,,,,,,,,,,
云海大数据,广告、市场营销,数据驱动营销平台,精准广告投放、效果分析,数据分析与市场洞察,云海大数据官网,https://www.yunhaidata.com/marketing/,2024-09-15,,,,,,,,,,,,
联动科技,城市管理、公共服务,智慧城市管理系统,城市资源优化调配、实时监控,大数据集成与应用,联动科技官网,https://www.liantongkeji.com/smartcity/,2024-09-15,,,,,,,,,,,,
智链科技,农业、食品安全,农业追溯管理平台,农产品追踪、方案优化,物联网与区块链,智链科技官网,https://www.zhiliankeji.com/agriculture/,2024-09-15,,,,,,,,,,,,
明略科技,制造业、物流,智能制造解决方案,生产效率优化、供应链管理,物联网与大数据融合,明略科技官网,https://www.minoryx.com/,2024-09-15,,,,,,,,,,,,
迅时科技,医疗、健康,全景医疗信息系统,患者数据管理、医务协作,云平台与数据安全,迅时科技官网,https://www.xunshi.com/,2024-09-15,,,,,,,,,,,,
网信科技,电信、互联网,安全云服务平台,网络安全监测与防护,人工智能防火墙,网信科技官网,https://www.wangxin.com/,2024-09-15,,,,,,,,,,,,
天启科技,金融、科技,智能投资顾问系统,自动化投资决策,深度学习算法,天启科技官网,http://www.tianqi.com/,2024-09-15,,,,,,,,,,,,
善道信息,教育、培训,在线学习平台,灵活学习资源管理,教育数据分析,善道信息官网,https://www.shandao.cn/,2024-09-15,,,,,,,,,,,,
云中信,政府、社会服务,智慧城市解决方案,公共服务数据智能化,大数据可视化,云中信官网,https://www.yunzhongxin.com/,2024-09-15,,,,,,,,,,,,
湖南信科,智慧农业,精准农业技术,农作物精准管理,卫星遥感与地理信息系统,湖南信科官网,http://www.hunanxinke.com/,2024-09-15,,,,,,,,,,,,
勃朗宁数据,物流、供应链,智能物流解决方案,实时监控与调度,机器学习与优化算法,勃朗宁数据官网,http://www.browningdata.com/,2024-09-15,,,,,,,,,,,,
新天软件,社区服务、物业管理,智慧物业管理系统,社区互动与服务优化,移动互联网与大数据,新天软件官网,http://www.xintian.com/,2024-09-15,,,,,,,,,,,,
北极星科技,绿色能源、可持续发展,光伏发电监测系统,能源使用监控与分析,能源大数据与智能算法,北极星科技官网,https://www.bjxt.com/,2024-09-15,,,,,,,,,,,,
云知声,教育、消费电子,智能教育语音助手,语音识别与学生互动,自然语言处理与AI,云知声官网,https://www.unisound.com,2024-09-15,,,,,,,,,,,,
新华三集团,医疗、物联网,智能远程监测系统,患者健康数据实时监控,IoT平台集成,新华三官网,https://www.h3c.com/cn/IOT/,2024-09-15,,,,,,,,,,,,
中兴通讯,电信、云计算,5G网络优化咨询,网络性能提升与数据分析,5G技术与大数据,中兴通讯官网,https://www.zte.com.cn/global/solutions/5g,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、供应链,智链供应链管理系统,供应链可视化与智能调度,供应链大数据分析,金蝶软件官网,https://www.kdsoft.com,2024-09-15,,,,,,,,,,,,
IBM,金融、云服务,智能合同管理平台,合同审核与风险管理,区块链技术,IBM官网,https://www.ibm.com/cloud/blockchain,2024-09-15,,,,,,,,,,,,
微众银行,金融科技,数字信贷解决方案,实时信用评估,机器学习与数据分析,微众银行官网,https://www.webank.com,2024-09-15,,,,,,,,,,,,
东软集团,健康、农业,智慧农业管理系统,农作物生长监控与预测,物联网与数据分析,东软官网,http://www.neusoft.com,2024-09-15,,,,,,,,,,,,
海康威视,安防、城市管理,智能城市监控系统,视频监控与大数据分析,AI图像识别技术,海康威视官网,https://www.hikvision.com/cn,2024-09-15,,,,,,,,,,,,
清华紫光,半导体、云计算,数据中心云服务解决方案,云服务成本优化与安全管理,云计算与大数据集成,清华紫光官网,https://www.unisplendour.com,2024-09-15,,,,,,,,,,,,
航天信息,税务、企业管理,智能税务处理系统,电子发票与申报管理,AI与数据服务,航天信息官网,http://www.aerospace-info.com,2024-09-15,,,,,,,,,,,,
天融信,网络安全、云计算,全方位网络安全服务,风险管理与合规性审计,安全监控与响应,天融信官网,https://www.tianrongxin.com/security-solution,2024-09-15,,,,,,,,,,,,
用友网络科技,财务管理、企业服务,云财务解决方案,实时财务分析与报告,人工智能会计,用友官网,https://www.yonyou.com/cloudfinance,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、IT基础设施,智能校园解决方案,校园管理与安全防控,物联网技术应用,华为官网,https://www.huawei.com/cn/solutions/smart-campus,2024-09-15,,,,,,,,,,,,
博彦科技,能源、公共事务,智能电网解决方案,电力监控与能耗分析,大数据与机器学习,博彦科技官网,https://www.evergrande.com/solutions/energy/,2024-09-15,,,,,,,,,,,,
中软国际,软件开发、IT外包,全栈开发服务,定制化软件开发与维护,敏捷开发与DevOps实施,中软国际官网,http://www.chinasoftintl.com/Services/SoftwareDevelopment,2024-09-15,,,,,,,,,,,,
致远互联,医疗、教育,智能健康管理系统,患者信息管理与健康监控,数据智能与云计算,致远互联官网,https://www.seeyon.com/HealthManagement,2024-09-15,,,,,,,,,,,,
同望科技,房地产、项目管理,物业管理系统,资产管理、租赁与服务,云计算应用与数据分析,同望科技官网,https://www.tongwangtech.com/solutions/real-estate,2024-09-15,,,,,,,,,,,,
小米科技,智能家居、物联网,家庭智能控制平台,设备联动与节能控制,AIoT生态系统,小米官网,https://www.mi.com/smart-home,2024-09-15,,,,,,,,,,,,
全球微软,云计算、协同办公,Microsoft 365集成方案,远程协作与数据存储,云计算基础设施优化,微软官网,https://www.microsoft.com/zh-cn/microsoft-365,2024-09-15,,,,,,,,,,,,
Oracle中国,数据管理、电子商务,企业数据云服务,数据集成与实时分析,数据库技术与云计算平台,Oracle官网,https://www.oracle.com/cn/cloud,2024-09-15,,,,,,,,,,,,
明讯科技,医疗、云计算,医疗信息管理系统,患者信息整合、预约管理,云端数据处理,明讯科技官网,https://www.mingxun.com.cn/solutions.html,2024-09-15,,,,,,,,,,,,
云图科技,物流、供应链,智慧供应链管理平台,实时运输监控、库存优化,物联网和大数据,云图科技官网,https://www.yuntu.com.cn/products.html,2024-09-15,,,,,,,,,,,,
讯飞科技,教育、人工智能,智能教育解决方案,个性化学习分析,AI学习助手,讯飞科技官网,http://www.iflytek.com/education.html,2024-09-15,,,,,,,,,,,,
达信软件,金融、投资,财富管理系统,投资组合管理、风险分析,金融算法与模型,达信软件官网,https://www.daxin.com.cn/solutions/wealth_management.html,2024-09-15,,,,,,,,,,,,
天启科技,能源、可持续发展,智能能源管理平台,能源监测、消耗分析,大数据与节能技术,天启科技官网,https://www.tianqi.com.cn/energy_management.html,2024-09-15,,,,,,,,,,,,
恒捷软件,电商、零售,电商运营分析工具,销售数据分析、客户行为研究,数据挖掘与分析,恒捷软件官网,https://www.hengjie.com.cn/tools/ecommerce.html,2024-09-15,,,,,,,,,,,,
千锋科技,农业、物联网,智慧农业解决方案,农田监控、气象数据分析,IoT设备集成,千锋科技官网,http://www.qianfeng.com/agriculture.html,2024-09-15,,,,,,,,,,,,
元聚科技,制造业、工业4.0,智能工厂管理系统,生产流程自动化、设备监控,人工智能与大数据,元聚科技官网,https://www.yuanju.com.cn/solutions/smart_factory.html,2024-09-15,,,,,,,,,,,,
信安科技,网络安全、IT服务,企业级安全防护方案,数据加密、网络监控,信息安全技术,信安科技官网,https://www.xinan.com.cn/cybersafety.html,2024-09-15,,,,,,,,,,,,
数创科技,市场营销、数据分析,营销活动管理平台,活动效果追踪、客户数据分析,市场数据分析模型,数创科技官网,https://www.shuichuang.com.cn/marketing_management.html,2024-09-15,,,,,,,,,,,,
华为技术,通信、云计算,华为云容器,快速应用部署与管理,云原生技术,华为官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电子商务、物流,智能物流解决方案,订单自动处理与跟踪,人工智能与大数据,阿里巴巴官网,https://www.alibaba.com/solutions/smart-logistics,2024-09-15,,,,,,,,,,,,
北京启明星辰科技,网络安全,网络安全综合管理平台,安全风险评估与响应,网络监控与威胁检测,启明星辰官网,http://www.rosebon.com/solutions,2024-09-15,,,,,,,,,,,,
金山软件,办公自动化,WPS Office云协作,文档在线编写与共享,云协作技术,金山软件官网,https://www.wps.cn/solutions/online/,2024-09-15,,,,,,,,,,,,
京东科技,零售、AI,智慧零售解决方案,消费者行为分析与预测,机器学习与数据挖掘,京东官网,https://jd.com/technology/solutions/,2024-09-15,,,,,,,,,,,,
腾讯云,在线服务、社交,腾讯云视频会议系统,远程会议与协作,实时音视频技术,腾讯云官网,https://cloud.tencent.com/product/meeting,2024-09-15,,,,,,,,,,,,
联想集团,硬件、软件集成,智能制造解决方案,生产流程优化与数据分析,物联网与大数据,联想官网,https://www.lenovo.com.cn/solutions/smart-manufacturing/,2024-09-15,,,,,,,,,,,,
浪潮集团,政府、公共服务,智慧城市管理平台,城市资源优化与服务提升,云计算与大数据,浪潮官网,https://www.inspur.com/solutions/smart-city/,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、财务,企业云财务解决方案,财务报表自动生成与分析,企业资源计划管理系统,用友官网,https://www.yonyou.com/solutions/cloud-finance/,2024-09-15,,,,,,,,,,,,
科大讯飞,教育、人工智能,智慧教育解决方案,个性化学习与评估,人工智能教育技术,科大讯飞官网,https://www.iflytek.com/solutions/smart-education/,2024-09-15,,,,,,,,,,,,
腾讯云,金融、政企,云计算解决方案,云安全与数据存储,边缘计算与大数据,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
数字365,电子商务、零售,全渠道销售平台,销售数据整合与分析,实时数据处理与分析,数字365官网,https://www.digital365.com/,2024-09-15,,,,,,,,,,,,
云徙科技,制造业、物流,智能供应链管理系统,库存管理与优化,物联网与大数据,云徙科技官网,https://www.yunxi.com/,2024-09-15,,,,,,,,,,,,
华为技术,通信、网络安全,5G网络安全解决方案,实时威胁检测与反应,人工智能与机器学习,华为官网,https://www.huawei.com/cn/solutions,2024-09-15,,,,,,,,,,,,
金蝶软件,中小企业、财务,云财务解决方案,智能财务管理与分析,人工智能与云计算,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、财务,ERP软件解决方案,企业资源整合与优化,行业云与BIM,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
海云科技,医疗、健康,智慧医疗管理系统,患者管理与数据分析,大数据分析与人工智能,海云科技官网,https://www.haiyuntech.com/,2024-09-15,,,,,,,,,,,,
中软国际,IT服务、教育,教育信息化解决方案,在线教育平台建设,教育大数据应用,中软官网,http://www.chinasoft.com/,2024-09-15,,,,,,,,,,,,
苹果数码,智能硬件、零售,智能零售解决方案,客户分析与销售优化,物联网与数据挖掘,苹果官网,https://www.apple.com/cn/,2024-09-15,,,,,,,,,,,,
富士通,金融、电信,智能合约平台,区块链应用与交易处理,分布式账本技术,富士通官网,https://www.fujitsu.com/cn/,2024-09-15,,,,,,,,,,,,
华为,通信、云计算,云电脑解决方案,远程办公与资源共享,虚拟化技术,华为官网,https://www.huawei.com/cn/solutions/cloud-pc,2024-09-15,,,,,,,,,,,,
钉钉,通信、企业服务,数字化企业管理平台,一体化沟通与项目管理,云服务与API集成,钉钉官网,https://www.dingtalk.com/,2024-09-15,,,,,,,,,,,,
网易,媒体、娱乐,内容分发网络优化,视频流畅播放与用户体验提升,CDN技术与大数据分析,网易官网,https://www.163.com/,2024-09-15,,,,,,,,,,,,
用友网络,财务、供应链,ERP云服务平台,企业资源整合与供应链优化,云计算与大数据,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
金蝶国际,企业管理,云财务解决方案,实时财务数据分析与管理,互联网+财务,金蝶官网,https://www.kdcloud.com/,2024-09-15,,,,,,,,,,,,
IBM,人工智能、数据管理,IBM Watson智能分析,企业决策支持与客户洞察,深度学习与数据科学,IBM官网,https://www.ibm.com/cn-zh/cloud/watson-analytics,2024-09-15,,,,,,,,,,,,
SAP,企业资源管理,SAP S/4HANA,实时数据处理与审批流优化,内存计算与云平台,SAP官网,https://www.sap.com/china/solution/s4hana-erp.html,2024-09-15,,,,,,,,,,,,
东方科技,智慧城市、物联网,智慧城市管理系统,城市资源监控与智能服务,物联网与大数据分析,东方科技官网,http://www.dongfangtech.com/,2024-09-15,,,,,,,,,,,,
亚信科技,电信、金融,数字化服务平台,客户互动与数据反馈收集,智能化CRM系统,亚信科技官网,http://www.asiainfo.com/,2024-09-15,,,,,,,,,,,,
新中大,高等教育、科研,智慧校园解决方案,资源共享与智能管理,信息化教育技术,新中大官网,http://www.xzd.com/,2024-09-15,,,,,,,,,,,,
拓普科技,医疗、智慧城市,智慧医疗平台,健康数据管理与远程监测,大数据与物联网,拓普科技官网,https://www.toptech.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
云翼科技,电商、零售,云端零售解决方案,在线销售与库存管理,云计算与AI技术,云翼科技官网,https://www.yunyitech.com/solutions/retail,2024-09-15,,,,,,,,,,,,
智博数据,金融、保险,智能风控系统,风险评估与监控,机器学习与数据挖掘,智博数据官网,https://www.zhibo.net/riskcontrol,2024-09-15,,,,,,,,,,,,
永信科技,通信、物联网,物联网管理平台,设备连接与数据分析,平台集成与大数据,永信科技官网,https://www.yongxin.com/iot,2024-09-15,,,,,,,,,,,,
蓝海科技,教育、培训,在线学习管理系统,课程管理与学员评估,教育技术与数字化转型,蓝海科技官网,https://www.blueocean.com/edtech,2024-09-15,,,,,,,,,,,,
金桥信息,工业、制造,工业物联网解决方案,生产流程优化与监控,边缘计算与云平台,金桥信息官网,https://www.jinqiao.com/iot,2024-09-15,,,,,,,,,,,,
鸿运科技,物流、运输,智慧物流解决方案,运输调度与仓储管理,AI调度与数据分析,鸿运科技官网,https://www.hongyun.com/logistics,2024-09-15,,,,,,,,,,,,
信通科技,金融、税务,智能财务解决方案,财务自动化与合规管理,区块链技术与会计信息系统,信通科技官网,https://www.xintong.com/finance,2024-09-15,,,,,,,,,,,,
创新科技,旅游、服务业,智能旅游管理系统,旅游代理与客户关系管理,大数据与GIS技术,创新科技官网,https://www.innovation.com/tourism,2024-09-15,,,,,,,,,,,,
踏实科技,制造业、农业,智能农业管理平台,作物生长监控与资源管理,物联网与数据分析,踏实科技官网,https://www.tashi.com/agriculture,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、云计算,华为云服务解决方案,云数据存储与管理,云计算架构与安全,华为官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、制造,K/3 Cloud ERP,企业资源一体化管理,云端ERP集成,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
用友网络科技,金融、供应链,用友U8 Cloud,智能财务及供应链管理,AI智能分析,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
百度,人工智能、互联网,百度AI开放平台,AI模型训练与实施,机器学习与自然语言处理,百度官网,https://cloud.baidu.com/,2024-09-15,,,,,,,,,,,,
阿里云,大数据、金融,云数据库解决方案,数据安全与管理,大数据存储与分析,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
钉钉,企业管理、通讯,钉钉企业协作平台,远程办公与团队协作,实时通讯与工作流管理,钉钉官网,https://www.dingtalk.com/,2024-09-15,,,,,,,,,,,,
腾讯云,社交、娱乐,数字内容分发解决方案,内容存储与加速分发,CDN以及大规模内容传输,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
IBM,科技、金融,IBM Watson,AI与数据分析服务,人工智能平台,IBM官网,https://www.ibm.com/cn-zh/watson/,2024-09-15,,,,,,,,,,,,
赛可达,教育、政府,智能教育解决方案,教育资源管理与分析,教育信息化与AI辅导,赛可达官网,https://www.scada.com.cn/,2024-09-15,,,,,,,,,,,,
大疆创新,无人机、科技,大疆农业无人机解决方案,农业监测与管理,无人机航拍与数据处理,大疆官网,https://www.dji.com/,2024-09-15,,,,,,,,,,,,
华为技术,通讯、云计算,华为云服务,云数据存储与管理,云计算与大数据,华为官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
用友网络,财务、制造业,云ERP解决方案,企业财务管理与报告,智能财务系统,用友网络官网,https://www.yonyou.com/cn/products/cloud-erp/,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、餐饮,智能门店管理系统,综合销售与库存管理,物联网与大数据分析,金蝶官网,https://www.kd.com.cn/solutions/store-management/,2024-09-15,,,,,,,,,,,,
伟创力,电子制造、物流,供应链管理系统,物流与供应链优化,智能化供应链解决方案,伟创力官网,https://www.flex.com/en/solutions/supply-chain-management/,2024-09-15,,,,,,,,,,,,
快手科技,社交、广告,短视频营销解决方案,品牌传播与用户互动,大数据分析与实时营销,快手官网,https://www.kuaishou.com/business/,2024-09-15,,,,,,,,,,,,
腾讯云,网络、数字化,智慧城市解决方案,城市基础设施智能化,大数据与AI技术,腾讯云官网,https://cloud.tencent.com/solutions/smart-city,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电商、物流,全渠道零售解决方案,线上线下购物整合,云计算与大数据,阿里巴巴官网,https://www.alibaba.com/solutions/omnichannel/,2024-09-15,,,,,,,,,,,,
瑞幸咖啡,零售、移动支付,智能点单系统,移动端线上点单与支付,移动互联网技术,瑞幸咖啡官网,https://www.luckincoffee.com/app/,2024-09-15,,,,,,,,,,,,
汽车之家,汽车、在线服务,汽车交易平台,在线汽车买卖与咨询,信息服务平台,汽车之家官网,https://www.autohome.com.cn/,2024-09-15,,,,,,,,,,,,
新睿科技,医疗、健康,电子健康记录系统,患者信息管理与分析,医疗数据智能化,新睿科技官网,https://www.xinrui.com/solutions/healthcare/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,政府、能源,智能城市解决方案,城市基础设施数字化管理,物联网与大数据,华为官网,https://www.huawei.com/cn/solutions/industry,2024-09-15,,,,,,,,,,,,
七牛云,金融、医疗,数据存储与处理平台,金融数据安全存储,云计算与数据加密技术,七牛云官网,https://www.qiniu.com/products/data-storage,2024-09-15,,,,,,,,,,,,
腾讯云,娱乐、社交,社交网络用户行为分析系统,用户活跃度与分析,人脸识别与AI分析,腾讯云官网,https://cloud.tencent.com/solutions/analysis,2024-09-15,,,,,,,,,,,,
阿里云,零售、物流,智能供应链解决方案,物流效率优化,区块链与机器学习,阿里云官网,https://www.aliyun.com/solutions/supply-chain,2024-09-15,,,,,,,,,,,,
中软国际,信息技术、市场营销,智能化市场营销平台,市场数据智能分析,机器学习与深度学习,中软国际官网,https://www.chinasoft.com/solutions/marketing,2024-09-15,,,,,,,,,,,,
云徙科技,教育、培训,在线教育管理系统,学习进度跟踪与反馈,人工智能与云服务,云徙科技官网,https://www.yunxi.com/solutions/education,2024-09-15,,,,,,,,,,,,
