登记号（字符型）,育种技术名称（字符型）,育种技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,
MF996253,高抗虫玉米育种技术,转基因育种,正在进行,第三阶段,区域试验,湖北省农科院,华中农业大学,2023-08-20,2023-09-15,2024-09-15,2024-08-15,湖北省良种科技开发公司,新品种审定申请,湖北省良种科技开发公司,湖北省农业农村厅,https://www.hbagri.gov.cn/,2024/9/30,,,,
MF635142,抗旱花生育种技术,常规育种,已完成,第二阶段,区域试验,陕西省农科院,西北农林科技大学,2023-07-22,2023-08-10,2024-08-10,2024-07-10,陕西省农业生物科技公司,新品种审定申请,陕西省农业生物科技公司,陕西省农业农村厅,https://www.snagri.gov.cn/,2024/9/30,,,,
MF030481,营养丰富的黄瓜育种技术,转基因育种,正在进行,第一阶段,初步试验,四川省农业科学院,四川农业大学,2023-10-05,2023-10-20,2024-10-20,2024-09-15,四川省农业发展公司,新品种审定申请,四川省农业发展公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF035562,晚熟优质茶育种技术,常规育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-09-01,2023-09-20,2024-09-20,2024-08-20,云南省茶叶科技开发公司,新品种审定申请,云南省茶叶科技开发公司,云南省农业农村厅,https://www.ynagri.gov.cn/,2024/9/30,,,,
MF778092,拉丁热带水果育种技术,转基因育种,正在进行,第一阶段,初步试验,海南省农科院,海南大学,2023-08-10,2023-08-25,2024-08-25,2024-07-25,海南热带农业科技公司,新品种审定申请,海南热带农业科技公司,海南省农业农村厅,https://www.hnagri.gov.cn/,2024/9/30,,,,
MF996253,高营养豆类育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,吉林大学,2023-10-20,2023-11-10,2024-11-10,2024-10-10,吉林省农业技术开发公司,新品种审定申请,吉林省农业技术开发公司,吉林省农业农村厅,https://www.jlagri.gov.cn/,2024/9/30,,,,
MF030490,抗盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,海南省农科院,海南大学,2023-08-10,2023-09-01,2024-09-01,2024-08-01,海南优质种业有限公司,新品种审定申请,海南优质种业有限公司,海南省农业农村厅,https://www.hainan.gov.cn,2024/9/30,,,,
MF737405,高抗病毒番茄育种技术,转基因育种,已完成,第二阶段,区域试验,浙江省农科院,浙江大学,2023-02-27,2023-03-20,2024-03-20,2024-02-01,浙江优良种植有限公司,新品种审定申请,浙江优良种植有限公司,浙江省农业农村厅,https://www.zj.gov.cn,2024/9/30,,,,
MF035586,寡营养番薯育种技术,常规育种,正在进行,第三阶段,大田试验,陕西省农科院,西北农林科技大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,陕西农业科技有限公司,新品种审定申请,陕西农业科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn,2024/9/30,,,,
MF779985,多抗小麦育种技术,常规育种,已完成,第六阶段,区域试验,吉林省农科院,吉林农业大学,2023-07-30,2023-08-15,2024-08-15,2024-07-01,吉林省种业科技有限公司,新品种审定申请,吉林省种业科技有限公司,吉林省农业农村厅,https://www.jl.gov.cn,2024/9/30,,,,
MF658312,耐寒水果育种技术,常规育种,正在进行,第一阶段,初步试验,新疆农科院,新疆农业大学,2023-05-06,2023-06-01,2024-06-01,2024-05-01,新疆优质果业有限公司,新品种审定申请,新疆优质果业有限公司,新疆农业农村厅,https://www.xinjiang.gov.cn,2024/9/30,,,,
MF996253,提高脂肪的奶牛育种技术,基因编辑育种,正在进行,第一阶段,初步试验,重庆市农科院,重庆大学,2023-09-01,2023-09-10,2024-09-10,2024-08-10,重庆现代农业科技有限公司,新品种审定申请,重庆现代农业科技有限公司,重庆市农业农村厅,https://www.cq.gov.cn,2024/9/30,,,,
MF996253,高糖甜椒育种技术,转基因育种,已完成,第二阶段,区域试验,福建省农科院,福州大学,2023-07-15,2023-08-01,2024-08-01,2024-07-01,福建省种植科技有限公司,新品种审定申请,福建省种植科技有限公司,福建省农业农村厅,https://www.fujian.gov.cn,2024/9/30,,,,
MF996253,抗寒苹果育种技术,基因编辑育种,正在进行,第一阶段,初步试验,辽宁省农科院,沈阳农业大学,2023-10-04,2023-10-10,2024-10-10,2024-09-01,辽宁现代农业科技有限公司,新品种审定申请,辽宁现代农业科技有限公司,辽宁省农业农村厅,https://www.liaoning.gov.cn,2024/9/30,,,,
MF996253,高产蛋鸡育种技术,常规育种,已完成,第四阶段,地方试验,山西省农科院,山西农业大学,2023-03-15,2023-04-01,2024-04-01,2024-03-15,山西优良种业有限公司,新品种审定申请,山西优良种业有限公司,山西省农业农村厅,https://www.shanxi.gov.cn,2024/9/30,,,,
MF779985,优质青椒育种技术,常规育种,正在进行,第一阶段,初步试验,北京市农科院,中国农业大学,2023-01-20,2023-02-15,2024-02-15,2024-01-15,北京市导生生物科技有限公司,新品种审定申请,北京市导生生物科技有限公司,北京市农业农村厅,http://www.bjny.gov.cn,2024/9/30,,,,
MF779985,耐寒苹果育种技术,转基因育种,已完成,第二阶段,区域试验,吉林省农科院,吉林农业大学,2023-03-15,2023-04-15,2024-04-15,2024-03-01,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,http://www.jlny.gov.cn,2024/9/30,,,,
MF778092,优质大米育种技术,常规育种,正在进行,第三阶段,大田试验,湖南省农科院,湖南农业大学,2023-04-10,2023-05-01,2024-05-01,2024-04-01,湖南良种科技有限公司,新品种审定申请,湖南良种科技有限公司,湖南省农业农村厅,http://www.hunanny.gov.cn,2024/9/30,,,,
MF778092,抗病生姜育种技术,转基因育种,已完成,第一阶段,初步试验,湖北省农科院,华中农业大学,2023-05-15,2023-06-10,2024-06-10,2024-05-05,湖北良种科技有限公司,新品种审定申请,湖北良种科技有限公司,湖北省农业农村厅,http://www.hbny.gov.cn,2024/9/30,,,,
MF778092,高产草莓育种技术,常规育种,正在进行,第二阶段,区域试验,浙江省农科院,浙江农业大学,2023-06-20,2023-07-01,2024-07-01,2024-06-01,浙江良种科技有限公司,新品种审定申请,浙江良种科技有限公司,浙江省农业农村厅,http://www.zjny.gov.cn,2024/9/30,,,,
MF778092,紫薯育种技术,转基因育种,已完成,第一阶段,初步试验,福建省农科院,福建农业大学,2023-07-17,2023-08-01,2024-08-01,2024-07-01,福建良种科技有限公司,新品种审定申请,福建良种科技有限公司,福建省农业农村厅,http://www.fjny.gov.cn,2024/9/30,,,,
MF737405,抗逆荔枝育种技术,常规育种,正在进行,第三阶段,大田试验,广东省农科院,华南农业大学,2023-08-25,2023-09-15,2024-09-15,2024-08-01,广东良种科技有限公司,新品种审定申请,广东良种科技有限公司,广东省农业农村厅,http://www.gdny.gov.cn,2024/9/30,,,,
MF737405,高抗逆番茄育种技术,转基因育种,正在进行,第四阶段,大田试验,河北省农科院,河北农业大学,2023-09-30,2023-10-20,2024-10-20,2024-09-01,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,http://www.hebeiny.gov.cn,2024/9/30,,,,
MF658312,高效葫芦育种技术,常规育种,已完成,第二阶段,区域试验,海南省农科院,海南热带农业大学,2023-10-15,2023-11-01,2024-11-01,2024-10-01,海南良种科技有限公司,新品种审定申请,海南良种科技有限公司,海南省农业农村厅,http://www.hainanny.gov.cn,2024/9/30,,,,
MF658312,耐盐碱水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,广西省农业科学院,广西大学,2023-10-10,2023-11-01,2024-11-01,2024-10-01,广西绿色生物科技有限公司,新品种审定申请,广西绿色生物科技有限公司,广西省农业农村厅,http://www.gxnf.gov.cn,2024/9/30,,,,
MF635142,高光效番茄育种技术,常规育种,已完成,第二阶段,田间试验,四川省农科院,四川农业大学,2023-09-15,2023-10-01,2024-10-01,2024-09-15,四川优品种科技有限公司,新品种审定申请,四川优品种科技有限公司,四川省农业农村厅,http://www.scagri.gov.cn,2024/9/30,,,,
MF030481,增强抗寒小麦育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江八一农垦大学,2023-08-20,2023-09-01,2024-09-01,2024-08-01,黑龙江优良种子有限公司,新品种审定申请,黑龙江优良种子有限公司,黑龙江省农业农村厅,http://www.hlj.gov.cn,2024/9/30,,,,
MF035562,生物防治棉花育种技术,转基因育种,已完成,第三阶段,区域试验,重庆市农科院,重庆大学,2023-06-30,2023-07-15,2024-07-15,2024-06-30,重庆生态种业有限公司,新品种审定申请,重庆生态种业有限公司,重庆市农业农村厅,http://www.cq.gov.cn,2024/9/30,,,,
MF778092,高抗逆性玉米育种技术,转基因育种,正在进行,第二阶段,大田试验,辽宁省农科院,沈阳农业大学,2023-08-05,2023-09-01,2024-09-01,2024-08-01,辽宁未来种业有限公司,新品种审定申请,辽宁未来种业有限公司,辽宁省农业农村厅,http://www.ln.gov.cn,2024/9/30,,,,
MF996253,环保型抗病果树育种技术,常规育种,已完成,第一阶段,田间试验,吉林省农科院,吉林农业大学,2023-05-01,2023-06-01,2024-06-01,2024-05-01,吉林省种业有限公司,新品种审定申请,吉林省种业有限公司,吉林省农业农村厅,http://www.jl.gov.cn,2024/9/30,,,,
MF635142,饲料补充蛋白质高效豆类育种技术,转基因育种,正在进行,第二阶段,区域试验,浙江省农科院,浙江大学,2023-06-15,2023-07-01,2024-07-01,2024-06-15,浙江新能源种业有限公司,新品种审定申请,浙江新能源种业有限公司,浙江省农业农村厅,http://www.zj.gov.cn,2024/9/30,,,,
MF030481,多抗性薯类育种技术,常规育种,已完成,第一阶段,田间试验,陕西省农科院,西北农业大学,2023-04-20,2023-05-01,2024-05-01,2024-04-20,陕西优良种业有限公司,新品种审定申请,陕西优良种业有限公司,陕西省农业农村厅,http://www.sn.gov.cn,2024/9/30,,,,
MF035562,高产高糖甘蔗育种技术,常规育种,正在进行,第三阶段,大田试验,海南省农科院,海南大学,2023-09-28,2023-10-15,2024-10-15,2024-09-01,海南种业开发有限公司,新品种审定申请,海南种业开发有限公司,海南省农业农村厅,http://www.hainan.gov.cn,2024/9/30,,,,
MF778092,耐盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,江苏省水稻研究所,扬州大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,江苏省农科技术有限公司,新品种审定申请,江苏省农科技术有限公司,江苏省农业农村厅,https://www.jssw.gov.cn/,2024/9/30,,,,
MF996253,优质红薯育种技术,常规育种,已完成,第二阶段,区域试验,湖南省农业科学院,中南林业科技大学,2023-01-10,2023-02-05,2024-02-05,2024-01-20,湖南九天农业科技有限公司,新品种审定申请,湖南九天农业科技有限公司,湖南省农业农村厅,https://www.hnsw.gov.cn/,2024/9/30,,,,
MF030490,抗辐射玉米育种技术,转基因育种,正在进行,第三阶段,大田试验,新疆农业科学院,新疆大学,2023-03-01,2023-04-01,2024-04-01,2024-03-01,新疆优质种子科技有限公司,新品种审定申请,新疆优质种子科技有限公司,新疆维吾尔自治区农业农村厅,https://www.xjagri.gov.cn/,2024/9/30,,,,
MF737405,高产油菜育种技术,常规育种,已完成,第二阶段,区域试验,广东省农科院,华南农业大学,2023-04-25,2023-05-15,2024-05-15,2024-04-10,广东油菜种业有限公司,新品种审定申请,广东油菜种业有限公司,广东省农业农村厅,https://www.gdangri.gov.cn/,2024/9/30,,,,
MF035586,生物刺激剂小麦育种技术,集成育种,正在进行,第一阶段,初步试验,河南省农业科学院,郑州大学,2023-06-10,2023-07-01,2024-07-01,2024-06-01,河南双丰农业科技有限公司,新品种审定申请,河南双丰农业科技有限公司,河南省农业农村厅,https://www.hnagri.gov.cn/,2024/9/30,,,,
MF779985,抗干旱马铃薯育种技术,常规育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2023-05-22,2023-06-15,2024-06-15,2024-05-10,四川好种植农业科技有限公司,新品种审定申请,四川好种植农业科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF658312,多抗水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江大学,2023-07-05,2023-07-20,2024-07-20,2024-06-15,浙江优质种业公司,新品种审定申请,浙江优质种业公司,浙江省农业农村厅,https://www.zjagri.gov.cn/,2024/9/30,,,,
MF030481,抗寒温带水果育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农业科学院,吉林农业大学,2023-08-30,2023-09-15,2024-09-15,2024-08-10,吉林果树科技有限公司,新品种审定申请,吉林果树科技有限公司,吉林省农业农村厅,https://www.jlagri.gov.cn/,2024/9/30,,,,
MF035562,高糖甜菜育种技术,常规育种,正在进行,第三阶段,大田试验,内蒙古农业科学院,内蒙古大学,2023-06-20,2023-07-05,2024-07-05,2024-06-30,内蒙古甜菜科技有限公司,新品种审定申请,内蒙古甜菜科技有限公司,内蒙古自治区农业农村厅,https://www.nmggov.cn/,2024/9/30,,,,
MF778092,抗盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,江苏省农科院,南京农业大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,江苏绿丰生物科技有限公司,新品种审定申请,江苏绿丰生物科技有限公司,江苏省农业农村厅,https://www.jiangsu.gov.cn/,2024/9/30,,,,
MF996253,抗寒玉米育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,吉林农业大学,2023-04-10,2023-05-05,2024-05-05,2024-04-01,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,https://www.jilin.gov.cn/,2024/9/30,,,,
MF635142,营养强化小麦育种技术,转基因育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-08-05,2023-09-01,2024-09-01,2024-08-01,四川强禾生物科技有限公司,新品种审定申请,四川强禾生物科技有限公司,四川省农业农村厅,https://www.sichuan.gov.cn/,2024/9/30,,,,
MF030481,高抗逆大豆育种技术,常规育种,已完成,第二阶段,大田试验,辽宁省农科院,沈阳农业大学,2023-10-01,2023-10-20,2024-10-20,2024-09-01,辽宁优质种苗有限公司,新品种审定申请,辽宁优质种苗有限公司,辽宁省农业农村厅,https://www.liaoning.gov.cn/,2024/9/30,,,,
MF035562,抗毒番茄育种技术,转基因育种,正在进行,第一阶段,初步试验,湖北省农科院,湖北农业大学,2023-11-15,2023-12-01,2024-12-01,2024-11-01,湖北新希望生物科技有限公司,新品种审定申请,湖北新希望生物科技有限公司,湖北省农业农村厅,https://www.hubei.gov.cn/,2024/9/30,,,,
MF778092,高产蔬菜育种技术,常规育种,已完成,第三阶段,区域试验,广西省农科院,广西农业大学,2023-01-10,2023-02-10,2024-02-10,2024-01-15,广西优农农业科技有限公司,新品种审定申请,广西优农农业科技有限公司,广西省农业农村厅,https://www.guangxi.gov.cn/,2024/9/30,,,,
MF996253,高抗病小麦育种技术,转基因育种,正在进行,第一阶段,初步试验,陕西省农科院,西北农林科技大学,2023-09-15,2023-10-01,2024-10-01,2024-09-15,陕西优质种子有限公司,新品种审定申请,陕西优质种子有限公司,陕西省农业农村厅,https://www.shanxi.gov.cn/,2024/9/30,,,,
MF030490,改良草莓育种技术,常规育种,已完成,第二阶段,大田试验,浙江省农科院,浙江农林大学,2023-05-20,2023-06-01,2024-06-01,2024-05-01,浙江优品农业有限公司,新品种审定申请,浙江优品农业有限公司,浙江省农业农村厅,https://www.zhejiang.gov.cn/,2024/9/30,,,,
MF737405,优质柑橘育种技术,转基因育种,正在进行,第一阶段,初步试验,河南省农科院,河南农业大学,2023-09-01,2023-10-01,2024-10-01,2024-09-01,河南天丰柑橘科技有限公司,新品种审定申请,河南天丰柑橘科技有限公司,河南省农业农村厅,https://www.henan.gov.cn/,2024/9/30,,,,
MF035586,抗盐碱小麦育种技术,常规育种,正在进行,第一阶段,初步试验,天津市农科院,天津农业大学,2023-02-15,2023-03-01,2024-03-01,2024-02-01,天津丰禾种业有限公司,新品种审定申请,天津丰禾种业有限公司,天津市农业农村厅,http://www.tianjin.gov.cn/,2024/9/30,,,,
MF779985,耐寒水稻育种技术,转基因育种,已完成,第二阶段,区域试验,黑龙江省农科院,黑龙江八一农垦大学,2023-03-12,2023-04-10,2024-04-10,2024-03-05,黑龙江优质种子公司,新品种审定申请,黑龙江优质种子公司,黑龙江省农业农村厅,http://www.hlj.gov.cn/,2024/9/30,,,,
MF658312,高蛋白大豆育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-04-18,2023-05-05,2024-05-05,2024-04-01,四川优植科技有限公司,新品种审定申请,四川优植科技有限公司,四川省农业农村厅,http://www.sc.gov.cn/,2024/9/30,,,,
MF996253,转基因抗虫玉米育种技术,转基因育种,已完成,第三阶段,大田试验,辽宁省农科院,沈阳农业大学,2023-06-10,2023-07-01,2024-07-01,2024-06-01,辽宁丰产种业有限公司,新品种审定申请,辽宁丰产种业有限公司,辽宁省农业农村厅,http://www.ln.gov.cn/,2024/9/30,,,,
MF030481,抗旱玉米育种技术,常规育种,正在进行,第一阶段,初步试验,山西省农科院,山西农业大学,2023-07-22,2023-08-10,2024-08-10,2024-07-01,山西志远种业有限公司,新品种审定申请,山西志远种业有限公司,山西省农业农村厅,http://www.sx.gov.cn/,2024/9/30,,,,
MF035562,耐旱早熟花生育种技术,常规育种,已完成,第三阶段,区域试验,福建省农科院,福建农业大学,2023-05-30,2023-06-15,2024-06-15,2024-05-10,福建优种科技有限公司,新品种审定申请,福建优种科技有限公司,福建省农业农村厅,http://www.fj.gov.cn/,2024/9/30,,,,
MF778092,抗病向日葵育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江农业大学,2023-08-01,2023-08-15,2024-08-15,2024-07-01,浙江农科种业有限公司,新品种审定申请,浙江农科种业有限公司,浙江省农业农村厅,http://www.zj.gov.cn/,2024/9/30,,,,
MF996253,转基因高淀粉玉米育种技术,转基因育种,已完成,第二阶段,区域试验,贵州省农科院,贵州大学,2023-09-15,2023-10-05,2024-10-05,2024-09-01,贵州良种科技有限公司,新品种审定申请,贵州良种科技有限公司,贵州省农业农村厅,http://www.gz.gov.cn/,2024/9/30,,,,
MF635142,抗冷食用玉米育种技术,常规育种,正在进行,第一阶段,初步试验,新疆农科院,新疆农业大学,2023-10-05,2023-10-15,2024-10-15,2024-09-10,新疆利民种业有限公司,新品种审定申请,新疆利民种业有限公司,新疆维吾尔自治区农业农村厅,http://www.xinjiang.gov.cn/,2024/9/30,,,,
MF030481,抗盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,福建省农科院,福建农业大学,2023-10-01,2023-10-15,2024-10-15,2024-09-01,福建良种科技有限公司,新品种审定申请,福建良种科技有限公司,福建省农业农村厅,https://www.fjny.gov.cn/,2024/9/30,,,,
MF035562,抗逆玉米育种技术,常规育种,已完成,第二阶段,区域试验,河北省农科院,河北农业大学,2023-08-01,2023-08-15,2024-08-15,2024-07-01,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,https://www.hebny.gov.cn/,2024/9/30,,,,
MF778092,高糖甜菜育种技术,转基因育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-11-05,2023-11-20,2024-11-20,2024-10-15,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scny.gov.cn/,2024/9/30,,,,
MF996253,抗寒小麦育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,吉林农业大学,2023-09-10,2023-09-15,2024-09-15,2024-08-10,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,https://www.jlny.gov.cn/,2024/9/30,,,,
MF030490,高产油菜育种技术,转基因育种,正在进行,第三阶段,大田试验,辽宁省农科院,辽宁农业大学,2023-12-12,2023-12-20,2024-12-20,2024-11-15,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.lnny.gov.cn/,2024/9/30,,,,
MF737405,抗旱水稻育种技术,常规育种,已完成,第三阶段,区域试验,甘肃省农科院,甘肃农业大学,2023-04-18,2023-05-01,2024-05-01,2024-04-20,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gsny.gov.cn/,2024/9/30,,,,
MF035586,新型高效小麦育种技术,转基因育种,正在进行,第一阶段,初步试验,山西省农科院,山西农业大学,2023-06-30,2023-07-15,2024-07-15,2024-06-15,山西良种科技有限公司,新品种审定申请,山西良种科技有限公司,山西省农业农村厅,https://www.sxny.gov.cn/,2024/9/30,,,,
MF779985,自育抗病玉米育种技术,常规育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-03-25,2023-04-10,2024-04-10,2024-03-15,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.ynny.gov.cn/,2024/9/30,,,,
MF658312,抗虫蔬菜育种技术,常规育种,正在进行,第一阶段,初步试验,陕西省农科院,陕西农业大学,2023-05-15,2023-06-01,2024-06-01,2024-05-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.sxny.gov.cn/,2024/9/30,,,,
MF030481,耐盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,辽宁省农科院,沈阳农业大学,2023-10-01,2023-10-15,2024-10-15,2024-09-01,辽宁世丰生物科技有限公司,新品种审定申请,辽宁世丰生物科技有限公司,辽宁省农业农村厅,https://www.lnnc.gov.cn/,2024/9/30,,,,
MF035562,抗疫小白菜育种技术,常规育种,已完成,第二阶段,区域试验,湖北省农科院,武汉大学,2023-08-10,2023-09-01,2024-09-01,2024-08-01,湖北良种科技有限公司,新品种审定申请,湖北良种科技有限公司,湖北省农业农村厅,https://www.hbnc.gov.cn/,2024/9/30,,,,
