标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 26687-2011,液体食品菌落总数限量标准,2011-08-14,2012-01-01,2011-001,强制性标准,液体食品生产,食品安全标准,北京市市场监督管理局,食品安全法,北京市卫生健康委员会,https://www.bj.gov.cn,2024-09-29,,,,,,,
DB T34/005-2022,地方食品安全标准：小麦粉,2022-04-20,2022-11-01,DB-T34-005,地方标准,陕西省食品生产、销售,地方食品安全标准,陕西省市场监督管理局,地方食品安全法,陕西省卫生健康委员会,https://www.shaanxi.gov.cn,2024-09-29,,,,,,,
GB 28050-2023,食品添加剂使用管理标准,2023-02-10,2023-07-01,2023-001,强制性标准,全国范围内食品生产、加工,国家食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全评估中心,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
GB 30616-2022,食用植物油安全标准,2022-05-15,2022-11-01,2022-002,强制性标准,食用油生产与销售,国家食品安全标准,国家市场监督管理总局,食品安全法,中国食用油协会,https://www.cookingoil.org.cn,2024-09-29,,,,,,,
DB Q34/002-2021,地方食品安全标准：红枣,2021-03-01,2021-09-01,DB-Q34-002,地方标准,甘肃省食品生产、销售,地方食品安全标准,甘肃省市场监督管理局,地方食品安全法,甘肃日报,https://www.gsdaily.com,2024-09-29,,,,,,,
T/SFMA 0015-2020,无公害食品认定标准,2020-08-10,2021-01-01,T-SFMA-0015,团体标准,全国范围内无公害食品认定,无公害食品标准,中国农业科学院,团体标准实施办法,农业部官网,https://www.moa.gov.cn,2024-09-29,,,,,,,
GB/T 22300-2020,肉类产品安全标准,2020-06-15,2020-12-01,2020-003,推荐标准,肉类产品生产、销售,国家食品安全标准,国家标准化管理委员会,食品安全法,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-29,,,,,,,
T/CFFA 0120-2023,食品包装材料安全标准,2023-03-15,2023-09-01,T-CFFA-0120,团体标准,全国范围内食品包装行业,食品安全标准,中国食品包装协会,团体标准制定办法,中国包协,https://www.cnfa.org.cn,2024-09-29,,,,,,,
GB 31000-2021,食品中重金属限量标准,2021-07-01,2022-01-01,2021-004,强制性标准,全国食品生产、加工,国家食品安全标准,中国疾病预防控制中心,食品安全法,中国食品安全网,https://www.cfs.gov.cn,2024-09-29,,,,,,,
DB Y22/003-2021,地方食品安全标准：蔬菜,2021-05-20,2022-01-01,DB-Y22-003,地方标准,云南省食品生产、销售,地方食品安全标准,云南省市场监督管理局,地方食品安全法,云南日报,https://www.ynrb.com,2024-09-29,,,,,,,
GB 2763-2023,食品营养成分标准,2023-01-10,2023-06-01,2023-005,强制性标准,食品生产、销售,国家食品安全标准,国家市场监督管理总局,食品安全法,国家食品质量监督检测中心,https://www.aqsiq.gov.cn,2024-09-29,,,,,,,
GB/T 23456-2022,食品中农药残留限量标准,2022-09-10,2023-03-01,2022-006,推荐标准,全国范围内食品生产、加工,国家食品安全标准,中国农业部,食品安全法,农业部官网,https://www.moa.gov.cn,2024-09-29,,,,,,,
GB 2729-2022,绿色食品认证标准,2022-05-20,2022-11-01,2022-010,强制性标准,全国范围内绿色食品生产企业,绿色食品安全标准,国家市场监督管理总局,绿色食品法,国家市场监管总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB S25/002-2023,地方食品安全标准：有机蔬菜,2023-03-05,2023-09-01,DB-S25-002,地方标准,山东省食品生产、销售,地方食品安全标准,山东省卫生健康委员会,地方食品安全法,山东省市场监督管理局,https://www.sd.gov.cn,2024-09-29,,,,,,,
GB 3142-2020,饮用水安全标准,2020-09-15,2021-01-01,2020-005,强制性标准,全国范围内饮用水供应企业,饮用水安全标准,国家卫生健康委员会,饮用水安全法,国家饮用水安全监督管理机构,https://www.nhc.gov.cn,2024-09-29,,,,,,,
T/CFA 0001-2021,食品包装材料标准,2021-11-30,2022-05-01,T-CFA-0001,团体标准,全国范围内食品包装企业,食品包装安全标准,中国食品包装协会,团体标准制定办法,中国食品包装网,http://www.chinafyh.com,2024-09-29,,,,,,,
GB 8096-2019,食品监测与管理标准,2019-04-10,2019-12-01,2019-006,强制性标准,全国范围内食品生产、销售,食品监测标准,国家市场监督管理总局,食品监测法,国家市场监管总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB H36/004-2023,地方食品安全标准：米粉,2023-01-15,2023-07-01,DB-H36-004,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省市场监督管理局,https://www.hunan.gov.cn,2024-09-29,,,,,,,
GB 4211-2021,糖类食品质量标准,2021-06-25,2021-12-01,2021-007,强制性标准,全国范围内糖类食品生产企业,糖类食品安全标准,国家市场监督管理总局,食品安全法,全国食品安全信息网,http://www.cfda.gov.cn,2024-09-29,,,,,,,
DB J54/003-2023,地方食品安全标准：鸡蛋,2023-02-28,2023-08-01,DB-J54-003,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省卫生健康委员会,地方食品安全法,江苏省市场监督管理局,https://www.js.gov.cn,2024-09-29,,,,,,,
GB 4789.1-2022,微生物检测标准,2022-07-10,2023-01-01,2022-008,强制性标准,全国范围内食品生产企业,食品微生物安全标准,国家卫生健康委员会,食品安全法,中国卫生健康委员会,http://www.nhc.gov.cn,2024-09-29,,,,,,,
T/CFDA 9999-2023,食品接触材料标准,2023-05-20,2023-11-01,T-CFDA-9999,团体标准,全国范围内食品接触材料企业,食品接触材料的安全标准,中国食品药品法人协会,团体标准制定办法,国家食品药品监督管理局,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
GB 5435-2022,农产品中农药残留限量标准,2022-05-20,2022-11-01,2022-004,强制性标准,全国范围内农业产品,农产品安全标准,国家农业农村部,农产品质量安全法,国家市场监督管理总局,https://samr.cfda.gov.cn/,2024-09-29,,,,,,,
GB/T 20750-2020,植物基食品安全标准,2020-10-14,2021-04-01,2020-005,推荐性标准,植物基食品生产企业,食品安全标准,中国食品科学技术学会,食品安全法,中国食品科学技术学会,http://www.cifs.cn/,2024-09-29,,,,,,,
JD 09-2023,食品冷链物流标准,2023-01-15,2023-07-01,2023-001,行业标准,全国冷链物流企业,食品物流安全标准,国家发展和改革委员会,冷链物流管理办法,中国冷链物流网,http://www.china-coldchain.com/,2024-09-29,,,,,,,
GB 23350-2018,肉类产品检测标准,2018-04-10,2019-01-01,2018-002,强制性标准,肉类生产、加工、销售,食品安全标准,农业农村部,兽医法,中国消费者协会,http://www.cca.cn/,2024-09-29,,,,,,,
DB 11/T 4003-2021,地方食品安全标准：无公害蔬菜,2021-08-30,2022-03-01,DB-11-003,地方标准,北京市蔬菜生产基地,地方食品安全标准,北京市市场监督管理局,地方食品安全法,北京市市场监督管理局,http://www.bjscjg.gov.cn/,2024-09-29,,,,,,,
T/CFFI 0035-2021,食品加工环节风险控制标准,2021-04-22,2021-10-01,T-CFFI-0035,团体标准,全国食品加工企业,食品加工安全标准,中国食品工业协会,团体标准制定办法,中国食品工业协会,http://www.ccfi.org.cn/,2024-09-29,,,,,,,
GB 2763-2021,食品中重金属限量标准,2021-11-11,2022-05-01,2021-006,强制性标准,全国食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国环境保护部,http://www.mee.gov.cn/,2024-09-29,,,,,,,
GB/T 31000-2022,食品可追溯性管理标准,2022-09-07,2023-03-01,2022-008,推荐性标准,全国食品生产企业,食品安全管理,国家市场监督管理总局,食品追溯管理办法,中国食品安全网,http://www.cnsafety.com/,2024-09-29,,,,,,,
AQ/AQ670-2023,海鲜产品进口标准,2023-02-01,2023-08-01,AQ-2023-009,行业标准,海鲜产品进口贸易,食品安全标准,国家海关总署,海关法,国家海关总署,http://www.customs.gov.cn/,2024-09-29,,,,,,,
DB X47/001-2022,地方食品安全标准：水产品,2022-05-25,2022-12-01,DB-X47-001,地方标准,浙江省水产品生产、加工,地方食品安全标准,浙江省市场监督管理局,地方食品安全法,浙江省市场监督管理局,http://www.zjscjg.gov.cn/,2024-09-29,,,,,,,
GB 28050-2023,食品中重金属限量标准,2023-07-19,2024-01-01,2023-004,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB H.YG/002-2022,地方食品安全标准：大豆制品,2022-11-15,2023-05-01,DB-HY-002,地方标准,河南省食品生产、销售,地方食品安全标准,河南省食品药品监督管理局,地方食品安全法,河南省市场监管局,https://www.henan.gov.cn/,2024-09-29,,,,,,,
GB 2762-2022,食品中农药残留限量标准,2022-12-01,2023-06-01,2022-005,强制性标准,食品生产、加工、销售,食品安全标准,国家农业农村部,食品安全法,农业农村部官网,https://www.moa.gov.cn/,2024-09-29,,,,,,,
T/CPMC 0005-2023,食品追溯体系标准,2023-03-22,2023-09-01,T-CPMC-0005,团体标准,食品生产、销售企业,食品安全标准,中国食品制造业协会,团体标准制定办法,中国食品制造业协会,https://www.cfma.org.cn/,2024-09-29,,,,,,,
GB 7718-2022,食品标签标准,2022-05-15,2022-12-01,2022-006,强制性标准,食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
T/YCS 003-2023,植物性食品安全标准,2023-09-05,2024-03-01,T-YCS-003,行业标准,国内植物性食品生产企业,食品安全标准,中国植物油行业协会,行业标准管理办法,中国植物油行业协会,http://www.cooking-oil.org/,2024-09-29,,,,,,,
GB 4789-2021,食品微生物检测标准,2021-04-12,2021-10-01,2021-007,强制性标准,食品生产、加工,食品安全标准,国家食品药品监督管理局,食品安全法,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
DB JX/001-2023,地方食品安全标准：米粉,2023-06-10,2023-12-01,DB-JX-001,地方标准,江西省食品生产、销售,地方食品安全标准,江西省卫生健康委员会,地方食品安全法,江西省市场监督管理局,https://www.jiangxi.gov.cn/,2024-09-29,,,,,,,
GB 19730-2023,食品中添加剂使用标准,2023-08-01,2024-01-01,2023-008,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,国家标准法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB/T 40035-2023,食品安全环境监测标准,2023-10-01,2024-04-01,2023-009,推荐性标准,食品生产与储存企业,食品安全标准,中国食品安全标准化技术委员会,行业标准化法,中国标准化协会,http://www.sac.gov.cn/,2024-09-29,,,,,,,
GB 2763-2022,食品中微生物限量标准,2022-07-05,2023-01-01,2022-001,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国质量监督管理局,https://www.cnis.gov.cn/,2024-09-29,,,,,,,
GB 6780-2023,植物基食品安全标准,2023-04-20,2023-10-01,2023-002,强制性标准,植物基食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,食品安全信息网,http://www.foodsafety.gov.cn/,2024-09-29,,,,,,,
DL T 025-2020,食品检测实验室标准,2020-09-15,2021-03-01,DL-025-001,行业标准,食品检测机构,实验室管理标准,中国检验认证集团,实验室检测标准管理办法,中国检验检疫科学研究院,http://www.cnis.gov.cn/zh/,2024-09-29,,,,,,,
GB 5050-2023,农药残留限量标准,2023-02-10,2023-08-01,2023-003,强制性标准,农产品生产链,食品安全标准,农业农村部,农药管理法,农业信息网,http://www.moa.gov.cn/,2024-09-29,,,,,,,
HB 042-2022,地方食品安全标准：鱼类,2022-05-01,2023-02-01,HB-042-001,地方标准,河北省食品生产、销售,地方食品安全标准,河北省市场监督管理局,地方食品安全法,河北省食品安全信息网,http://www.hebeifood.gov.cn/,2024-09-29,,,,,,,
GB 18602-2017,冷冻食品安全标准,2017-06-30,2018-12-01,2017-004,强制性标准,冷冻食品生产、销售,食品安全标准,国家市场监督管理委员会,食品安全法,全国食品安全监管网,http://www.nfa.gov.cn/,2024-09-29,,,,,,,
SY/T 005-2021,餐饮业食品安全管理标准,2021-01-10,2021-07-01,SY-005-001,行业标准,餐饮业,食品服务安全标准,中国餐饮协会,餐饮行业标准制定办法,餐饮业安全监督网,http://www.cra.org.cn/,2024-09-29,,,,,,,
T/CFS 0003-2022,食品安全培训标准,2022-08-15,2023-03-01,T-CFS-0003,团体标准,全国食品企业及从业人员,食品安全培训标准,中国食品安全协会,团体标准制定办法,中国食品安全信息网,http://www.chinafoodsafe.org/,2024-09-29,,,,,,,
DB H40/005-2023,地方食品安全标准：果蔬,2023-05-20,2023-11-01,DB-H40-005,地方标准,湖南省食品生产、上市,地方食品安全标准,湖南省卫生健康委,地方食品安全法,湖南省市场监管局,http://www.hunan.gov.cn/,2024-09-29,,,,,,,
GB/T 28718-2023,有机食品认证标准,2023-09-15,2024-03-01,2023-007,推荐性标准,有机食品生产、销售,食品安全认证标准,中国有机食品协会,有机食品管理办法,有机食品监管平台,http://www.organic.gov.cn/,2024-09-29,,,,,,,
GB 18406.1-2023,食品安全检测方法标准,2023-04-20,2023-10-01,2023-004,强制性标准,全国范围内食品检测机构,食品安全标准,国家市场监督管理总局,食品安全法,中国食品科学技术学会,https://www.cifst.org.cn/,2024-09-29,,,,,,,
GB 7101-2019,有机食品认证标准,2019-11-15,2020-05-01,2019-005,强制性标准,有机食品生产、加工、销售,食品安全标准,国家认证认可监督管理委员会,有机产品认证管理办法,农业农村部,https://www.moa.gov.cn/,2024-09-29,,,,,,,
DB 52/T 123-2023,地方食品安全标准：绿色蔬菜,2023-06-01,2023-12-01,DB-52-001,地方标准,北京市绿色食品生产,地方食品安全标准,北京市市场监督管理局,地方食品安全法,北京市食品安全研究中心,http://www.bjda.gov.cn/,2024-09-29,,,,,,,
T/CAFA 0003-2022,食品流通标识标准,2022-02-25,2022-08-01,T-CAFA-0003,团体标准,全国食品流通企业,食品标识标准,中国农业产业化龙头企业协会,团体标准制定办法,中国食品安全网,https://www.cfsa.org.cn/,2024-09-29,,,,,,,
GB 19345-2020,非转基因产品标准,2020-10-10,2021-04-01,2020-006,强制性标准,全国范围内食品生产企业,食品安全标准,国家粮食和物资储备局,非转基因食品管理办法,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,,,,
DB S64/002-2023,地方食品安全标准：苹果,2023-07-15,2023-11-01,DB-S64-002,地方标准,陕西省食品生产、销售,地方食品安全标准,陕西省市场监督管理局,地方食品安全法,陕西省农业农村厅,http://www.shaanxi.gov.cn/,2024-09-29,,,,,,,
GB 5009.33-2021,营养成分检测方法标准,2021-03-21,2021-09-01,2021-002,强制性标准,全国范围内食品检测实验室,食品安全标准,国家食品药品监督管理局,食品安全法,中国食品让民众放心平台,https://www.safefood.gov.cn/,2024-09-29,,,,,,,
T/FDA 0001-2022,食品防腐剂使用标准,2022-05-10,2022-11-01,T-FDA-0001,团体标准,全国食品生产企业,食品添加剂标准,中国食品和药品协会,团体标准制定办法,中国食品安全事务局,http://www.cfs.gov.cn/,2024-09-29,,,,,,,
GB 4285-2023,快速检测食品中污染物标准,2023-05-30,2023-11-15,2023-007,强制性标准,全国范围内食品检测机构,食品安全标准,国家市场监督管理总局,食品安全法,全国食品安全风险评估中心,http://www.nhfpc.gov.cn/,2024-09-29,,,,,,,
DB 34/T 045-2022,地方食品安全标准：水产品,2022-08-15,2023-02-01,DB-34-002,地方标准,海南省水产品生产、销售,地方食品安全标准,海南省市场监督管理局,地方食品安全法,海南省海洋与渔业厅,http://www.hainan.gov.cn/,2024-09-29,,,,,,,
GB 5009.173-2021,食品中农药残留限量标准,2021-07-15,2022-01-01,2021-004,强制性标准,农业产品、食品生产,食品安全标准,国家市场监督管理总局,食品安全法,江苏省农业农村厅,https://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
DB T12/001-2023,地方标准：绿色食品认证,2023-02-01,2023-07-01,DB-T12-001,地方标准,北京市、天津市,地方食品安全标准,北京市市场监督管理局,绿色食品发展法,北京晨报,https://www.bjcb.com/,2024-09-29,,,,,,,
GB/T 29602-2021,有机食品标准,2021-05-20,2021-11-01,2021-005,推荐性标准,全国范围内，食品生产企业,食品质量标准,国家生态环境部,有机产品认证管理办法,中国食品科技网,https://www.cftc.org.cn/,2024-09-29,,,,,,,
GB 6675-2014,食品接触材料安全标准,2014-10-15,2015-04-01,2014-003,强制性标准,食品包装材料,食品安全标准,国家标准化管理委员会,食品安全法,上海市市场监督管理局,https://www.shanghaij.gov.cn/,2024-09-29,,,,,,,
T/CFDA 001-2022,食品添加剂使用指南,2022-03-20,2022-09-01,T-CFDA-001,团体标准,全国范围内，餐饮企业,食品安全标准,中国食品科学技术学会,团体标准制定办法,中国食品报,https://www.fanews.com.cn/,2024-09-29,,,,,,,
