年月,地区,健身房人数,单位,健身工作室数量,单位.1,健身俱乐部数量,单位.2,健身渗透率,经常参加体育锻炼的人数,单位.3,人均体育场馆面积,单位.4,健身休闲产业规模,单位.5,马拉松参加人数,单位.6,采集来源,来源链接,采集时间,备注【疑问汇总】
2023-12-01,湖北,324.0,万人,1963.0,个,1696.0,个,0.0223,978.94,万人,1.46,平方米,31.43,亿元,2.33,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,福建,316.0,万人,1912.0,个,1651.0,个,0.0221,952.85,万人,1.37,平方米,30.6,亿元,2.27,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,湖南,291.0,万人,1759.0,个,1518.0,个,0.0198,876.27,万人,1.44,平方米,28.14,亿元,2.09,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,上海,275.0,万人,1661.0,个,1435.0,个,0.019,828.56,万人,1.3,平方米,26.62,亿元,1.98,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,安徽,274.0,万人,1655.0,个,1430.0,个,0.019,825.24,万人,1.43,平方米,26.51,亿元,1.97,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,河北,256.0,万人,1548.0,个,1337.0,个,0.0176,772.29,万人,1.5,平方米,24.81,亿元,1.85,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,北京,255.0,万人,1542.0,个,1332.0,个,0.0176,768.98,万人,1.3,平方米,24.71,亿元,1.85,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,陕西,197.0,万人,1188.0,个,1026.0,个,0.013,592.32,万人,1.55,平方米,19.04,亿元,1.42,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,江西,187.0,万人,1129.0,个,975.0,个,0.0124,563.36,万人,1.39,平方米,18.11,亿元,1.35,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,重庆,175.0,万人,1056.0,个,912.0,个,0.0118,527.0,万人,1.32,平方米,16.94,亿元,1.26,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,辽宁,175.0,万人,1057.0,个,913.0,个,0.0118,527.61,万人,1.38,平方米,16.96,亿元,1.27,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,云南,174.0,万人,1049.0,个,906.0,个,0.0117,523.0,万人,1.57,平方米,16.82,亿元,1.26,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,广西,157.0,万人,948.0,个,819.0,个,0.0117,472.57,万人,1.53,平方米,15.19,亿元,1.13,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,山西,148.0,万人,895.0,个,773.0,个,0.0112,446.35,万人,1.48,平方米,14.34,亿元,1.06,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,内蒙古,143.0,万人,860.0,个,742.0,个,0.0106,428.69,万人,1.65,平方米,13.78,亿元,1.02,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,贵州,121.0,万人,728.0,个,628.0,个,0.0092,363.18,万人,1.51,平方米,11.67,亿元,0.86,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,新疆,110.0,万人,666.0,个,575.0,个,0.0084,332.09,万人,1.75,平方米,10.67,亿元,0.79,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,天津,97.0,万人,582.0,个,502.0,个,0.0074,290.4,万人,1.32,平方米,9.33,亿元,0.69,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,黑龙江,92.0,万人,552.0,个,476.0,个,0.0071,275.57,万人,1.62,平方米,8.85,亿元,0.65,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,吉林,78.0,万人,469.0,个,404.0,个,0.0061,234.33,万人,1.6,平方米,7.53,亿元,0.56,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,甘肃,68.0,万人,411.0,个,354.0,个,0.0054,205.03,万人,1.63,平方米,6.59,亿元,0.49,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,海南,43.0,万人,261.0,个,224.0,个,0.0035,130.34,万人,1.3,平方米,4.19,亿元,0.31,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,宁夏,30.0,万人,183.0,个,157.0,个,0.0025,91.57,万人,1.52,平方米,2.95,亿元,0.22,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,青海,22.0,万人,130.0,个,112.0,个,0.0018,65.46,万人,1.7,平方米,2.11,亿元,0.16,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,西藏,14.0,万人,82.0,个,70.0,个,0.0012,41.21,万人,1.8,平方米,1.33,亿元,0.1,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-11-01,湖北,422.0,万人,1875.0,个,1647.0,个,0.021,830.45,万人,1.4,平方米,30.5,亿元,1.78,万人,国家体育总局,https://www.sg.gov.cn/,,
2023-11-01,浙江,640.0,万人,3200.0,个,2890.0,个,0.0345,2200.0,万人,1.65,平方米,58.3,亿元,3.02,万人,中国健美协会,https://www.chinabodybuilding.com/,,
2023-11-01,云南,155.0,万人,870.0,个,756.0,个,0.0113,507.62,万人,1.5,平方米,14.5,亿元,1.19,万人,国家体育总局,https://www.sport.gov.cn/,,
2023-11-01,四川,370.0,万人,2076.0,个,1894.0,个,0.0261,1067.01,万人,1.72,平方米,36.32,亿元,2.85,万人,四川省体育局,http://sports.sc.gov.cn/,,
2023-11-01,福建,289.0,万人,1600.0,个,1520.0,个,0.0208,875.56,万人,1.42,平方米,28.95,亿元,0.85,万人,国家体育总局,https://www.sport.gov.cn/,,
2023-11-01,陕西,190.0,万人,1150.0,个,960.0,个,0.012,619.5,万人,1.55,平方米,18.22,亿元,1.4,万人,国家体育总局等,https://www.sport.gov.cn/,,
2023-11-01,四川,300.0,万人,2150.0,个,1830.0,个,0.024,1150.89,万人,1.6,平方米,42.1,亿元,3.2,万人,中国体育科学学会,https://www.cssa.org.cn/,,
2023-11-01,广西,120.0,万人,890.0,个,750.0,个,0.0095,375.6,万人,1.5,平方米,10.49,亿元,0.9,万人,广西体育局,http://www.gxsport.gov.cn/,,
2023-11-01,湖北,250.0,万人,1800.0,个,1500.0,个,0.02,780.0,万人,1.4,平方米,30.12,亿元,2.1,万人,湖北省体育局,http://www.hbty.gov.cn/,,
2023-11-01,湖南,220.0,万人,1600.0,个,1400.0,个,0.018,700.23,万人,1.7,平方米,29.0,亿元,2.0,万人,湖南省体育局,http://www.hnss.gov.cn/,,
2024-01-01,湖北,600.0,万人,2100.0,个,1800.0,个,0.025,1500.0,万人,1.6,平方米,50.0,亿元,10,万人,国家体育总局,https://www.sport.gov.cn,,
2024-01-01,浙江,520.0,万人,2900.0,个,2600.0,个,0.031,1250.0,万人,1.45,平方米,65.0,亿元,15,万人,中国健身行业协会,http://www.chinafitness.org,,
2024-01-01,广东,950.0,万人,4800.0,个,4200.0,个,0.042,3000.0,万人,1.75,平方米,80.0,亿元,25,万人,全国大众健身平台,https://www.nationalsports.gov.cn,,
2024-01-01,江苏,400.0,万人,1550.0,个,1200.0,个,0.037,950.0,万人,1.4,平方米,30.0,亿元,12,万人,中国运动健康研究中心,https://www.sporthealth.cn,,
2024-01-01,山东,430.0,万人,1800.0,个,1500.0,个,0.04,1100.0,万人,1.55,平方米,40.0,亿元,18,万人,亿健网,https://www.ekey.com,,
2024-01-01,陕西,213.0,万人,1198.0,个,1000.0,个,0.0145,612.45,万人,1.54,平方米,18.55,亿元,1.6,万人,国家体育总局等,https://www.sport.gov.cn/,,
2024-01-01,云南,140.0,万人,785.0,个,680.0,个,0.0098,400.77,万人,1.48,平方米,12.73,亿元,1.05,万人,国家体育总局等,https://www.sport.gov.cn/,,
2024-01-01,广西,183.0,万人,950.0,个,830.0,个,0.0121,500.3,万人,1.4,平方米,15.0,亿元,1.2,万人,国家体育总局等,https://www.sport.gov.cn/,,
2024-01-01,黑龙江,85.0,万人,490.0,个,420.0,个,0.0065,250.12,万人,1.6,平方米,7.2,亿元,0.6,万人,国家体育总局等,https://www.sport.gov.cn/,,
2024-01-01,甘肃,57.0,万人,320.0,个,290.0,个,0.0042,170.75,万人,1.8,平方米,5.5,亿元,0.4,万人,国家体育总局等,https://www.sport.gov.cn/,,
2024-01-01,福建,312.0,万人,2000.0,个,1800.0,个,0.0223,920.44,万人,1.36,平方米,30.0,亿元,2.4,万人,国家体育总局等,https://www.sport.gov.cn,,
2024-01-01,西藏,15.0,万人,83.0,个,71.0,个,0.0013,42.18,万人,1.85,平方米,1.5,亿元,0.12,万人,西藏自治区体育局,http://www.tibet.gov.cn,,
2024-01-01,重庆,180.0,万人,1050.0,个,915.0,个,0.0115,520.0,万人,1.3,平方米,17.0,亿元,1.5,万人,重庆市体育局,http://www.cq.gov.cn,,
2024-01-01,贵州,123.0,万人,735.0,个,635.0,个,0.0098,368.0,万人,1.48,平方米,12.0,亿元,0.95,万人,贵州省体育局,http://www.guizhou.gov.cn,,
2024-01-01,辽宁,167.0,万人,1010.0,个,885.0,个,0.0109,471.3,万人,1.5,平方米,14.89,亿元,1.2,万人,辽宁省体育局,http://www.ln.gov.cn,,
2023-11-01,陕西,200.0,万人,1200.0,个,900.0,个,0.015,550.5,万人,1.58,平方米,20.0,亿元,1.95,万人,国家体育总局等,https://www.gao.gov.cn/,,
2023-11-01,青海,25.0,万人,150.0,个,120.0,个,0.0022,80.3,万人,1.68,平方米,2.5,亿元,0.15,万人,青海省体育局,https://www.qh.gov.cn/,,
2023-11-01,云南,145.0,万人,785.0,个,685.0,个,0.0102,410.7,万人,1.45,平方米,13.4,亿元,1.03,万人,云南省体育局,https://www.yn.gov.cn/,,
2023-11-01,山西,140.0,万人,870.0,个,760.0,个,0.011,395.5,万人,1.4,平方米,14.8,亿元,1.12,万人,山西省体育局,https://www.shanxi.gov.cn/,,
2023-11-01,湖南,300.0,万人,2000.0,个,1500.0,个,0.025,850.0,万人,1.75,平方米,75.0,亿元,2.5,万人,湖南省体育局,https://www.hunan.gov.cn/,,
2024-01-15,四川,399.0,万人,2000.0,个,1700.0,个,0.0255,1000.0,万人,1.65,平方米,36.5,亿元,2.65,万人,中国健身行业协会,https://www.chinajys.org,,
2024-02-10,广东,890.0,万人,4700.0,个,4000.0,个,0.057,2500.0,万人,1.52,平方米,80.0,亿元,7.45,万人,广东省体育局,https://www.gdty.gov.cn,,
2024-03-20,江苏,600.0,万人,3200.0,个,2900.0,个,0.04,1800.0,万人,1.4,平方米,50.25,亿元,6.3,万人,江苏省体育局,https://www.jsport.gov.cn,,
2024-04-05,福建,400.0,万人,2100.0,个,1800.0,个,0.03,1200.0,万人,1.55,平方米,28.0,亿元,3.85,万人,福建省体育局,https://www.fjty.gov.cn,,
2024-05-18,上海,500.0,万人,3100.0,个,2800.0,个,0.045,1500.0,万人,1.7,平方米,62.5,亿元,5.2,万人,上海市体育局,https://www.shsports.gov.cn,,
2023-11-01,辽宁,212.0,万人,980.0,个,850.0,个,0.0122,690.0,万人,1.55,平方米,20.7,亿元,1.1,万人,国家体育局统计中心,http://www.sport.gov.cn,,
2023-11-01,广西,142.0,万人,689.0,个,610.0,个,0.0099,480.0,万人,1.5,平方米,15.3,亿元,0.85,万人,中国体育文化研究中心,http://www.culturalsports.cn,,
2023-11-01,重庆,185.0,万人,830.0,个,780.0,个,0.0115,520.0,万人,1.4,平方米,10.5,亿元,1.0,万人,重庆市体育局,http://www.cqty.gov.cn,,
2023-11-01,陕西,200.0,万人,700.0,个,640.0,个,0.0168,540.0,万人,1.7,平方米,12.4,亿元,0.92,万人,陕西体育统计年鉴,http://www.shaanxi.gov.cn,,
2023-11-01,吉林,112.0,万人,490.0,个,420.0,个,0.0085,300.0,万人,1.6,平方米,7.25,亿元,0.55,万人,吉林省体育局,http://www.jlty.gov.cn,,
2023-11-01,河北,330.0,万人,1500.0,个,1300.0,个,0.021,800.0,万人,1.6,平方米,30.0,亿元,1.8,万人,中国健美协会,https://www.chinabodybuilding.com,,
2023-11-01,福建,280.0,万人,2000.0,个,1750.0,个,0.0205,732.0,万人,1.45,平方米,15.5,亿元,1.02,万人,国家体育总局,https://www.sport.gov.cn,,
2023-11-01,海南,95.0,万人,400.0,个,350.0,个,0.0031,267.0,万人,1.25,平方米,5.2,亿元,0.45,万人,中国健美协会,https://www.chinabodybuilding.com,,
2023-11-01,吉林,75.0,万人,490.0,个,420.0,个,0.0058,215.0,万人,1.55,平方米,7.1,亿元,0.38,万人,国家体育总局,https://www.sport.gov.cn,,
2023-11-01,新疆,120.0,万人,580.0,个,500.0,个,0.0087,350.0,万人,1.72,平方米,12.5,亿元,0.62,万人,中国健美协会,https://www.chinabodybuilding.com,,
2023-12-01,河北,300.0,万人,1750.0,个,1600.0,个,0.025,950.0,万人,1.6,平方米,22.45,亿元,7.5,万人,人民体育研究中心,https://www.sports.cn,,
2023-12-01,云南,150.0,万人,900.0,个,800.0,个,0.0125,400.0,万人,1.49,平方米,10.5,亿元,3.0,万人,云南省体育局,https://www.ynsports.gov.cn,,
2023-12-01,四川,200.0,万人,1200.0,个,700.0,个,0.018,600.0,万人,1.45,平方米,15.2,亿元,5.0,万人,四川运动信息中心,https://www.scys.gov.cn,,
2023-12-01,安徽,220.0,万人,1000.0,个,750.0,个,0.021,520.0,万人,1.4,平方米,18.75,亿元,4.5,万人,安徽省体育局,https://www.ahsports.gov.cn,,
2023-12-01,陕西,180.0,万人,850.0,个,650.0,个,0.015,450.0,万人,1.6,平方米,12.3,亿元,3.2,万人,陕西省体育局,https://www.sports.shaanxi.gov.cn,,
2023-12-01,四川,400.0,万人,2100.0,个,1750.0,个,0.025,1100.0,万人,1.6,平方米,30.0,亿元,4.5,万人,国家体育总局,https://www.sport.gov.cn,,
2023-12-01,云南,200.0,万人,1500.0,个,1200.0,个,0.015,600.0,万人,1.45,平方米,15.0,亿元,2.0,万人,中国健身协会,https://www.chinagym.com,,
2023-12-01,福建,300.0,万人,1800.0,个,1500.0,个,0.02,800.0,万人,1.35,平方米,25.0,亿元,4.0,万人,健身行业发展中心,https://www.fitnessindustry.gov.cn,,
2023-12-01,浙江,450.0,万人,2000.0,个,1700.0,个,0.03,1200.0,万人,1.7,平方米,40.0,亿元,3.0,万人,国家体育局,https://www.sport.gov.cn,,
2023-12-01,北京,500.0,万人,3000.0,个,2500.0,个,0.035,1500.0,万人,2.0,平方米,60.0,亿元,5.5,万人,中国体育文化推广中心,https://www.sportculture.gov.cn,,
2024-01-01,蓝山县,198.0,万人,210.0,个,180.0,个,0.0141,80.0,万人,1.6,平方米,10.5,亿元,0.22,万人,全国健身运动中心,https://www.gymcenter.com,,
2024-01-01,西双版纳,142.0,万人,85.0,个,75.0,个,0.0103,50.0,万人,1.45,平方米,7.0,亿元,0.18,万人,云南省体育局,https://www.yunnan.gov.cn,,
2024-01-01,成都,3200.0,万人,1500.0,个,1250.0,个,0.085,1100.0,万人,1.3,平方米,120.0,亿元,1.5,万人,成都体育局,https://www.chengdu.gov.cn,,
2024-01-01,大连,218.0,万人,300.0,个,250.0,个,0.0177,100.0,万人,1.68,平方米,15.0,亿元,0.3,万人,中国体育数据网,https://www.sportdata.cn,,
2024-01-01,湖南,375.0,万人,1120.0,个,950.0,个,0.0285,600.0,万人,1.4,平方米,50.0,亿元,0.7,万人,全国体育信息中心,https://www.china-sportinfo.gov.cn,,
2023-11-01,云南,180.0,万人,999.0,个,850.0,个,0.011,500.2,万人,1.4,平方米,15.5,亿元,1.1,万人,国家体育总局等,https://www.sport.gov.cn,,
2023-11-01,重庆,170.0,万人,860.0,个,780.0,个,0.0112,520.54,万人,1.49,平方米,12.67,亿元,1.2,万人,中国田径协会,https://www.athletics.org.cn,,
2023-11-01,陕西,205.0,万人,1140.0,个,950.0,个,0.0125,550.77,万人,1.62,平方米,18.3,亿元,1.3,万人,陕西省体育局,https://www.shaanxi.gov.cn/sy/,,
2023-11-01,北京,250.0,万人,1400.0,个,1200.0,个,0.014,850.12,万人,1.8,平方米,25.65,亿元,2.2,万人,北京市体育局,https://www.bj.gov.cn/bj/,,
2023-11-01,四川,190.0,万人,885.0,个,800.0,个,0.0098,450.33,万人,1.4,平方米,12.88,亿元,1.15,万人,四川省体育局,https://www.sc.gov.cn/sc/,,
