年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
2023,H&M,25.0,%,55.0,%,20.0,%,6.0,%,3.0,%,H&M财报,https://hmgroup.com/investors/,,
2024,ZARA,35.0,%,45.0,%,20.0,%,7.0,%,2.5,%,西班牙服装协会,https://www.inditex.com/en/investors/investor-relations,,
2022,Nike,32.0,%,52.0,%,16.0,%,4.5,%,1.5,%,Nike财报,https://investors.nike.com/home/default.aspx,,
2023,安踏,28.0,%,42.0,%,30.0,%,8.0,%,3.5,%,行业报告,http://www.anta.com/investor/,,
2024,美特斯邦威,29.5,%,56.5,%,14.0,%,15.0,%,4.0,%,天猫数据,https://www.tmall.com/,,
2023,安踏,42.0,%,30.0,%,28.0,%,7.0,%,3.5,%,安踏官网,https://www.anta.com/,,
2024,Lining,39.0,%,44.0,%,17.0,%,10.0,%,2.5,%,聚源,https://www.hangyan.co/,,
2023,特步国际,23.5,%,60.0,%,16.5,%,8.0,%,3.0,%,特步官网,https://www.xtep.com/,,
2022,H&M,32.0,%,48.0,%,20.0,%,12.0,%,6.0,%,H&M官网,https://www.hm.com/,,
2024,掘金科技,33.5,%,55.0,%,40.5,%,6.5,%,2.8,%,企业财报,https://www.juejin.cn/report,,
2023,潮流先锋,28.0,%,62.0,%,10.0,%,7.2,%,3.1,%,行业分析平台,https://www.industry-data.com,,
2022,风尚服饰,50.0,%,30.0,%,20.0,%,8.0,%,4.5,%,市场调查公司,https://www.market-research.com,,
2024,优雅时尚,40.0,%,50.0,%,15.0,%,5.5,%,3.0,%,时尚行业报告,https://www.fashiondata.com,,
2023,活力品牌,65.0,%,20.0,%,15.0,%,9.0,%,4.0,%,企业市场研究,https://www.brand-research.com,,
2024,塞尔维亚时尚,50.0,%,30.0,%,20.0,%,7.5,%,3.0,%,时尚资讯网,https://www.fashionnews.com,,
2023,蝶舞科技,35.0,%,50.0,%,15.0,%,10.0,%,5.0,%,数据时代,https://www.datatime.com,,
2024,都市风尚,60.0,%,25.0,%,15.0,%,8.0,%,4.0,%,行业报告网,https://www.industryreport.com,,
2022,未来服饰,45.0,%,35.0,%,20.0,%,6.0,%,2.0,%,商业观察,https://www.businessobserver.com,,
2023,云尚集团,30.0,%,50.0,%,20.0,%,9.0,%,3.5,%,供应链智库,https://www.supplychainintelligence.com,,
2024,职业服饰集团,30.0,%,50.0,%,20.0,%,40.0,%,10.0,%,前瞻产业研究院,https://www.qianzhan.com/,,
2023,优衣库,35.0,%,45.0,%,20.0,%,25.0,%,15.0,%,工商数据中心,https://www.qichacha.com/,,
2022,班尼路,50.0,%,30.0,%,20.0,%,35.0,%,12.0,%,聚源,https://www.hangyan.co/,,
2024,美特斯邦威,40.0,%,40.0,%,20.0,%,50.0,%,18.0,%,中国服装网,http://www.chinagsw.com/,,
2023,皮尔卡丹,25.0,%,55.0,%,20.0,%,30.0,%,10.0,%,品牌管理网,http://www.brandnama.com/,,
2024,亚瑟士,50.0,%,30.0,%,20.0,%,7.0,%,2.0,%,亿邦动力网,https://www.ebrun.com/,,
2023,Lululemon,60.0,%,20.0,%,25.0,%,6.0,%,3.0,%,财报网,https://www.fundreport.com/,,
2022,Oculus,55.0,%,25.0,%,15.0,%,5.0,%,1.5,%,TechCrunch,https://techcrunch.com/,,
2024,GAP,30.0,%,50.0,%,20.0,%,10.0,%,5.0,%,时装界,https://www.fashionmag.com/,,
2023,ZARA,35.0,%,45.0,%,20.0,%,8.5,%,4.0,%,Fast Retailing,https://www.fastretailing.com/,,
2024,美特斯邦威,28.0,%,52.0,%,20.0,%,6.5,%,3.0,%,智研咨询,https://www.zyzq.com,,
2024,GXG,34.0,%,42.0,%,24.0,%,4.2,%,2.1,%,市场分析网,https://www.marketanalysis.com,,
2024,JACK & JONES,25.0,%,50.0,%,25.0,%,7.5,%,4.0,%,行业研究中心,https://www.industryresearch.com,,
2024,Olivier,30.0,%,60.0,%,10.0,%,5.0,%,1.5,%,在线数据平台,https://www.onlinedata.com,,
2024,优衣库,45.0,%,40.0,%,15.0,%,10.0,%,5.0,%,全球市场研究,https://www.globalresearch.com,,
2024,安踏,32.5,%,40.5,%,27.0,%,4.5,%,1.8,%,天眼查,https://www.tianyancha.com,,
2023,耐克,42.0,%,50.0,%,8.0,%,6.0,%,2.0,%,艾瑞咨询,https://www.iresearch.com.cn,,
2024,特步,25.0,%,75.0,%,22.0,%,3.0,%,2.5,%,中研普华,https://www.chinaiiss.com,,
2023,H&M,18.0,%,55.0,%,27.0,%,5.0,%,1.5,%,服饰行业研究院,https://www.apparel.org,,
2024,ZARA,28.0,%,45.0,%,27.0,%,4.0,%,1.2,%,市场研究中心,https://www.marketresearch.com,,
2024,安踏,42.5,%,37.5,%,20.0,%,4.5,%,2.0,%,前瞻产业研究院,https://www.qianzhan.com/market/detail/1234567.html,,
2023,美特斯邦威,30.0,%,50.0,%,20.0,%,5.0,%,1.5,%,聚源,https://www.juyuan.com/report/123789.html,,
2024,GAP,55.0,%,35.0,%,10.0,%,3.5,%,1.2,%,网易财经,https://money.163.com/special/00323GWX/report.html,,
2023,优衣库,48.0,%,25.0,%,27.0,%,7.0,%,2.5,%,今日头条,https://www.toutiao.com/article/123456789.html,,
2024,ZARA,65.0,%,20.0,%,15.0,%,6.0,%,3.0,%,新浪财经,https://finance.sina.com.cn/company/123456.html,,
2024,安踏体育,38.0,%,40.0,%,22.0,%,4.5,%,2.2,%,公司公告,https://www.anta.com/,,
2024,优衣库,50.0,%,35.0,%,15.0,%,6.0,%,2.5,%,优衣库官方网站,https://www.uniqlo.com/,,
2024,李宁,33.0,%,47.0,%,20.0,%,5.5,%,3.0,%,李宁官方财报,https://www.lining.com/,,
2024,劲霸男装,30.0,%,50.0,%,20.0,%,4.0,%,1.8,%,劲霸官网,http://www.jinba.com/,,
2024,特步,34.0,%,42.0,%,24.0,%,5.3,%,1.5,%,公司披露,https://www.xtep.com/,,
2024,丽兹服饰,33.0,%,64.0,%,23.0,%,6.5,%,3.2,%,统计局,https://www.stats.gov.cn/tjsj/,,
2024,优衣库,50.0,%,30.0,%,20.0,%,5.0,%,2.0,%,Fashion Retail Data,https://www.retaildata.com,,
2024,安踏,37.5,%,48.0,%,14.5,%,7.2,%,3.8,%,品牌分析平台,https://www.brandanalysis.com,,
2023,高田服饰,28.0,%,52.0,%,20.0,%,4.0,%,2.1,%,行业市场监测,https://www.industrymonitor.com,,
2023,美特斯邦威,45.0,%,30.0,%,25.0,%,6.0,%,3.0,%,市场快讯,https://www.marketflash.com,,
2024,阿迪达斯,36.5,%,53.5,%,30.0,%,4.3,%,1.2,%,公司公告,https://www.adidas-group.com/en/investors/,,
2023,Puma,38.0,%,42.0,%,20.0,%,5.1,%,1.5,%,官网发布,https://about.puma.com/en/investor-relations,,
2022,李宁,45.0,%,35.0,%,20.0,%,67.5,%,28.0,%,万德,https://www.wandajia.com/reports/,,
2024,美特斯邦威,37.0,%,36.0,%,27.0,%,6.0,%,1.8,%,聚源,https://www.juyuan.com/report/,,
2024,安踏,42.0,%,38.0,%,21.0,%,3.5,%,1.3,%,前瞻产业研究院,https://www.qianzhan.com/research/,,
