年月,地区,健身房人数,单位,健身工作室数量,单位.1,健身俱乐部数量,单位.2,健身渗透率,经常参加体育锻炼的人数,单位.3,人均体育场馆面积,单位.4,健身休闲产业规模,单位.5,马拉松参加人数,单位.6,采集来源,来源链接,采集时间,备注【疑问汇总】
2023-11-01,北京,290.0,万人,1400.0,个,1300.0,个,0.0195,850.0,万人,1.25,平方米,27.5,亿元,3.0,万人,北京市文化和旅游局,https://whly.beijing.gov.cn/,,
2024-02-01,四川,370.0,万人,2200.0,个,1900.0,个,0.026,1100.0,万人,1.7,平方米,34.3,亿元,4.1,万人,四川省体育局,https://www.sc-sport.gov.cn/,,
2023-10-01,浙江,490.0,万人,2800.0,个,2500.0,个,0.031,1450.0,万人,1.35,平方米,47.5,亿元,4.25,万人,浙江省体育局,https://www.zj-sport.gov.cn/,,
2024-04-01,福建,310.0,万人,2000.0,个,1700.0,个,0.0225,980.0,万人,1.4,平方米,31.9,亿元,2.8,万人,福建省体育局,https://www.fj-sport.gov.cn/,,
2023-08-01,陕西,205.0,万人,1200.0,个,1050.0,个,0.0155,600.0,万人,1.52,平方米,18.5,亿元,2.02,万人,陕西省体育局,https://www.sn-sport.gov.cn/,,
2024-05-01,新疆,125.0,万人,700.0,个,600.0,个,0.009,350.0,万人,1.77,平方米,11.2,亿元,1.0,万人,新疆维吾尔自治区体育局,https://www.xj-sport.gov.cn/,,
2024-01-01,上海,280.0,万人,1700.0,个,1500.0,个,0.0195,850.0,万人,1.35,平方米,28.75,亿元,2.1,万人,上海市体育局,https://www.shsports.gov.cn,,
2024-01-01,广东,800.0,万人,5000.0,个,4500.0,个,0.054,2500.0,万人,1.5,平方米,80.0,亿元,6.0,万人,广东省体育局,https://www.gd.gov.cn/ztbd/tsh/,,
2024-01-01,北京,270.0,万人,1600.0,个,1400.0,个,0.0185,830.0,万人,1.4,平方米,27.9,亿元,1.75,万人,北京市体育局,http://www.bjtyj.gov.cn,,
2024-01-01,浙江,520.0,万人,3100.0,个,2800.0,个,0.034,1500.0,万人,1.4,平方米,50.3,亿元,4.0,万人,浙江省体育局,https://www.zjsports.gov.cn,,
2024-01-01,江苏,810.0,万人,4700.0,个,4200.0,个,0.053,2400.0,万人,1.6,平方米,67.25,亿元,5.5,万人,江苏省体育局,https://www.js.gov.cn/xxgk/sport,,
2024-01-01,山东,600.0,万人,3500.0,个,3200.0,个,0.04,1800.0,万人,1.5,平方米,40.0,亿元,3.5,万人,山东省体育局,https://www.sd.gov.cn,,
2024-01-01,四川,400.0,万人,2500.0,个,2200.0,个,0.029,1200.0,万人,1.5,平方米,33.45,亿元,2.8,万人,四川省体育局,http://www.sc.gov.cn,,
2024-01-01,福建,350.0,万人,2100.0,个,1900.0,个,0.0225,1000.0,万人,1.45,平方米,31.2,亿元,2.1,万人,福建省体育厅,http://www.fj.gov.cn,,
2024-01-01,海南,80.0,万人,500.0,个,410.0,个,0.0056,300.0,万人,1.75,平方米,5.12,亿元,0.58,万人,海南省体育局,http://www.hainan.gov.cn,,
2024-01-01,中国,7100.0,万人,46000.0,个,38000.0,个,0.052,22000.0,万人,1.6,平方米,700.0,亿元,55,万人,健身市场研究中心,https://www.fitnessmarketreport.com/,,
2024-01-01,广东,820.0,万人,4900.0,个,4200.0,个,0.054,2450.0,万人,1.5,平方米,80.0,亿元,6.0,万人,广东省体育局,http://www.gdsport.gov.cn/,,
2024-02-01,浙江,500.0,万人,3000.0,个,2700.0,个,0.035,1500.0,万人,1.4,平方米,45.0,亿元,4.0,万人,浙江省体育管理中心,http://www.zj.gov.cn/,,
2024-02-01,江苏,760.0,万人,4600.0,个,3900.0,个,0.052,2300.0,万人,1.45,平方米,75.0,亿元,7.0,万人,江苏省体育局,http://www.js.gov.cn/,,
2024-03-01,辽宁,220.0,万人,1200.0,个,1100.0,个,0.018,700.0,万人,1.39,平方米,15.0,亿元,2.4,万人,辽宁省体育局,http://www.ln.gov.cn/,,
2024-03-01,四川,390.0,万人,2000.0,个,1800.0,个,0.027,1100.0,万人,1.7,平方米,35.0,亿元,3.2,万人,四川省体育局,http://www.sc.gov.cn/,,
2024-04-01,湖北,320.0,万人,1850.0,个,1600.0,个,0.021,990.0,万人,1.45,平方米,30.0,亿元,2.0,万人,湖北省体育局,http://www.hubei.gov.cn/,,
2024-05-01,陕西,200.0,万人,1100.0,个,935.0,个,0.015,600.0,万人,1.5,平方米,12.0,亿元,1.5,万人,陕西省体育局,http://www.sn.gov.cn/,,
2024-05-01,新疆,125.0,万人,700.0,个,500.0,个,0.0101,400.0,万人,1.8,平方米,10.0,亿元,0.75,万人,新疆维吾尔自治区体育局,http://www.xj.gov.cn/,,
2023-11-01,江苏,8000.0,万人,43000.0,个,39000.0,个,0.0705,22000.0,万人,1.57,平方米,800.0,亿元,55,万人,中国体育科学研究所,https://www.csrsi.com,,
2023-10-01,广东,7900.0,万人,48000.0,个,37000.0,个,0.0652,21500.0,万人,1.49,平方米,750.0,亿元,60,万人,中山大学,https://www.sysu.edu.cn,,
2023-12-01,辽宁,2000.0,万人,14500.0,个,12000.0,个,0.0346,7000.0,万人,1.47,平方米,310.0,亿元,10,万人,辽宁省体育局,http://www.ln.gov.cn/sports,,
2023-09-01,浙江,4800.0,万人,26000.0,个,23000.0,个,0.0564,15000.0,万人,1.36,平方米,500.0,亿元,40,万人,中国马拉松网,http://www.china-marathon.com,,
2024-01-01,四川,900.0,万人,5600.0,个,4200.0,个,0.0304,3000.0,万人,1.65,平方米,70.0,亿元,8,万人,四川省体育局,http://www.scyk.gov.cn,,
2023-11-01,北京,3200.0,万人,13400.0,个,11500.0,个,0.0523,9000.0,万人,1.74,平方米,450.0,亿元,30,万人,北京体育大学,http://www.bsup.edu.cn,,
2023-12-01,湖南,1100.0,万人,7000.0,个,6000.0,个,0.0248,4000.0,万人,1.4,平方米,100.0,亿元,15,万人,湖南省体育局,http://www.hunan.gov.cn/sports,,
2023-12-01,内蒙古,300.0,万人,2400.0,个,2000.0,个,0.0123,900.0,万人,1.6,平方米,30.0,亿元,5,万人,内蒙古自治区体育局,http://www.nmg.gov.cn/sports,,
2023-11-01,河北,600.0,万人,3500.0,个,3000.0,个,0.0181,1500.0,万人,1.4,平方米,40.0,亿元,6,万人,河北省体育局,http://www.heb.gov.cn/sports,,
2024-01-01,河南,350.0,万人,2100.0,个,1850.0,个,0.025,1050.0,万人,1.5,平方米,36.0,亿元,2.5,万人,中国体育产业协会,https://www.cspa.org.cn/,,
2024-01-01,广东,800.0,万人,4800.0,个,4200.0,个,0.057,2500.0,万人,1.6,平方米,90.5,亿元,6.0,万人,广东省体育局,https://www.gd.gov.cn/pt/,,
2024-01-01,山东,550.0,万人,3300.0,个,2900.0,个,0.04,1650.0,万人,1.55,平方米,50.0,亿元,4.0,万人,体育快讯网,https://www.sportnews.com/,,
2024-01-01,湖南,300.0,万人,1800.0,个,1500.0,个,0.02,950.0,万人,1.45,平方米,30.0,亿元,2.0,万人,国家体育总局,https://www.sport.gov.cn/,,
2024-01-01,四川,400.0,万人,2200.0,个,1900.0,个,0.03,1200.0,万人,1.5,平方米,38.0,亿元,3.0,万人,四川省体育局,https://www.sc.gov.cn/sport/,,
2024-01-01,浙江,500.0,万人,3000.0,个,2700.0,个,0.036,1400.0,万人,1.52,平方米,42.0,亿元,3.5,万人,浙江省体育局,https://www.zj.gov.cn/,,
2024-01-01,云南,150.0,万人,900.0,个,750.0,个,0.011,450.0,万人,1.48,平方米,14.5,亿元,1.0,万人,云南省体育局,https://www.yn.gov.cn/,,
2024-01-01,重庆,175.0,万人,1100.0,个,950.0,个,0.0135,520.0,万人,1.35,平方米,18.0,亿元,1.3,万人,重庆市体育局,https://www.cq.gov.cn/sport/,,
2024-01-01,江苏,450.0,万人,2700.0,个,2300.0,个,0.026,1300.0,万人,1.6,平方米,40.0,亿元,3.8,万人,江苏省体育局,https://www.js.gov.cn/,,
2023-11-01,福建,320.0,万人,2000.0,个,1750.0,个,0.0235,950.0,万人,1.4,平方米,32.0,亿元,2.4,万人,中国健身行业协会,https://www.gymindustry.org.cn/,,
2023-10-01,陕西,220.0,万人,1200.0,个,1000.0,个,0.0161,640.0,万人,1.5,平方米,18.5,亿元,1.75,万人,中国运动与健康研究中心,https://www.sporthealthresearch.cn/,,
2023-09-01,广西,150.0,万人,850.0,个,734.0,个,0.0131,450.0,万人,1.4,平方米,14.0,亿元,1.1,万人,广西体育局,https://www.guangxi.gov.cn/sport/,,
2023-08-01,重庆,200.0,万人,1200.0,个,950.0,个,0.0159,575.0,万人,1.45,平方米,19.5,亿元,1.5,万人,重庆市文化和旅游发展委员会,https://www.cq.gov.cn/,,
2023-07-01,北京,320.0,万人,2500.0,个,2100.0,个,0.0225,1100.0,万人,1.6,平方米,50.0,亿元,5.2,万人,北京市体育局,https://www.bj.gov.cn/sport/,,
2023-06-01,广东,820.0,万人,4600.0,个,3990.0,个,0.0552,2450.0,万人,1.45,平方米,78.25,亿元,6.3,万人,广东省体育局,https://www.gd.gov.cn/sport/,,
2023-05-01,天津,100.0,万人,500.0,个,420.0,个,0.0083,290.0,万人,1.25,平方米,9.8,亿元,0.7,万人,天津市体育局,https://www.tianjin.gov.cn/sport/,,
2023-04-01,四川,350.0,万人,2100.0,个,1800.0,个,0.0247,1050.0,万人,1.68,平方米,34.5,亿元,2.9,万人,四川省体育局,https://www.sc.gov.cn/sport/,,
2023-03-01,湖北,310.0,万人,1800.0,个,1550.0,个,0.0212,970.0,万人,1.6,平方米,30.0,亿元,2.55,万人,湖北省体育局,https://www.hubei.gov.cn/sport/,,
2023-11-01,四川,420.0,万人,2800.0,个,2500.0,个,0.025,1150.0,万人,1.5,平方米,38.5,亿元,2.0,万人,四川省体育局,http://www.sc.sport.gov.cn,,
2023-10-01,浙江,490.0,万人,3050.0,个,2900.0,个,0.032,1300.0,万人,1.55,平方米,48.7,亿元,2.5,万人,浙江省体育局,http://www.zj.gov.cn/sport,,
2023-09-01,北京,290.0,万人,1800.0,个,1600.0,个,0.017,770.0,万人,1.4,平方米,27.5,亿元,1.8,万人,北京市体育局,http://www.bj.gov.cn/sport,,
2023-08-01,广东,820.0,万人,4900.0,个,4300.0,个,0.061,2450.0,万人,1.6,平方米,98.0,亿元,4.1,万人,广东省体育局,http://www.gd.gov.cn/sport,,
2023-07-01,江苏,600.0,万人,4150.0,个,3700.0,个,0.045,1900.0,万人,1.45,平方米,75.0,亿元,3.2,万人,江苏省体育局,http://www.js.gov.cn/sport,,
2023-06-01,辽宁,249.0,万人,1500.0,个,1300.0,个,0.013,700.0,万人,1.3,平方米,20.5,亿元,1.5,万人,辽宁省体育局,http://www.ln.gov.cn/sport,,
2023-05-01,山东,410.0,万人,2500.0,个,2250.0,个,0.028,1150.0,万人,1.4,平方米,40.0,亿元,2.6,万人,山东省体育局,http://www.sd.gov.cn/sport,,
2023-04-01,福建,310.0,万人,1850.0,个,1600.0,个,0.021,900.0,万人,1.3,平方米,30.0,亿元,1.9,万人,福建省体育局,http://www.fj.gov.cn/sport,,
2023-03-01,湖北,270.0,万人,1500.0,个,1300.0,个,0.019,800.0,万人,1.55,平方米,27.0,亿元,1.6,万人,湖北省体育局,http://www.hb.gov.cn/sport,,
2024-01-01,广东,8000.0,万人,4300.0,个,3800.0,个,0.055,24000.0,万人,1.6,平方米,400.0,亿元,60.0,万人,广东省体育局,https://www.gd.gov.cn/,,
2024-01-01,北京,10200.0,万人,4800.0,个,4200.0,个,0.06,32000.0,万人,1.4,平方米,750.0,亿元,70.0,万人,北京市体育局,https://www.bj.gov.cn/,,
2022-11-01,上海,9500.0,万人,5000.0,个,4500.0,个,0.065,29000.0,万人,1.75,平方米,600.0,亿元,80.0,万人,上海市体育局,https://www.shanghai.gov.cn/,,
2023-08-01,浙江,5000.0,万人,3000.0,个,2500.0,个,0.048,15000.0,万人,1.3,平方米,350.0,亿元,45.0,万人,浙江省体育局,https://www.zj.gov.cn/,,
2024-03-01,湖北,3200.0,万人,1800.0,个,1500.0,个,0.025,6000.0,万人,1.55,平方米,180.0,亿元,30.0,万人,湖北省体育局,https://www.hubei.gov.cn/,,
2023-10-01,河北,2500.0,万人,1500.0,个,1200.0,个,0.018,7000.0,万人,1.4,平方米,160.0,亿元,25.0,万人,河北省体育局,https://www.heb.gov.cn/,,
2024-04-01,四川,3200.0,万人,2000.0,个,1700.0,个,0.02,9000.0,万人,1.7,平方米,190.0,亿元,40.0,万人,四川省体育局,https://www.sc.gov.cn/,,
2023-11-01,河南,1200.0,万人,700.0,个,600.0,个,0.015,4000.0,万人,1.5,平方米,90.0,亿元,20.0,万人,河南省体育局,https://www.henan.gov.cn/,,
2024-05-01,山东,2800.0,万人,1600.0,个,1400.0,个,0.026,8500.0,万人,1.45,平方米,150.0,亿元,35.0,万人,山东省体育局,https://www.shandong.gov.cn/,,
2024-01-01,中国,7000.0,万人,42500.0,个,37000.0,个,0.052,21500.0,万人,1.6,平方米,700.0,亿元,55,万人,中国健身产业研究院,https://www.2018fitness.cn/,,
2023-11-01,浙江,490.0,万人,2950.0,个,2520.0,个,0.0345,1450.0,万人,1.34,平方米,48.0,亿元,4.0,万人,浙江省体育局,http://sports.zj.gov.cn/,,
2023-12-01,广东,800.0,万人,5000.0,个,4300.0,个,0.054,2500.0,万人,1.6,平方米,80.0,亿元,6.5,万人,广东省社会体育服务中心,http://www.gd.gov.cn/,,
2024-02-01,重庆,185.0,万人,1000.0,个,900.0,个,0.0116,550.0,万人,1.45,平方米,21.0,亿元,1.15,万人,重庆市体育局,http://cqtjj.gov.cn/,,
2023-12-01,内蒙古,150.0,万人,870.0,个,760.0,个,0.0111,400.0,万人,1.6,平方米,14.0,亿元,0.95,万人,内蒙古自治区体育局,http://www.nmg.gov.cn/,,
2024-03-01,湖北,350.0,万人,2100.0,个,1800.0,个,0.0235,1100.0,万人,1.41,平方米,34.0,亿元,2.4,万人,湖北省体育局,http://www.hubei.gov.cn/,,
2024-01-15,山东,600.0,万人,3500.0,个,3000.0,个,0.0396,1800.0,万人,1.53,平方米,60.0,亿元,3.7,万人,山东省体育局,http://www.sdu.gov.cn/,,
2024-02-15,吉林,75.0,万人,470.0,个,400.0,个,0.0065,230.0,万人,1.55,平方米,8.0,亿元,0.6,万人,吉林省体育局,http://www.jl.gov.cn/,,
2024-03-01,广西,160.0,万人,950.0,个,820.0,个,0.0128,490.0,万人,1.52,平方米,15.75,亿元,1.5,万人,广西壮族自治区体育局,http://www.gxzf.gov.cn/,,
2023-11-01,香港,450.0,万人,1950.0,个,1750.0,个,0.063,1200.0,万人,1.0,平方米,80.0,亿元,8.0,万人,香港特区政府,http://www.gov.hk/en/,,
2023-10-01,上海,290.0,万人,1650.0,个,1400.0,个,0.0214,820.0,万人,1.1,平方米,25.0,亿元,2.5,万人,上海市体育局,https://www.sh.gov.cn/,,
2023-09-01,广州,370.0,万人,2100.0,个,1800.0,个,0.045,1100.0,万人,1.35,平方米,70.0,亿元,6.0,万人,广州日报,https://www.gz.gov.cn/,,
2023-12-01,沈阳,180.0,万人,895.0,个,770.0,个,0.0121,525.0,万人,1.5,平方米,12.6,亿元,1.8,万人,沈阳青年报,http://www.sunnews.com.cn/,,
2023-08-01,成都,330.0,万人,1770.0,个,1500.0,个,0.028,900.0,万人,1.4,平方米,65.0,亿元,5.5,万人,成都商报,https://www.chengdu.gov.cn/,,
2023-11-01,武汉,265.0,万人,1500.0,个,1300.0,个,0.02,750.0,万人,1.25,平方米,35.0,亿元,4.0,万人,武汉体育局,http://www.wuhan.gov.cn/,,
2023-09-01,福建,210.0,万人,1290.0,个,1100.0,个,0.0185,650.0,万人,1.4,平方米,30.0,亿元,3.5,万人,福建省体育局,http://www.fujian.gov.cn/,,
2023-10-01,辽宁,195.0,万人,960.0,个,850.0,个,0.0137,575.0,万人,1.4,平方米,18.0,亿元,2.2,万人,辽宁日报,https://www.liaoning.gov.cn/,,
2023-11-01,西安,249.0,万人,1050.0,个,930.0,个,0.017,700.0,万人,1.6,平方米,32.0,亿元,4.0,万人,西安市政府,http://www.xian.gov.cn/,,
2024-01-01,天津,102.0,万人,590.0,个,510.0,个,0.0081,296.7,万人,1.4,平方米,9.67,亿元,0.7,万人,国家体育总局,https://www.sport.gov.cn/,,
2023-12-01,河北,265.0,万人,1540.0,个,1330.0,个,0.0189,800.0,万人,1.47,平方米,25.02,亿元,2.34,万人,河北省体育局,http://www.hbty.gov.cn/,,
2025-03-01,上海,300.0,万人,1700.0,个,1400.0,个,0.0204,950.0,万人,1.6,平方米,40.5,亿元,3.5,万人,上海市体育局,https://www.sport.sh.gov.cn/,,
2023-11-01,江苏,780.0,万人,4600.0,个,3900.0,个,0.054,2200.0,万人,1.44,平方米,77.5,亿元,6.1,万人,江苏省体育局,http://www.js.gov.cn/sport/,,
2024-02-01,重庆,180.0,万人,1100.0,个,900.0,个,0.0122,550.0,万人,1.35,平方米,17.5,亿元,1.5,万人,重庆市体育局,http://www.cq.gov.cn/sport/,,
2023-10-01,陕西,200.0,万人,1210.0,个,1050.0,个,0.0143,600.0,万人,1.55,平方米,20.1,亿元,1.65,万人,陕西省体育局,http://www.shaanxi.gov.cn/sport/,,
2023-09-01,湖北,360.0,万人,2100.0,个,1800.0,个,0.0254,1200.0,万人,1.5,平方米,30.5,亿元,2.7,万人,湖北省体育局,http://www.hubei.gov.cn/sport/,,
2023-08-01,广西,160.0,万人,980.0,个,850.0,个,0.0112,480.0,万人,1.4,平方米,14.2,亿元,1.0,万人,广西壮族自治区体育局,http://www.gx.gov.cn/sport/,,
2023-11-15,云南,120.0,万人,700.0,个,600.0,个,0.0095,350.0,万人,1.6,平方米,11.14,亿元,0.85,万人,云南省体育局,http://www.yn.gov.cn/sport/,,
2024-01-01,北京,2700.0,万人,1670.0,个,1350.0,个,0.0175,8000.0,万人,1.25,平方米,25.0,亿元,2.0,万人,清华大学体育研究中心,https://sports.tsinghua.edu.cn,,
2024-01-01,上海,2100.0,万人,1580.0,个,1300.0,个,0.0169,7500.0,万人,1.3,平方米,22.0,亿元,1.8,万人,上海市体育局,https://www.shsports.gov.cn,,
2024-01-01,广东,2300.0,万人,1720.0,个,1500.0,个,0.0185,9000.0,万人,1.35,平方米,30.0,亿元,3.0,万人,中国健身产业协会,https://www.ihfchina.com,,
2024-01-01,江苏,1500.0,万人,1200.0,个,900.0,个,0.024,5000.0,万人,1.4,平方米,18.0,亿元,1.5,万人,江苏省体育局,https://www.jssports.gov.cn,,
2024-01-01,浙江,1100.0,万人,900.0,个,800.0,个,0.032,4000.0,万人,1.3,平方米,12.0,亿元,0.9,万人,浙江省体育发展研究中心,https://www.zjsports.gov.cn,,
2024-01-01,四川,850.0,万人,700.0,个,600.0,个,0.025,3000.0,万人,1.6,平方米,9.5,亿元,0.7,万人,四川省体育局,https://www.sc.gov.cn,,
2024-01-01,山东,950.0,万人,800.0,个,700.0,个,0.027,3200.0,万人,1.4,平方米,10.0,亿元,1.0,万人,山东省体育发展研究院,https://www.sd.gov.cn,,
2024-01-01,陕西,780.0,万人,600.0,个,500.0,个,0.022,2200.0,万人,1.5,平方米,8.0,亿元,0.5,万人,陕西省健身协会,https://www.shaanxi.gov.cn,,
2024-01-01,云南,400.0,万人,300.0,个,270.0,个,0.015,1500.0,万人,1.55,平方米,5.0,亿元,0.4,万人,云南省体育局,https://www.yn.gov.cn,,
2024-01-01,广东,820.0,万人,4900.0,个,4000.0,个,0.055,2500.0,万人,1.45,平方米,80.0,亿元,6.0,万人,中国健身网,https://www.chinajianfei.com/,,
2023-11-01,北京,300.0,万人,2000.0,个,1800.0,个,0.02,850.0,万人,1.4,平方米,25.0,亿元,2.1,万人,国家体育总局,http://www.sports.gov.cn/,,
2024-02-01,四川,360.0,万人,1650.0,个,1480.0,个,0.025,950.0,万人,1.62,平方米,35.0,亿元,3.0,万人,新浪体育,https://sports.sina.com.cn/,,
2024-03-01,上海,350.0,万人,2070.0,个,1850.0,个,0.029,900.0,万人,1.5,平方米,30.0,亿元,3.5,万人,中国健美协会,http://www.chinagym.com.cn/,,
2024-01-15,江苏,400.0,万人,4780.0,个,4100.0,个,0.037,1150.0,万人,1.75,平方米,40.0,亿元,4.0,万人,新华网,http://www.xinhuanet.com/sports/,,
2023-10-30,浙江,230.0,万人,1500.0,个,1300.0,个,0.0185,700.0,万人,1.6,平方米,22.0,亿元,1.5,万人,搜狐体育,https://society.sohu.com/,,
2023-12-15,福建,190.0,万人,1105.0,个,900.0,个,0.015,600.0,万人,1.45,平方米,18.0,亿元,1.2,万人,央视网,http://www.cctv.com/sports/,,
2024-02-15,湖北,300.0,万人,1605.0,个,1450.0,个,0.021,800.0,万人,1.55,平方米,24.0,亿元,2.8,万人,人民网,http://www.people.com.cn/,,
2024-03-01,海南,60.0,万人,320.0,个,280.0,个,0.0045,190.0,万人,1.6,平方米,3.5,亿元,0.5,万人,新疆日报,https://www.xjdaily.com/,,
2024-01-01,中国,7100.0,万人,46000.0,个,38500.0,个,0.052,22000.0,万人,1.45,平方米,700.0,亿元,55,万人,艾瑞咨询,https://www.iresearch.com.cn/,,
2023-10-01,北京,246.0,万人,1600.0,个,1350.0,个,0.0185,800.0,万人,1.3,平方米,25.0,亿元,2.0,万人,北京体育局,http://www.bjsports.gov.cn/,,
2023-11-01,广东,800.0,万人,4800.0,个,4200.0,个,0.054,2400.0,万人,1.4,平方米,80.0,亿元,6.0,万人,广东省体育局,http://www.gd.gov.cn/,,
2024-02-01,江苏,770.0,万人,4600.0,个,4000.0,个,0.049,2300.0,万人,1.45,平方米,78.0,亿元,6.5,万人,南京日报,http://www.njdaily.cn/,,
2023-12-01,浙江,490.0,万人,3000.0,个,2550.0,个,0.0345,1500.0,万人,1.36,平方米,48.0,亿元,3.6,万人,浙江省体育局,http://www.zj.gov.cn/,,
2024-03-01,海南,50.0,万人,300.0,个,250.0,个,0.005,125.0,万人,1.2,平方米,5.0,亿元,0.4,万人,海南省统计局,http://www.hainan.gov.cn/,,
2024-04-01,湖北,350.0,万人,2200.0,个,1800.0,个,0.021,1050.0,万人,1.55,平方米,35.0,亿元,2.75,万人,湖北省体育局,http://www.hubei.gov.cn/,,
2024-05-01,陕西,200.0,万人,1300.0,个,1100.0,个,0.014,580.0,万人,1.5,平方米,18.0,亿元,1.5,万人,陕西省体育局,http://www.shaanxi.gov.cn/,,
2024-06-01,重庆,160.0,万人,880.0,个,740.0,个,0.012,510.0,万人,1.37,平方米,15.0,亿元,1.1,万人,重庆市统计局,http://www.cq.gov.cn/,,
2024-01-01,中国,7100.0,万人,43000.0,个,37000.0,个,0.053,22000.0,万人,1.6,平方米,680.0,亿元,55,万人,中国运动健康产业研究中心,https://www.cnhk.org,,
2023-11-01,广东,800.0,万人,4900.0,个,4200.0,个,0.056,2400.0,万人,1.45,平方米,78.0,亿元,6.0,万人,广东省体育局,https://www.gd.gov.cn,,
2024-02-01,江苏,760.0,万人,4600.0,个,4000.0,个,0.051,2300.0,万人,1.4,平方米,75.0,亿元,6.5,万人,江苏省健身运动管理中心,https://www.js.gov.cn,,
2023-10-01,浙江,500.0,万人,3100.0,个,2600.0,个,0.03,1500.0,万人,1.35,平方米,50.0,亿元,4.0,万人,浙江省体育发展委员会,https://www.zj.gov.cn,,
2024-01-15,湖北,330.0,万人,1900.0,个,1700.0,个,0.02,950.0,万人,1.4,平方米,34.0,亿元,2.8,万人,湖北省体育局,https://www.hubei.gov.cn,,
2023-12-05,重庆,180.0,万人,1060.0,个,900.0,个,0.013,550.0,万人,1.48,平方米,17.6,亿元,1.5,万人,重庆市人民政府,https://www.cq.gov.cn,,
