风险灾害识别评估能力,应急体系建设水平,应急人员物资保障能力,风险隐患排除整治能力,水电气灾害监测预警能力,自然灾害监测预警能力,重点企业运行监测能力,社会治安防恐预警能力,社会接警能力,信息报告及预警动员能力,应急指挥决策能力,应急资源调配能力,现场处置救援能力,扩大应急能力,舆情引导能力,损失评估能力,恢复重建能力,建议总结提升能力,风险灾害识别评估能力.1,采集来源,来源链接,采集时间,备注【疑问汇总】
87,83,71,76,91,89,80,77,86,82,79,81,80,79,78,75,80,78,邻近省份案例,应急管理论坛,https://www.emergencyforum.com/,,
81,78,73,70,86,84,79,73,83,77,74,75,76,77,74,72,78,79,行业动态,国家统计局,https://www.stats.gov.cn/,,
76,79,68,65,82,81,75,70,78,74,71,69,73,70,68,71,72,74,专家咨询,中国科学院,https://www.cas.cn/,,
84,81,75,72,90,89,80,76,85,80,77,78,82,80,79,76,83,82,年度总结,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
88,85,80,75,95,92,84,80,89,83,80,84,86,82,81,78,85,81,紧急预案分析,应急管理研究院,https://www.emergencyresearch.org/,,
80,79,73,70,84,80,77,72,81,75,74,70,72,76,73,74,77,75,应急演练反馈,全国应急管理协调中心,https://www.nationalemergencycoordination.gov.cn/,,
82,77,70,66,85,81,74,66,79,72,69,74,70,67,69,70,71,73,警务协作报告,公共安全部,http://www.publicsafety.gov.cn/,,
90,85,80,77,92,89,82,75,88,84,80,82,87,79,78,80,82,85,在线研讨会,国家应急管理局,https://www.mem.gov.cn,,
76,73,68,64,78,75,71,70,76,73,68,70,72,69,66,72,74,71,安全评估报告,地方政府应急办公室,https://www.lj.gov.cn,,
84,82,75,71,88,83,79,76,83,79,74,77,81,75,73,74,78,80,灾后恢复总结,天津市应急管理局,https://www.tianjin.gov.cn,,
88,86,83,78,91,90,85,77,89,82,78,80,85,82,75,78,80,83,安全演习,北方应急信息网,https://www.noder.net,,
81,79,74,72,84,80,77,73,81,75,72,73,76,78,71,77,74,75,用户反馈调查,国际应急管理组织,https://www.iprob.org,,
85,83,79,76,85,82,78,74,80,75,71,80,77,79,72,74,76,78,地区评估,全国科技信息中心,https://www.nstic.gov.cn,,
77,75,70,68,81,78,72,69,76,74,71,73,75,72,71,72,74,76,年度报告,科技日报,https://www.stdaily.com,,
80,78,73,69,86,84,75,70,79,76,72,71,74,72,68,73,74,76,行业分析,中国信息产业网,https://www.cnii.com.cn,,
89,87,84,80,91,89,82,78,90,85,81,80,83,79,76,80,84,82,项目评估,环保部,https://www.mee.gov.cn,,
82,79,74,68,88,86,81,72,83,78,76,80,81,75,73,80,77,79,区域评估,国家自然灾害应急管理局,https://www.ncdmg.gov.cn/,,
76,76,70,66,84,80,73,65,77,72,68,69,74,70,66,69,73,72,技术调研,地方应急管理办公室,https://www.localemergency.gov.cn/,,
84,82,78,74,90,89,83,75,81,80,78,76,79,78,74,81,80,82,应急演练,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
77,74,68,64,81,79,76,66,75,71,68,70,73,71,68,69,72,70,地方实践,自治区应急管理厅,https://www.auton.gov.cn/,,
85,83,79,76,91,88,84,74,86,82,79,80,83,77,75,81,83,80,国际比较,国际应急管理协会,https://www.iema.org/,,
75,73,69,63,79,76,72,70,78,69,67,69,67,68,66,67,70,68,历史分析,应急管理研究所,https://www.emergencyresearch.cn/,,
80,77,73,70,85,84,80,71,79,74,76,73,75,74,72,75,78,76,实地检讨,全国应急管理委员会,https://www.sem.gov.cn/,,
81,80,76,75,89,87,82,73,84,79,72,75,77,73,71,78,80,77,影响评估,城市应急管理中心,https://www.urbanemergency.cn/,,
79,78,71,69,86,84,76,68,81,75,74,72,74,70,67,73,77,72,安全评估,国家应急法律中心,https://www.emergencylaw.gov.cn/,,
90,85,80,75,93,92,84,77,88,81,79,82,87,78,76,80,83,84,行业分析,国家应急管理部,https://www.mem.gov.cn,,
76,70,68,64,81,77,71,63,75,70,67,69,70,65,68,66,72,74,地方报告,浙江省应急管理局,https://www.zjjj.gov.cn,,
82,80,75,71,89,83,77,71,86,79,74,76,78,74,72,75,77,79,应急管理审计,北京市应急管理局,https://www.bj.gov.cn,,
88,84,79,73,91,88,83,75,87,82,80,83,84,76,78,79,81,82,趋势分析,江苏省应急管理厅,https://www.jiangsu.gov.cn,,
91,87,83,79,94,90,85,80,89,84,82,87,86,81,79,80,83,85,技术评估,重庆市应急管理局,https://www.cq.gov.cn,,
75,71,66,60,78,74,70,62,76,72,68,63,65,67,65,66,68,70,教育培训评估,湖北省应急管理局,https://www.hubei.gov.cn,,
84,79,74,69,86,84,80,72,82,77,75,70,78,75,74,75,76,78,响应机制分析,广西省应急管理厅,https://www.gx.gov.cn,,
85,82,78,74,90,89,82,73,84,80,76,75,79,72,71,77,82,81,风险评估报告,四川省应急管理局,https://www.sc.gov.cn,,
89,83,79,76,92,90,83,77,85,81,80,82,84,77,75,78,80,82,综合评估,安徽省应急管理厅,https://www.ah.gov.cn,,
87,82,80,75,92,89,85,74,90,83,78,81,80,77,76,79,81,84,行业案例,北京市应急管理局,http://www.bj.gov.cn,,
80,76,74,66,88,84,77,70,78,72,71,75,73,69,71,74,75,73,应急管理策略,广州市应急管理局,http://www.gz.gov.cn,,
82,79,76,70,90,86,83,66,80,77,72,74,75,72,74,71,73,78,地方案例,武汉市应急管理局,http://www.wuhan.gov.cn,,
76,74,73,65,85,83,75,69,77,70,68,72,70,68,70,69,72,75,技术评估,成都市应急管理局,http://www.chengdu.gov.cn,,
89,85,82,79,94,88,84,76,88,84,80,83,81,78,77,80,82,87,国际对比,国家应急管理总局,http://www.mem.gov.cn,,
74,72,69,67,83,81,73,66,75,68,66,71,70,66,69,65,68,71,灾后评估,江苏省应急管理厅,http://www.jiangsu.gov.cn,,
88,81,78,73,91,87,79,72,85,80,74,77,76,75,73,78,76,79,系统评估,深圳市应急管理局,http://www.sz.gov.cn,,
75,77,70,64,86,81,74,68,78,69,67,70,73,67,68,70,71,74,地区评估,青岛市应急管理局,http://www.qd.gov.cn,,
81,78,75,71,88,84,77,70,84,79,73,75,72,70,72,74,73,76,区域合作,重庆市应急管理局,http://www.cq.gov.cn,,
84,82,76,72,91,89,81,72,86,82,78,80,83,77,75,78,81,79,行业报告,应急管理部,https://www.moj.gov.cn,,
79,76,74,66,86,83,74,69,81,73,71,72,75,70,71,72,73,75,技术分析,国家应急管理局,https://www.nra.gov.cn,,
82,79,73,69,88,84,76,70,85,77,74,75,78,73,72,74,76,78,行业动态,地方政府报告,https://www.example.gov.cn,,
83,77,71,67,90,86,79,68,82,78,76,74,81,75,74,80,80,82,市场分析,行业协会,https://www.industry.org.cn,,
81,80,75,70,92,87,80,71,84,83,79,77,84,78,76,79,83,80,政策分析,国家统计局,https://www.stats.gov.cn,,
76,73,68,62,84,80,73,66,77,73,68,70,71,69,65,65,72,70,学术研究,大学研究中心,https://www.university.edu,,
87,85,81,76,93,90,86,75,88,82,80,83,85,82,78,80,84,83,应急演练,地方安全管理局,https://www.localsec.gov.cn,,
90,88,84,79,94,91,87,78,89,85,82,86,88,84,80,82,89,87,政策评估,国际应急协会,https://www.iaem.org,,
86,84,79,75,92,88,85,77,83,79,79,80,84,81,77,78,82,83,灾难管理,应急政策研究中心,https://www.dmpolicy.org,,
82,77,74,71,89,86,76,75,83,77,73,80,78,75,72,76,80,82,综合评估报告,国家应急管理总部,https://www.mem.gov.cn,,
88,85,80,77,91,90,82,80,88,84,80,85,81,79,75,78,83,85,年度总结,蓝天救援队,https://www.blue-sky-rescue.org,,
76,73,68,64,86,77,70,65,76,72,70,71,68,65,69,71,72,74,地方专项分析,浙江省应急管理局,https://www.zjem.gov.cn,,
79,81,75,78,85,83,79,73,84,78,76,77,80,78,76,75,81,79,案例研究,地方应急管理与环境保护研究,https://www.researchgate.net,,
83,79,76,74,88,84,77,72,85,79,74,79,75,77,73,80,82,81,风险评估综述,国家防灾减灾事务部,http://www.ndrc.gov.cn,,
87,84,81,79,92,89,84,81,90,83,82,80,79,78,81,79,84,83,政策分析,中国应急治理研究院,https://www.cegr.org.cn,,
81,76,74,69,84,81,73,70,82,76,72,74,71,70,69,72,73,75,基础分析报告,经济日报,http://www.ce.cn,,
85,80,77,72,90,85,81,75,83,79,75,76,80,74,73,78,76,80,研究报告,科学技术出版社,http://www.sciencepress.com.cn,,
90,86,82,78,95,92,88,85,91,88,84,89,87,82,79,85,88,90,最新动态分析,国际灾害减灾研究中心,http://www.idri.org,,
82,79,74,72,88,84,76,73,83,78,74,77,80,75,72,75,78,79,政策分析,国家应急管理局,https://www.mem.gov.cn,,
76,73,68,64,81,79,72,66,78,71,69,71,73,70,68,70,72,74,行业新闻,地方政府报告,https://www.example.gov.cn/news,,
90,85,80,78,92,89,83,75,87,84,79,80,83,77,76,78,81,83,技术开发,国际减灾组织,https://www.unisdr.org,,
88,85,76,74,91,86,81,72,84,80,78,75,82,74,78,77,80,82,区域案例,中国地震局,https://www.cea.gov.cn,,
81,76,73,71,87,83,75,70,81,76,74,72,75,70,71,72,74,75,专家评审,专业调查机构,https://www.researchgate.net,,
84,82,77,73,90,88,79,74,85,81,76,79,82,78,75,76,78,80,地方响应,省级政府官网,https://www.provincial.gov.cn,,
77,74,69,67,84,81,73,69,77,72,70,71,74,71,68,70,72,74,案例研究,科技日报,https://www.stdaily.com,,
85,82,78,76,89,87,80,73,84,79,77,80,81,78,76,79,81,82,政府统计,国家统计局,https://www.stats.gov.cn,,
79,76,71,69,85,82,74,70,78,74,72,73,75,69,72,71,73,76,内部审查,中心安全管理部,https://www.csmb.gov.cn,,
82,79,74,71,88,87,81,75,83,78,76,80,77,75,74,76,78,79,市政报告,北京市应急管理局,https://www.beijing.gov.cn/zfxxgk/sjfb/2023/,,
79,76,71,67,86,84,74,66,79,72,69,71,75,70,73,71,72,74,区域评估,广西壮族自治区应急办,https://www.gxzf.gov.cn/zwgk/gzdt/,,
85,82,78,73,89,90,85,74,86,80,78,82,81,80,77,79,80,82,行业动态,天津市应急管理局,https://www.tianjin.gov.cn/zwgk/whgk/zcfg/,,
83,81,76,72,87,85,82,70,84,81,75,79,78,77,75,78,76,80,技术发展,沈阳市应急管理局,https://www.shenyang.gov.cn/zhengfuwang/zhengce/,,
86,83,79,75,91,89,88,77,87,82,80,85,79,78,76,80,81,83,综合评估,中国应急管理部,https://www.mem.gov.cn/,,
80,78,73,69,85,83,79,70,81,74,72,76,75,72,74,73,75,76,地方总结,广州市应急管理局,https://www.gz.gov.cn/zfgb/,,
84,80,77,70,86,84,82,72,80,78,75,80,81,73,78,79,80,81,社会调查,河南省应急管理厅,https://www.henan.gov.cn/sjxw/,,
88,85,82,76,92,88,84,74,89,83,80,86,84,79,77,80,82,83,国际动态,国家应急管理信息中心,https://www.nema.gov.cn/,,
81,79,75,71,88,87,81,73,84,81,78,77,75,72,78,79,79,80,总结资料,吉林省应急管理厅,https://www.jilin.gov.cn/,,
82,79,74,71,89,86,77,73,84,78,76,80,79,75,72,76,78,80,行业报告,北京应急管理局,https://www.beijing.gov.cn/,,
76,81,78,64,84,83,76,69,80,74,71,75,77,70,68,74,73,70,技术分析,省级应急管理部门,https://www.bj.gov.cn/,,
84,81,79,67,88,84,79,70,82,77,75,79,81,74,73,75,76,78,行业动态,中国国家统计局,https://www.stats.gov.cn/,,
77,74,71,66,82,80,75,66,81,72,69,76,73,70,69,73,72,74,专家访谈,数据科学论坛,https://www.dscforum.com/,,
80,78,75,72,90,85,78,73,83,75,74,78,76,72,71,74,77,76,案例分析,湖北省应急管理厅,https://www.hubei.gov.cn/,,
79,76,73,65,85,82,70,67,79,72,71,73,74,69,68,70,71,73,技术研究,中国气象局,https://www.cma.gov.cn/,,
84,82,77,68,90,87,80,72,85,76,80,79,78,74,75,78,80,82,政策解读,国家应急管理部,https://www.mem.gov.cn/,,
81,79,74,70,88,86,81,74,84,79,76,77,80,73,70,76,75,78,数据报告,工业和信息化部,https://www.miit.gov.cn/,,
78,77,73,67,83,81,75,70,80,75,72,70,74,72,69,70,73,76,安全检查,广西壮族自治区应急管理厅,https://www.gxzf.gov.cn/,,
89,85,82,75,90,91,84,72,88,83,79,80,86,77,78,80,82,84,行业评估,中国应急管理部,https://www.mem.gov.cn,,
76,74,69,67,80,75,71,64,79,72,70,71,73,70,66,71,70,71,社会调查,广东省应急管理局,https://www.gd.gov.cn,,
77,76,74,71,83,80,75,65,82,75,74,73,79,74,72,73,76,75,技术报告,北京市应急管理局,https://www.beijing.gov.cn,,
91,89,85,83,94,93,90,78,91,86,84,87,92,82,80,81,88,85,高级评估,华南理工大学,https://www.scut.edu.cn,,
84,81,79,76,85,84,80,74,79,81,77,80,81,78,75,79,80,82,社会反馈,山西省应急管理厅,https://www.shanxi.gov.cn,,
88,86,82,79,88,92,83,71,86,82,81,79,83,76,77,78,82,81,案例分析,中国科学院,https://www.cas.cn,,
80,79,76,73,82,79,77,70,75,78,72,75,76,73,74,75,74,75,应急演练,中国消防协会,https://www.caf.gov.cn,,
83,81,78,74,84,80,76,70,77,72,75,73,78,73,69,76,77,78,年度总结,江苏省应急管理厅,https://www.jiangsu.gov.cn,,
90,87,84,78,92,88,81,75,89,81,82,80,85,79,76,83,82,84,政策研究,中国灾害管理研究所,https://www.cdrm.org.cn,,
82,79,74,72,88,90,83,75,82,81,76,80,78,75,77,80,82,79,年度评估,广东省应急管理厅,https://www.gd.gov.cn/xxgk/gzdt/,,
76,73,68,66,84,81,74,67,78,74,69,71,73,70,72,71,74,75,地方研究报告,湖南省应急管理局,https://www.hunan.gov.cn/,,
87,85,79,74,89,92,81,80,86,83,78,82,80,79,76,78,80,84,专家评审,国家应急管理部,http://www.mem.gov.cn/,,
81,82,75,70,86,85,79,71,84,76,74,77,71,78,70,75,73,80,案例分析,浙江省应急局,https://www.zj.gov.cn/,,
77,74,71,65,83,80,72,66,79,73,69,70,74,72,68,72,71,74,政策分析,北京市应急管理局,http://www.beijing.gov.cn/,,
84,82,77,73,87,83,81,78,85,82,79,75,80,76,75,77,83,81,最新数据显示,天津市应急管理局,https://www.tianjin.gov.cn/,,
80,78,74,69,85,89,76,70,81,77,74,73,78,72,71,75,74,78,区域研究,江苏省应急管理厅,https://www.js.gov.cn/,,
88,86,80,77,90,91,86,81,89,84,82,83,81,78,79,82,85,84,综合研究,内蒙古自治区应急管理厅,http://www.nmg.gov.cn/,,
79,76,73,70,82,84,75,72,80,78,74,72,70,71,73,74,78,76,行业调研,福建省应急管理局,https://www.fujian.gov.cn/,,
86,82,76,72,92,89,81,74,87,81,76,80,83,78,75,79,80,82,行业动态,国家应急管理部,https://www.mem.gov.cn,,
79,75,74,68,86,84,76,71,83,77,72,75,79,73,72,71,74,78,实地考察,北京市应急管理局,https://www.beijing.gov.cn,,
83,79,71,70,91,87,79,73,85,79,74,77,80,75,73,78,76,79,技术报告,天津市应急管理局,https://www.tianjin.gov.cn,,
82,81,78,71,88,86,80,72,81,78,75,76,81,73,74,76,77,80,应急演练,深圳市应急管理局,https://www.sz.gov.cn,,
84,78,73,69,89,88,82,70,86,82,77,78,84,75,76,77,79,81,政策分析,广东省应急管理厅,https://www.gd.gov.cn,,
79,74,67,65,84,81,75,68,79,73,70,72,75,71,69,72,74,76,行业动态,浙江省应急管理局,https://www.zj.gov.cn,,
85,80,77,74,90,88,83,77,88,82,78,79,81,78,75,78,81,80,防灾减灾,四川省应急管理局,https://www.sc.gov.cn,,
81,76,70,67,88,84,77,74,82,75,72,73,76,70,71,73,75,78,调研报告,湖北省应急管理厅,https://www.hubei.gov.cn,,
87,83,80,73,92,89,84,79,90,83,80,81,84,79,78,80,82,85,案例研究,上海应急管理局,https://www.sh.gov.cn,,
82,85,78,73,88,90,82,72,87,81,79,76,83,75,72,80,78,82,实证研究,中国人民大学应急管理研究中心,https://ruc.edu.cn,,
76,79,74,67,83,80,73,65,79,74,70,71,75,69,68,70,72,73,政策分析,国家应急管理局,https://www.mem.gov.cn,,
83,82,76,71,89,86,80,75,84,79,75,79,81,77,73,78,80,84,案例研究,应急管理研究院,https://www.emergency.edu.cn,,
87,88,82,78,92,91,85,76,88,84,81,80,79,74,78,81,83,85,行业门面,中国消防救援局,https://www.caf.gov.cn,,
80,81,77,72,84,83,79,71,82,78,76,75,73,70,76,74,75,80,社会调查,中国科学院,https://www.cas.cn,,
84,77,73,69,86,85,76,67,81,76,72,70,74,71,70,72,73,78,综合评估,全国应急管理协会,https://www.nema.com.cn,,
77,80,75,67,86,84,73,68,78,74,71,68,72,70,69,70,74,75,行业动态,国家统计局,https://www.stats.gov.cn,,
79,83,78,75,88,87,79,74,80,75,73,74,76,72,77,78,80,82,风险评估,中国社会科学院,https://www.cssn.cn,,
81,84,80,77,90,89,80,73,83,80,76,71,75,73,78,77,82,83,应急研究,社会治安管理局,https://www.pss.gov.cn,,
88,82,76,71,92,90,83,75,86,81,78,80,84,79,77,80,82,83,国家政策评估,应急管理部,https://www.mem.gov.cn,,
76,74,65,67,88,84,76,66,78,74,72,69,73,75,70,71,72,73,地方经济报告,江苏省应急管理局,https://www.jiangsu.gov.cn,,
82,79,73,69,86,81,80,74,83,76,75,71,78,74,73,74,76,75,安全技术评估,国家统计局,https://www.stats.gov.cn,,
85,81,79,76,90,87,82,71,84,78,77,75,80,78,75,79,81,82,安全大数据分析,行业协会报告,https://www.safety.gov.cn,,
79,76,71,66,81,83,77,69,79,72,73,70,74,71,72,73,74,75,社区居委会报告,北京市应急管理局,https://www.beijing.gov.cn,,
84,80,77,72,89,85,78,72,81,79,82,74,76,77,74,78,80,79,高校研究项目,专利调查,https://www.cnipa.gov.cn,,
81,75,70,67,84,81,76,68,80,75,71,70,73,74,71,72,75,73,国际合作报告,国际灾害管理组织,https://www.unisdr.org,,
78,73,69,64,83,79,72,67,78,74,70,68,71,70,69,71,73,72,人道主义评估报告,世界卫生组织,https://www.who.int,,
77,75,71,66,82,80,75,70,76,72,69,74,71,72,73,74,78,73,灾害应对工作组评估,中国红十字会,https://www.redcross.org.cn,,
84,79,73,68,92,89,82,75,81,77,76,79,80,74,78,80,81,79,地方政府报告,江西省应急管理厅,https://www.jiangxi.gov.cn/ems,,
77,73,68,64,90,83,71,70,78,73,69,75,78,72,69,71,70,75,应急管理分析,广东省气象局,https://www.gd.gov.cn/govinfo/zhengce/content/post_1816763.html,,
82,76,71,67,88,84,79,72,82,74,74,76,79,73,72,74,77,80,年度总结,国家应急管理部,https://www.mem.gov.cn,,
79,81,75,69,86,87,81,73,84,78,77,80,83,79,75,76,78,82,政策分析,北京市应急管理局,https://www.beijing.gov.cn/zfxxgk/fdzdgknr/ghjh/,,
81,84,77,72,91,90,83,76,85,79,80,82,85,77,76,78,81,83,危机管理,湖南省安全生产监督管理局,https://www.hunan.gov.cn/xxgk/,,
78,77,70,65,84,82,76,67,80,72,70,74,73,69,70,69,70,73,应急备忘录,河北省应急管理厅,https://www.hebei.gov.cn,,
83,82,78,74,89,91,80,73,87,81,75,79,84,76,81,82,79,85,技术评估,四川省消防总队,https://www.sc.gov.cn/safety/,,
79,78,73,64,85,84,79,71,81,76,75,72,75,70,77,72,74,73,应急评论,浙江省公共安全管理局,https://www.zhejiang.gov.cn,,
80,79,74,70,90,88,82,76,83,79,76,75,81,78,73,75,80,74,区域评估,河南省应急管理局,https://www.henan.gov.cn/zwgk/,,
