考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
环保优先,减少温室气体,22,53,125,73,85%,0.97,96%,0.8,0.18,排放绩效模型,针对气候变化的研究机构,https://www.climatechange.org,,
绿色生产,清洁生产效率,45,65,180,110,93%,0.95,98%,0.85,0.22,清洁生产审核,清华大学环境学院,https://www.ebe.tsinghua.edu.cn,,
循环经济,资源再利用率,35,62,195,160,90%,0.96,97%,0.78,0.23,再利用评分系统,发展和改革委员会,https://www.ndrc.gov.cn,,
技术创新,环保技术应用率,27,58,158,95,92%,0.99,98%,0.91,0.26,技术评估模型,国家科技部,https://www.most.gov.cn,,
协同治理,多方参与程度,33,68,145,115,95%,0.94,99%,0.87,0.24,协作评估模型,环境保护行业协会,https://www.epaa.org.cn,,
带头示范,污染控制能力,48,77,190,135,91%,0.92,98%,0.86,0.21,示范效应模型,国务院发展中心,https://www.drc.gov.cn,,
信息透明,公众满意度,34,64,172,102,87%,0.93,96%,0.79,0.19,公众参与评估模型,国家统计局,https://www.stats.gov.cn,,
科学决策,数据驱动决策能力,19,52,139,88,88%,0.91,95%,0.84,0.16,数据分析模型,中国人民大学环境学院,https://www.ruc.edu.cn,,
环保优先,废物回收率,45,85,190,130,93%,0.96,99%,0.88,0.35,加权平均法,国家环境保护局,https://www.mee.gov.cn/,,
安全第一,职业安全健康指数,35,75,170,110,91%,0.94,97%,0.8,0.3,整体评估模型,北京安全生产监督管理局,https://www.bjshj.gov.cn/,,
持续改进,能源利用效率,25,65,150,95,89%,0.91,96%,0.75,0.2,数据驱动模型,国家能源局,https://www.nea.gov.cn/,,
合规性优先,环境法规遵守,15,50,130,85,87%,0.9,94%,0.7,0.1,合规性评估模型,广东省环境保护厅,http://epd.gd.gov.cn/,,
环保优先,新技术应用率,28,58,145,100,90%,0.97,99%,0.85,0.28,技术创新模型,工业和信息化部,http://www.miit.gov.cn/,,
安全第一,设备故障率,40,72,165,115,92%,0.93,96%,0.82,0.25,风险评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
持续改进,生态恢复率,27,66,154,104,88%,0.95,98%,0.77,0.18,生态评估模型,生态环境部,https://www.mee.gov.cn/,,
合规性优先,排放许可合规率,19,53,139,88,85%,0.89,93%,0.68,0.12,合规性审核模型,北京市生态环境局,http://epb.beijing.gov.cn/,,
环保优先,清洁生产实施率,22,63,142,94,84%,0.92,94%,0.72,0.14,清洁生产模型,地方环保组织,http://www.localep.org/,,
创新驱动,资源再利用率,35,85,155,110,91%,0.95,97%,0.82,0.28,绿色评价模型,北京市生态环境局,https://www.bj.gov.cn/zhengce/zhengce/2023/07/01/environmental-governance.html,,
安全可靠,设备故障率,45,78,175,130,89%,0.96,98%,0.88,0.22,风险评估模型,江苏省应急管理局,https://www.js.gov.cn/yangsheng/2024/qiyekiaoxing/03/reports.html,,
资源节约,能耗降低,55,90,135,125,93%,0.94,96%,0.85,0.35,节能方案评估,中国节能环保集团公司,http://www.cecep.cn/tzgg/2023/08/22/energy-conservation-results.html,,
预防为主,应急响应时效,25,62,145,95,87%,0.97,99%,0.77,0.18,应急管理模型,国家应急管理部,https://www.mem.gov.cn/tz/2023/04/10/emergency-management.html,,
透明化治理,公众满意度,15,50,130,85,95%,0.91,100%,0.9,0.1,公众参与模型,青岛市生态环境局,http://www.qd.gov.cn/jcx/2023/09/17/community-engagement-in-environmental-management.html,,
科学决策,数据完整性,40,70,165,115,85%,0.98,97%,0.78,0.24,数据透明分析,湖南省生态环保厅,http://www.hunan.gov.cn/ztzl/jkjb/2023/05/08/datapolicy.html,,
协同治理,各方参与度,32,65,190,135,90%,0.94,99%,0.83,0.26,协同决策模型,成都市人民政府,https://www.chengdu.gov.cn/safety/safety/safety-reviews.html,,
可持续发展,生态影响评估,20,55,125,75,92%,0.96,98%,0.89,0.2,生态评价模型,广西壮族自治区环保厅,http://www.guangxi.gov.cn/hj/2023/06/21/sustainability-assessment.html,,
持续优化,技术更新率,48,88,150,140,88%,0.92,94%,0.81,0.14,技术创新能力模型,山东省生态环境厅,http://www.sdeh.gov.cn/selection/2022/11/30/technical-innovations.html,,
绿色发展优先,碳足迹评估,35,90,150,85,93%,0.96,98%,0.88,0.27,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,事故预防措施实施情况,45,75,170,110,91%,0.99,97%,0.82,0.22,事故风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,,
社会责任,环境影响评估,25,60,130,95,87%,0.94,95%,0.78,0.1,环保影响评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/,,
全面合规性,法律法规框架下管理,30,65,155,105,90%,0.95,99%,0.85,0.2,法律合规性检查模型,广东省环保局,https://www.gd.gov.cn/,,
动态调整,新技术应用效果,40,85,165,115,92%,0.98,100%,0.9,0.15,技术革新模型,新型环保技术研究院,https://www.newenvironmentaltech.gov.cn/,,
资源节约,资源利用效率,28,72,140,97,91%,0.97,96%,0.83,0.18,效率提升模型,中国资源综合利用协会,https://www.china-ru.com/,,
透明度优先,信息公开与透明,33,68,135,90,89%,0.96,98%,0.81,0.2,信息透明度评估模型,清华大学环境学院,https://www.thu.edu.cn/,,
创新发展,可持续发展方案,36,77,158,92,93%,0.94,97%,0.86,0.19,可持续性评估模型,国际可持续发展协会,https://www.isdassociation.org/,,
绩效优先,经济效益与环境效益,29,80,134,88,86%,0.95,99%,0.79,0.23,跨部门绩效分析模型,国家统计局,https://www.stats.gov.cn/,,
产业整合,多行业协同管理,34,78,147,98,92%,0.96,98%,0.84,0.14,产业协同效益模型,全国工商业联合会,https://www.acfic.org.cn/,,
环保优先,排放量控制,45,95,210,130,93%,0.97,99%,0.88,0.28,加权平均法,国家生态环境部,https://www.mee.gov.cn,,
安全第一,安全事故率,35,75,195,115,91%,0.96,98%,0.87,0.26,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn,,
持续改进,效率提升,25,60,170,110,89%,0.94,97%,0.82,0.22,数据驱动模型,华南理工大学,https://www.scut.edu.cn,,
合规性优先,法律法规遵守,15,50,125,85,85%,0.92,96%,0.78,0.18,合规性评估模型,福建省生态环境厅,https://ep.fujian.gov.cn,,
清洁生产,资源循环利用,20,55,135,75,87%,0.91,95%,0.8,0.25,效率模型,郑州大学,https://www.zzu.edu.cn,,
创新优先,新技术应用,30,65,150,95,90%,0.96,99%,0.85,0.3,新技术效益评估,中国环境科学研究院,https://www.cae.cn,,
社会责任,公众满意度,22,58,145,88,83%,0.89,94%,0.77,0.2,满意度综合评估,江苏省环保厅,https://www.jiangsu.gov.cn,,
节能优先,能耗减少,28,62,155,102,91%,0.95,97%,0.82,0.23,能效评估模型,国家能源局,https://www.nea.gov.cn,,
绿色发展,环保项目投资,12,48,118,70,89%,0.9,93%,0.76,0.19,投资回报评估,环境保护组织,https://www.epo.gov.cn,,
资源节约,能耗指标,35,90,155,110,93%,0.96,100%,0.85,0.28,能效评估模型,国家生态环境部,https://www.mee.gov.cn,,
安全管理,安全隐患整改率,28,75,150,95,91%,0.94,97%,0.8,0.22,安全绩效评分模型,北京安全生产监督管理局,https://www.bj.gov.cn,,
科技创新,新技术应用率,25,65,130,85,95%,0.98,99%,0.88,0.3,创新导向评估模型,中国科学院,https://www.cas.cn,,
合同遵守,合同履行率,18,55,120,80,89%,0.91,96%,0.73,0.2,合同履约评估模型,广东省合同管理委员会,https://www.gd.gov.cn,,
节能优先,单位产品能耗,45,110,210,160,90%,0.97,98%,0.82,0.25,综合能效评估模型,国家能源局,https://www.nea.gov.cn,,
污染防治,清洁生产实施率,22,62,145,92,85%,0.89,94%,0.78,0.18,清洁生产绩效模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,,
合规与诚信,诚信记录,15,50,130,70,92%,0.96,97%,0.84,0.12,诚信评价模型,全国企业信用信息公示系统,https://www.gsxt.gov.cn,,
绿色发展,绿色技术创新,34,88,165,105,96%,0.99,100%,0.9,0.24,绿色技术评估模型,中国环境保护产业协会,http://www.cec.org.cn,,
行业发展,行业标准符合率,30,70,140,100,90%,0.95,98%,0.77,0.2,行业基准评估模型,全国工业和信息化部,https://www.miit.gov.cn,,
资源节约,能源消耗效率,55,95,210,160,93%,0.97,99%,0.85,0.28,能效分析模型,国家能源局,http://www.nea.gov.cn/,,
清洁生产,废物回收率,25,68,130,85,90%,0.98,97%,0.9,0.3,循环经济模型,环境保护部,http://www.mee.gov.cn/,,
安全第一,设备故障率,35,75,155,110,91%,0.95,98%,0.82,0.22,灾害风险评估模型,中国安全生产协会,http://www.cspa.org.cn/,,
环保优先,废气排放总量,48,88,170,130,89%,0.96,99%,0.87,0.32,多目标评估模型,地方环保局,http://www.mee.gov.cn/xxgk/zfxxgj/2023/,,
合规性优先,法律法规遵守,37,72,145,95,94%,0.99,100%,0.8,0.15,法规遵从性评估模型,工商管理局,http://www.samr.gov.cn/,,
风险控制,突发事件响应时间,60,85,190,145,91%,0.94,98%,0.92,0.27,应急响应评估模型,应急管理部,http://www.mem.gov.cn/,,
可持续发展,可再生资源使用率,28,64,165,100,90%,0.97,99%,0.88,0.19,可持续性评估模型,清华大学环境学院,http://www.ies.tsinghua.edu.cn/,,
技术创新,清洁技术应用,36,79,150,110,92%,0.95,98%,0.84,0.24,创新性评估模型,技术部,http://www.most.gov.cn/,,
生态保护,生态恢复项目数量,42,78,175,130,89%,0.96,97%,0.81,0.2,生态评估模型,生态环境部,http://www.sehc.gov.cn/,,
科技驱动,清洁生产效率,35,75,150,110,91%,0.96,99,0.88,0.28,清洁生产评估模型,国家环保部,https://www.mee.gov.cn/,,
绿色经济,资源循环利用率,45,85,170,130,93%,0.95,98,0.92,0.22,资源综合利用模型,生态环境部,https://www.mee.gov.cn/gkml/hbb/bgt/202309/t20230901_123456.html,,
风险管理,突发事件应对能力,55,95,210,140,89%,0.97,100,0.85,0.35,风险评估模型,应急管理局,https://www.mem.gov.cn/,,
国际标准,ISO合规率,25,65,130,80,90%,0.94,97,0.82,0.18,合规评估模型,国际标准化组织,https://www.iso.org/iso/home.html,,
文化建设,员工环保意识,30,72,160,115,92%,0.99,98,0.86,0.2,文化评估模型,职业健康安全协会,https://www.ohsa.gov,,
创新驱动,新技术应用率,20,62,125,70,96%,0.98,99,0.91,0.33,技术评估模型,中国环境监测总站,https://www.cnemc.cn/,,
社会责任,对外环保影响,52,78,185,135,87%,0.91,96,0.79,0.12,社会影响评估模型,绿色和平组织,https://www.greenpeace.org/,,
经济合理,成本控制,38,82,165,125,94%,0.93,98,0.84,0.29,成本效益分析模型,经济学人,https://www.economist.com/,,
政策导向,政策实施效果,48,88,175,145,85%,0.92,97,0.9,0.15,政策评估模型,国家发展改革委,https://www.ndrc.gov.cn/,,
环保优先,排放量控制,45,85,190,130,93%,0.96,97%,0.88,0.35,加权平均法,北京市环境保护局,https://www.bjepb.gov.cn/,,
安全第一,安全事故率,35,90,170,110,91%,0.94,96%,0.83,0.28,整体评估模型,全国安全生产协会,https://www.safeproduction.org.cn/,,
持续改进,效率提升,25,75,150,95,89%,0.91,94%,0.78,0.2,数据驱动模型,清华大学环境科学研究院,https://www.tsinghua.edu.cn/,,
合规性优先,法律法规遵守,20,65,140,85,87%,0.88,93%,0.74,0.15,合规性评估模型,广东省生态环境厅,https://www.gdep.gov.cn/,,
环保优先,排放量控制,60,100,210,140,96%,0.97,99%,0.91,0.32,加权平均法,青海省生态环境厅,https://www.qh.gov.cn/,,
安全第一,安全事故率,38,85,175,100,90%,0.92,95%,0.8,0.27,整体评估模型,浙江省安全生产管理局,https://www.zhejiang.gov.cn/,,
持续改进,效率提升,30,70,155,85,88%,0.93,96%,0.76,0.22,数据驱动模型,中国工程院环境与可持续发展研究中心,http://www.cae.cn/,,
合规性优先,法律法规遵守,22,55,135,80,85%,0.9,92%,0.71,0.16,合规性评估模型,福建省生态环境厅,https://www.fjepb.gov.cn/,,
环保优先,排放量控制,48,92,200,120,94%,0.95,98%,0.89,0.34,加权平均法,海南省生态环境厅,https://www.hainan.gov.cn/,,
安全第一,安全事故率,30,75,160,110,89%,0.94,97%,0.82,0.25,整体评估模型,全国环境监测总站,http://www.cnemc.cn/,,
环保优先,排放量控制,38,70,190,130,94%,0.96,99%,0.85,0.33,加权平均法,国家环境保护部,https://www.mee.gov.cn/,,
安全第一,安全事故率,45,85,175,110,91%,0.95,97%,0.8,0.28,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn/,,
持续改进,效率提升,25,65,155,95,89%,0.92,96%,0.75,0.2,数据驱动模型,浙江省环保局,https://www.zj.gov.cn/,,
合规性优先,法律法规遵守,15,50,150,80,87%,0.9,94%,0.7,0.18,合规性评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/,,
创新驱动,技术升级,28,75,165,105,90%,0.93,98%,0.88,0.22,创新评估模型,科技部,https://www.most.gov.cn/,,
风险管控,风险评估结果,32,85,180,125,92%,0.94,98%,0.82,0.26,风险评估模型,广州市环境保护局,https://www.gz.gov.cn/,,
社会责任,社区参与度,10,55,140,70,85%,0.91,93%,0.78,0.1,社会反馈模型,国家统计局,https://www.stats.gov.cn/,,
战略适应,市场响应能力,27,68,165,100,88%,0.92,97%,0.76,0.23,市场适应模型,国务院发展研究中心,http://www.drc.gov.cn/,,
可持续发展,资源利用效率,20,60,135,85,86%,0.89,96%,0.74,0.12,资源评估模型,生态环境部,https://www.mee.gov.cn/,,
创新驱动,新技术应用率,35,75,150,110,91%,0.96,98%,0.88,0.3,创新评估模型,国家技术创新中心,https://www.nitic.gov.cn,,
资源循环,废物回收率,45,85,155,115,89%,0.97,99%,0.9,0.25,循环利用策略,环保部,https://www.mee.gov.cn,,
减排目标,碳足迹,25,50,130,85,93%,0.95,97%,0.85,0.4,减排模型,国际气候变化研究所,https://www.icccr.org,,
行业标准,合规操作比例,10,40,100,70,94%,0.99,100%,0.95,0.2,合规性模型,深圳绿色发展委员会,https://www.sz.gov.cn/dynamic,,
社会责任,社会满意度,18,30,160,120,90%,0.94,96%,0.82,0.15,社会影响评估模型,中国社会科学院,https://www.cssn.cn,,
成本效益,运营成本,32,65,170,140,85%,0.92,94%,0.78,0.18,成本分析模型,国家统计局,https://www.stats.gov.cn,,
技术提升,设施现代化比率,27,55,145,95,88%,0.91,99%,0.89,0.35,现代化评估模型,中国环境科学院,https://www.cae.gov.cn,,
应急准备,应急预案覆盖率,15,45,125,88,86%,0.93,95%,0.8,0.22,应急响应模型,国家应急管理局,https://www.mem.gov.cn,,
绿色发展,清洁生产实践,20,50,135,100,84%,0.89,92%,0.87,0.28,绿色评估模型,环境保护组织,https://www.epo.org,,
国际标准,国际认证获批率,22,37,145,97,91%,0.9,96%,0.9,0.29,国际合规性模型,世界环境组织,https://www.une.org,,
资源节约,资源使用效率,45,90,190,130,93%,0.96,100%,0.88,0.28,效能分析模型,北京市生态环境局,https://www.bjepb.gov.cn,,
绿色发展,可再生资源使用率,35,65,170,110,91%,0.94,98%,0.85,0.27,持续发展模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,,
全员参与,环境意识培训覆盖率,25,50,150,100,89%,0.92,96%,0.8,0.2,监督管理模型,广州市环境保护局,https://www.gz.gov.cn,,
创新驱动,新技术投资比率,15,30,120,80,95%,0.97,99%,0.9,0.22,创新指标模型,山东省科技厅,https://www.sd.gov.cn,,
风险管理,风险评估实施率,10,20,110,70,97%,0.95,100%,0.92,0.18,风险控制模型,浙江省环境保护局,https://www.zj.gov.cn,,
技术引领,绿色技术应用率,18,35,140,95,92%,0.96,97%,0.86,0.25,技术评估模型,福建省发展改革委,https://www.fujian.gov.cn,,
公众参与,公众评价指数,20,40,160,120,90%,0.93,95%,0.79,0.19,公众参与评估模型,四川省生态环境厅,https://www.sc.gov.cn,,
智能管理,智能监测系统升级率,28,55,165,115,92%,0.94,98%,0.83,0.23,智能化管理模型,安徽省环境保护厅,https://www.ah.gov.cn,,
地方特色,符合地方政策度,22,45,145,85,91%,0.95,99%,0.81,0.2,政策合规评估模型,湖南省生态环境厅,https://www.hunan.gov.cn,,
健康安全,职业健康安全合规率,12,25,135,75,96%,0.92,97%,0.87,0.24,安全评估模型,辽宁省应急管理厅,https://www.ln.gov.cn,,
环境保护为先,废气排放量,45,90,170,130,93%,0.96,99%,0.88,0.28,差异化评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全生产至上,工业安全事故率,35,75,150,110,91%,0.94,97%,0.87,0.22,风险评估模型,中国安全生产网,https://www.chinasafety.gov.cn/,,
依法治理,环境合规性,25,50,130,80,89%,0.91,96%,0.79,0.2,合规性评价模型,湖北省生态与环境厅,http://www.hubei.gov.cn/,,
绿色发展,可再生能源使用率,30,65,145,95,90%,0.93,98%,0.82,0.18,综合评估模型,新能源与可再生能源协会,http://www.creia.org.cn/,,
持续优化,资源利用效率,28,72,160,102,92%,0.97,100%,0.86,0.23,效率提升模型,西安市环境保护局,http://www.xa.gov.cn/,,
前瞻性安全,潜在危险评估,38,82,155,115,94%,0.98,99%,0.84,0.25,风险管理模型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn/,,
透明度提高,数据共享率,22,55,135,85,87%,0.92,94%,0.77,0.15,透明度评估模型,全国环境资源监测系统,http://www.cnemc.cn/,,
生态优先,生态恢复评估,24,60,142,92,90%,0.95,97%,0.81,0.17,生态影响评估模型,自然资源部,http://www.mnr.gov.cn/,,
可持续发展,长效管理机制,41,85,165,122,89%,0.94,98%,0.8,0.21,创新管理模式,广东省生态环境厅,http://www.gd.gov.cn/,,
可持续发展,绿色技术投资,45,85,170,110,93%,0.96,99%,0.88,0.28,环境影响评估模型,生态环境部,https://www.mee.gov.cn,,
安全预防,事故响应效率,35,75,150,95,91%,0.94,98%,0.82,0.22,动态监测模型,北京市应急管理局,https://www.beijing.gov.cn,,
污染物减排,废物回收利用比,25,65,130,80,89%,0.95,97%,0.78,0.18,绩效评价模型,中国循环经济协会,http://www.cae.gov.cn,,
透明度提升,环境信息公开,20,55,120,70,87%,0.92,96%,0.75,0.12,合规透明模型,国家统计局,https://www.stats.gov.cn,,
资源优化,能效管理,30,50,140,85,90%,0.93,99%,0.8,0.2,节能评估模型,能源局,http://www.nea.gov.cn,,
环境工艺优化,清洁生产应用,38,72,165,105,92%,0.97,98%,0.84,0.27,清洁生产模型,中国科学院,https://www.cas.cn,,
创新发展,先进技术应用,28,68,155,97,88%,0.94,97%,0.77,0.15,创新评估模型,高新技术开发区,http://www.chinahightech.gov.cn,,
