品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
生物识别传感器,敏感元件 + 信号处理模块 + 存储器,数据收集层、安全层、应用层,安全科技,混合式,安全科技,https://www.securitytech.com/,2024-09-14,,,,,,,,,,,,
无线射频传感器,射频发射器 + 接收模块 + 控制电路,感知层、通信层、应用层,RF智能科技,模块式,RF智能科技,https://www.rftech.com/,2024-09-14,,,,,,,,,,,,
气象传感器,温度传感器 + 湿度传感器 + 风速计,信息收集层、处理层、输出层,气象公司,集成式,气象公司,https://www.weathertech.com/,2024-09-14,,,,,,,,,,,,
智能家居传感器,多种传感器 + 控制单元 + 人工智能,感知层、决策层、执行层,小米科技,集成式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据采集模块 + 传输接口,传感层、网络层、应用层,禾下土壤科技,集成式,禾下土壤科技,https://www.hzsoil.com,2024-09-14,,,,,,,,,,,,
智能温控器,敏感元件 + 控制单元 + 远程连接模块,感知层、控制层、服务层,小米科技,模块式,小米智能家居,https://www.mi.com,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理模块,检测层、通信层,华为技术有限公司,混合式,华为物联网,https://iot.huawei.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微控制器 + 无线模块,测量层、分析层、报警层,安吉尔水处理,集成式,安吉尔官网,https://www.anjiel.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 光信号处理器 + 接口电路,传感层、处理层、输出层,西门子,混合式,西门子官网,https://new.siemens.com,2024-09-14,,,,,,,,,,,,
射频传感器,敏感元件 + 处理单元 + 通信接口,接收层、处理层、反馈层,中兴通讯,模块式,中兴官网,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
智能门锁传感器,敏感元件 + 电控模块 + 通信单元,感知层、安全层、控制层,360智能家居,集成式,360官网,https://www.360.com,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 电子计算单元,测量层、处理层,引领科技,模块式,引领科技官网,https://www.leadtech.com,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 数据处理模块 + 网络模块,采集层、认证层、反馈层,大华股份,集成式,大华官网,https://www.dahuatech.com,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 转换电路 + 信号调理,监测层、反馈层,德国西门子,混合式,西门子官网,https://www.siemens.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微控制器 + 无线通信模块,采集层、通信层、应用层,智慧农业科技,模块式,农业科技,https://www.smartagriculture.com,2024-09-14,,,,,,,,,,,,
智能温控传感器,敏感元件 + 信号调理电路 + 云计算平台,物理层、数据层、云层,未来家居,集成式,智能家居网络,https://www.smarthomehub.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 微处理器 + 数据分析模块,传感层、分析层、决策层,环境监测集团,混合式,环境研究所,http://www.environmentresearch.org,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 转换元件 + 数字接口,硬件层、数据层、控制层,智能工业解决方案,模块式,工程技术,http://www.engtech.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 数据存储模块,采集层、处理层、输出层,水资源管理科技,集成式,水利部,http://www.water.gov.cn,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 图像处理模块 + 通信协议,安全层、处理层、响应层,新兴科技,混合式,生物技术交流,http://www.biotech.org,2024-09-14,,,,,,,,,,,,
X光传感器,敏感元件 + 转换元件 + 嵌入式系统,硬件层、分析层、应用层,医疗影像设备有限公司,集成式,医学影像学,http://www.medicalimaging.com,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 信号处理电路 + 核心控制单元,采集层、控制层、输出层,流体动力设计,模块式,流体工程,http://www.fluidengineers.com,2024-09-14,,,,,,,,,,,,
射频传感器,敏感元件 + 无线模块 + 数据接口,物理层、网络层、应用层,智能无线技术中心,集成式,无线通信论文,http://www.wirelesscommunication.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 处理电路 + 输出模块,采集层、处理层、显示层,电力监测有限公司,混合式,电气工程师协会,http://www.electricalengineersassociation.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 数据传输模块,环境监测层、数据分析层,农智科技,模块式,农智科技,https://www.nongzhijishu.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号处理电路 + 输出接口,信号采集层、控制层,安防解决方案,集成式,安防解决方案,https://www.securitysolution.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 放大电路 + 数字接口,传感层、通信层,声波科技,模块式,声波科技,https://www.audiotech.com,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 数据采集单元 + 通信模块,数据层、应用层,气象科技,集成式,气象科技,https://www.metech.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理模块,硬件层、数据处理层,能效解决方案,混合式,能效解决方案,https://www.energysolutions.com,2024-09-14,,,,,,,,,,,,
pH传感器,敏感元件 + 转换电路 + 输出接口,采集层、反馈层,水质检测,集成式,水质检测,https://www.waterquality.com,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 数字信号处理,信号采集层、输出层,光电子技术,模块式,光电子技术,https://www.optoelectronics.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 处理单元 + 通信接口,监测层、传输层,环境监测科技,集成式,环境监测科技,https://www.environmentaltech.com,2024-09-14,,,,,,,,,,,,
生物气体传感器,敏感元件 + 微处理器 + 输出模块,感知层、决策层,生物传感技术,混合式,生物传感技术,https://www.biosensor.com,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 数据处理电路,采集层、监测层,水务科技,模块式,水务科技,https://www.watertech.com,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 数字处理单元 + 信号调理电路,传输层、处理层、展示层,光子科技,集成式,光纤传感技术平台,https://www.opticalfiber.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 微处理器 + 输出电路,探测层、处理层、控制层,智能家居科技,模块式,智能家居协会,https://www.smarthome.org.cn,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 信号放大器 + 数据接口,动态层、数据层、分析层,气象科技公司,集成式,中国气象局,https://www.cma.gov.cn,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号调理电路 + 输出电路,传感层、信号层、应用层,声学科技,混合式,声学研究中心,https://www.acoustics-research.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 模拟转换器 + 无线模块,传感层、数据传输层、监控层,农业科技开发,模块式,中国农业科学院,https://www.caas.cn,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流量计算单元 + 输出接口,采集层、处理层、数据显示层,流量测量科技有限公司,集成式,流量测量行业协会,http://www.flowmeasure.org,2024-09-14,,,,,,,,,,,,
环境噪音传感器,敏感元件 + 模数转换器 + 数据分析模块,信号层、数据层、应用层,环保科技公司,混合式,环境保护局,http://www.epa.gov.cn,2024-09-14,,,,,,,,,,,,
智能湿度传感器,敏感元件 + 嵌入式微控制器 + 数据接口,传感层、处理层、交互层,智云科技,集成式,互联网物联网研究所,https://www.iotresearch.cn,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 信号处理器 + 无线通讯模块,采集层、处理层、报告层,气象与卫星技术中心,模块式,国家气象局,http://www.cma.gov.cn,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号调理电路 + 数据分析单元,监测层、分析层、响应层,设备运行监测公司,集成式,机器学习与传感器技术,https://www.ml-sensortech.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号处理电路 + 控制单元,感知层、处理层,汉能集团,模块式,汉能集团,https://www.hanergy.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 通信模块 + 处理电路,感知层、数据层,瑞士农技,集成式,瑞士农技,https://www.swissagritech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据转换电路 + 通讯接口,采集层、分析层,水务科技,混合式,水务科技,https://www.watertech.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 定位电路 + 处理器,物理层、应用层,航天科技,集成式,航天科技,https://www.space-tech.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号调理电路 + 数据接口,采集层、处理层,机械监测,模块式,机械监测,https://www.vibrationmonitoring.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 电源模块 + 处理器,数据层、应用层,智能家居,集成式,智能家居,https://www.smart-home.com/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 信号处理电路 + 存储器,感知层、数据层,气象科技,模块式,气象科技,https://www.meteorologicaltech.com/,2024-09-14,,,,,,,,,,,,
智能水位传感器,敏感元件 + 控制电路 + 通信接口,监测层、反馈层,环保科技,集成式,环保科技,https://www.enviro-tech.com/,2024-09-14,,,,,,,,,,,,
模块化温控传感器,敏感元件 + 模块接口 + 处理电路,感知层、输出层,家居科技,混合式,家居科技,https://www.home-tech.com/,2024-09-14,,,,,,,,,,,,
多参数环境传感器,敏感元件 + 集成电路 + 接口模块,物理层、数据层、应用层,全感数据,集成式,全感数据,https://www.allsensordata.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 数据通讯模块,采集层、分析层、应用层,现代农业技术,模块式,农业科技,https://www.modernagtech.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 信号处理器,采集层、处理层、输出层,蓝色星球团队,集成式,环境保护署,https://www.epa.gov,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 控制电路,硬件层、控制层,先锋科技,混合式,先锋科技,https://www.pioneertechnology.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号调理电路 + 微控制器,输入层、处理层、应用层,智慧城市研究中心,集成式,智慧城市,https://www.smartcities.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号处理单元,物理层、处理层,量子传感技术,模块式,量子传感研究,https://www.quantumsensing.org,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数字信号处理模块,监测层、分析层,智能制造实验室,混合式,智能制造,https://www.smartmanufacturing.com,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 微处理器 + 数据输出模块,生物层、数据层,健康科技公司,集成式,医学技术,https://www.healthtech.com,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 处理单元 + 通讯接口,监测层、报告层,核能安全研究所,模块式,核能研究,https://www.nuclearresearch.org,2024-09-14,,,,,,,,,,,,
燃气传感器,敏感元件 + 微控制器 + 通讯电路,检测层、警报层,智能安全科技,集成式,安全防护机构,https://www.safetytech.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 数字处理单元 + 输出接口,感测层、处理层、显示层,气候监测中心,混合式,气候研究,https://www.climate.com,2024-09-14,,,,,,,,,,,,
光敏传感器,敏感元件 + 微控制器 + 接口电路,传感层、信号处理层、应用层,华为技术,集成式,华为开发者社区,https://developer.huawei.com/consumer/cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据记录器,物理层、信号传输层,农田科技,模块式,农业部,http://www.moa.gov.cn/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 微处理器 + 通信模块,传感层、数据处理层、应用层,气象局,集成式,国家气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
智能家居传感器,敏感元件 + 无线通信模块 + 数据处理电路,设备层、控制层、用户层,小米科技,混合式,小米社区,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换电路 + 信号调理电路,采集层、分析层、报告层,环境检测技术,集成式,环保部,http://www.mee.gov.cn/,2024-09-14,,,,,,,,,,,,
生物气体传感器,生物敏感元件 + 微处理器,检测层、数据层,医疗生命科学,模块式,生物医学研究,https://www.biomedresearch.com/,2024-09-14,,,,,,,,,,,,
金属氧化物传感器,敏感元件 + 模拟转换电路,物理层、数据处理层,半导体技术,混合式,电子科技大学,http://www.uestc.edu.cn/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 输出接口,检测层、通信层,电力系统研究,集成式,电力公司,http://www.sgcc.com.cn/,2024-09-14,,,,,,,,,,,,
脑电波传感器,敏感元件 + 数据采集电路 + 信号处理电路,生物层、分析层,神经科技,模块式,神经科学研究,https://www.neuroscience.org/,2024-09-14,,,,,,,,,,,,
热释电传感器,敏感元件 + 前端信号处理单元,传感层、控制层,自动化控制,集成式,自动化协会,http://www.iaac.org/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 通信模块,环境层、数据层、应用层,未来科技,混合式,未来科技,https://www.wqtech.com/,2024-09-14,,,,,,,,,,,,
光照传感器,光敏元件 + 转换电路 + 数据处理单元,传感层、输出层、界面层,恒瑞照明,集成式,恒瑞照明,https://www.hengruilight.com/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 信号调理电路,硬件层、处理层,气象仪器公司,模块式,气象仪器,http://www.weathertech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 用户接口,感知层、分析层、输出层,清水科技,集成式,清水科技,https://www.qingwatertech.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 处理模块 + 数据记录单元,物理层、信号处理层、输出层,瑞风科技,模块式,环保科技,https://www.envirotech.com/,2024-09-14,,,,,,,,,,,,
UV射线传感器,UV敏感元件 + 信号传递电路,感知层、监测层、输出层,光谱科技,混合式,光谱科技,https://www.spectraltech.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 用于信号调理的电路,传感层、处理层,精密仪器,集成式,精密仪器,http://www.precisioninstruments.com/,2024-09-14,,,,,,,,,,,,
流量传感器,涡轮元件 + 转换电路 + 输出模块,感知层、处理层、输出层,流体科技,模块式,流体科技,https://www.fluidtech.com/,2024-09-14,,,,,,,,,,,,
生物体温传感器,敏感元件 + 微控制器 + 无线传输模块,采集层、分析层、反馈层,健康科技,集成式,健康科技,http://www.healthtech.com/,2024-09-14,,,,,,,,,,,,
电磁场传感器,敏感元件 + 数字处理模块,传感层、信号处理层,电磁系统,混合式,电磁系统,https://www.emsystem.com/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、数据处理层、应用层,华为技术有限公司,集成式,华为技术有限公司,https://www.huawei.com/cn/solutions,2024-09-14,,,,,,,,,,,,
气体检测传感器,敏感元件 + 转换电路 + 显示界面,信号收集层、用户层,安恒信息,模块式,安恒资讯,https://www.anhu.edu.cn/news,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 处理器 + 信号调理电路,传感层、处理层、输出层,清华大学水环境研究所,集成式,清华水研究,https://www.tsinghua.edu.cn/xwgg,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 模拟电路 + 数字接口,采集层、通信层,中兴通讯,集成式,中兴通讯,https://www.zte.com.cn/china/news,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微处理器 + 通信模块,监测层、分析层,华为云,混合式,华为云,https://support.huaweicloud.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 采集电路 + 无线模块,传感层、无线传输层,阿里云,模块式,阿里云,https://www.aliyun.com/product,2024-09-14,,,,,,,,,,,,
燃气传感器,敏感元件 + 转换器 + 显示及报警系统,探测层、响应层,新大陆科技,集成式,新大陆科技,http://www.inspur.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理电路,数据采集层、算法处理层,小米科技,集成式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
穿戴式生物传感器,敏感元件 + 微处理器 + 无线通信模块,数据采集层、应用层,Fitbit,模块式,Fitbit官网,https://www.fitbit.com/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 处理电路 + 可视化界面,物理层、用户交互层,恩智浦半导体,混合式,恩智浦半导体,https://www.nxp.com/,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 信号调理电路 + 网络连接模块,感知层、数据层、服务层,信华科技,集成式,信华科技,https://www.sensorytech.com,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 转换器 + 数字接口,检测层、处理层、通信层,水务科技,模块式,水务科技,https://www.watertech.com/products,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数据处理器 + 输出电路,监测层、判断层、决策层,斯达尔传感器,混合式,斯达尔传感器,https://www.stalarm.com/solutions,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 激光发射器 + 信号处理单元,激光层、处理层、输出层,光测科技,集成式,光测科技,https://www.lasermeasure.com/news,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 温度调节模块 + 处理单元,采集层、分析层、反馈层,热能技术,集成式,热能技术,https://www.thermaltech.com/products,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 无线模块,感知层、数据传输层、应用层,农业科技,模块式,农业科技,https://www.agritech.com/news,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 处理模块 + 通信单元,观测层、分析层、发布层,气象监测,集成式,气象监测,https://www.weathermonitoring.com/products,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理器 + 数据传输模块,采集层、处理层、输出层,水环境保护,混合式,水环境保护,https://www.waterqualitymonitoring.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理器 + 输出单元,传感层、控制层、报告层,电力系统,集成式,电力系统,https://www.powerinfrastructure.com,2024-09-14,,,,,,,,,,,,
智能气体检测传感器,敏感元件 + 智能算法芯片 + 通信模块,识别层、处理层、警报层,智能安全,模块式,智能安全,https://www.smartsafety.com,2024-09-14,,,,,,,,,,,,
紫外线传感器,敏感元件 + 数字处理单元 + 通信模块,采集层、传输层、应用层,华为技术有限公司,集成式,华为开发者社区,https://developer.huawei.com/consumer/cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 信号调理电路 + 无线模块,物理层、数据分析层、应用层,进行农业科技有限公司,模块式,进行农业科技,https://www.agri-tech.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 微控制器 + 输出电路,传感层、处理层、反馈层,德州仪器,集成式,德州仪器官网,https://www.ti.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 模拟电路 + 处理单元,信号采集层、处理层,光宝科技,混合式,光宝科技,https://www.liteon.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据转换器 + 通信接口,数据采集层、传输层、展示层,水清源环保科技,模块式,水清源环保科技,http://www.waterclean.com.cn/,2024-09-14,,,,,,,,,,,,
车辆速度传感器,敏感元件 + 信号调理电路 + 输出模块,采集层、反馈层,车联网技术研究中心,集成式,车联网研究机构,http://www.vehiclenet.org/,2024-09-14,,,,,,,,,,,,
降噪传感器,敏感元件 + 噪声处理模块 + 输出接口,数据采集层、处理层、反馈层,音安科技,集成式,音安科技,https://www.audioquiet.com/,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 转换器 + 控制单元,物理层、处理层,全国热能中心,混合式,热能中心,http://www.thermotech.org/,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 信号处理芯片 + 通信模块,采集层、数据层、应用层,水务科技,模块式,水务科技,http://www.watertech.com/,2024-09-14,,,,,,,,,,,,
摩擦传感器,敏感元件 + 处理器 + 输出电路,信号采集层、分析层,智能材料研究院,集成式,智能材料研究院,http://www.smartmaterials.org/,2024-09-14,,,,,,,,,,,,
光谱传感器,敏感元件 + 数字处理器 + 信号接口电路,传感层、分析层、应用层,华为技术有限公司,集成式,华为技术官方,https://www.huawei.com/cn/technology,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 模拟输出模块,采集层、信号处理层、输出层,中科院水环境研究所,模块式,科学网,http://www.sciencenet.cn/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路 + 数据解析单元,物理层、控制层、数据层,欧姆龙,混合式,欧姆龙官网,https://www.omron.com.cn/,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 信号处理器 + 通信接口,触发层、传输层、响应层,台积电,集成式,台积电官网,https://www.tsmc.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 射频模块 + 解调电路,发送层、接收层、分析层,艾默生电气,模块式,艾默生官网,https://www.emerson.com/zh-cn,2024-09-14,,,,,,,,,,,,
速度传感器,敏感元件 + 信号调理 + 动态分析单元,信号采集层、信号分析层,芝麻科技,集成式,芝麻科技,https://www.zhimatech.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 微控制器 + 反馈电路,感知层、控制层、应用层,飞思卡尔半导体,混合式,飞思卡尔官网,https://www.nxp.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号处理器 + 远程监控模块,检测层、处理层、输出层,博世传感器,模块式,博世官网,https://www.bosch.com/,2024-09-14,,,,,,,,,,,,
二氧化碳传感器,敏感元件 + 数据处理单元 + 通讯模块,采集层、分析层、输出层,强生医学,集成式,强生医疗,https://www.jnj.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 转换电路 + 记录单元,采集层、控制层、输出层,气象局科技中心,模块式,中国气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
