传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,功能码（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
胸带传感器,化学传感器,GL-019,/dev/gasdetect,高,,数字,I2C,MQTT,安全监测,https://www.safetymonitoring.com,2024-09-14,,,,,,,,
医用血糖传感器,化学传感器,QM-012,/dev/gas_quality,高,6,模拟,UART,CoAP,城市空气监测,https://www.airqualitynews.com,2024-09-14,,,,,,,,
智能手表传感器,化学传感器,GQ-018,/dev/gas_quality,中,5,模拟,UART,HTTP,智能城市,https://www.smartcitytech.com,2024-09-14,,,,,,,,
智能体温传感器,化学传感器,QS-012,/dev/airquality,中,,模拟,UART,HTTP,城市监测,https://www.citymonitor.com,2024-09-14,,,,,,,,
指纹传感器,化学传感器,BG-017,/dev/biogas,高,16,模拟,SPI,CoAP,可再生能源监测,https://www.renewables.com,2024-09-14,,,,,,,,
面部识别传感器,化学传感器,BG-017,/dev/biogas,中,5,数字,SPI,HTTP,环保监测,https://www.envmon.com/,2024-09-14,,,,,,,,
位置传感器,化学传感器,WQ-015,/dev/water_quality,高,1,数字,I2C,MQTT,水资源监测,https://www.waterquality.org,2024-09-14,,,,,,,,
LED光传感器,化学传感器,QS-011,/dev/water,中,1,模拟,SPI,HTTP,水处理设施,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-09-14,,,,,,,,
LED照明传感器,化学传感器,WS-013,/dev/waterquality,高,1,数字,I2C,MQTT,水资源管理,https://www.watermonitoring.com,2024-09-14,,,,,,,,
RFID传感器,化学传感器,WS-012,/dev/waterquality,高,2,模拟,UART,HTTP,水资源管理,https://www.watermonitoring.org/,2024-09-14,,,,,,,,
UV光传感器,化学传感器,WS-016,/dev/water_quality,中,2,模拟,I2C,MQTT,水质监控,https://www.waterqualitymonitoring.com,2024-09-14,,,,,,,,
便携式温度传感器,化学传感器,QS-016,/dev/water,高,2,数字,I2C,MQTT,水资源管理,https://www.waterquality.com/products/water-quality-sensors,2024-09-14,,,,,,,,
超声波传感器,化学传感器,WQ-013,/dev/water_quality,中,3,模拟,UART,MQTT,水资源管理,http://www.waterquality.com,2024-09-14,,,,,,,,
超声波距离传感器,化学传感器,WS-015,/dev/water_quality,中,3,模拟,UART,HTTP,环境监测,https://www.environmentalprotectionagency.gov/,2024-09-14,,,,,,,,
触觉传感器,化学传感器,WS-011,/dev/water,中,3,模拟,SPI,CoAP,水处理,https://www.waterquality.com/,2024-09-14,,,,,,,,
触摸传感器,化学传感器,WQ-017,/dev/water_quality,高,3,模拟,SPI,MQTT,水资源监测,https://www.waterquality.org,2024-09-14,,,,,,,,
磁场传感器,化学传感器,WS-013,/dev/water_quality,中,3,模拟,I2C,MQTT,环境监测,https://www.envirotech.com,2024-09-14,,,,,,,,
磁场传感器（改良版）,化学传感器,WQ-017,/dev/water_quality,高,3,模拟,UART,CoAP,环境监测,https://www.waterquality.com,2024-09-14,,,,,,,,
磁力传感器,化学传感器,QS-012,/dev/water_quality,高,3,模拟,UART,CoAP,环保监测,https://www.environment.gov/,2024-09-14,,,,,,,,
导航传感器,化学传感器,WS-016,/dev/waterquality,高,3,模拟,I2C,MQTT,水资源监测,https://www.waterquality.com,2024-09-14,,,,,,,,
电池电压传感器,化学传感器,WS-013,/dev/water_quality,高,3,数字,SPI,CoAP,水资源管理,https://www.waterquality.org,2024-09-14,,,,,,,,
电磁波传感器,化学传感器,QS-016,/dev/waterQuality,中,15,模拟,UART,HTTP,水资源监测,https://www.hydrology.com/,2024-09-14,,,,,,,,
电磁场传感器,化学传感器,QS-012,/dev/waterquality,高,15,模拟,UART,HTTP,环境监测,https://www.eco.gov,2024-09-14,,,,,,,,
电磁传感器,化学传感器,WS-013,/dev/waterquality,中,15,数字,I2C,MQTT,水处理,https://www.waterworld.com/,2024-09-14,,,,,,,,
电动机振动传感器,化学传感器,QS-014,/dev/water_quality,中,16,模拟,SPI,CoAP,污水处理,https://www.epa.gov/,2024-09-14,,,,,,,,
电流传感器,化学传感器,QS-012,/dev/water_quality,高,16,数字,UART,CoAP,环境监测,https://www.environment.gov,2024-09-14,,,,,,,,
电压传感器,化学传感器,WS-010,/dev/water,中,16,数字,I2C,MQTT,水处理厂,https://www.watertech.com,2024-09-14,,,,,,,,
风速传感器,化学传感器,WQ-014,/dev/water_quality,高,16,模拟,SPI,CoAP,水资源管理,https://www.waterresource.com/,2024-09-14,,,,,,,,
负载传感器,化学传感器,QS-015,/dev/water_quality,中,16,数字,SPI,CoAP,水源监控,https://www.environmentalmonitor.com,2024-09-14,,,,,,,,
高度传感器,化学传感器,QS-014,/dev/water_quality,高,16,数字,SPI,CoAP,环境监测,https://www.waterquality.com,2024-09-14,,,,,,,,
光传感器,化学传感器,QS-012,/dev/waterquality,高,16,模拟,SPI,CoAP,环境监测,https://www.environmentalmonitoring.com,2024-09-14,,,,,,,,
光电传感器,化学传感器,WQ-015,/dev/water,中,16,数字,UART,CoAP,水质监测,https://www.worldwaterday.org/,2024-09-14,,,,,,,,
光辐射传感器,化学传感器,WS-010,/dev/water_quality,高,6,数字,I2C,MQTT,水质监测,https://www.environmentalmonitoring.com,2024-09-14,,,,,,,,
光敏传感器,化学传感器,WQ-011,/dev/waterquality,中,6,数字,I2C,MQTT,水务管理,https://www.waterqualitymonitoring.com/,2024-09-14,,,,,,,,
光强传感器,化学传感器,WS-015,/dev/water_quality,高,6,模拟,UART,CoAP,生态监测,https://www.ecosystems.com,2024-09-14,,,,,,,,
光纤传感器,化学传感器,QS-012,/dev/water-quality,高,6,数字,UART,HTTP,环境监测,https://www.environmental-monitoring.com/,2024-09-14,,,,,,,,
光线传感器,化学传感器,QS-014,/dev/water_quality,中,6,模拟,I2C,HTTP,环境监测,https://www.environment.com/,2024-09-14,,,,,,,,
光纤温度传感器,化学传感器,QS-011,/dev/waterqual,中,6,模拟,UART,HTTP,水处理设施,http://www.watertreatment.org,2024-09-14,,,,,,,,
光学传感器,化学传感器,WQ-015,/dev/water_quality,中,6,模拟,SPI,HTTP,水资源管理,http://www.waterqualitydata.us/,2024-09-14,,,,,,,,
光照传感器,化学传感器,WQ-013,/dev/water_quality,高,6,数字,I2C,MQTT,自来水公司,https://www.waterquality.org,2024-09-14,,,,,,,,
光照度传感器,化学传感器,QS-014,/dev/waterquality,中,5,数字,I2C,MQTT,水体监测,https://www.waterquality.com/sensors,2024-09-14,,,,,,,,
光照强度传感器,化学传感器,QS-012,/dev/waterQuality,高,5,模拟,UART,HTTP,环境监测,https://www.environmentalprotectionagency.com/,2024-09-14,,,,,,,,
惯性测量单元,化学传感器,QS-017,/dev/water_quality,高,5,数字,SPI,CoAP,环境监测,https://www.environmentaltech.com,2024-09-14,,,,,,,,
海洋传感器,化学传感器,WQ-013,/dev/water_quality,高,5,数字,I2C,MQTT,水质监测,https://www.waterquality.com,2024-09-14,,,,,,,,
海洋水位传感器,化学传感器,WS-012,/dev/water_quality,高,5,模拟,UART,HTTP,水资源监测,https://www.waterquality.gov,2024-09-14,,,,,,,,
毫米波传感器,化学传感器,WQ-014,/dev/waterquality,高,5,数字,UART,MQTT,水务公司,https://www.waterquality.org,2024-09-14,,,,,,,,
红外传感器,化学传感器,WS-012,/dev/waterquality,高,4,数字,I2C,CoAP,环保监测,https://www.environment.gov.au/water,2024-09-14,,,,,,,,
红外温度传感器,化学传感器,QS-018,/dev/water-quality,中,2,模拟,I2C,MQTT,水资源监测,https://www.waterresources.org,2024-09-14,,,,,,,,
红外线传感器,化学传感器,WS-012,/dev/water_quality,高,16,模拟,UART,HTTP,水处理设施,https://www.waterquality.org/,2024-09-14,,,,,,,,
环境光传感器,化学传感器,QS-017,/dev/waterquality,高,2,模拟,SPI,CoAP,环保监测,https://www.environmentalmonitoring.com,2024-09-14,,,,,,,,
加速度传感器,化学传感器,WQ-011,/dev/water_quality,中,16,数字,UART,CoAP,水质监测站,https://www.waterquality.org/,2024-09-14,,,,,,,,
加速度计传感器,化学传感器,QS-011,/dev/water_quality,中,6,模拟,UART,HTTP,水务管理,https://www.watermanagement.com,2024-09-14,,,,,,,,
结构健康传感器,化学传感器,WS-018,/dev/waterquality,高,5,模拟,UART,HTTP,水处理,https://www.water.org/,2024-09-14,,,,,,,,
距离传感器,化学传感器,GH-017,/dev/ghg,高,1,数字,I2C,MQTT,环保监测,https://www.climateaction.com/,2024-09-14,,,,,,,,
具有温度补偿的压力传感器,化学传感器,GH-016,/dev/ghg,高,15,模拟,I2C,MQTT,环境监测,https://www.climatechange.gov,2024-09-14,,,,,,,,
距阵传感器,化学传感器,GHG-017,/dev/ghg,中,15,数字,I2C,MQTT,气候研究,https://www.climatechange.gov.au/,2024-09-14,,,,,,,,
蓝牙温度传感器,化学传感器,GH-019,/dev/greenhousegas,高,16,数字,UART,HTTP,气候变化监测,https://www.climate.com,2024-09-14,,,,,,,,
雷达传感器,化学传感器,GH-017,/dev/ghg,中,16,模拟,UART,HTTP,气候研究,https://www.climatescience.org/,2024-09-14,,,,,,,,
邻近感应传感器,化学传感器,LD-017,/dev/leak,高,16,数字,UART,HTTP,安全监测,https://www.safetytech.com,2024-09-14,,,,,,,,
流量传感器,化学传感器,PM-016,/dev/pm,高,6,数字,UART,MQTT,空气质量监测,https://www.airquality.com,2024-09-14,,,,,,,,
模块化传感器,化学传感器,OS-018,/dev/oxygen,高,1,模拟,SPI,CoAP,室内环境,https://www.environment.com/sensors,2024-09-14,,,,,,,,
霓虹传感器,化学传感器,OS-010,/dev/oxygen,中,1,数字,I2C,MQTT,医疗监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-09-14,,,,,,,,
频谱传感器,化学传感器,OS-011,/dev/oxygen,高,3,数字,I2C,HTTP,医疗机构,https://www.medicaldevices.com,2024-09-14,,,,,,,,
频率传感器,化学传感器,O2-019,/dev/oxygen,高,15,模拟,SPI,CoAP,医疗应用,https://www.medical-sensors.com,2024-09-14,,,,,,,,
气流传感器,化学传感器,OS-017,/dev/oxygen,高,15,模拟,UART,HTTP,医疗设备,https://www.medicaldevices.com,2024-09-14,,,,,,,,
气温变化传感器,化学传感器,O2-016,/dev/oxygen,中,16,模拟,SPI,CoAP,工业安全,https://www.industrysafety.com/,2024-09-14,,,,,,,,
气温传感器,化学传感器,O2-015,/dev/oxygen,高,16,数字,UART,HTTP,呼吸监测,https://www.healthtech.com,2024-09-14,,,,,,,,
气象传感器,化学传感器,O2-018,/dev/oxygen,中,16,数字,UART,HTTP,环境监测,https://www.environmental.com/,2024-09-14,,,,,,,,
气象监测传感器,化学传感器,OS-018,/dev/oxygen,高,16,模拟,SPI,CoAP,医疗监测,https://www.medicaldevices.com,2024-09-14,,,,,,,,
气象雷达传感器,化学传感器,OS-016,/dev/oxygen,高,16,数字,I2C,CoAP,工业气体监测,https://www.gasmonitoring.com/,2024-09-14,,,,,,,,
气压传感器,化学传感器,OS-012,/dev/oxygen,高,6,模拟,UART,HTTP,医疗设备,https://www.medicaldevices.com,2024-09-14,,,,,,,,
人体红外传感器,化学传感器,OS-014,/dev/oxygen,中,5,模拟,UART,HTTP,医疗设备,https://www.medicaltech.com,2024-09-14,,,,,,,,
人体运动传感器,化学传感器,OS-011,/dev/oxygen,中,1,模拟,UART,MQTT,环境保护,https://www.environmentalprotection.org,2024-09-14,,,,,,,,
热成像传感器,化学传感器,SS-017,/dev/salinity,高,16,数字,I2C,MQTT,水质研究,https://www.saltwater.com,2024-09-14,,,,,,,,
热量传感器,化学传感器,FS-017,/dev/smoke,高,1,数字,UART,HTTP,安全监控,https://www.safety.com,2024-09-14,,,,,,,,
热流传感器,化学传感器,SS-014,/dev/smoke,高,1,模拟,UART,HTTP,安全系统,https://www.safety.com/sensors,2024-09-14,,,,,,,,
声波传感器,化学传感器,FS-013,/dev/smoke,中,1,数字,UART,HTTP,安全系统,https://www.safetyfirst.com/,2024-09-14,,,,,,,,
声级传感器,化学传感器,FS-015,/dev/smoke,高,1,数字,UART,HTTP,消防安全,https://www.nfpa.org/,2024-09-14,,,,,,,,
声压传感器,化学传感器,SMK-014,/dev/smoke,高,2,数字,UART,HTTP,安全监控,https://www.safety.com,2024-09-14,,,,,,,,
声音传感器,化学传感器,FS-013,/dev/smoke,高,2,数字,I2C,MQTT,消防报警系统,https://www.firealarmsystem.com,2024-09-14,,,,,,,,
湿度传感器,化学传感器,SS-010,/dev/smoke,高,3,数字,I2C,MQTT,火灾预警系统,https://www.fireprotection.com/,2024-09-14,,,,,,,,
湿度温度传感器,化学传感器,SS-011,/dev/smoke,中,3,模拟,UART,MQTT,安全监控,https://www.smokealarms.com,2024-09-14,,,,,,,,
水流传感器,化学传感器,SS-011,/dev/smoke,中,3,数字,SPI,CoAP,消防安全,https://www.firechief.com/,2024-09-14,,,,,,,,
水流量传感器,化学传感器,SS-015,/dev/smoke,中,3,数字,SPI,MQTT,安全监控,https://www.safetyproducts.com,2024-09-14,,,,,,,,
水位传感器,化学传感器,SS-017,/dev/smoke,高,15,数字,UART,MQTT,安全监测,https://www.safety.com,2024-09-14,,,,,,,,
速度传感器,化学传感器,SM-013,/dev/smoke,中,15,模拟,I2C,MQTT,消防系统,https://www.fireinfo.com,2024-09-14,,,,,,,,
铁路轨道传感器,化学传感器,FS-010,/dev/smoke,高,15,数字,I2C,MQTT,消防安全,https://www.tuya.com/cn/safety-solutions.html,2024-09-14,,,,,,,,
土壤 moisture 传感器,化学传感器,FS-012,/dev/smoke,高,16,模拟,UART,HTTP,安全系统,https://www.safety.com,2024-09-14,,,,,,,,
土壤水分传感器,化学传感器,SS-011,/dev/smoke,中,16,数字,SPI,HTTP,火灾预警系统,https://www.iotworld.com/,2024-09-14,,,,,,,,
网络摄像头传感器,化学传感器,SMK-019,/dev/smoke,中,16,模拟,I2C,MQTT,安防系统,https://www.smokealarms.com/,2024-09-14,,,,,,,,
网络湿度传感器,化学传感器,SS-017,/dev/smoke,高,6,模拟,UART,HTTP,家庭安全,https://www.fireprotection.com,2024-09-14,,,,,,,,
位移传感器,化学传感器,SS-014,/dev/smoke_sensor,高,6,数字,SPI,HTTP,智能家居,https://www.smartliving.com/,2024-09-14,,,,,,,,
温度传感器,化学传感器,SS-010,/dev/smoke,高,6,数字,I2C,MQTT,火灾监测,https://www.fire-safety.com/,2024-09-14,,,,,,,,
温度监测器,化学传感器,SS-013,/dev/smoke,中,6,数字,I2C,MQTT,安全监控,https://www.smokedetectors.com,2024-09-14,,,,,,,,
温度湿度传感器,化学传感器,FS-012,/dev/smoke,高,6,数字,SPI,CoAP,安全监控,https://www.safety.com/,2024-09-14,,,,,,,,
温度数据记录仪,化学传感器,SS-010,/dev/smoke,高,6,数字,I2C,MQTT,火灾预警系统,https://www.firetect.com/,2024-09-14,,,,,,,,
纹理传感器,化学传感器,FS-010,/dev/smoke,中,6,数字,I2C,MQTT,消防设备,https://www.fireprotection.com,2024-09-14,,,,,,,,
温湿度传感器,化学传感器,SS-010,/dev/smoke,高,5,数字,I2C,MQTT,消防系统,https://www.tuya.com/,2024-09-14,,,,,,,,
温湿度复合传感器,化学传感器,SS-016,/dev/smoke,高,5,数字,I2C,MQTT,安全监控,https://www.safety.com/,2024-09-14,,,,,,,,
温湿度一体传感器,化学传感器,SM-016,/dev/smoke,高,5,数字,I2C,MQTT,安防系统,https://www.securitytech.com,2024-09-14,,,,,,,,
无线加速度传感器,化学传感器,SMK-019,/dev/smoke,高,4,数字,UART,HTTP,消防安全,https://www.firesecurity.org,2024-09-14,,,,,,,,
