评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子比特稳定性,小时,2023-06-30,QBITSTAB-2023-005,自然科学,https://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子传输速率,Gbit/s,2023-10-01,QTRAN-2023-006,清华大学量子研究所,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,,,,,
量子网络连接数量,个,2023-09-20,QNETCONN-2023-007,中国量子通信大会,http://www.qccn.org,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz,2023-07-15,QSENS-2023-008,先进传感技术,https://www.advancedsensing.com,2024-10-21,,,,,,,,,,,,,
多层量子网络的拓展性,%,2023-08-05,EXPAND-2023-009,量子工程进展,https://www.qprogress.com,2024-10-21,,,,,,,,,,,,,
量子计算系统可靠性,%,2023-10-12,QUL-2023-010,IEEE量子研究,https://www.ieee.org,2024-10-21,,,,,,,,,,,,,
量子纠缠生成率,个/分钟,2023-09-15,ENTANGLE-2023-008,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,项,2022-11-05,ALGO-2022-009,IEEE Quantum,https://quantum.ieee.org/,2024-10-21,,,,,,,,,,,,,
量子密钥分发可用性,%,2023-07-12,QKD-2023-010,光纤通信,http://www.fiberoptics.com/,2024-10-21,,,,,,,,,,,,,
量子计算机性能指数,分,2023-01-28,QCPI-2023-011,麻省理工学院,https://www.mit.edu/,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-05-20,FIDELITY-2023-012,自然杂志,https://www.nature.com/,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-08-16,DELAY-2023-013,量子国际,http://www.quantuminternational.com/,2024-10-21,,,,,,,,,,,,,
量子计算机处理能力,GFlops,2022-12-30,POWER-2022-014,科学美国人,https://www.scientificamerican.com/,2024-10-21,,,,,,,,,,,,,
量子算法开发数,个,2023-04-21,DEVELOP-2023-015,前沿科学,http://www.frontierscience.com/,2024-10-21,,,,,,,,,,,,,
量子错误校正率,%,2021-10-11,EC-2021-016,计算机科学家,https://www.computerscience.com/,2024-10-21,,,,,,,,,,,,,
量子通信传输速率,Gbps,2023-03-09,RATE-2023-017,电子技术应用,http://www.elecfans.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2022-09-15,ENTANGLE-2022-008,量子科学前沿,https://www.qscifrontier.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,倍,2023-01-25,ALGORITHM-2023-009,计算机科学杂志,https://www.compscijournal.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-03-10,QKD-2023-010,国际量子通信论坛,https://www.qcf.org,2024-10-21,,,,,,,,,,,,,
量子态制备时间,秒,2023-07-19,STATES-2023-011,物理学报,https://www.physrev.com,2024-10-21,,,,,,,,,,,,,
量子计算机运行时长,小时,2022-12-05,RUNTIME-2022-012,科技日报,https://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子噪声指标,dB,2023-05-30,NOISE-2023-013,电子工程师,https://www.electronicsengineer.com,2024-10-21,,,,,,,,,,,,,
量子计算芯片良率,%,2023-08-21,YIELD-2023-014,半导体产业网,https://www.semiindustry.com,2024-10-21,,,,,,,,,,,,,
量子错误校正成功率,%,2022-11-18,ERRORCORR-2022-015,量子信息与计算,https://www.qic.org,2024-10-21,,,,,,,,,,,,,
量子比特使用效率,%,2023-09-12,EFFICACY-2023-016,全球量子技术展,https://www.quantumtechshow.com,2024-10-21,,,,,,,,,,,,,
量子计算能力,FLOPS,2023-10-01,QCAPACITY-2023-017,信息技术研究所,https://www.itresearchinstitute.cn,2024-10-21,,,,,,,,,,,,,
量子误差纠正机制,个,2023-08-01,QEC-2023-001,量子科技前沿,http://www.quantumfrontiers.cn,2024-10-21,,,,,,,,,,,,,
量子计算机处理能力,FLOPS,2022-10-15,QCP-2022-002,科学美国人,http://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-07-23,QAE-2023-003,量子计算进展,http://www.quantumprogress.cn,2024-10-21,,,,,,,,,,,,,
量子通信安全性,比特,2021-12-05,QCSEC-2021-004,网络安全论坛,http://www.cybersecurityforum.cn,2024-10-21,,,,,,,,,,,,,
量子技术投资,亿美元,2023-09-12,QTINV-2023-005,投资中国,http://www.investinchina.cn,2024-10-21,,,,,,,,,,,,,
量子计算芯片尺寸,毫米,2021-09-30,QCCS-2021-006,电子工程师,http://www.electronicsengineering.cn,2024-10-21,,,,,,,,,,,,,
量子传感器精度,纳米,2023-06-18,QSP-2023-007,先驱者科技,http://www.pioneertechnology.cn,2024-10-21,,,,,,,,,,,,,
量子网络拓扑结构,节点,2022-11-29,QNT-2022-008,通信科技论坛,http://www.commtechforum.cn,2024-10-21,,,,,,,,,,,,,
量子计算能耗,瓦,2023-10-10,QCE-2023-009,能源科技网,http://www.energytechnetwork.cn,2024-10-21,,,,,,,,,,,,,
量子优化算法应用,个案例,2023-04-15,QOA-2023-010,创新科技周刊,http://www.innovatetechweekly.cn,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2023-07-01,QBT-2023-008,量子科技网,http://www.quantumtech.net,2024-10-21,,,,,,,,,,,,,
量子错误纠正效率,%,2023-08-15,QECC-2023-009,国际量子信息协会,http://www.iqia.org,2024-10-21,,,,,,,,,,,,,
量子算法复杂性,逻辑门,2023-06-05,QAC-2023-010,科学中国,http://www.sciencechina.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发速率,kb/s,2022-11-10,QKD-2022-011,量子网,http://www.quantum-network.com,2024-10-21,,,,,,,,,,,,,
量子存储时间,秒,2023-01-20,QSTORE-2023-012,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-09-12,QFID-2023-013,量子实验室通告,http://www.quantumlabnews.com,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-10-01,QCD-2023-014,中国量子通信研究中心,http://www.cqc.net.cn,2024-10-21,,,,,,,,,,,,,
多粒子干涉效果,个,2023-05-25,MPE-2023-015,物理学前沿,http://www.frontiersinphysics.com,2024-10-21,,,,,,,,,,,,,
量子网络节点数,个,2023-03-15,QNET-2023-016,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,,,,,
量子态操控精度,%,2022-12-30,QSP-2022-017,量子科技前沿,http://www.qft.com,2024-10-21,,,,,,,,,,,,,
量子纠缠生成率,%,2023-01-15,ENTANGLE-2023-008,量子科技发展研究中心,http://www.qtdr.org/research,2024-10-21,,,,,,,,,,,,,
量子密钥分发安全性,%,2023-02-20,QKD-2023-009,国家密码管理局,http://www.nca.gov.cn/secure,2024-10-21,,,,,,,,,,,,,
量子计算机处理能力,万次操作/秒,2023-03-10,QCP-2023-010,科技日报,http://www.stdaily.com/tech,2024-10-21,,,,,,,,,,,,,
量子测量精度,纳米,2023-04-22,MEASPREC-2023-011,科学网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-06-05,QNLD-2023-012,中国信息通信科技集团,http://www.china-telecom.com,2024-10-21,,,,,,,,,,,,,
量子存储比特数,个,2023-07-18,QST-2023-013,国际量子计算联盟,http://www.qc-alliance.org,2024-10-21,,,,,,,,,,,,,
量子沙盘模拟复杂度,个变量,2023-08-25,QSIM-2023-014,Nature 量子科技专刊,http://www.nature.com/naturequantum,2024-10-21,,,,,,,,,,,,,
量子状态保真度,%,2023-09-30,STF-2023-015,中国科学院量子信息技术研究所,http://www.iqi.cas.cn,2024-10-21,,,,,,,,,,,,,
量子算法执行效率,次/秒,2023-10-11,QAE-2023-016,MIT 量子研究所,http://www.mit.edu/qr,2024-10-21,,,,,,,,,,,,,
量子模拟器准确性,%,2023-10-22,QSIMACC-2023-017,美国量子技术研究中心,http://www.qtrc.org,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2023-02-25,ENT-2023-001,量子通信网,http://www.quantum-communication.cn,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,%,2023-03-10,ALGO-2023-002,中国计算机学会,https://www.ccf.org.cn,2024-10-21,,,,,,,,,,,,,
量子干涉实验结果,次,2023-01-15,INTERF-2023-003,物理学报,http://www.physica-china.cn,2024-10-21,,,,,,,,,,,,,
量子隐形传态效率,%,2023-04-18,TELE-2023-004,国际量子信息协会,http://www.iqquantum.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发性能,km,2023-05-22,QKD-2023-005,网络安全博览会,http://www.nsecexpo.com,2024-10-21,,,,,,,,,,,,,
纠错码表征能力,个,2022-11-30,ECC-2022-006,中国科技大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz,2023-06-05,SENS-2023-007,传感器技术论坛,http://www.sensorforum.org,2024-10-21,,,,,,,,,,,,,
量子计算机可靠性,%,2022-07-14,RELI-2022-008,量子技术大会,http://www.quantum-techconf.com,2024-10-21,,,,,,,,,,,,,
量子超级计算能力,TFLOPS,2023-08-01,QCPOWER-2023-009,计算机科学评论,http://www.compsci-reviews.cn,2024-10-21,,,,,,,,,,,,,
量子网络拓扑复杂度,个,2023-09-12,NETTOPO-2023-010,网络科学与工程,http://www.net-science.org.cn,2024-10-21,,,,,,,,,,,,,
量子算法性能,个,2023-09-15,ALGO-2023-008,量子科技日报,http://www.quantumdaily.com,2024-10-21,,,,,,,,,,,,,
纠缠生成速率,对,2023-07-22,ENTANGLE-2023-009,科技前沿,http://www.techfrontier.cn,2024-10-21,,,,,,,,,,,,,
量子状态保真度,%,2023-08-10,FIDELITY-2023-010,国际量子信息论坛,http://www.iqif.org,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-05-30,QDELAY-2023-011,量子通信研究所,http://www.qcresearch.org,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2023-06-28,QCOMP-2023-012,全球科技会议,http://www.globaltechconf.com,2024-10-21,,,,,,,,,,,,,
量子芯片功耗,瓦特,2023-07-15,QPOWER-2023-013,电子技术新闻网,http://www.electronicnews.cn,2024-10-21,,,,,,,,,,,,,
量子测量精度,纳米,2023-07-05,MEASUREPRECISION-2023-014,科学观察,http://www.scienceobserver.cn,2024-10-21,,,,,,,,,,,,,
量子计算程序复杂性,级别,2023-08-01,COMPLEXITY-2023-015,计算机科学研究所,http://www.csresearch.org,2024-10-21,,,,,,,,,,,,,
量子安全通信有效性,%,2023-09-10,SECURITY-2023-016,网络安全周刊,http://www.cybersecurityweekly.com,2024-10-21,,,,,,,,,,,,,
量子计算算法开发人数,人,2023-06-20,DEVNUM-2023-017,量子信息发展报告,http://www.qidevelopmentreport.com,2024-10-21,,,,,,,,,,,,,
量子纠缠态数目,个,2023-07-25,ENTANGLE-2023-001,量子科技日报,http://www.qkdaily.com/,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-08-15,ALGO-2023-002,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子保真度,%,2022-12-10,FIDELITY-2022-003,国际量子通信学会,http://www.iqca.org/,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-09-05,DELAY-2023-004,网络安全与隐私,http://www.cybersecurity.com/,2024-10-21,,,,,,,,,,,,,
量子通信链路数量,个,2023-10-02,LINKS-2023-005,量子信息技术研究中心,http://www.qitrc.org/,2024-10-21,,,,,,,,,,,,,
量子计算机规模,个量子比特,2023-08-22,QBC-2023-006,中国计算机学会,http://www.ccf.org.cn/,2024-10-21,,,,,,,,,,,,,
量子密钥分发率,位/秒,2023-06-30,QKD-2023-007,量子信息网络记者,http://www.qinetwork.cn/,2024-10-21,,,,,,,,,,,,,
量子噪声水平,dB,2022-11-18,NOISE-2022-008,物理学前沿,http://www.frontiersinphysics.com/,2024-10-21,,,,,,,,,,,,,
量子协议实施次数,次,2023-07-12,PROTOCOL-2023-009,通信与信息技术,http://www.cict.org.cn/,2024-10-21,,,,,,,,,,,,,
量子存储延迟,微秒,2023-04-19,STORAGE_DELAY-2023-010,量子技术评论,http://www.qtechreviews.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠生成效率,%,2023-03-10,ENTANGLE-2023-001,物理学日报,https://www.physnews.cn,2024-10-21,,,,,,,,,,,,,
量子通信抗干扰性能,dB,2023-04-12,QCI-2023-002,量子前沿,https://www.quantumfrontier.cn,2024-10-21,,,,,,,,,,,,,
量子比特相干时间,微秒,2023-06-25,COHERENCE-2023-003,自然科学集刊,http://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子计算速度,GFLOPS,2023-07-05,COMPUTE-2023-004,计算机科学与技术,https://www.csresearch.org,2024-10-21,,,,,,,,,,,,,
量子存储延迟,毫秒,2023-08-15,STORAGE-2023-005,华南科技信息网,http://www.scienceinfo.cn,2024-10-21,,,,,,,,,,,,,
量子网络传输速率,Gbps,2023-05-30,NETWORK-2023-006,技术与市场,http://www.techmarket.cn,2024-10-21,,,,,,,,,,,,,
量子测量精度,±值,2023-04-20,MEASUREPRECISION-2023-007,新兴科技周刊,http://www.emergingtechweekly.com,2024-10-21,,,,,,,,,,,,,
量子系统容错能力,%,2022-11-15,FAULTTOLERANCE-2022-008,国际量子论坛,https://www.intlquantumforum.org,2024-10-21,,,,,,,,,,,,,
量子算法演示稳定性,次,2023-07-30,ALGORITHM-2023-009,量子计算期刊,http://www.quantumjournal.com,2024-10-21,,,,,,,,,,,,,
量子信息安全性能,评级,2022-09-10,SECURITY-2022-010,中国网络安全协会,http://www.cac.gov.cn,2024-10-21,,,,,,,,,,,,,
量子态传输效率,%,2023-01-10,QTE-2023-008,量子科学进展,http://www.qsci.net/article?id=583872,2024-10-21,,,,,,,,,,,,,
量子计算机能耗,瓦特,2023-02-14,ECO-2023-009,科技日报,http://www.stdaily.com/news/2023-02/14/205890.html,2024-10-21,,,,,,,,,,,,,
量子算法性能,秒,2022-09-05,QP-2022-010,量子计算研究院,http://www.qcr.ac.cn/research/2022-QP.pdf,2024-10-21,,,,,,,,,,,,,
量子加密协议有效性,次,2023-03-28,QEP-2023-011,中国网络安全,http://www.cybersecurity.cn/quantum/2023-QEP,2024-10-21,,,,,,,,,,,,,
量子纠缠稳定性,小时,2023-07-19,QES-2023-012,量子信息前沿,http://www.qifrontier.com/2023-QES,2024-10-21,,,,,,,,,,,,,
集成量子光子源数量,个,2023-08-01,IQP-2023-013,电子技术杂志,http://www.electronicsmag.com/2023-IQP,2024-10-21,,,,,,,,,,,,,
量子计算性能提升,%,2022-12-12,QCP-2022-014,科学美国人,http://www.scientificamerican.com/2022-QCP,2024-10-21,,,,,,,,,,,,,
多粒子量子态数量,个,2023-02-22,MPQ-2023-015,中国量子信息学会,http://www.qisociety.cn/2023-MPQ,2024-10-21,,,,,,,,,,,,,
量子随机数生成速率,千比特每秒,2023-04-10,QRNG-2023-016,国际量子通讯会议,http://www.iqcc.org/2023-QRNG,2024-10-21,,,,,,,,,,,,,
量子去噪技术有效性,%,2022-10-15,QDN-2022-017,物理学报,http://www.actaphysica.com/2022-QDN,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-09-12,ENT-2023-008,量子技术研究院,http://www.qtechlab.org,2024-10-21,,,,,,,,,,,,,
量子计算效率,FLOPS,2023-08-30,QCE-2023-009,科学与技术新闻,http://www.sci-technews.com,2024-10-21,,,,,,,,,,,,,
量子通信安全级别,bit,2023-07-20,QCOMSEC-2023-010,国际安全会议,http://www.internationalsecurity.com,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2023-06-15,QCNUM-2023-011,量子计算创业网,http://www.qcstartup.org,2024-10-21,,,,,,,,,,,,,
量子网络中继节点,个,2023-05-25,QNETNODE-2023-012,中国网络技术协会,http://www.cnta.org,2024-10-21,,,,,,,,,,,,,
量子纠缠光子数量,个,2023-04-10,E_ENTPHOTON-2023-013,量子光学论坛,http://www.qopticsforum.com,2024-10-21,,,,,,,,,,,,,
量子算法运行时间,毫秒,2023-03-22,QALGO-2023-014,计算机科学技术杂志,http://www.cstjournal.com,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2023-02-17,QSIMPREC-2023-015,量子模拟科技会议,http://www.qsimconference.com,2024-10-21,,,,,,,,,,,,,
量子存储容量,TB,2023-01-30,QSTORAGE-2023-016,中国科技发展网,http://www.cstd.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发速率,Mbps,2022-12-10,QKD-2022-017,现代通信研究,http://www.moderncommresearch.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2023-07-15,QBT-2023-001,量子科技网,http://www.quantumtech.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠数量,对,2023-08-05,ENT-2023-002,量子计算论坛,http://www.qcforum.org,2024-10-21,,,,,,,,,,,,,
量子算法性能,%,2023-09-01,ALGO-2023-003,科学网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,,,,,
量子通信保密性,比特,2023-09-20,QCOMM-2023-004,中国量子通信研究院,http://www.qci-institute.cn,2024-10-21,,,,,,,,,,,,,
量子计算机稳定性,小时,2023-10-10,STABILITY-2023-005,量子计算先锋,http://www.quantumpioneer.com,2024-10-21,,,,,,,,,,,,,
量子系统耗能,瓦特,2023-10-20,POWER-2023-006,清华大学量子研究中心,http://www.tsinghua.edu.cn/quantum,2024-10-21,,,,,,,,,,,,,
量子噪声水平,分贝,2023-11-01,NOISE-2023-007,国际量子通信大会,http://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-11-10,LATENCY-2023-008,IEEE量子会议,http://www.ieee.org/quantech,2024-10-21,,,,,,,,,,,,,
量子算法可扩展性,%,2023-11-15,SCALABILITY-2023-009,自然科学进展,http://www.natureprogress.cn,2024-10-21,,,,,,,,,,,,,
量子数据传输速率,吉比特每秒,2023-11-20,DATA-2023-010,中国量子计算商会,http://www.cqcc.org,2024-10-21,,,,,,,,,,,,,
量子纠缠距离,公里,2023-03-12,ENTANGLE-2023-008,量子科技快讯,http://www.quantumnews.cn/,2024-10-21,,,,,,,,,,,,,
量子计算精度,%,2023-02-20,ACCURACY-2023-009,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子算法效率,次/秒,2023-08-05,ALGO-2023-010,中国计算机学会,https://www.ccf.org.cn/,2024-10-21,,,,,,,,,,,,,
量子设备稳定性,小时,2023-07-18,STABILITY-2023-011,自然科学周刊,https://www.nature.com/,2024-10-21,,,,,,,,,,,,,
纠错率,%,2023-09-30,ERRRATE-2023-012,中国物理学会,http://www.cps-net.org/,2024-10-21,,,,,,,,,,,,,
量子密钥生成速率,兆位/秒,2023-10-10,KEYRATE-2023-013,信息安全与通信,http://www.iscjournal.org/,2024-10-21,,,,,,,,,,,,,
量子网络拓扑,个节点,2023-11-01,TOPOLOGY-2023-014,央视网科技,https://tech.cctv.com/,2024-10-21,,,,,,,,,,,,,
量子传感器精度,纳米,2023-10-15,SENSORACCURACY-2023-015,科学网,http://www.sciencenet.cn/,2024-10-21,,,,,,,,,,,,,
量子计算机冷却速度,分钟,2022-12-25,COOLING-2022-016,量子计算研究中心,http://www.qcrc.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子比特寻址速度,微秒,2023-05-30,ADDRATE-2023-017,电子技术应用,http://www.electronicsapp.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠深度,米,2022-01-15,ENTANGLE-2022-008,量子通讯杂志,http://www.quantumjournal.org,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2022-06-27,ALG-2022-009,中国物理快报,http://www.cpab.cn,2024-10-21,,,,,,,,,,,,,
量子相干时间,微秒,2023-03-12,COHERENCE-2023-010,自然科学杂志,http://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子体积,立方米,2023-08-01,QVOL-2023-011,科学进展,http://www.scienceadvances.org,2024-10-21,,,,,,,,,,,,,
量子干涉效果,%,2023-09-25,INTERFERENCE-2023-012,量子通信论坛,http://www.quantumnetforum.org,2024-10-21,,,,,,,,,,,,,
量子信道容量,比特/秒,2022-11-10,CHANNEL-2022-013,电子信息科学,http://www.electronicscience.org,2024-10-21,,,,,,,,,,,,,
抗干扰能力,%,2023-07-19,NOISE-2023-014,物理学报,http://www.cphys.cn,2024-10-21,,,,,,,,,,,,,
量子计算机运行温度,开尔文,2023-04-11,TEMP-2023-015,科技前沿,http://www.sciencefrontiers.org,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2022-10-05,DELAY-2022-016,国际量子技术会议,http://www.quantumtechnology.org,2024-10-21,,,,,,,,,,,,,
量子技术市场价值,亿美元,2023-09-30,MARKETVALUE-2023-017,市场研究报告,http://www.marketresearchreports.com,2024-10-21,,,,,,,,,,,,,
量子干涉实验,次,2022-11-05,INTERF-2022-008,物理学报,http://www.physicspaper.cn/,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-01-12,ALGO-2023-009,计算机科学前沿,http://www.froniersincomputersci.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠测量,个对,2023-03-20,ENTANGLE-2023-010,国际量子通信会议,http://www.qcom2023.org/,2024-10-21,,,,,,,,,,,,,
量子信道容量,比特/秒,2023-04-28,CHANNEL-2023-011,信息与计算科学期刊,http://www.journalofics.com/,2024-10-21,,,,,,,,,,,,,
量子误差校正率,%,2023-06-15,ERRCORRECT-2023-012,IEEE量子科技期刊,http://www.ieee.org/quantumresearch,2024-10-21,,,,,,,,,,,,,
量子信息处理速度,微秒,2023-08-09,QIP-2023-013,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子隐形传态实验,次,2022-12-30,TELEPORT-2022-014,自然科技,http://www.nature.com/nature/,2024-10-21,,,,,,,,,,,,,
量子计算机部署数量,台,2023-07-18,DEPLOY-2023-015,清华大学量子研究中心,http://www.qrc.tsinghua.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-09-05,QKD-2023-016,物联网杂志,http://www.iotjournal.com/,2024-10-21,,,,,,,,,,,,,
量子模拟器性能评估,%,2023-10-14,QSIM-2023-017,计算机与应用化学,http://www.cacjournal.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠程度,个,2022-02-15,ENTANGLE-2022-008,量子计算期刊,https://www.quantumjournal.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,次,2022-07-21,ALGORITHM-2022-009,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子通信安全等级,个,2023-03-30,QCSAFE-2023-010,国际密码学会,https://www.iacr.org,2024-10-21,,,,,,,,,,,,,
量子计算机处理能力,FLOPS,2023-04-10,QCOMP-2023-011,量子信息研究所,https://www.qi-research.org,2024-10-21,,,,,,,,,,,,,
量子网络传输速度,Gbps,2023-08-05,QTNSPEED-2023-012,电子工程专辑,https://www.eet-china.com,2024-10-21,,,,,,,,,,,,,
量子比特容错率,%,2023-09-15,FERROR-2023-013,自然科学期刊,https://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子机器学习模型准确率,%,2023-10-20,QML-2023-014,人工智能研究院,https://www.ai-research.org,2024-10-21,,,,,,,,,,,,,
量子加密算法测试结果,份,2023-11-12,QCRYPT-2023-015,信息安全杂志,https://www.infosec-journal.com,2024-10-21,,,,,,,,,,,,,
量子芯片生产工艺,项,2024-01-05,QCHIP-2024-016,半导体国际,https://www.semiconductorinternational.com,2024-10-21,,,,,,,,,,,,,
量子网络节点数量,个,2024-02-25,QNETNODES-2024-017,量子科技网,https://www.quantumtechnology.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发数量,个,2023-09-10,QKD-2023-001,量子通讯研究所,http://www.qcrinstitute.org.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠对数,对,2023-08-05,ENT-2023-002,中国科学院量子信息中心,http://www.casl.qi.ac.cn,2024-10-21,,,,,,,,,,,,,
量子计算系统的稳定性,%,2023-09-15,STABILITY-2023-003,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子算法运行效率,秒,2023-10-01,QALGO-2023-004,计算机科学与技术,http://www.cstj.org,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,μs,2023-05-12,SENSOR-2023-005,物理学报,http://www.aps.org,2024-10-21,,,,,,,,,,,,,
实际量子线程数量,条,2023-07-20,QT-2023-006,量子技术前沿,http://www.qttechnologyhub.com,2024-10-21,,,,,,,,,,,,,
光量子比特传输速率,Gbps,2023-09-22,PHOTON-2023-007,光电技术发展,http://www.optechdev.com,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-06-30,NET-2023-008,国际量子网络协会,http://www.qna.org,2024-10-21,,,,,,,,,,,,,
