产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,,,,,,,,
数控水刀,武汉水切割科技有限公司,7500,1400,±0.02,±0.010,±0.020,±0.010,湖北省水利厅,https://www.hubeislu.gov.cn,2024-09-20,,,,,,,,,
数控折弯机,太原重工机床有限公司,3000,1200,±0.025,±0.012,±0.03,±0.015,山西省工业与信息化厅,https://www.sxmi.gov.cn,2024-09-20,,,,,,,,,
数控喷涂机,西安自动化设备有限公司,2500,600,±0.02,±0.01,±0.03,±0.015,陕西省科技厅,https://www.sxkj.gov.cn,2024-09-20,,,,,,,,,
数控珩磨机,沈阳机床集团,5000,800,±0.015,±0.007,±0.02,±0.011,中国机床工具有限公司,https://www.cmt.com.cn,2024-09-20,,,,,,,,,
数控切割机,合肥国际机床有限公司,12000,1500,±0.004,±0.002,±0.015,±0.009,安徽省科技厅,https://www.ahkj.gov.cn,2024-09-20,,,,,,,,,
数控激光雕刻机,南京雕塑科技有限公司,30000,900,±0.003,±0.001,±0.005,±0.002,江苏省高新技术企业协会,https://www.jshightech.org,2024-09-20,,,,,,,,,
数控铣床,广州数控设备有限公司,15000,1000,±0.008 mm,±0.003 mm,±0.015 mm,±0.008 mm,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控车床,深圳高精度机床有限公司,7500,1200,±0.02 mm,±0.01 mm,±0.021 mm,±0.009 mm,长江日报,https://www.cjdby.net,2024-09-20,,,,,,,,,
激光切割机,武汉光电科技有限公司,9000,2000,±0.012 mm,±0.005 mm,±0.018 mm,±0.007 mm,中国光学学会,https://www.cmos.org.cn,2024-09-20,,,,,,,,,
水刀切割机,成都水切科技有限公司,8500,1500,±0.02 mm,±0.01 mm,±0.02 mm,±0.02 mm,中国机械制造企业网,https://www.chinamachinex.com,2024-09-20,,,,,,,,,
数控冲床,沈阳精密设备有限公司,600,800,±0.04 mm,±0.02 mm,±0.06 mm,±0.025 mm,行业观察,https://www.industryobserve.com,2024-09-20,,,,,,,,,
五轴加工中心,青岛新兴机床公司,12000,1000,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,机械与电子,https://www.mej.com.cn,2024-09-20,,,,,,,,,
全自动激光焊接机,上海自动化科技有限公司,11000,1800,±0.01 mm,±0.004 mm,±0.012 mm,±0.006 mm,中国智能制造网,https://www.chinamfg.com,2024-09-20,,,,,,,,,
数控激光切割机,天津剑锋科技有限公司,9500,1300,±0.011 mm,±0.006 mm,±0.017 mm,±0.009 mm,现代制造,https://www.modernmanufacturing.com,2024-09-20,,,,,,,,,
数控车床,福州机电公司,6800,1100,±0.025 mm,±0.012 mm,±0.031 mm,±0.014 mm,机械工程,https://www.mech-eng.com,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀科技有限公司,8500,1400,±0.02 mm,±0.01 mm,±0.022 mm,±0.013 mm,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-20,,,,,,,,,
数控磨床,深圳精密机械有限公司,15000,600,±0.008 mm,±0.004 mm,±0.015 mm,±0.007 mm,工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控打孔机,南京机械制造有限公司,5000,750,±0.02 mm,±0.01 mm,±0.02 mm,±0.01 mm,中国机床工具工业协会,https://www.cmmt.org.cn,2024-09-20,,,,,,,,,
数控激光镭雕机,成都激光科技有限公司,20000,500,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,中国科学院,https://www.cas.cn,2024-09-20,,,,,,,,,
数控水刀机,苏州水切割设备有限公司,7000,1200,±0.01 mm,±0.005 mm,±0.03 mm,±0.015 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控弯管机,温州金属加工公司,8000,950,±0.02 mm,±0.01 mm,±0.025 mm,±0.012 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,常州激光科技有限公司,12000,2000,±0.015 mm,±0.007 mm,±0.02 mm,±0.01 mm,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
数控激光焊接机,西安焊接设备有限公司,6000,800,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,陕西省机械工业局,https://www.shaanxi.gov.cn,2024-09-20,,,,,,,,,
数控铣削中心,天津精密机床有限公司,10000,1200,±0.012 mm,±0.006 mm,±0.018 mm,±0.009 mm,全国机械工业信息中心,http://www.mii.gov.cn,2024-09-20,,,,,,,,,
数控自动车床,青岛汽车零部件厂,4000,1000,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,中国机械设备工程股份有限公司,https://www.cme.com.cn,2024-09-20,,,,,,,,,
数控多轴铣床,佛山自动化设备有限公司,9000,1500,±0.015 mm,±0.007 mm,±0.025 mm,±0.012 mm,广州市经济和信息化局,http://www.gz.gov.cn,2024-09-20,,,,,,,,,
数控铣床,天津机床股份有限公司,15000,1000,±0.005,±0.002,±0.015,±0.008,天津市经济和信息化委员会,https://www.tianjin.gov.cn,2024-09-20,,,,,,,,,
数控车床,成都机床制造有限公司,7500,1200,±0.01,±0.005,±0.02,±0.01,成都市机械行业协会,http://www.cdmachine.org.cn,2024-09-20,,,,,,,,,
激光切割机,沈阳激光技术有限公司,12000,1600,±0.012,±0.005,±0.018,±0.009,辽宁省标准化研究院,http://www.lnstandards.org,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀科技有限公司,8500,1300,±0.015,±0.007,±0.022,±0.012,武汉自然资源和规划局,http://www.wh.gov.cn,2024-09-20,,,,,,,,,
数控冲床,青岛冲压设备科技有限公司,600,900,±0.025,±0.012,±0.03,±0.015,青岛机械工业协会,http://www.qdmea.org,2024-09-20,,,,,,,,,
数控焊接机,江苏焊接设备有限公司,5000,1000,±0.02,±0.01,±0.04,±0.02,江苏省生产力促进中心,http://www.jspx.gov.cn,2024-09-20,,,,,,,,,
数控磨床,西安铣磨机床厂,3000,750,±0.012,±0.005,±0.015,±0.007,陕西机械工程协会,http://www.sxmeb.org,2024-09-20,,,,,,,,,
数控电火花机,浦东电火花设备有限公司,4500,800,±0.01,±0.005,±0.018,±0.009,上海制造业促进中心,http://www.shmz.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,洛阳科技发展有限公司,11000,1400,±0.008,±0.004,±0.02,±0.010,洛阳市科技局,http://www.lyscience.gov.cn,2024-09-20,,,,,,,,,
智能数控机床,海南智能制造科技有限责任公司,20000,1500,±0.005,±0.002,±0.012,±0.005,海南省生产力促进局,http://www.hainan.gov.cn,2024-09-20,,,,,,,,,
数控磨床,广州磨床科技股份有限公司,15000,700,±0.008,±0.004,±0.015,±0.008,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,苏州激光发展有限公司,12000,1800,±0.01,±0.005,±0.02,±0.01,行业统计局,https://www.industrydata.gov.cn,2024-09-20,,,,,,,,,
精密数控车床,成都精机制造有限公司,8000,1200,±0.012,±0.006,±0.018,±0.009,机器人工程协会,https://www.rae.org.cn,2024-09-20,,,,,,,,,
数控切管机,武汉金属加工设备有限公司,7000,1500,±0.015,±0.007,±0.022,±0.011,金属加工标准委员会,https://www.metalcuttingstandards.org,2024-09-20,,,,,,,,,
水刀机,南京水刀工程设备有限公司,9000,1300,±0.018,±0.009,±0.015,±0.007,中国水刀协会,https://www.waterjet.org.cn,2024-09-20,,,,,,,,,
数控电火花机,深圳电火花技术有限公司,5000,600,±0.02,±0.01,±0.035,±0.018,电子技术标准委员会,https://www.electronicstandards.org,2024-09-20,,,,,,,,,
高精度数控铣削机,青岛高机科技有限公司,11000,900,±0.009,±0.004,±0.013,±0.007,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
高速数控铣床,天津高速机床厂,20000,1000,±0.005,±0.002,±0.01,±0.005,中国机床工具股份有限公司,https://www.instrument.com.cn,2024-09-20,,,,,,,,,
数控平面磨床,沈阳精密设备制造有限公司,6000,800,±0.014,±0.007,±0.021,±0.010,中国机械工业数据中心,https://www.cmiic.cn,2024-09-20,,,,,,,,,
数控铣削和激光结合机,福州机床与自动化有限公司,14000,1600,±0.011,±0.005,±0.017,±0.008,中国科学技术协会,https://www.cast.org.cn,2024-09-20,,,,,,,,,
数控磨床,成都工具机床有限公司,8000,600,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,四川省机械工业协会,https://www.scma.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉激光科技有限公司,9500,1800,±0.012 mm,±0.005 mm,±0.015 mm,±0.008 mm,武汉市科技局,https://www.whkj.gov.cn,2024-09-20,,,,,,,,,
高精度数控车床,深圳市数控设备有限公司,10000,1200,±0.008 mm,±0.004 mm,±0.02 mm,±0.007 mm,深圳市经济和信息化委员会,https://www.szjs.gov.cn,2024-09-20,,,,,,,,,
数控电火花机,苏州精密机床制造有限公司,7000,1000,±0.01 mm,±0.005 mm,±0.03 mm,±0.015 mm,江苏省机械工程学会,https://www.jsmachine.org.cn,2024-09-20,,,,,,,,,
多功能数控加工中心,东莞市自动化设备有限公司,12000,1500,±0.01 mm,±0.003 mm,±0.02 mm,±0.01 mm,广东省工业和信息化厅,https://www.gd.gov.cn,2024-09-20,,,,,,,,,
数控冲压机,天津机械制造有限公司,600,1200,±0.02 mm,±0.008 mm,±0.04 mm,±0.018 mm,天津经济技术开发区管理委员会,https://www.teda.gov.cn,2024-09-20,,,,,,,,,
数控切槽机,长春机电设备制造有限责任公司,5000,800,±0.015 mm,±0.006 mm,±0.02 mm,±0.01 mm,吉林省机械制造业协会,https://www.jlin.gov.cn,2024-09-20,,,,,,,,,
数控钻孔机,沈阳机床股份有限公司,9000,1000,±0.01 mm,±0.004 mm,±0.02 mm,±0.009 mm,辽宁省机械行业协会,https://www.lnmachinery.org.cn,2024-09-20,,,,,,,,,
CNC等离子切割机,厦门创新科技有限公司,7000,1600,±0.02 mm,±0.007 mm,±0.03 mm,±0.012 mm,福建省科技厅,https://www.fj.gov.cn,2024-09-20,,,,,,,,,
双面磨床,嘉兴市精密机械有限公司,9500,900,±0.005 mm,±0.002 mm,±0.01 mm,±0.004 mm,浙江省经济和信息化厅,https://www.zjecon.gov.cn,2024-09-20,,,,,,,,,
数控磨床,天津金属加工厂,15000,600,±0.005,±0.002,±0.015,±0.008,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
5轴加工中心,苏州精密机械有限公司,18000,1000,±0.004,±0.002,±0.015,±0.007,互联网搜索研究中心,https://www.isrc.org.cn,2024-09-20,,,,,,,,,
数控切割机,成都数控科技有限公司,7000,1200,±0.01,±0.005,±0.02,±0.01,四川省经济和信息化厅,https://jxt.sc.gov.cn,2024-09-20,,,,,,,,,
数控冲击机,大连机床集团,2500,800,±0.02,±0.01,±0.04,±0.02,大连市政府官网,https://www.dalian.gov.cn,2024-09-20,,,,,,,,,
数控激光打标机,深圳锐智能科技有限公司,20000,500,±0.008,±0.003,±0.012,±0.005,深圳市市场监督管理局,https://www.sz.gov.cn,2024-09-20,,,,,,,,,
高精度数控车床,武汉光电数控有限公司,8000,1500,±0.015,±0.007,±0.025,±0.01,国家科学技术部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控清洗机,沈阳新兴机床公司,3000,900,±0.02,±0.01,±0.035,±0.018,东北振动及控制学会,http://www.northeastvibration.org,2024-09-20,,,,,,,,,
数控复杂零件加工中心,青岛高端制造公司,15000,1600,±0.005,±0.002,±0.018,±0.007,青岛国土资源局,https://www.qd.gov.cn,2024-09-20,,,,,,,,,
数字化数控划线机,郑州机械海洋科技有限公司,4000,1100,±0.01,±0.005,±0.03,±0.015,河南省经济和信息化委员会,https://www.henan.gov.cn,2024-09-20,,,,,,,,,
全自动数控车床,安徽振华机械有限公司,5000,950,±0.02,±0.01,±0.027,±0.014,安徽省工商业局,https://www.ah.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳数控科技有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,深圳高新技术产业协会,https://www.szhtxa.org,2024-09-20,,,,,,,,,
数控磨床,青岛磨具有限公司,8000,700,±0.012,±0.006,±0.022,±0.011,青岛工业和信息化局,https://www.qd.gov.cn,2024-09-20,,,,,,,,,
数控车床,重庆机床制造有限公司,7200,1200,±0.025,±0.012,±0.035,±0.017,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-20,,,,,,,,,
电子气动切割机,成都电子设备有限公司,11000,1600,±0.014,±0.007,±0.021,±0.010,四川省电子信息产业协商会,https://www.sc.gov.cn,2024-09-20,,,,,,,,,
激光切割机,武汉激光科技有限公司,9500,2000,±0.016,±0.008,±0.027,±0.013,武汉工商联,https://www.wuhan.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀有限公司,9000,1400,±0.019,±0.009,±0.024,±0.012,厦门市经济发展局,https://www.xiamen.gov.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限公司,600,1100,±0.027,±0.014,±0.045,±0.022,天津市机械工程学会,https://www.tianjin.gov.cn,2024-09-20,,,,,,,,,
数控拉床,南京机械制造厂,5500,800,±0.020,±0.010,±0.030,±0.015,南京市科学技术局,https://www.nanjing.gov.cn,2024-09-20,,,,,,,,,
数控线切割机,哈尔滨线切割机有限公司,7200,1300,±0.018,±0.007,±0.028,±0.014,黑龙江省机械工业协会,https://www.hlj.gov.cn,2024-09-20,,,,,,,,,
高精度数控焊接机,佛山焊接设备有限公司,8000,1600,±0.013,±0.007,±0.020,±0.011,广东省焊接协会,https://www.gd.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉激光科技有限公司,9500,1600,±0.012 mm,±0.005 mm,±0.022 mm,±0.009 mm,中国激光工业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
数控水刀机,郑州水刀科技有限公司,7500,1400,±0.018 mm,±0.008 mm,±0.025 mm,±0.015 mm,中国机械设备工程公司,https://www.cmec.com.cn,2024-09-20,,,,,,,,,
精密数控铣床,成都机床厂,11000,900,±0.01 mm,±0.004 mm,±0.02 mm,±0.008 mm,中国机械工业信息网,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控深孔加工机,西安深孔机床公司,4000,1200,±0.025 mm,±0.012 mm,±0.03 mm,±0.015 mm,国家工信部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控火焰切割机,沈阳切割设备有限公司,5500,2000,±0.03 mm,±0.015 mm,±0.05 mm,±0.02 mm,中国科学技术协会,https://www.cast.org.cn,2024-09-20,,,,,,,,,
数控组合机床,佛山机床有限公司,9000,1000,±0.02 mm,±0.006 mm,±0.018 mm,±0.009 mm,中国机电产品进出口商会,https://www.cccme.org.cn,2024-09-20,,,,,,,,,
智能数控磨床,南京磨床科技有限公司,12000,800,±0.01 mm,±0.005 mm,±0.019 mm,±0.007 mm,中国机器人产业联盟,https://www.cria.org.cn,2024-09-20,,,,,,,,,
数控冲压机,成都冲压设备公司,600,1000,±0.04 mm,±0.02 mm,±0.06 mm,±0.03 mm,中国质量监督局,https://www.samr.gov.cn,2024-09-20,,,,,,,,,
全自动数控车床,厦门机床制造有限公司,7000,1100,±0.015 mm,±0.006 mm,±0.015 mm,±0.005 mm,中国机械制造行业协会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控升级加工中心,南宁机床集团,13000,950,±0.012 mm,±0.004 mm,±0.018 mm,±0.007 mm,国际机床博览会,https://www.cimtshow.com,2024-09-20,,,,,,,,,
数控磨床,成都磨床有限公司,8000,600,±0.005,±0.002,±0.01,±0.005,中国机械制造协会,https://www.cmma.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,深圳激光精密设备有限公司,15000,2000,±0.01,±0.004,±0.015,±0.008,中国机器人产业联盟,https://www.cria.org.cn,2024-09-20,,,,,,,,,
数控折弯机,天津机械设备制造有限公司,3500,1200,±0.02,±0.01,±0.03,±0.015,国家能源局,https://www.nea.gov.cn,2024-09-20,,,,,,,,,
数控车床,武汉机床集团,5000,1100,±0.015,±0.007,±0.025,±0.012,中国机械科学研究院,https://www.camsc.org.cn,2024-09-20,,,,,,,,,
多轴数控机床,江苏多轴机床科技有限公司,9000,1800,±0.02,±0.009,±0.03,±0.015,南京制造业协会,https://www.njmda.org.cn,2024-09-20,,,,,,,,,
数控铣床,青岛精密机械有限公司,12000,900,±0.01,±0.005,±0.02,±0.01,中国数控机床网,https://www.cnccn.com,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀技术有限公司,7500,1300,±0.02,±0.01,±0.02,±0.01,福建省水利水电厅,https://www.fjsl.gov.cn,2024-09-20,,,,,,,,,
激光切割机,哈尔滨激光设备制造有限公司,9500,1700,±0.015,±0.008,±0.03,±0.013,黑龙江省科技厅,http://www.helongjiang.gov.cn,2024-09-20,,,,,,,,,
数控冲床,郑州冲压设备有限公司,600,1200,±0.035,±0.016,±0.04,±0.02,中国机械工业信息网,https://www.cmiia.org.cn,2024-09-20,,,,,,,,,
数控激光打标机,广州激光科技股份有限公司,12000,500,±0.01,±0.005,±0.02,±0.01,中国印刷与设备器材工业协会,http://www.cpeiia.org.cn,2024-09-20,,,,,,,,,
数控铣床,成都机械科技有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,中国机床协会,https://www.cmtba.org.cn,2024-09-20,,,,,,,,,
数控车床,大连数控设备有限公司,8000,1200,±0.015,±0.008,±0.022,±0.011,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
五轴加工中心,深圳超精密机床有限公司,18000,700,±0.005,±0.003,±0.015,±0.007,精密制造研究所,https://www.prmr.org,2024-09-20,,,,,,,,,
激光切割机,天津激光科技有限公司,13000,2000,±0.012,±0.006,±0.020,±0.010,中国激光设备行业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
数控冲床,苏州冲压设备有限公司,600,800,±0.025,±0.012,±0.030,±0.015,行业技术交流会,https://www.industryconference.org,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀科技有限公司,7000,1500,±0.018,±0.009,±0.021,±0.013,中国机床工具工业协会,https://www.cmtia.cn,2024-09-20,,,,,,,,,
数控磨床,青岛磨具设备有限公司,5000,1100,±0.02,±0.01,±0.025,±0.014,中国磨床行业协会,https://www.cmta.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉先进制造有限公司,14500,1350,±0.009,±0.004,±0.017,±0.008,工信部技术发展司,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控整形机,合肥机电科技有限公司,4800,950,±0.019,±0.008,±0.028,±0.014,国家智能制造标准化技术委员会,https://www.nims.org.cn,2024-09-20,,,,,,,,,
数控切割机,南京高新科技有限公司,7600,1600,±0.016,±0.008,±0.023,±0.014,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控磨床,成都磨床制造有限公司,8000,600,±0.005 mm,±0.002 mm,±0.015 mm,±0.008 mm,中国机床工具工业协会,https://www.ctma.org.cn,2024-09-20,,,,,,,,,
数控电火花机,广州电火花科技有限公司,4000,700,±0.01 mm,±0.004 mm,±0.025 mm,±0.013 mm,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
激光焊接设备,深圳激光科技有限公司,12000,1000,±0.008 mm,±0.003 mm,±0.018 mm,±0.009 mm,佛山机器人产业协会,https://www.fsrobot.org,2024-09-20,,,,,,,,,
数控剪板机,天津金属加工设备有限公司,1500,1500,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,中国机械装备集团,https://www.cmegg.com.cn,2024-09-20,,,,,,,,,
数控激光切割机,青岛激光制造有限公司,11000,2000,±0.012 mm,±0.005 mm,±0.02 mm,±0.011 mm,中国现代制造业协会,https://www.cmma.org.cn,2024-09-20,,,,,,,,,
数控冲压机,沈阳冲压设备有限公司,3000,1200,±0.03 mm,±0.015 mm,±0.035 mm,±0.018 mm,中国机械工业协会,https://www.cmia.net.cn,2024-09-20,,,,,,,,,
数控水刀切割机,南京水刀科技有限公司,9000,1600,±0.02 mm,±0.007 mm,±0.022 mm,±0.009 mm,中国水利及水电工程学会,https://www.chinawaterpower.org,2024-09-20,,,,,,,,,
数控多轴车床,厦门多轴机床有限公司,5000,1000,±0.02 mm,±0.005 mm,±0.04 mm,±0.02 mm,国家机械设备监督检验中心,https://www.nmec.org.cn,2024-09-20,,,,,,,,,
数控激光清洗机,哈尔滨激光技术公司,20000,1000,±0.002 mm,±0.001 mm,±0.008 mm,±0.004 mm,中国激光产业协会,https://www.chinalaser.org,2024-09-20,,,,,,,,,
数控数控线切割机,福州数控设备有限公司,3000,900,±0.015 mm,±0.005 mm,±0.018 mm,±0.007 mm,国家数控机床检测机构,https://www.ncnc.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳华工科技有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,中国国家机器及工具行业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控激光机,天津精密激光科技股份有限公司,12000,2000,±0.012,±0.006,±0.022,±0.011,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控水刀,济南水刀设备有限公司,9000,1400,±0.015,±0.007,±0.02,±0.01,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控车床,西安高端制造有限公司,7000,1200,±0.018,±0.008,±0.028,±0.013,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-20,,,,,,,,,
数控冲压机,重庆精准装备有限公司,800,900,±0.025,±0.012,±0.04,±0.018,中国制造网,https://www.made-in-china.com,2024-09-20,,,,,,,,,
数控磨床,苏州高精度机械有限公司,5000,700,±0.02,±0.009,±0.03,±0.015,中国经济和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
激光切割系统,福州激光设备有限公司,11000,1600,±0.013,±0.006,±0.021,±0.01,中国科学技术协会,https://www.cast.org.cn,2024-09-20,,,,,,,,,
智能数控钻床,郑州智能制造有限公司,3000,1000,±0.022,±0.01,±0.035,±0.017,国家工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控切割机,合肥先锋科技有限公司,9500,1300,±0.017,±0.008,±0.019,±0.009,中国职业安全健康协会,https://www.chinaosh.gov.cn,2024-09-20,,,,,,,,,
数控电火花机,宁波电加工技术有限公司,4500,800,±0.02,±0.011,±0.022,±0.012,中国金属加工协会,https://www.cma.org.cn,2024-09-20,,,,,,,,,
数控磨床,武汉磨具有限公司,8000,600,±0.005 mm,±0.003 mm,±0.018 mm,±0.009 mm,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
数控放电机,深圳电加工设备有限公司,9500,500,±0.007 mm,±0.004 mm,±0.022 mm,±0.012 mm,全国工业生产统计局,https://www.stats.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,天津新视野激光科技公司,12000,2000,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,中国机械设备综合企业协会,https://www.cmec.org.cn,2024-09-20,,,,,,,,,
数控水刀切割机,青岛科技切割公司,7500,1600,±0.015 mm,±0.006 mm,±0.012 mm,±0.008 mm,中国机械设备网,https://www.machinerycn.com,2024-09-20,,,,,,,,,
数控铣床,江苏无锡机床有限公司,11000,900,±0.009 mm,±0.004 mm,±0.015 mm,±0.007 mm,中国机床工具工业协会,https://www.cmti.org.cn,2024-09-20,,,,,,,,,
数控冲床,成都冲压技术有限公司,600,1200,±0.025 mm,±0.015 mm,±0.035 mm,±0.018 mm,中国安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-20,,,,,,,,,
数控电火花机床,杭州精密加工设备有限公司,7000,700,±0.008 mm,±0.002 mm,±0.021 mm,±0.009 mm,中国科学技术部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控切割机,沈阳切割科技有限公司,9800,1300,±0.010 mm,±0.005 mm,±0.019 mm,±0.012 mm,国际机械工业总站,http://www.immf.org,2024-09-20,,,,,,,,,
多功能数控机床,厦门机床股份有限公司,8500,1000,±0.012 mm,±0.006 mm,±0.016 mm,±0.009 mm,中国工业技术研究院,https://www.citr.org.cn,2024-09-20,,,,,,,,,
数控横铣床,合肥机床制造有限公司,9300,900,±0.013 mm,±0.007 mm,±0.017 mm,±0.010 mm,中国机械制造业协会,https://www.cma.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳迈德科技有限公司,15000,1000,±0.008 mm,±0.004 mm,±0.015 mm,±0.005 mm,中国机床工具工业协会,https://www.cmmtia.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,西安光电科技有限公司,12000,2000,±0.012 mm,±0.006 mm,±0.018 mm,±0.007 mm,陕西省科技厅,https://www.snkjt.gov.cn,2024-09-20,,,,,,,,,
数控车床,天津精密机床有限公司,7500,1200,±0.02 mm,±0.009 mm,±0.025 mm,±0.012 mm,国家机械工业局,https://www.nmic.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,苏州水刀科技有限公司,9000,1400,±0.015 mm,±0.008 mm,±0.02 mm,±0.01 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,武汉冲压设备有限公司,1000,800,±0.035 mm,±0.017 mm,±0.04 mm,±0.018 mm,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-20,,,,,,,,,
数控磨床,宁波磨削技术有限公司,5000,600,±0.01 mm,±0.005 mm,±0.02 mm,±0.008 mm,浙江省经济和信息化委员会,https://www.zjjj.gov.cn,2024-09-20,,,,,,,,,
数控龙门铣床,上海龙门机床有限公司,10000,2500,±0.007 mm,±0.003 mm,±0.015 mm,±0.006 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
