零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
电池组,比亚迪股份有限公司,深圳,供给紧张,电动车产业研究院,https://www.byd.com,2024-09-19,,,,,,,,,,,,,
智能座舱系统,华为技术有限公司,深圳,稳定供给,中国信息通信研究院,https://www.caict.ac.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,德国博世公司,德国,供给稳定,国际汽车工程师学会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
传感器系统,邻意科技股份有限公司,成都,供给不足,四川省经济和信息化委员会,http://www.sc.gov.cn,2024-09-19,,,,,,,,,,,,,
无线充电装置,青岛海尔集团,青岛,供给稳定,国家家电协会,http://www.cheaa.org,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,美系汽车零部件公司,美国,供给紧张,美国汽车工业协会,https://www.autoalliance.org,2024-09-19,,,,,,,,,,,,,
底盘控制模块,上汽集团,上海,供给稳定,上海市汽车工程协会,http://www.sace.org.cn,2024-09-19,,,,,,,,,,,,,
高效能电动机,日立汽车系统,日本,供给适中,日本汽车工业协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
风扇系统,美的集团,佛山,供给量多,广东省经济和信息化局,http://www.gdei.gov.cn,2024-09-19,,,,,,,,,,,,,
智能反向影像系统,小米科技,北京,供给不足,中国消费电子协会,http://www.cecc.org.cn,2024-09-19,,,,,,,,,,,,,
挡风玻璃,福耀玻璃工业集团股份有限公司,福建省福州,供给稳定,中国汽车零部件工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建省宁德,供给紧张,国家新能源汽车产业发展报告,https://www.autohome.com.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,大连重工股份有限公司,辽宁省大连,供给稳定,中国重型机械工业协会,http://www.china-heavy.com,2024-09-19,,,,,,,,,,,,,
车载人机交互系统,海康威视数字技术股份有限公司,浙江省杭州,供给充足,中国智能驾驶产业研究报告,https://www.hikvision.com,2024-09-19,,,,,,,,,,,,,
传感器,杭州海康机器人科技有限公司,浙江省杭州,供给紧张,机器人产业发展报告,https://www.robotics.org.cn,2024-09-19,,,,,,,,,,,,,
车轮,双星集团有限公司,山东省青岛,供给稳定,中国轮胎行业协会,http://www.ctta.org.cn,2024-09-19,,,,,,,,,,,,,
自动变速器,广汽 Honda 生产有限公司,广州,供给不足,汽车产业观察,https://www.auto-observer.com,2024-09-19,,,,,,,,,,,,,
动力总成,长城汽车股份有限公司,河北省保定,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
导航系统,深圳市华为技术有限公司,广东省深圳,供给稳中有增,中国通信工业协会,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
车载充电机,中兴通讯股份有限公司,广东省深圳,供给不足,新能源汽车产业发展规划,https://www.zte.com.cn,2024-09-19,,,,,,,,,,,,,
控制系统,华为技术有限公司,深圳,供给稳定,行业动态网站,https://www.huawei.com/cn/industry,2024-09-19,,,,,,,,,,,,,
车载雷达,大疆创新科技有限公司,深圳,供给充足,智能汽车研究中心,http://www.auto-research.org,2024-09-19,,,,,,,,,,,,,
发动机,长城汽车股份有限公司,保定,供给紧张,中国汽车产业网,http://www.chinaauto.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给稳定,新能源协会,http://www.cea.org.cn,2024-09-19,,,,,,,,,,,,,
传感器,维信诺科技有限公司,武汉,供给不足,中国电子产业协会,https://www.cei.org.cn,2024-09-19,,,,,,,,,,,,,
充电桩,科士达科技股份有限公司,南京,供给充足,国家电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林轮胎公司,法国,供给稳定,国际轮胎协会,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
车身材料,阿尔斯通公司,上海,供给紧张,材料科学研究所,http://www.mat-research.org,2024-09-19,,,,,,,,,,,,,
汽车电子模块,安波福科技公司,广州,供给充分,汽车电子协会,http://www.auto-electronics.org,2024-09-19,,,,,,,,,,,,,
车载导航系统,博世电子技术有限公司,德国,供给稳定,德国交通协会,https://www.bosch.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给紧张,中国电动车发展研究中心,https://www.cecd.com.cn,2024-09-19,,,,,,,,,,,,,
发动机,长城汽车股份有限公司,河北,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给不足,世界轮胎市场分析报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
汽车传感器,霍尼韦尔国际公司,"新泽西, 美国",稳定供给,国际传感器市场研究,https://www.honeywell.com,2024-09-19,,,,,,,,,,,,,
车载导航系统,华为技术有限公司,深圳,供给充足,华为新闻中心,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给紧张,OLED市场研究报告,https://www.boe.com,2024-09-19,,,,,,,,,,,,,
工业机器人,ABB集团,瑞士,供给稳定,全球工业自动化协会,https://global.abb,2024-09-19,,,,,,,,,,,,,
安全气囊,德尔福科技公司,英国,供给不足,国际汽车安全标准委员会,https://www.delphi.com,2024-09-19,,,,,,,,,,,,,
高压油泵,潍柴动力股份有限公司,山东,供给正常,中国重型汽车工业协会,https://www.weichai.com,2024-09-19,,,,,,,,,,,,,
星载传感器,中科院空间科学与应用研究中心,北京,供给稳定,中国航天科技集团公司,https://www.casc.cn,2024-09-19,,,,,,,,,,,,,
电动机,西门子中国有限公司,北京,供给稳定,中国电气工程学会,https://www.ccree.org.cn,2024-09-19,,,,,,,,,,,,,
变速器,长城汽车股份有限公司,保定,供给良好,长城汽车官网,https://www.gwm.com.cn,2024-09-19,,,,,,,,,,,,,
汽车芯片,华为技术有限公司,深圳,供给不足,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给稳定,新能源电池技术协会,http://www.nea.org.cn,2024-09-19,,,,,,,,,,,,,
刹车系统,大陆汽车系统公司,上海,供给稳定,大陆集团官网,https://www.continental.com,2024-09-19,,,,,,,,,,,,,
悬挂系统,法雷奥股份公司,苏州,供给紧张,法雷奥官网,https://www.valeo.com,2024-09-19,,,,,,,,,,,,,
燃料电池,上汽大通汽车有限公司,上汽集团,供给逐渐增加,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
电控系统,北京汽车集团有限公司,北京,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池模块,比亚迪股份有限公司,深圳,供给紧张,比亚迪官网,https://www.byd.com,2024-09-19,,,,,,,,,,,,,
充电桩,特斯拉有限公司,上海,供给良好,特斯拉官网,https://www.tesla.com,2024-09-19,,,,,,,,,,,,,
电动机,格力电器股份有限公司,珠海,供给充足,中国电子信息产业发展研究院,https://www.caiwang.com,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,宁德,供给缓解,新能源汽车产业发展报告,https://www.catl.com,2024-09-19,,,,,,,,,,,,,
车载摄像头,大疆创新科技有限公司,深圳,稳定供给,消费电子市场分析,https://www.dji.com,2024-09-19,,,,,,,,,,,,,
熔断器,正泰电器股份有限公司,温州,供给紧张,中国电气工业协会,https://www.chint.com,2024-09-19,,,,,,,,,,,,,
变速器,上海汽车制造厂,上海,供给不足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,比亚迪股份有限公司,深圳,供给充足,汽车行业研究机构,https://www.byd.com,2024-09-19,,,,,,,,,,,,,
电动助力转向,华域汽车系统有限公司,上海,供给平稳,中国汽车产业发展报告,https://www.huayu-auto.com,2024-09-19,,,,,,,,,,,,,
 pneus 悬挂系统,德尔福科技公司,美国,供给稳中向好,全球汽车市场动态,https://www.delphi.com,2024-09-19,,,,,,,,,,,,,
超声波传感器,京东方科技集团股份有限公司,北京,供给充足,智能汽车产业论坛,https://www.boe.com,2024-09-19,,,,,,,,,,,,,
液压系统,三一重工股份有限公司,长沙,供给稳定,中国工程机械协会,https://www.sanygroup.com,2024-09-19,,,,,,,,,,,,,
智能控制器,深圳杰维科技有限公司,深圳,供给稳定,行业协会,https://www.szhk.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给紧张,福州市经济和信息化局,https://www.fz.gov.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,上海博世汽车部件有限公司,上海,供给稳定,上海市经济和信息化委员会,https://mct.sh.gov.cn,2024-09-19,,,,,,,,,,,,,
传感器模块,华为技术有限公司,深圳,供给不足,国家信息产业部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
车身控制器,比亚迪股份有限公司,广东,供给稳定,中国汽车文化网,http://www.chinaautoweb.com,2024-09-19,,,,,,,,,,,,,
电机驱动器,特斯拉（中国）有限公司,上海,供给紧张,全球电动汽车协会,https://www.uppa.org,2024-09-19,,,,,,,,,,,,,
刹车片,青岛万力橡胶股份有限公司,青岛,供给稳定,中国汽车行业数据中心,http://www.carsdata.org.cn,2024-09-19,,,,,,,,,,,,,
智能导航系统,高德软件有限公司,北京,供给稳定,国家交通运输部,http://www.mot.gov.cn,2024-09-19,,,,,,,,,,,,,
防撞系统,广汽本田汽车有限公司,广州,供给不足,中国汽车安全研究中心,http://www.cncaps.net,2024-09-19,,,,,,,,,,,,,
动力电池,LG化学有限公司,韩国,供给稳定,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,,
电动机,特斯拉上海工厂,上海,供给稳中有升,汽车制造先锋网,https://www.autoforward.com.cn,2024-09-19,,,,,,,,,,,,,
变速箱,长安福特,重庆,供给正常,福特汽车公司官网,https://www.ford.com.cn,2024-09-19,,,,,,,,,,,,,
电池组,宁德时代新能源科技股份有限公司,福建,供给紧张,新能源电池产业协会,https://www.cebma.org,2024-09-19,,,,,,,,,,,,,
风扇,松下电器（中国）有限公司,苏州,供给充足,松下官网,https://www.panasonic.cn,2024-09-19,,,,,,,,,,,,,
车载电脑,华为技术有限公司,深圳,供给稳步增长,华为科技新闻,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
制动系统,博世（中国）有限公司,上海,供给紧张,博世集团新闻,https://www.bosch.com.cn,2024-09-19,,,,,,,,,,,,,
电子控制模块,东风汽车公司,武汉,供给正常,东风汽车官方网站,https://www.dfmc.com.cn,2024-09-19,,,,,,,,,,,,,
激光雷达,Sensetime,北京,供给稳定,智能汽车未来论坛,https://www.sensetime.com,2024-09-19,,,,,,,,,,,,,
电控系统,比亚迪股份有限公司,广东,供给略紧,比亚迪公告,https://www.byd.com,2024-09-19,,,,,,,,,,,,,
轮胎,固特异轮胎公司,青岛,供给充足,轮胎行业网,https://www.goodyear.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,比亚迪股份有限公司,深圳,稳定供给,中国电子科技集团有限公司,http://www.cetc.com,2024-09-19,,,,,,,,,,,,,
车载导航系统,华为技术有限公司,深圳,供给紧张,科技日报,http://www.stdaily.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,浙江万丰奥特控股集团,温州,稳定供给,中国汽车工程学会,http://www.sae-china.org,2024-09-19,,,,,,,,,,,,,
底盘控制模块,博世集团,德国,供给不足,国际汽车工程师学会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
车载摄像头,台积电,台湾,供给紧张,电子产品世界,http://www.electronicworld.com,2024-09-19,,,,,,,,,,,,,
动力系统控制单元,长城汽车,保定,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
安全气囊,日本富士通有限公司,东京,供给不足,日本汽车工业协会,http://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
无线充电系统,小米科技,北京,供给紧张,市场研究报告,http://www.marketresearch.com,2024-09-19,,,,,,,,,,,,,
传感器,意法半导体,上海,稳定供给,中国半导体行业协会,http://www.csia.net.cn,2024-09-19,,,,,,,,,,,,,
智能转向系统,宁波东力传动科技有限公司,宁波,供给不足,汽车商业评论,http://www.autobusinessreview.com,2024-09-19,,,,,,,,,,,,,
发动机,长城汽车股份有限公司,保定,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给紧张,中国电子信息产业发展研究院,http://www.ccidgroup.com,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国克莱蒙费朗,供给充足,全球轮胎市场研究报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
电池组,宁德时代新能源科技股份有限公司,宁德,供给不足,国家新能源电池研究中心,http://www.catl.com,2024-09-19,,,,,,,,,,,,,
车身结构,福特汽车公司,美国密歇根州,供给稳定,国际汽车工业联合会,https://www.oica.net,2024-09-19,,,,,,,,,,,,,
传感器,德州仪器有限公司,美国德克萨斯州,供给紧张,半导体工业协会,https://www.semiconductors.org,2024-09-19,,,,,,,,,,,,,
内部饰件,东风汽车公司,武汉,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电气连接器,歌尔股份有限公司,青岛,供给不足,中国电源学会,http://www.powersupply.org.cn,2024-09-19,,,,,,,,,,,,,
底盘系统,吉利汽车控股有限公司,杭州,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
驱动电机,同方威视技术股份有限公司,北京,供给稳定,智能电动汽车研究院,http://www.smartelectriccar.com,2024-09-19,,,,,,,,,,,,,
自动驾驶传感器,华为技术有限公司,深圳,供给稳定,中国电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给充足,中国家电协会,http://www.cheaa.com,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给紧张,新能源汽车产业发展规划,http://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
智能控制模块,瑞萨电子株式会社,东京,供给不稳定,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
传动轴,上汽集团,上海,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
制动片,福特汽车公司,底特律,供给充足,美国汽车工业协会,https://www.theautochannel.com,2024-09-19,,,,,,,,,,,,,
车身架构,特斯拉股份有限公司,加州,供给紧张,电动车市场分析,https://www.tesla.com,2024-09-19,,,,,,,,,,,,,
汽车涡轮增压器,霍尼韦尔国际公司,新泽西,供给稳定,汽车零部件供应链报告,https://www.honw.com,2024-09-19,,,,,,,,,,,,,
电动辅助转向系统,ZF Friedrichshafen AG,德国,供给不稳定,全球汽车供应链调查,https://www.zf.com,2024-09-19,,,,,,,,,,,,,
发动机管理系统,博世集团,德国,供给充足,欧洲汽车电子协会,https://www.aes-eu.org,2024-09-19,,,,,,,,,,,,,
电动机,西门子（中国）有限公司,北京,供给紧张,中国电气设备工业协会,http://www.ceia.org.cn,2024-09-19,,,,,,,,,,,,,
汽车芯片,华为技术有限公司,深圳,稳定供给,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林（中国）投资有限公司,南京,供给不足,中国橡胶工业协会,http://www.cria.org.cn,2024-09-19,,,,,,,,,,,,,
燃料电池,宁德时代新能源科技股份有限公司,福建,供给稳定,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
变速器,郑州日产汽车有限公司,郑州,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
刹车系统,采埃孚集团,广州,供给稳定,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
悬挂系统,上汽集团,上海,供给逐渐增加,中国汽车工程学会,http://www.sae-china.org,2024-09-19,,,,,,,,,,,,,
动力电池,比亚迪股份有限公司,广东,稳定供给,国家智能网联汽车创新中心,http://www.niit.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,国轩高科股份有限公司,合肥,供给充足,中国电动汽车百人会,http://www.evc100.org,2024-09-19,,,,,,,,,,,,,
电动机,GE电气（中国）有限公司,上海,供给不足,中国机械工业联合会,http://www.cmif.org.cn,2024-09-19,,,,,,,,,,,,,
电动机,厦门电机有限公司,厦门,供给紧张,福建省工信厅,https://www.fjq.gov.cn,2024-09-19,,,,,,,,,,,,,
智能控制模块,华为技术有限公司,深圳,稳定供给,中国信息通信研究院,https://www.caiot.cn,2024-09-19,,,,,,,,,,,,,
氢气储存罐,长城汽车股份有限公司,保定,供给不足,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林轮胎（中国）有限公司,南昌,稳定供给,中国轮胎协会,https://www.chinatire.org,2024-09-19,,,,,,,,,,,,,
车载电池,宁德时代新能源科技有限公司,宁德,供给紧张,中国电池工业协会,https://www.cnia.org.cn,2024-09-19,,,,,,,,,,,,,
汽车仪表盘,博世汽车部件（中国）有限公司,上海,稳定供给,中国汽车电子协会,https://www.ceca.org.cn,2024-09-19,,,,,,,,,,,,,
自动变速器,东风汽车公司,武汉,供给充足,长安汽车工业研究中心,https://www.changan.com.cn,2024-09-19,,,,,,,,,,,,,
植物基塑料,阿肯福德塑料有限公司,苏州,稳定供给,中国塑料工业协会,https://www.cpia.org.cn,2024-09-19,,,,,,,,,,,,,
制动片,德科制动系统有限公司,广州,供给不足,广州市工业和信息化局,https://www.gz.gov.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,斯特斯汽车系统（中国）有限公司,福州,供给紧张,机械工业联合会,https://www.cmhi.net,2024-09-19,,,,,,,,,,,,,
变速器,吉利汽车,杭州,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代,福建,供给稳定,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,福特汽车,美国密歇根州,供给紧张,美国汽车工程师学会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
动力电池,特斯拉,中国上海,供给不足,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,,
轮胎,米其林,法国,供给稳定,法国轮胎工业协会,https://www.industrie-tyres.fr,2024-09-19,,,,,,,,,,,,,
制动片,阿波罗轮胎,印度,供给充足,印度汽车零件制造商协会,http://www.acma.in,2024-09-19,,,,,,,,,,,,,
离合器,斯巴鲁,日本,供给稳定,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
传感器,博世,德国,供给紧张,德国技术监督协会,https://www.din.de,2024-09-19,,,,,,,,,,,,,
车载电脑,美光科技,美国,供给稳定,美国半导体协会,https://www.semiconductors.org,2024-09-19,,,,,,,,,,,,,
车灯,松下,日本,供给充足,日本电气工业会,https://www.ejc.or.jp,2024-09-19,,,,,,,,,,,,,
液压系统,徐工集团,徐州,供给充足,中国机械工业集团,http://www.sac.gov.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给紧张,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给稳定,中国电子科技集团公司,http://www.cetc.com,2024-09-19,,,,,,,,,,,,,
电机控制器,航天科技集团,北京,供给充足,国家工信部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
车身电子系统,广汽集团,广州,供给不足,中国汽车行业观察,http://www.autoobserver.com.cn,2024-09-19,,,,,,,,,,,,,
轮胎系统,米其林集团,法国,供给稳定,全球轮胎协会,http://www.worldtires.org,2024-09-19,,,,,,,,,,,,,
传动轴,吉利控股集团,浙江,供给充足,中国汽车技术研究中心,http://www.catarc.ac.cn,2024-09-19,,,,,,,,,,,,,
冷却系统,北方重工,沈阳,稳定供给,中国重型装备工业协会,http://www.chinaheavyindustry.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,比亚迪股份有限公司,广东,供给紧张,中国电池工业协会,http://www.cba.org.cn,2024-09-19,,,,,,,,,,,,,
激光雷达,禾赛科技,上海,供给不足,智能驾驶产业协会,http://www.sdia.org.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给充足,行业研究报告,https://www.catl.com,2024-09-19,,,,,,,,,,,,,
电控系统,华为技术有限公司,深圳,供给紧张,科技日报,https://www.stdaily.com,2024-09-19,,,,,,,,,,,,,
ABS系统,博世集团,德国,稳定供给,国际汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
车载摄像头,京东方科技集团股份有限公司,北京,供给不足,电子行业协会,https://www.ccidgroup.com,2024-09-19,,,,,,,,,,,,,
电子差速器,宇通客车股份有限公司,郑州,稳定供给,中国商用车网,http://www.chinabuses.com,2024-09-19,,,,,,,,,,,,,
动力转向系统,长安汽车股份有限公司,重庆,供给紧张,汽车工程学会,https://www.cae.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,厦门钨业股份有限公司,厦门,供给稳定,能源技术研究所,https://www.ni.com,2024-09-19,,,,,,,,,,,,,
车载信息娱乐系统,索尼公司,东京,供给增长,国际消费电子展,https://www.ces.tech,2024-09-19,,,,,,,,,,,,,
车体结构件,上汽集团,上海,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
氢燃料电池堆,中科院合肥物质科学研究院,合肥,供给紧张,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
激光焊接设备,美的集团股份有限公司,广东,供给稳定,国家制造业信息中心,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
轮胎,中策橡胶集团有限公司,浙江,供给紧张,中国橡胶工业协会,http://www.cria.org.cn,2024-09-19,,,,,,,,,,,,,
直流电机,西门子（中国）有限公司,上海,供给稳定,行业技术报告,https://new.siemens.com/cn/zh.html,2024-09-19,,,,,,,,,,,,,
高压喷油器,沃尔沃集团,瑞典,供给紧张,全球汽车制造商联合会,https://www.gmec.com,2024-09-19,,,,,,,,,,,,,
传感器模块,英飞凌科技股份公司,北京,供给稳定,国家智能制造产业技术创新战略联盟,https://www.smartmanufacturing.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给不足,中国电池产业协会,http://www.cibf.org.cn,2024-09-19,,,,,,,,,,,,,
液压泵,凯傲集团,德国,供给稳定,德国机械设备制造商协会,https://www.vdma.org,2024-09-19,,,,,,,,,,,,,
自动变速箱,广汽集团,广州,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
无线充电模块,比亚迪股份有限公司,广东,逐渐提升,新能源车产业协会,http://www.cnaia.org,2024-09-19,,,,,,,,,,,,,
摇臂,长安福特汽车有限公司,重庆,供给紧张,汽车技术与市场,https://www.autotechmarket.org,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建省,供给稳定,中国电池工业协会,https://www.cba.org.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,博世集团,德国,供给紧张,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给充足,中国信息产业商会,https://www.citsa.org.cn,2024-09-19,,,,,,,,,,,,,
排放控制系统,德尔福科技公司,美国,供给稳定,国际汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,华为技术有限公司,广东省,供给良好,电动汽车协会,https://www.evassociation.org,2024-09-19,,,,,,,,,,,,,
动力传动系统,长春一汽富维汽车部件有限公司,吉林省,供给紧张,汽车工业信息网,http://www.autoinfo.gov.cn,2024-09-19,,,,,,,,,,,,,
超声波传感器,天汽集团,天津,供给稳定,中国传感器产业联盟,https://www.sensorunion.china,2024-09-19,,,,,,,,,,,,,
LED灯具,三星电子,韩国,供给充足,韩国光电显示协会,https://www.kotp.org,2024-09-19,,,,,,,,,,,,,
缓冲器,日本电装株式会社,日本,供给不足,日本汽车工业协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
数据处理单元,英特尔公司,美国,供给稳定,国际半导体协会,https://www.semiconductor.org,2024-09-19,,,,,,,,,,,,,
电动机,西安杨森电气有限公司,西安,稳定供给,陕西省经济和信息化厅,http://jxj.shaanxi.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给紧张,中国电力研究院,http://www.ceri.gov.cn,2024-09-19,,,,,,,,,,,,,
传动轴,东风汽车公司,武汉,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,博格华纳,美国,供给不足,美国汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
电动助力转向,上海汽车集团股份有限公司,上海,稳定供给,汽车工业国际竞争力研究中心,http://www.aicci.cn,2024-09-19,,,,,,,,,,,,,
窄波离子束法曝光机,中微公司,上海,供给紧张,中国半导体行业协会,http://www.csia.org.cn,2024-09-19,,,,,,,,,,,,,
旋转电机,瑞萨电子,东京,供给稳定,日本电子信息技术产业协会,https://www.jfess.or.jp,2024-09-19,,,,,,,,,,,,,
