机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.009 μm,中,2,g,工信部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.022 μm,高,5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.008 μm,Ra < 0.013 μm,高,5,g,中国机械工业协会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.011,±0.018 μm,Ra < 0.006 μm,中,8,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.0085,±0.015 μm,Ra < 0.02 μm,高,5,g,中国科学院材料科学研究所,https://www.materials.cas.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.014,±0.028 μm,Ra < 0.012 μm,中,3,g,全国水处理工程技术中心,http://www.watertreatment.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.006,±0.007 μm,Ra < 0.025 μm,高,6,g,中国设备制造业协会,https://www.ceme.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.008 μm,Ra < 0.012 μm,中,4,g,上海市经济和信息化委员会,https://www.shanghai.gov.cn,2024-09-21,,,,,,,,,,,
激光焊接机,0.005,±0.01 μm,Ra < 0.003 μm,高,7,g,中国制造业协会,https://www.cme.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.008 μm,中,3,g,国家信息中心,https://www.nic.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.006,±0.005 μm,Ra < 0.02 μm,高,5,g,国际机械工程师学会,https://www.asme.org,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.004,±0.009 μm,Ra < 0.001 μm,高,8,g,对外经济贸易大学,https://www.uibe.edu.cn,2024-09-21,,,,,,,,,,,
纳米定位机,0.002,±0.002 μm,Ra < 0.004 μm,高,9,g,清华大学,https://www.tsinghua.edu.cn,2024-09-21,,,,,,,,,,,
激光雕刻机,0.01,±0.015 μm,Ra < 0.005 μm,中,5,g,中国工业设计协会,https://www.chinaidd.org,2024-09-21,,,,,,,,,,,
超精密电火花加工机,0.005,±0.004 μm,Ra < 0.006 μm,高,6,g,中南大学,https://www.csu.edu.cn,2024-09-21,,,,,,,,,,,
智能化超精密加工中心,0.007,±0.007 μm,Ra < 0.009 μm,高,7,g,广东省机械工程学会,https://www.gdjx.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.008 μm,Ra < 0.020 μm,高,6,g,中国自动化学会,https://www.caac.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.015,±0.018 μm,Ra < 0.015 μm,中,4,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.025,±0.035 μm,Ra < 0.012 μm,中,3,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.001,±0.005 μm,Ra < 0.030 μm,高,8,g,广东省经济和信息化局,https://gxj.gd.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,中,5,g,深圳先进技术研究院,https://www.siat.ac.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.014,±0.017 μm,Ra < 0.022 μm,高,4,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.022,±0.031 μm,Ra < 0.009 μm,中,3,g,中国水利工程学会,https://www.chinawe.com.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.006,±0.013 μm,Ra < 0.002 μm,高,7,g,工信部装备工业司,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.006 μm,Ra < 0.028 μm,高,6,g,机械工业出版社,http://www.cmtc.com.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国精密机械工程学会,https://www.cpm.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.008 μm,Ra < 0.018 μm,中,5,g,科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,g,中国电子技术标准化研究院,https://www.electronicstandards.com.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.01 μm,低,4,g,国家发展改革委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.005 μm,Ra < 0.02 μm,高,8,g,国际机械工程师学会,https://www.asme.org,2024-09-21,,,,,,,,,,,
数控放电加工机,0.012,±0.007 μm,Ra < 0.03 μm,中,5,g,中国机械工业信息研究院,https://www.mii.net.cn,2024-09-21,,,,,,,,,,,
超精密冲压机,0.006,±0.003 μm,Ra < 0.007 μm,高,6,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密电火花机,0.005,±0.011 μm,Ra < 0.02 μm,中,5,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密激光打标机,0.004,±0.006 μm,Ra < 0.002 μm,高,9,g,中国工业设计协会,https://www.cida.org.cn,2024-09-21,,,,,,,,,,,
超精密抛光机,0.002,±0.002 μm,Ra < 0.001 μm,高,7,g,中国计量科学研究院,https://www.nim.ac.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.007 μm,Ra < 0.02 μm,高,6,g,中国科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.005 μm,Ra < 0.015 μm,中,4,g,中国制造2025计划,https://www.china.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.02 μm,Ra < 0.018 μm,高,5,g,国际机床制造协会,https://www.imts.com,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.012 μm,Ra < 0.007 μm,高,8,g,全国技术监督局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.009 μm,Ra < 0.015 μm,高,5,g,北京科技大学,https://www.bjtu.edu.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.006 μm,Ra < 0.01 μm,高,7,g,中国工业技术研究院,https://www.cnit.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.03 μm,Ra < 0.02 μm,中,4,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,6,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.018,±0.022 μm,Ra < 0.014 μm,中,3,g,华南理工大学,https://www.scut.edu.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,极高,7,g,国际精密机械协会,https://www.iptma.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.005,±0.008 μm,Ra < 0.015 μm,高,6,g,中国机械研究院,https://www.cmiit.gov.cn,2024-09-21,,,,,,,,,,,
电火花成形机,0.01,±0.01 μm,Ra < 0.030 μm,中,4,g,国家智能制造标准化委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.007 μm,Ra < 0.003 μm,高,6,g,全国标准化技术委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.012 μm,中,3,g,中国水处理协会,https://www.cwa.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.020 μm,极高,8,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,高,5,g,中国精密工程协会,https://www.cemb.org.cn,2024-09-21,,,,,,,,,,,
CNC数控机床,0.007,±0.006 μm,Ra < 0.009 μm,高,5,g,中国机械生产力促进中心,https://www.cmmp.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光刀具,0.006,±0.02 μm,Ra < 0.022 μm,中,4,g,中科院机械与电气工程研究所,https://www.ime.cas.cn,2024-09-21,,,,,,,,,,,
纳米切割机,0.002,±0.003 μm,Ra < 0.002 μm,高,9,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.008 μm,Ra < 0.020 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.005 μm,Ra < 0.015 μm,中,4,g,中国机床工具工业协会,https://www.cmmtia.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,高,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.030 μm,Ra < 0.004 μm,高,7,g,中国光学学会,https://www.cos.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.01,±0.025 μm,Ra < 0.009 μm,中,3,g,机械工业出版社,http://www.mechpub.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.015 μm,Ra < 0.023 μm,高,5,g,中国金属学会,http://www.cmas.org.cn,2024-09-21,,,,,,,,,,,
数控精密车床,0.004,±0.007 μm,Ra < 0.011 μm,高,5,g,国家工信部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
激光加工中心,0.008,±0.020 μm,Ra < 0.003 μm,高,7,g,中国机械工程学会,http://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
自动化磨床,0.009,±0.018 μm,Ra < 0.022 μm,中,4,g,电气与机械工程学院,http://www.eme.edu.cn,2024-09-21,,,,,,,,,,,
超精密电火花加工机,0.003,±0.002 μm,Ra < 0.001 μm,高,8,g,中国电子科技集团,http://www.cetc.com.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005,Ra < 0.02,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.02,Ra < 0.015,中,4,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.009,Ra < 0.03,高,5,g,中国机床工具工业协会,https://www.cmmt.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.015,±0.012,Ra < 0.008,高,7,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.01,±0.025,Ra < 0.012,中,3,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.015,Ra < 0.02,极高,8,g,上海市经济和信息化委员会,http://www.sheitc.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.018,Ra < 0.018,高,4,g,国家知識产权局,https://www.cnipa.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.01,Ra < 0.007,高,7,g,国家认证认可监督管理委员会,http://www.cnca.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.005,Ra < 0.025,中,6,g,中国质量协会,https://www.cqa.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.012,Ra < 0.009,高,5,g,中国机械工程学会,http://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.015 μm,中,4.5,g,国际机器人与智能装备协会,https://www.ifr.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.009 μm,Ra < 0.022 μm,高,7,g,中国机床工具工业协会,https://www.ctia.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.010 μm,Ra < 0.008 μm,非常高,8,g,中国制造业351计划,http://www.zgmzy.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3.5,g,全国机械工业领导小组,https://www.nmic.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.008 μm,Ra < 0.018 μm,高,5.5,g,中国社会科学院,http://www.cass.cn,2024-09-21,,,,,,,,,,,
超精密电加工机,0.002,±0.006 μm,Ra < 0.007 μm,高,9,g,中国电机工程学会,http://www.ceesi.org,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.003,±0.002 μm,Ra < 0.004 μm,极高,10,g,国家大宗商品交易中心,http://www.ncinfo.com.cn,2024-09-21,,,,,,,,,,,
超精密组合机床,0.009,±0.011 μm,Ra < 0.023 μm,中,4,g,中国机床报社,http://www.cncnews.com.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.013 μm,Ra < 0.019 μm,中,4.8,g,机械工业信息研究院,http://www.mii.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.005 μm,Ra < 0.015 μm,高,6,g,中国制造业发展促进会,https://www.cmda.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,中,4,g,机械工业信息研究院,https://www.mii.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.02 μm,Ra < 0.002 μm,高,7,g,中国光电行业协会,https://www.cpiia.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.006,±0.009 μm,Ra < 0.028 μm,高,5,g,中国机械研究院,https://www.cimi.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.04 μm,Ra < 0.005 μm,中,3,g,全国水刀设备行业协会,https://www.waterjet.org.cn,2024-09-21,,,,,,,,,,,
超精密光纤切割机,0.004,±0.01 μm,Ra < 0.01 μm,高,6,g,中国自动化与制造工程协会,https://www.camea.org.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.002,±0.005 μm,Ra < 0.001 μm,高,8,g,国家焊接与切割标准化技术委员会,https://www.cswcc.org.cn,2024-09-21,,,,,,,,,,,
超精密电机加工中心,0.009,±0.007 μm,Ra < 0.012 μm,中,4,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.003,±0.008 μm,Ra < 0.020 μm,高,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密数控机床,0.001,±0.003 μm,Ra < 0.001 μm,高,7,g,中国数控技术协会,https://www.cnctc.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.005 μm,Ra < 0.02 μm,中,4,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花加工机,0.002,±0.012 μm,Ra < 0.01 μm,高,5,g,中国电工技术学会,https://www.ces.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.008 μm,Ra < 0.015 μm,高,6,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.008,±0.02 μm,Ra < 0.007 μm,中,5,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.005 μm,Ra < 0.025 μm,高,6,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.02 μm,低,3,g,全国机械产业信息网,http://www.mii-china.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.01 μm,Ra < 0.01 μm,高,5,g,中国电子技术协会,https://www.cet.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.02 μm,Ra < 0.018 μm,中,4,g,中国制造业协会,https://www.cmmm.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.018 μm,Ra < 0.002 μm,高,7,g,国家质检总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花加工机,0.004,±0.009 μm,Ra < 0.01 μm,高,5,g,中国工业协会,https://www.cia.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.02 μm,Ra < 0.02 μm,中,4,g,国际精密制造协会,https://www.ipma.org,2024-09-21,,,,,,,,,,,
超精密电加工机,0.01,±0.01 μm,Ra < 0.03 μm,高,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
纳米级加工机,0.005,±0.003 μm,Ra < 0.004 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超高精度车床,0.004,±0.015 μm,Ra < 0.02 μm,最高,8,g,全国机械设备标准化技术委员会,https://www.cmsc.org.cn,2024-09-21,,,,,,,,,,,
精密洗床,0.015,±0.02 μm,Ra < 0.03 μm,中,3,g,中国五矿集团,http://www.chinamining.org,2024-09-21,,,,,,,,,,,
超精密激光加工机,0.009,±0.012 μm,Ra < 0.01 μm,高,6,g,科技日报,http://www.stdaily.com,2024-09-21,,,,,,,,,,,
超精密雕刻机,0.006,±0.008 μm,Ra < 0.015 μm,高,5,g,中国机械工业集团,http://www.china-machinery.com,2024-09-21,,,,,,,,,,,
超高效多功能机床,0.01,±0.01 μm,Ra < 0.005 μm,高,5,g,电子工业出版社,http://www.eepw.com.cn,2024-09-21,,,,,,,,,,,
超精密铣削机,0.01,±0.01 μm,Ra < 0.001 μm,极高,7,g,中国机械设备工程股份公司,http://www.cmecc.com,2024-09-21,,,,,,,,,,,
超精密激光雕刻机,0.005,±0.008 μm,Ra < 0.015 μm,高,7,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.012 μm,Ra < 0.02 μm,中,5,g,中国工业经济联合会,https://www.cie.org.cn,2024-09-21,,,,,,,,,,,
五轴超精密加工中心,0.003,±0.005 μm,Ra < 0.01 μm,高,6,g,中国机械科学研究院,https://www.camsr.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.01,±0.015 μm,Ra < 0.018 μm,中,4,g,国家机器人产业技术创新战略联盟,https://www.robotics.org.cn,2024-09-21,,,,,,,,,,,
