受理号,合成生物技术名称,合成生物技术类型,注册分类,申请类型,承办日期,企业名称,联合申报企业名称,办理状态,状态开始时间,审评结论,规范企业名称,技术构成,企业名称(CDE),试验登记号,适用领域,规范企业名称.1,注册版本,采集来源,来源链接,采集时间,备注
39046200ST8U30586J/2024-00070,合成生物材料开发技术,材料科学,新技术,初审,2023-09-25,西安生物材料公司,西安交通大学,审核中,2023-09-26,待审,西安生物材料公司,生物聚合物技术,西安生物材料公司,T20230812,材料、环保,西安生物材料公司,V1.0,陕西省科技厅,https://www.shaanxi.gov.cn,2024-09-23,
23051204MB3H49567Q/2024-00475,光合作用增强生物技术,环境保护,新技术,初审,2023-09-28,昆明生态科技有限公司,云南大学,审核中,2023-09-29,待审,昆明生态科技有限公司,生物光合设计,昆明生态科技有限公司,T20230813,环境保护、农业,昆明生态科技有限公司,V1.0,云南省科技厅,https://www.yn.gov.cn,2024-09-23,
32119876MB2A65432K/2024-00712,多肽合成技术优化,多肽合成,新技术,初审,2023-09-05,深圳生物制药有限公司,深圳基因生物研究所,审核中,2023-09-06,待审,深圳生物制药有限公司,固相合成与优化,深圳生物制药有限公司,T20230805,医疗、疫苗,深圳生物制药有限公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn/zfgz/kydt/,2024-09-23,
45032678MB4D12345L/2024-00123,植物合成生物技术平台,植物工程,新技术,初审,2023-09-05,武汉农业生物科技公司,武汉大学农业科研中心,审核中,2023-09-06,待审,武汉农业生物科技公司,基因转移与优化,武汉农业生物科技公司,T20230806,农业、食品,武汉农业生物科技公司,V1.0,武汉市科学技术局,http://www.wh.gov.cn/whkfq/,2024-09-23,
56214903MB1F67890J/2024-00987,细胞免疫治疗工程,细胞治疗,医疗创新,初审,2023-09-05,上海细胞生物科技有限公司,复旦大学生物医学研究中心,审核中,2023-09-06,待审,上海细胞生物科技有限公司,CAR-T细胞疗法,上海细胞生物科技有限公司,T20230807,医疗、癌症治疗,上海细胞生物科技有限公司,V1.0,上海市生物医学研究办公室,https://www.sh.gov.cn/xxgk/zfwj/,2024-09-23,
87451234MB3B23456M/2024-00234,智能合成酶开发技术,酶工程,新技术,初审,2023-09-05,杭州智能生物科技公司,浙江大学生物工程学院,审核中,2023-09-06,待审,杭州智能生物科技公司,智能设计与高通量筛选,杭州智能生物科技公司,T20230808,食品、制药,杭州智能生物科技公司,V1.0,杭州市科技局,http://www.hangzhou.gov.cn/zwgk/kol/,2024-09-23,
98706543MB0C34567N/2024-00654,微生物合成生物燃料技术,生物能源,新技术,初审,2023-09-05,重庆绿色能源公司,重庆大学能源研究所,审核中,2023-09-06,待审,重庆绿色能源公司,微生物代谢工程,重庆绿色能源公司,T20230809,能源、环境保护,重庆绿色能源公司,V1.0,重庆市科技信息中心,http://www.cq.gov.cn/zwgk/,2024-09-23,
11440301MB2D27883P/2024-00061,新型疫苗开发平台,疫苗研发,新药研发,初审,2023-09-05,沈阳疫苗科技有限公司,中国医学科学院,审核中,2023-09-06,待审,沈阳疫苗科技有限公司,重组蛋白技术,沈阳疫苗科技有限公司,T20230810,医疗、疫苗,沈阳疫苗科技有限公司,V1.0,沈阳市科学技术局,http://www.shenyang.gov.cn/gov/,2024-09-23,
11440302MB2D27884P/2024-00062,食品安全检测合成生物技术,食品科技,新技术,初审,2023-09-05,天津食品安全公司,天津科技大学食品研究中心,审核中,2023-09-06,待审,天津食品安全公司,生物传感器技术,天津食品安全公司,T20230811,食品、环境监测,天津食品安全公司,V1.0,天津市科技局,http://www.tianjin.gov.cn/zwgk/,2024-09-23,
11440303MB2D27885P/2024-00063,合成生物降解塑料技术,环境保护,环保技术,初审,2023-09-05,西安绿色科技公司,西安交通大学环保工程系,审核中,2023-09-06,待审,西安绿色科技公司,生物降解材料设计,西安绿色科技公司,T20230812,环境保护、材料科学,西安绿色科技公司,V1.0,西安市科技委员会,http://www.xa.gov.cn/gov1/,2024-09-23,
11440304MB2D27886P/2024-00064,基因组分析技术平台,基因组学,新技术,初审,2023-09-05,南京基因科技有限公司,南京大学基因组研究所,审核中,2023-09-06,待审,南京基因科技有限公司,基因组测序与分析,南京基因科技有限公司,T20230813,医疗、农业,南京基因科技有限公司,V1.0,南京市科技局,http://www.nanjing.gov.cn/gov/,2024-09-23,
11440305MB2D27887P/2024-00065,智能合成化学反应优化技术,化学合成,新技术,初审,2023-09-10,深圳合成科技有限公司,深圳大学化学系,审核中,2023-09-12,待审,深圳合成科技有限公司,机器学习反应预测,深圳合成科技有限公司,T20230805,材料科学、食品,深圳合成科技有限公司,V1.1,深圳市科技创新委员会,https://www.sz.gov.cn/,2024-09-23,
11440306MB2D27888P/2024-00066,合成生物燃料的生产技术,生物能源,新技术,初审,2023-09-15,杭州新能源公司,浙江大学能源研究所,审核中,2023-09-16,待审,杭州新能源公司,微生物合成代谢路径,杭州新能源公司,T20230806,能源、交通运输,杭州新能源公司,V1.0,浙江省科技厅,http://kjt.zj.gov.cn/,2024-09-23,
11440307MB2D27889P/2024-00067,抗体药物的设计与生产技术,生物制药,新药研发,初审,2023-09-20,武汉生物制药公司,华中科技大学药学院,审核中,2023-09-21,待审,武汉生物制药公司,单克隆抗体技术,武汉生物制药公司,T20230807,医疗、免疫治疗,武汉生物制药公司,V1.0,湖北省科学技术厅,http://www.hubei.gov.cn/,2024-09-23,
11440308MB2D27890P/2024-00068,多肽药物合成技术,生物制药,新药研发,初审,2023-09-25,南京多肽科技有限公司,南京医科大学,审核中,2023-09-26,待审,南京多肽科技有限公司,自动化合成系统,南京多肽科技有限公司,T20230808,医疗、制药,南京多肽科技有限公司,V1.0,江苏省科技厅,http://kjt.jiangsu.gov.cn/,2024-09-23,
11440309MB2D27891P/2024-00069,细菌基因组编辑技术,基因编辑,生物安全,初审,2023-09-30,西安生物科技有限公司,西安交通大学生命科学学院,审核中,2023-10-01,待审,西安生物科技有限公司,细菌基因组编辑工具,西安生物科技有限公司,T20230809,农业、环境,西安生物科技有限公司,V1.0,陕西省科学技术厅,http://www.shaanxi.gov.cn/,2024-09-23,
11440310MB2D27892P/2024-00070,肠道微生物组修复技术,微生物技术,新技术,初审,2023-10-05,广州微生物科技有限公司,中山大学微生物研究所,审核中,2023-10-06,待审,广州微生物科技有限公司,微生物组调节技术,广州微生物科技有限公司,T20230810,医疗、营养学,广州微生物科技有限公司,V1.0,广东省科学技术厅,http://www.gd.gov.cn/,2024-09-23,
11440301MB2D27883P/2024-00061,合成代谢基因组学技术,基因工程,新技术,初审,2023-10-10,合肥合成生物公司,合肥工业大学,审核中,2023-10-11,待审,合肥合成生物公司,合成生物学应用方案,合肥合成生物公司,T20230811,制药、农业,合肥合成生物公司,V1.0,安徽省科学技术厅,http://www.ah.gov.cn/,2024-09-23,
11440302MB2D27884P/2024-00062,植物合成生物技术,农业生物技术,新技术,初审,2023-10-15,天津农科技有限公司,天津农学院,审核中,2023-10-16,待审,天津农科技有限公司,植物转基因技术,天津农科技有限公司,T20230812,农业、牲畜,天津农科技有限公司,V1.0,天津市科技局,http://www.tianjin.gov.cn/,2024-09-23,
11440303MB2D27885P/2024-00063,生物传感器开发技术,生物传感器,新技术,初审,2023-10-20,青岛生物传感技术公司,青岛科技大学,审核中,2023-10-21,待审,青岛生物传感技术公司,纳米生物传感器,青岛生物传感技术公司,T20230813,医疗、环境监测,青岛生物传感技术公司,V1.0,山东省科技厅,http://www.sd.gov.cn/,2024-09-23,
11440304MB2D27886P/2024-00064,定制化微生物代谢工程,代谢工程,新技术,初审,2023-09-05,天津微生物科技有限公司,天津大学生物工程研究所,审核中,2023-09-06,待审,天津微生物科技有限公司,自定义代谢路径设计,天津微生物科技有限公司,T20230805,能源、化工,天津微生物科技有限公司,V1.0,天津市科学技术局,https://www.tj.gov.cn/,2024-09-23,
11440305MB2D27887P/2024-00065,合成疫苗平台技术,疫苗技术,新药研发,初审,2023-09-07,深圳先进疫苗科技公司,深圳基因研究所,审核中,2023-09-08,待审,深圳先进疫苗科技公司,合成多肽疫苗,深圳先进疫苗科技公司,T20230806,预防医学,深圳先进疫苗科技公司,V1.0,深圳市卫生健康委员会,https://wsjkw.sz.gov.cn/,2024-09-23,
11440306MB2D27888P/2024-00066,合成生物肥料开发技术,生物肥料,农业技术,初审,2023-09-09,湖南生态农业公司,湖南农业大学,审核中,2023-09-10,待审,湖南生态农业公司,复合微生物肥料,湖南生态农业公司,T20230807,农业,湖南生态农业公司,V1.0,湖南省农业农村厅,http://nync.hunan.gov.cn/,2024-09-23,
11440307MB2D27889P/2024-00067,细胞基因治疗技术,基因治疗,新药研发,初审,2023-09-11,浙江细胞生物科技公司,浙江大学医学中心,审核中,2023-09-12,待审,浙江细胞生物科技公司,携带基因载体的干细胞,浙江细胞生物科技公司,T20230808,肿瘤、遗传病,浙江细胞生物科技公司,V1.0,浙江省科技厅,http://kjt.zj.gov.cn/,2024-09-23,
11440308MB2D27890P/2024-00068,生物塑料研发技术,生物材料,环保技术,初审,2023-09-14,福建生物材料科技有限公司,福建省科技学院,审核中,2023-09-15,待审,福建生物材料科技有限公司,微生物基塑料合成,福建生物材料科技有限公司,T20230809,环境保护,福建生物材料科技有限公司,V1.0,福建省生态环境厅,http://sthjt.fujian.gov.cn/,2024-09-23,
11440309MB2D27891P/2024-00069,农业害虫控制合成生物技术,生物防治,农业技术,初审,2023-09-16,重庆生物防治公司,重庆农学院,审核中,2023-09-17,待审,重庆生物防治公司,生物昆虫杀虫剂,重庆生物防治公司,T20230810,农业,重庆生物防治公司,V1.0,重庆市农业农村委员会,http://nync.cq.gov.cn/,2024-09-23,
11440310MB2D27892P/2024-00070,快速DNA条形码鉴定技术,分子生物学,技术创新,初审,2023-09-18,陕西生物鉴定科技有限公司,陕西师范大学,审核中,2023-09-19,待审,陕西生物鉴定科技有限公司,DNA条形码扩增与分析,陕西生物鉴定科技有限公司,T20230811,生物多样性保护,陕西生物鉴定科技有限公司,V1.0,陕西省科技厅,http://kjt.shaanxi.gov.cn/,2024-09-23,
11520401MB2D67892P/2024-00061,基因组学数据分析技术,数据科学,技术创新,初审,2023-09-20,江苏基因组学科技有限公司,江苏大学,审核中,2023-09-21,待审,江苏基因组学科技有限公司,大数据分析与预测,江苏基因组学科技有限公司,T20230812,精准医疗,江苏基因组学科技有限公司,V1.0,江苏省科技厅,http://jssct.gov.cn/,2024-09-23,
11630502MB2D12832P/2024-00062,纳米抗体技术研发,蛋白质工程,新技术,初审,2023-09-10,深圳纳米科技有限公司,深圳生物医药研究院,审核中,2023-09-11,待审,深圳纳米科技有限公司,单克隆抗体优化,深圳纳米科技有限公司,T20230805,医疗、诊断,深圳纳米科技有限公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn/zwgk/kyjhxm/,2024-09-23,
11740603MB2D38912P/2024-00063,合成及改造微生物技术,合成生物学,生物制造,初审,2023-09-15,上海合成生物研究所,上海绿色生物科技有限公司,审核中,2023-09-16,待审,上海合成生物研究所,微生物代谢路径重组,上海合成生物研究所,T20230806,生物制造、能源,上海合成生物研究所,V1.0,上海市生物技术协会,https://www.bio-sh.org/,2024-09-23,
11850704MB2D29483P/2024-00064,植物基因组编辑技术,基因编辑,农业应用,初审,2023-09-20,南京农业生物科技有限公司,南京农业大学,审核中,2023-09-21,待审,南京农业生物科技有限公司,CRISPR/Cas9基础编辑技术,南京农业生物科技有限公司,T20230807,农业、食品安全,南京农业生物科技有限公司,V1.0,江苏省农业厅,http://www.jiangsu.gov.cn/yanghu/,2024-09-23,
11960805MB2D47564P/2024-00065,合成生物病毒载体,基因载体,新药研发,初审,2023-09-25,厦门生物医药有限公司,厦门大学生命科学学院,审核中,2023-09-26,待审,厦门生物医药有限公司,病毒载体模组设计,厦门生物医药有限公司,T20230808,疫苗研发、基因治疗,厦门生物医药有限公司,V1.0,厦门市科技局,http://www.xm.gov.cn/stwj/,2024-09-23,
12070906MB2D58275P/2024-00066,智能生物合成平台,合成生物学,技术创新,初审,2023-09-30,广州未来科技公司,广州科技大学,审核中,2023-10-01,待审,广州未来科技公司,全自动生物合成系统,广州未来科技公司,T20230809,制药、环保,广州未来科技公司,V1.0,广州市生命科学创新中心,http://www.gz.gov.cn/tech/,2024-09-23,
12181007MB2D64782P/2024-00067,细胞重编程技术,细胞工程,再生医学,初审,2023-10-05,苏州再生医学科技有限公司,苏州大学细胞工程实验室,审核中,2023-10-06,待审,苏州再生医学科技有限公司,诱导多能干细胞生成,苏州再生医学科技有限公司,T20230810,医疗、再生医学,苏州再生医学科技有限公司,V1.0,苏州市科技局,http://www.suzhou.gov.cn/tech/,2024-09-23,
12291108MB2D71893P/2024-00068,微生物营养调控技术,环境生物技术,生态治理,初审,2023-10-10,杭州生态技术公司,浙江大学环境科学研究院,审核中,2023-10-11,待审,杭州生态技术公司,微生物群落优化,杭州生态技术公司,T20230811,环保、食品安全,杭州生态技术公司,V1.0,浙江省科技局,http://www.zj.gov.cn/,2024-09-23,
12301209MB2D82934P/2024-00069,合成疫苗开发技术,疫苗工程,公共卫生,初审,2023-10-15,武汉疫苗技术研究院,华中科技大学,审核中,2023-10-16,待审,武汉疫苗技术研究院,聚合物疫苗设计,武汉疫苗技术研究院,T20230812,医疗、公共卫生,武汉疫苗技术研究院,V1.0,湖北省科技厅,http://www.hubei.gov.cn/,2024-09-23,
12411310MB2D93485P/2024-00070,精准植物育种技术,植物基因组,新技术,初审,2023-09-10,深圳绿色生物科技有限公司,深圳农业研究所,审核中,2023-09-11,待审,深圳绿色生物科技有限公司,基因组编辑与修复,深圳绿色生物科技有限公司,T20230805,农业,深圳绿色生物科技有限公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,
25410204MB3D38293Q/2024-00061,新型生物传感器技术,生物传感器,新技术,初审,2023-09-15,南京生物技术有限公司,南京环境科学研究院,审核中,2023-09-16,待审,南京生物技术有限公司,纳米材料与生物应用,南京生物技术有限公司,T20230806,环境监测,南京生物技术有限公司,V1.0,南京市科学技术局,https://www.nanjing.gov.cn,2024-09-23,
37680507MB1D67241T/2024-00062,微生物合成化学品技术,合成生物学,新技术,初审,2023-09-20,杭州生物合成技术研究院,西湖科技园,审核中,2023-09-21,待审,杭州生物合成技术研究院,微生物发酵与生产,杭州生物合成技术研究院,T20230807,化工,杭州生物合成技术研究院,V1.0,浙江省科技厅,https://www.zj.gov.cn,2024-09-23,
48720909MB9D48340R/2024-00063,新型疫苗开发技术,疫苗研发,新药研发,初审,2023-09-25,武汉生物制品公司,武汉病毒研究所,审核中,2023-09-26,待审,武汉生物制品公司,重组疫苗技术,武汉生物制品公司,T20230808,医疗、疫苗,武汉生物制品公司,V1.0,湖北省科学技术厅,https://www.hubei.gov.cn,2024-09-23,
59010312MB2D97546X/2024-00064,抗体药物开发技术,生物制药,新药研发,初审,2023-09-30,沈阳生物药业公司,沈阳药科大学,审核中,2023-10-01,待审,沈阳生物药业公司,单克隆抗体生产,沈阳生物药业公司,T20230809,医疗、肿瘤治疗,沈阳生物药业公司,V1.0,辽宁省科技厅,https://www.ln.gov.cn,2024-09-23,
61540715MB5D16835F/2024-00065,合成生物塑料技术,新材料,新技术,初审,2023-10-05,厦门新材料公司,厦门理工大学,审核中,2023-10-06,待审,厦门新材料公司,生物降解塑料开发,厦门新材料公司,T20230810,环保、材料,厦门新材料公司,V1.0,福建省科技厅,https://www.fujian.gov.cn,2024-09-23,
73481206MB4D20398Y/2024-00066,细胞治疗药物开发,细胞治疗,新药研发,初审,2023-10-10,苏州细胞科技股份有限公司,苏州大学,审核中,2023-10-11,待审,苏州细胞科技股份有限公司,干细胞及其衍生物,苏州细胞科技股份有限公司,T20230811,医疗、再生医学,苏州细胞科技股份有限公司,V1.0,江苏省科学技术厅,https://www.js.gov.cn,2024-09-23,
89030404MB7D89025K/2024-00067,应用于农业的合成生物肥料,微生物肥料,新技术,初审,2023-10-15,郑州农业科技公司,河南农业大学,审核中,2023-10-16,待审,郑州农业科技公司,微生物及其代谢产物,郑州农业科技公司,T20230812,农业,郑州农业科技公司,V1.0,河南省科技厅,https://www.henan.gov.cn,2024-09-23,
91250808MB0D34876Z/2024-00068,抗体药物快速研发平台,抗体工程,新药研发,初审,2023-09-15,深圳生物医药公司,深圳大学医学院,审核中,2023-09-16,待审,深圳生物医药公司,单克隆抗体筛选,深圳生物医药公司,T20230805,医疗、肿瘤,深圳生物医药公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,
10190201MB8D43912J/2024-00069,合成微生物用于藻类生物燃料生产,合成生物学,环保技术,初审,2023-09-10,天津环保科技集团,天津大学,审核中,2023-09-11,待审,天津环保科技集团,合成微生物优化,天津环保科技集团,T20230806,可再生能源、环保,天津环保科技集团,V1.0,天津市科学技术局,https://www.tj.gov.cn,2024-09-23,
23760503MB6D20384N/2024-00070,定制化生物肥料合成技术,农业生物技术,农业技术,初审,2023-09-05,南京农业科技发展有限公司,南京农业大学,审核中,2023-09-06,待审,南京农业科技发展有限公司,微生物促进剂,南京农业科技发展有限公司,T20230807,农业、环境保护,南京农业科技发展有限公司,V1.0,江苏省农委,https://www.jiangsu.gov.cn,2024-09-23,
62789100LK3A19237Q/2024-00235,新型抗病转基因作物研发,基因编辑,农业技术,初审,2023-09-20,四川现代农业科技公司,四川农业大学,审核中,2023-09-21,待审,四川现代农业科技公司,CRISPR基因编辑,四川现代农业科技公司,T20230808,农业、食品安全,四川现代农业科技公司,V1.0,四川省科技厅,https://www.sc.gov.cn,2024-09-23,
