合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
农业栽培,转基因作物,物种多样性,生物交互作用,农学家、实验管理员,产品、过程、人员、环境、政策,试验田、农业生物实验室,中度影响,需要长期观察,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
环境监测,生态基因组学,群落多样性,生态位占据,生态学家、数据分析师,产品、过程、人员、环境、政策,环境监测站、计算机分析软件,轻度影响,可控影响,中国科学院生态环境研究中心,http://www.ieec.ac.cn/,2024-09-24,,,,,,,,
合成生物学研究,合成基因线路,功能多样性,生态功能的多样性,合成生物学项目组,产品、过程、人员、环境、政策,实验室、合成生物学平台,中度影响,需加强管理,清华大学生物技术研究所,https://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
食品生产,合成生物组学,功能性基因组,耐逆性,食品技术专家、研究助理,产品、过程、人员、环境、政策,食品实验室、发酵罐,中度影响,监控必要,中国食品科学技术学会,http://www.cifst.org.cn/,2024-09-24,,,,,,,,
可持续发展,生物材料,生态特征之多样性,物种资源的多样性,材料科学家、项目经理,产品、过程、人员、环境、政策,材料实验室、生物塑料生产线,重度影响,需实施措施,国家材料科学研究所,http://www.nims.go.jp/,2024-09-24,,,,,,,,
生物技术产品开发,生物医药,药用植物多样性,药物来源的多样性,药物研发专家、临床医生,产品、过程、人员、环境、政策,研发实验室、制药设备,轻度影响,风险可忽略,中国药科大学,http://www.cup.edu.cn/,2024-09-24,,,,,,,,
能源生产,合成生物电池,微生物多样性,生态系统的适应性,能源工程师、研究科学家,产品、过程、人员、环境、政策,能源实验室、电池生产线,中度影响,需监控,可再生能源研究院,http://www.cres.gov.cn/,2024-09-24,,,,,,,,
医疗、食品安全,合成基因组学,基因多样性,遗传稳定性,生物技术专家,产品、过程、人员、环境、政策,基因合成仪、分析仪,低度影响,风险可控,中国科学院合成生物学研究所,https://www.synbio.cas.cn/,2024-09-24,,,,,,,,
环境修复,植物转基因技术,物种多样性,生态系统恢复能力,环境科学家,产品、过程、人员、环境、政策,温室、控制环境系统,中度影响,需进一步评估,中国生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
生物医药,细胞工程,基因多样性,药物代谢能力,药学研究人员,产品、过程、人员、环境、政策,细胞培养室、分析仪,中度影响,风险可控,中国生物技术发展中心,https://www.most.gov.cn/,2024-09-24,,,,,,,,
农业生物技术,转基因作物,生态系统的多样性,生物互作网络,农业研究人员,产品、过程、人员、环境、政策,实验田、农业设施,重度影响,需进一步评估,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
工业生物技术,酶工程,生态系统的多样性,生物生产能力,生物工程师,产品、过程、人员、环境、政策,反应器、生物优化实验室,轻度影响,风险可控,国家生物产业基地,http://www.bioindustry.gov.cn/,2024-09-24,,,,,,,,
气候变化研究,合成微生物,微生物多样性,功能多样性,气候科学家,产品、过程、人员、环境、政策,气候模拟室、生物实验室,中度影响,需进一步评估,中国气候变化研究中心,http://www.cciced.net/,2024-09-24,,,,,,,,
营养改善,营养基因组学,营养多样性,功能性食品的生物多样性,营养学专家,产品、过程、人员、环境、政策,食品实验室、个体食谱分析工具,低度影响,风险可控,中国营养学会,http://www.cnsoc.org/,2024-09-24,,,,,,,,
产品开发,合成生物材料,资源多样性,替代材料的生态影响,材料科学家,产品、过程、人员、环境、政策,材料测试实验室、3D打印设备,低度影响,风险可控,中国科学院材料研究所,https://www.imr.ac.cn/,2024-09-24,,,,,,,,
绿色能源,生物燃料合成,生态系统的多样性,可再生资源效率,能源行业研究人员,产品、过程、人员、环境、政策,生物反应器、发酵罐,中度影响,风险可控,国家可再生能源研究院,http://www.nerec.org/,2024-09-24,,,,,,,,
食品安全,基因改造,农作物多样性,品种选择与遗传多样性,农业科学家、技术支持人员,产品、过程、人员、环境、政策,实验室、温室、基因组分析设备,中度影响,需监测,国家农业科技成果转化中心,https://www.nstc.gov.cn/,2024-09-24,,,,,,,,
生物修复,合成微生物,细菌多样性,生态修复能力,环境科学家、现场技术人员,产品、过程、人员、环境、政策,实验室、野外测试场、监测设备,低度影响,风险可控，但需谨慎使用,生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
保健品开发,代谢工程,植物多样性,药用植物的利用,生物技术专家、药剂师,产品、过程、人员、环境、政策,制药实验室、生物反应器,低度影响,风险可控,中国食品药品检定研究院,https://www.nifdc.gov.cn/,2024-09-24,,,,,,,,
农业生态系统,植物生物技术,种质多样性,农田生物群落,作物遗传学家,产品、过程、人员、环境、政策,农业试验站、气候控制室,搞度影响,高风险，需紧急应对,科学院植物研究所,http://www.ibcas.ac.cn/,2024-09-24,,,,,,,,
气候变化研究,合成生物系统,微生物动态,碳循环与土壤微生物,气候科学家、微生物学家,产品、过程、人员、环境、政策,研究实验室、土壤采样工具,中度影响,需进一步观察,中国地球科学联合会,https://www.cgs.gov.cn/,2024-09-24,,,,,,,,
生物资源保护,生物信息技术,生态平衡,物种分布及相互关系,生态学研究人员、数据分析师,产品、过程、人员、环境、政策,数据中心、统计软件,低度影响,风险需控制,中国野生动物保护协会,http://www.chinawildlife.gov.cn/,2024-09-24,,,,,,,,
合成生物经济,工业生物技术,资源的多样性,生态产业链,产业经济学家、市场分析师,产品、过程、人员、环境、政策,生产线、实验室,低度影响,高风险，需监控,工业和信息化部,http://www.miit.gov.cn/,2024-09-24,,,,,,,,
城市绿化,生物改良,城市生物多样性,城市植物和动物群落,城市规划师、生态设计师,产品、过程、人员、环境、政策,绿色屋顶、植物育种实验室,中度影响,风险低，管理得当,城市生态与农业研究所,http://www.urbaneco.org/,2024-09-24,,,,,,,,
生态系统管理,综合生物技术,整体生态系统的稳定性,生物互作和环境适应,生态学家、地理信息系统专家,产品、过程、人员、环境、政策,实验室、数据信息中心,中度影响,风险可控,国际生态学会,https://www.iesweb.org/,2024-09-24,,,,,,,,
生物医药,合成疫苗,遗传多样性,病毒突变潜力,生物医学工程师,产品、过程、人员、环境、政策,生物实验室、冷藏设备,中度影响,风险可控,中国科学院生物物理研究所,http://www.ibp.cas.cn/,2024-09-24,,,,,,,,
生物制造,合成生物材料,生态系统的多样性,物种功能性,材料科学研究者,产品、过程、人员、环境、政策,合成室、分析仪器,重度影响,需进一步评估,国家纳米材料与技术中心,http://www.nmtech.org/,2024-09-24,,,,,,,,
食品安全,基因编辑作物,农业生物多样性,作物基因库,农业科学家,产品、过程、人员、环境、政策,温室、基因检测设备,中度影响,风险可控,中国农业科学院,http://caas.cn/,2024-09-24,,,,,,,,
生态修复,微生物诱导,生态系统的恢复能力,微生物富集,生态学研究员,产品、过程、人员、环境、政策,生态实验室、现场实验基地,轻度影响,风险可控,江苏省生态环境研究中心,https://www.jseec.org/,2024-09-24,,,,,,,,
环境监测,环境基因组学,生境多样性,物种分布特征,环境科学技术人员,产品、过程、人员、环境、政策,实验室、采样设备,中度影响,风险可控,中国环境科学研究院,http://www.cneri.org.cn/,2024-09-24,,,,,,,,
生物农业,合成肥料,农田生物多样性,土壤生物活性,农业生态学者,产品、过程、人员、环境、政策,土壤实验室、肥料分析仪,重度影响,需进一步评估,国家农业技术推广服务中心,http://www.natesc.net/,2024-09-24,,,,,,,,
合成疫苗研发,重组蛋白疫苗,物种的适应性,疫苗免疫反应,疫苗研发科学家,产品、过程、人员、环境、政策,生物反应器、检测实验室,中度影响,风险可控,中山大学,http://www.sysu.edu.cn/,2024-09-24,,,,,,,,
生物能源,合成微生物,微生物多样性,微生物群落变化,能源科学家,产品、过程、人员、环境、政策,发酵罐、微生物培养箱,中度影响,风险可控,清华大学能源与动力工程学院,http://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
植物合成生物学,转基因植物,植物多样性,生态特性评估,植物生物学家,产品、过程、人员、环境、政策,植物种植实验室、分析仪,轻度影响,风险可控,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
医药开发,合成疫苗,基因层面的多样性,感染机制的复杂性,生物医药研究员,产品、过程、人员、环境、政策,生物实验室、高效液相色谱仪,中度影响,风险可控,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-24,,,,,,,,
食品科技,合成肉,物种生存的多样性,食物链的影响,食品科学家、营养师,产品、过程、人员、环境、政策,安全处理室、培养箱,重度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
环境修复,合成微生物,生态利用的多样性,重金属降解能力,生态学家、环境工程师,产品、过程、人员、环境、政策,现场实验基地、气体分析仪,轻度影响,风险可控,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
抗灾技术,基因编辑作物,生态系统相互作用,生物相互依赖性,农业科学家、植物生物学家,产品、过程、人员、环境、政策,温室、基因编辑仪器,中度影响,风险可控,中国科学院农业生态研究所,https://www.ias.ac.cn/,2024-09-24,,,,,,,,
生物科技教育,合成生物课程开发,教育资源的多样性,文化认知差异,教育工作者、课程设计师,产品、过程、人员、环境、政策,教室、实验室,轻度影响,风险可控,教育部科学技术司,http://www.moe.gov.cn/,2024-09-24,,,,,,,,
生态恢复,生态合成,自然界的多样性,生态服务功能,生态恢复专家、规划师,产品、过程、人员、环境、政策,恢复项目基地、植物繁育设施,重度影响,需进一步评估,中国生态学学会,http://www.csee.org.cn/,2024-09-24,,,,,,,,
新材料开发,生物基材料,成分多样性,材料的生物相容性,材料科学家、工程师,产品、过程、人员、环境、政策,材料实验室、分析仪器,中度影响,风险可控,中科院材料研究所,http://www.mater.iim.ac.cn/,2024-09-24,,,,,,,,
合成生物学前沿研究,细胞合成,基因组的多样性,基因表达调控,合成生物学家、研究助手,产品、过程、人员、环境、政策,合成实验设施、深度测序设备,重度影响,需进一步评估,中国科学院合成生物研究所,http://www.siat.ac.cn/,2024-09-24,,,,,,,,
生物农业,合成菌株,作物基因库的多样性,品种适应性,农业研究人员、微生物学家,产品、过程、人员、环境、政策,实验室、发酵设备,轻度影响,风险可控,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
医疗、环境保护,合成基因,遗传多样性,基因组的多样性,分子生物学家,产品、过程、人员、环境、政策,基因组测序仪、细胞培养室,中度影响,风险可控,中国医学科学院,https://www.cams.ac.cn/,2024-09-24,,,,,,,,
农业、食品安全,转基因技术,生态系统的完整性,物种间互依性,农业科学家,产品、过程、人员、环境、政策,温室、农田实验场,重度影响,需进一步评估,国际农业研究磋商组织,https://www.cgiar.org/,2024-09-24,,,,,,,,
生态恢复,合成微生物,生态功能多样性,生态适应性,环保工程师,产品、过程、人员、环境、政策,现场实验区、监测设备,轻度影响,风险可控,国家环境保护部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
新材料开发,生物基聚合物,种群多样性,资源利用效率,材料科学家,产品、过程、人员、环境、政策,研发实验室、分析设备,中度影响,风险可控,清华大学材料学院,https://www.materials.tsinghua.edu.cn/,2024-09-24,,,,,,,,
生物传感器,合成生物电路,生物体系统,功能多样性,生物工程师,产品、过程、人员、环境、政策,生物实验室、电气设备,重度影响,需进一步评估,美国生物工程协会,https://www.asee.org/,2024-09-24,,,,,,,,
气候变化应对,合成氢气微生物,基因组的多样性,生态系统恢复能力,气候科学家,产品、过程、人员、环境、政策,气候实验室、反应器,中度影响,风险可控,联合国环境规划署,https://www.unep.org/,2024-09-24,,,,,,,,
生物医药,细胞治疗,物种多样性,功能性多样性,医学研究人员,产品、过程、人员、环境、政策,临床实验室、冷链系统,重度影响,需进一步评估,世界卫生组织,https://www.who.int/,2024-09-24,,,,,,,,
食品加工,生物保鲜技术,生态系统多样性,资源分配,食品科学家,产品、过程、人员、环境、政策,实验室、食品安全检测设备,轻度影响,风险可控,中国食品科学技术学会,http://www.cfst.org.cn/,2024-09-24,,,,,,,,
环境监测,生物指示剂,土壤生物多样性,生物相互作用,生态学家,产品、过程、人员、环境、政策,生态监测站、实验室,中度影响,风险可控,生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
气候变化适应,基因调控,生态过程的多样性,生态系统服务,研究科学家,产品、过程、人员、环境、政策,实验室、气候模拟器,中度影响,风险需监控,国际生物工程中心,https://www.icgeb.org,2024-09-24,,,,,,,,
食品工程,人工合成食品,基因多样性,耐逆境能力,食品科学专家,产品、过程、人员、环境、政策,食品测试实验室、质谱仪,重度影响,需进一步评估,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
生态修复,合成微生物,物种间关系,生境复杂性,生态学家、环境工程师,产品、过程、人员、环境、政策,生物修复现场、 remote sensing equipment,轻度影响,相对安全,中国科学院生态环境研究中心,http://www.iee.ac.cn,2024-09-24,,,,,,,,
