产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注【疑问汇总】
Mitsubishi电机氮化镓生产线项目,三菱电机,化合物产线,日本,爱知县,名古屋市,30000,万元,2025,11000,万片,企业年报,https://www.mitsubishi.com,,
Broadcom氮化镓产线扩展项目,Broadcom Inc.,化合物产线,美国,德克萨斯州,奥斯汀市,40000,万元,2023,20000,万片,行业分析报告,https://www.broadcom.com,,
中晶半导体氮化镓生产线项目,中晶半导体有限公司,化合物产线,中国,四川省,成都市,18000,万元,2024,8000,万片,中国半导体报告,https://www.chinasemiconductor.com,,
Infineon氮化镓生产线项目,英飞凌科技股份公司,化合物产线,德国,巴伐利亚州,慕尼黑市,26000,万元,2025,15000,万片,企业战略会议纪要,https://www.infineon.com,,
台积电氮化镓产线项目,台湾积体电路制造股份有限公司,化合物产线,中国台湾,新北市,三峡区,75000,万元,2023,30000,万片,半导体技术论坛,https://www.tsmc.com,,
Goodix氮化镓生产线项目,良信科技有限公司,化合物产线,中国,安徽省,合肥市,10000,万元,2022,5000,万片,科技新闻报道,https://www.goodix.com,,
Microchip氮化镓产线项目,Microchip Technology Inc.,化合物产线,美国,亚利桑那州,图森市,19000,万元,2024,7000,万片,行业展会资讯,https://www.microchip.com,,
华虹半导体氮化镓研发项目,华虹半导体有限公司,化合物产线,中国,北京,北京市,8000,万元,2023,2000,万片,电子产业网,https://www.electronicindustry.com/,,
Skyworks氮化镓技术平台,"Skyworks Solutions, Inc.",化合物产线,美国,加利福尼亚州,尔湾,12000,万元,2024,5000,万片,华尔街日报,https://www.wsj.com/,,
Sony氮化镓生产线扩建项目,索尼科技公司,化合物产线,日本,东京,东京市,6000,万元,2023,7000,万片,日本经济新闻,https://www.nikkei.com/,,
英特尔氮化镓扩展设施,英特尔公司,化合物产线,爱尔兰,利默里克,利默里克市,25000,万元,2025,10000,万片,芯片日报,https://www.chipdaily.com/,,
美满科技氮化镓生产线项目,美满科技有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2022,9000,万片,汇通网,https://www.huitong.com/,,
特斯拉氮化镓电源模块生产线,特斯拉公司,化合物产线,美国,德克萨斯州,奥斯丁,30000,万元,2024,12000,万片,特斯拉官方公告,https://www.tesla.com/,,
上海兆芯氮化镓生产线项目,上海兆芯集成电路有限公司,化合物产线,中国,上海市,上海市,22000,万元,2023,8000,万片,光电技术网,https://www.optoelectronics.com/,,
瑞萨电子氮化镓晶体管项目,瑞萨电子株式会社,化合物产线,日本,兵库县,神户市,18000,万元,2024,6000,万片,半导体行业协会,https://www.semiconductors.org/,,
意法半导体氮化镓解决方案生产线,意法半导体,化合物产线,法国,巴黎,巴黎市,21000,万元,2023,7500,万片,电子观察,https://www.electronicobservation.com/,,
Aixtron氮化镓沉积技术线,Aixtron SE,化合物产线,德国,北莱茵-威斯特法伦,亚琛,30000,万元,2025,10000,万片,国际半导体技术大会,https://www.semi.org/,,
启迪氮化镓制造项目,启迪科技集团,化合物产线,中国,浙江省,杭州市,22000,万元,2023,12000,万片,启迪科技新闻,https://www.qidi.com/news,,
富士氮化镓发展项目,富士电机株式会社,化合物产线,日本,东京,东京市,30000,万元,2024,20000,万片,富士电机官网,https://www.fujielectric.com,,
微芯半导体氮化镓项目,微芯半导体有限公司,化合物产线,新加坡,新加坡,新加坡市,15000,万元,2022,8000,万片,新加坡经济论坛,https://www.singaporebusiness.com,,
Luminous氮化镓生产线项目,Luminous Technologies,化合物产线,美国,加利福尼亚州,旧金山,28000,万元,2023,18000,万片,Luminous年度报道,https://www.luminous.tech,,
赫兹氮化镓项目,赫兹半导体有限责任公司,化合物产线,中国,山东省,济南市,17000,万元,2021,11000,万片,中国半导体行业协会,https://www.csia.org.cn,,
宏博氮化镓产线项目,宏博半导体有限公司,化合物产线,台湾,新北市,新北市,25000,万元,2024,15000,万片,台湾科技新闻,https://www.taiwantechnews.com,,
海力士氮化镓生产线项目,SK海力士,化合物产线,韩国,京畿道,城南市,35000,万元,2023,20000,万片,SK海力士官网,https://www.skhynix.com,,
纳米集成氮化镓产线项目,纳米集成电路科技公司,化合物产线,中国,江苏省,无锡市,19000,万元,2022,12000,万片,无锡日报,https://www.wuxidaily.com,,
GF氮化镓集成线项目,GlobalFoundries,化合物产线,美国,纽约州,苏珊镇,40000,万元,2024,30000,万片,GlobalFoundries官方公告,https://www.globalfoundries.com,,
华芯氮化镓光电产线项目,华芯半导体股份有限公司,化合物产线,中国,江苏省,南京市,32000,万元,2023,8000,万片,华尔街日报,https://www.wsj.com,,
优胜氮化镓制造项目,优胜科技有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2024,12000,万片,仲裁创新网,https://www.innovation.com.cn,,
三安新能源氮化镓生产线项目,三安新能源股份有限公司,化合物产线,中国,湖北省,武汉市,27000,万元,2025,20000,万片,2023年氮化镓年度报告,https://www.ganreport.com,,
纳米技术氮化镓研发项目,纳米科技股份有限公司,化合物产线,美国,加州,硅谷,30000,万元,2024,10000,万片,Scientific American,https://www.scientificamerican.com,,
维诺尔氮化镓技术制造线,维诺尔半导体有限公司,化合物产线,中国,山东省,青岛市,22000,万元,2025,9000,万片,半导体观察,https://www.semiconductorwatch.com,,
智汇氮化镓高效线,智汇科技股份公司,化合物产线,中国,河南省,郑州市,18000,万元,2023,14000,万片,2023年度中国半导体报告,https://www.china-semiconductors.com,,
新泽氮化镓产业链项目,新泽技术有限公司,化合物产线,中国,四川省,成都市,25000,万元,2024,16000,万片,中国半导体产业网,https://www.chinaic.org,,
格力氮化镓产业平台,格力电器股份有限公司,化合物产线,中国,广东省,珠海市,35000,万元,2023,5000,万片,中国半导体行业协会,https://www.csia.net,,
未来芯片氮化镓产线项目,未来芯片科技有限公司,化合物产线,中国,北京,北京市,40000,万元,2025,20000,万片,电子工程专辑,https://www.electronicsweekly.com,,
晶安科技氮化镓产线项目,晶安科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2021,12000,万片,半导体行业研究院,https://www.semi.org.cn,,
力合氮化镓生产线项目,力合科技股份有限公司,化合物产线,中国,陕西省,西安市,17000,万元,2022,8000,万片,行业观察,https://www.industryobserver.cn,,
艾克斯光电氮化镓生产线项目,艾克斯光电科技有限公司,化合物产线,日本,东京,东京市,30000,万元,2021,5000,万片,日本电子产业协会,https://www.jeita.or.jp,,
华润微氮化镓生产线项目,华润微电子,化合物产线,中国,江苏省,南京市,25000,万元,2023,11000,万片,搜狐科技,https://www.sohu.com,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,55000,万元,2024,18000,万片,国家半导体产业政策研究中心,https://www.china-semiconductor.org,,
格科微氮化镓产线项目,格科微电子有限公司,化合物产线,中国,四川省,成都市,15000,万元,2022,9000,万片,福布斯中文网,https://www.forbes.com.cn,,
美国半导体氮化镓生产线项目,美国半导体公司,化合物产线,美国,加利福尼亚州,洛杉矶市,40000,万元,2023,20000,万片,美国半导体协会,https://www.semiconductors.org,,
华为氮化镓产线项目,华为技术有限公司,化合物产线,中国,广东省,东莞市,50000,万元,2024,30000,万片,华为财报,https://www.huawei.com,,
安森美氮化镓生产线项目,安森美半导体公司,化合物产线,美国,德克萨斯州,奥斯汀市,22000,万元,2022,16000,万片,安森美官网,https://www.ansys.com,,
經緯氮化镓产线项目,經緯半导体科技有限公司,化合物产线,台湾,台北市,台北市,20000,万元,2023,7500,万片,台湾半导体协会,https://www.tsia.org.tw,,
中晶科技氮化镓智能制造线项目,中晶科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2021,8000,万片,中晶研发报告,https://www.zhongjingtech.com/research,,
灵动半导体氮化镓生产线项目,灵动半导体股份有限公司,化合物产线,中国,上海市,上海市,18000,万元,2023,9500,万片,半导体行业年度回顾,https://www.semiconductorreview.com,,
光电科技氮化镓高效产线项目,光电科技集团,化合物产线,中国,广东省,广州市,22000,万元,2022,12000,万片,光电行业动态,https://www.photoelectricnews.cn,,
英特尔氮化镓生产线扩建项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉,50000,万元,2023,20000,万片,英特尔财报,https://www.intel.com,,
NEO半导体氮化镓特色产线项目,NEO半导体有限公司,化合物产线,台湾,台中市,待确认,16000,万元,2022,7000,万片,NEO官网,https://www.neo.com.tw,,
三星氮化镓先进制造线项目,三星电子,化合物产线,韩国,京畿道,水原市,40000,万元,2023,15000,万片,三星科技展览会,https://www.samsung.com,,
台湾积体电路氮化镓项目,台湾积体电路制造公司,化合物产线,台湾,新北市,三峡区,30000,万元,2022,17000,万片,台湾科技新闻,https://www.tsmc.com,,
元禾电子氮化镓高端产线项目,元禾电子有限公司,化合物产线,中国,北京市,北京市,32000,万元,2023,11000,万片,芯片市场分析,https://www.chipmarketresearch.com,,
联发科氮化镓智能产业线项目,联发科技股份有限公司,化合物产线,中国,四川省,成都市,26000,万元,2024,13000,万片,联发科技发布,https://www.mediatek.com,,
信利半导体氮化镓生产线项目,信利半导体科技有限公司,化合物产线,中国,浙江省,宁波市,12000,万元,2023,8000,万片,半导体市场调查,https://www.semiconductor.com/,,
瑞萨氮化镓研发线项目,瑞萨电子股份有限公司,化合物产线,日本,东京,东京市,35000,万元,2024,6000,万片,Nikkei Electronics,https://www.nikkei.com/electronics/,,
英飞凌氮化镓制造线项目,英飞凌科技公司,化合物产线,德国,巴伐利亚,慕尼黑市,45000,万元,2022,12000,万片,英飞凌官网,https://www.infineon.com/,,
思瑞氮化镓生产线项目,思瑞半导体有限公司,化合物产线,中国,陕西省,西安市,15000,万元,2023,9000,万片,China Semiconductor Industry Report,https://www.csia.org.cn/,,
华润微电子氮化镓项目,华润微电子有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2023,11000,万片,半导体行业分析,https://www.semiconductors.org/,,
美商氮化镓生产线项目,美商半导体公司,化合物产线,美国,加利福尼亚州,圣荷西市,27000,万元,2024,14000,万片,Semiconductors News,https://www.semiconductorsnews.com/,,
云海智能氮化镓产线项目,云海技术有限公司,化合物产线,新加坡,中央区,新加坡市,19000,万元,2024,10000,万片,Asian Semiconductor Outlook,https://www.asiansemiconductor.com/,,
宇航电气氮化镓项目,宇航电气股份有限公司,化合物产线,中国,四川省,成都市,30000,万元,2022,15000,万片,China Electronic Technology,https://www.cet.com.cn/,,
泰克半导体氮化镓线项目,泰克半导体有限公司,化合物产线,中国,湖南省,长沙市,16000,万元,2023,12000,万片,Semiconductor International,https://www.semiconductorinternational.com/,,
东芯氮化镓研发线项目,东芯半导体有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,2023年电子行业市场分析,https://www.electronicsource.com/,,
世强氮化镓创新线项目,世强科技有限公司,化合物产线,中国,北京市,北京市,35000,万元,2022,6000,万片,电子元件行业年报,https://www.techsource.com/,,
新光电氮化镓智能制造线项目,新光电科技有限公司,化合物产线,中国,四川省,成都市,22000,万元,2024,15000,万片,2024年氮化镓产业研究报告,https://www.galliumresearch.com/,,
雷科氮化镓扩展线项目,雷科科技股份有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,28000,万元,2023,20000,万片,Silicon Valley Tech Review,https://www.svtechreview.com/,,
英特尔氮化镓技术线项目,英特尔公司,化合物产线,美国,亚利桑那州,凤凰城市,50000,万元,2024,30000,万片,Intel Annual Report 2023,https://www.intel.com/,,
瑞萨氮化镓高效线项目,瑞萨电子,化合物产线,日本,东京,东京市,22000,万元,2023,18000,万片,2023年度半导体行业报告,https://www.renesas.com/,,
意法半导体氮化镓优化线项目,意法半导体,化合物产线,法国,普罗旺斯,艾克斯市,26000,万元,2024,24000,万片,2023年意法半导体科技论坛,https://www.st.com/,,
高通氮化镓创新线项目,高通公司,化合物产线,美国,德克萨斯州,奥斯汀市,40000,万元,2023,12000,万片,Qualcomm Innovation Day 2023,https://www.qualcomm.com/,,
日本氮化镓技术研究线项目,SOITEC,化合物产线,日本,大阪府,大阪市,30000,万元,2024,15000,万片,2023年半导体技术趋势,https://www.soitec.com/,,
诚毅氮化镓集成线项目,诚毅半导体有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2022,7500,万片,2022年氮化镓市场报告,https://www.china-ga-nitride-report.com,,
津宇半导体氮化镓新线项目,津宇科技有限公司,化合物产线,中国,天津市,天津市,12000,万元,2023,5000,万片,科技发展与投资,https://www.tech-investment.com,,
Ascend氮化镓高效产线项目,Ascend材料科技有限公司,化合物产线,美国,加利福尼亚州,旧金山市,35000,万元,2024,10000,万片,GaN Technology Insights,https://www.gantechinsights.com,,
OptoPower氮化镓新产品线,OptoPower股份有限公司,化合物产线,日本,东京,东京市,29000,万元,2023,8000,万片,日本半导体产业分析,https://www.japan-semiconductor-analysis.com,,
结晶氮化镓创新线,结晶半导体发展有限公司,化合物产线,中国,四川省,成都市,18000,万元,2021,6000,万片,半导体行业新闻,https://www.semi-news.com,,
UltraGaN氮化镓提升线,UltraGaN科技有限公司,化合物产线,中国,新疆,乌鲁木齐市,22000,万元,2025,9500,万片,中国新能源科技发展,https://www.china-new-energy-tech.com,,
SkyHigh半导体氮化镓生产线,SkyHigh科技集团,化合物产线,韩国,京畿道,水原市,15000,万元,2023,7000,万片,半导体行业前沿,https://www.semiindustryfrontier.com,,
能源前沿氮化镓生产线,能源前沿科技有限公司,化合物产线,英国,伦敦,伦敦市,26000,万元,2024,11000,万片,全球能源科技更新,https://www.global-energy-tech-update.com,,
下一代氮化镓研发线项目,下一代半导体有限公司,化合物产线,中国,湖南省,长沙市,30000,万元,2025,12500,万片,未来趋势科技,https://www.futuretrend-tech.com,,
中科院氮化镓项目,中国科学院半导体研究所,化合物产线,中国,北京市,北京市,12000,万元,2023,8000,万片,中科院研究报告,https://www.cas.cn/,,
六氟化镓氮化镓制备线,六氟化镓科技股份有限公司,化合物产线,中国,湖南省,长沙市,5000,万元,2024,3000,万片,科技经济导刊,https://www.tech-econ.com/,,
英特尔氮化镓集成线,英特尔科技（中国）有限公司,化合物产线,中国,陕西省,西安市,150000,万元,2025,50000,万片,英特尔官方发布,https://www.intel.cn/,,
创维氮化镓生产线扩建,创维集团有限公司,化合物产线,中国,广东省,惠州市,25000,万元,2023,18000,万片,创维年度报告,https://www.skytv.com/,,
MaxLinear氮化镓成品线,MaxLinear Inc.,化合物产线,美国,加利福尼亚州,洛杉矶,30000,万元,2025,20000,万片,MaxLinear 官方公告,https://www.maxlinear.com/,,
FineTech氮化镓应用线,FineTech semiconductor,化合物产线,日本,东京,东京市,18000,万元,2024,9000,万片,FineTech 市场研究,https://www.finetech.com/,,
台湾氮化镓生态线,联华电子股份有限公司,化合物产线,中国台湾,新北市,新北市,60000,万元,2026,35000,万片,联华电子官网,https://www.uwe.com.tw/,,
Vishay氮化镓生产线探索,Vishay Intertechnology,化合物产线,以色列,特拉维夫,特拉维夫市,22000,万元,2025,12000,万片,Vishay 年度报告,https://www.vishay.com/,,
ADI氮化镓新兴线,Analog Devices Inc.,化合物产线,德国,巴伐利亚州,慕尼黑,40000,万元,2024,25000,万片,ADI 市场分析,https://www.analog.com/,,
中电光源氮化镓生产线项目,中电光源科技有限公司,化合物产线,中国,湖南省,长沙市,22000,万元,2023,7000,万片,2023年氮化镓市场分析报告,https://www.semi.org/en/2023-ga-analysis,,
安华高科氮化镓项目,安华高科半导体有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2022,8000,万片,业界新闻,https://www.semi.org/en/news,,
Infineon氮化镓生产线项目,Infineon Technologies AG,化合物产线,德国,巴伐利亚,慕尼黑市,35000,万元,2024,12000,万片,TechCrunch,https://techcrunch.com,,
美国半导体氮化镓项目,American Semiconductor Inc.,化合物产线,美国,加利福尼亚州,硅谷,40000,万元,2025,20000,万片,公司官网,https://www.americansm.com,,
瑞萨氮化镓生产线项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,28000,万元,2023,11000,万片,日本电子通讯协会,https://www.jeita.or.jp,,
三星氮化镓生产线项目,三星电子,化合物产线,韩国,京畿道,水原市,30000,万元,2023,15000,万片,投资新闻网,https://www.investnews.com,,
台积电氮化镓生产线项目,台湾积体电路制造公司,化合物产线,中国台湾,新北市,新庄市,50000,万元,2022,25000,万片,行业分析报告,https://www.taichungsmart.com,,
比亚迪氮化镓生产线项目,比亚迪股份有限公司,化合物产线,中国,广东省,珠海市,32000,万元,2023,14000,万片,比亚迪官网,https://www.byd.com,,
华为氮化镓生产线项目,华为技术有限公司,化合物产线,中国,深圳市,深圳市,60000,万元,2024,30000,万片,华为年报,https://www.huawei.com,,
博通氮化镓生产线扩建项目,博通科技有限公司,化合物产线,中国,浙江省,嘉兴市,35000,万元,2023,6000,万片,2023年中国半导体行业报告,https://www.semiconductordata.com,,
天马氮化镓新生产线项目,天马微电子股份有限公司,化合物产线,中国,湖南省,长沙市,25000,万元,2024,8000,万片,IC Insights,https://www.icinsights.com,,
艾为氮化镓生产线项目,艾为科技有限公司,化合物产线,中国,山东省,青岛市,15000,万元,2022,9500,万片,SIA年度报告,https://www.semiconductors.org,,
应用材料氮化镓创新生产线,应用材料公司,化合物产线,美国,加利福尼亚州,圣何塞市,40000,万元,2024,12000,万片,Gartner分析报告,https://www.gartner.com,,
瑞萨氮化镓生产线项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,22000,万元,2023,7000,万片,日经新闻,https://www.nikkei.com,,
英飞凌氮化镓材料生产线,英飞凌科技股份公司,化合物产线,德国,巴伐利亚州,慕尼黑市,30000,万元,2022,3500,万片,英飞凌年度财务报告,https://www.infineon.com,,
安森美氮化镓生产线项目,安森美半导体,化合物产线,美国,德克萨斯州,奥斯汀市,27000,万元,2023,11000,万片,Semiconductor Engineering,https://www.semiconductorengineering.com,,
北方华创氮化镓产线,北方华创科技有限公司,化合物产线,中国,北京市,北京市,28000,万元,2025,5000,万片,2025中国半导体产业发展白皮书,https://www.china-semiconductors.com,,
