受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
"皖网信备34020223603146870013号,京网信备11010523289175130015号,粤网信备44010623845678900031号,浙网信备33010625893344510012号,苏网信备32011523987654320014号,川网信备51010624056789010018号,闽网信备35010623789012340019号,沪网信备31010123678901230020号,湘网信备43010623812345670021号,冀网信备13010823987654180022号",TRON,公有区块链,安全审计,公有区块链,2023-08-20,上海吉药集团,智汇生物制药公司,正在办理,2023-08-25,待审查,Tron Foundation,去中心化平台,20230110,传媒,数字内容分发,公有区块链,V1.0,高效率、低成本,中国数字经济发展研究中心,https://www.worldblockchainconference.org/,2024-09-28,
"皖网信备34020233603156870015号,京网信备11010543289189130016号,浙网信备33010612345678970017号,沪网信备31010198765432130018号,粤网信备44010698765432130019号,川网信备51010612345678930020号,吉网信备22010123456789030021号,闽网信备35010123456789030022号",Hedera,企业级区块链,功能测试,企业级区块链,2023-09-01,深圳华大基因科技有限公司,正大天晴制药集团股份有限公司,已完成,2023-09-05,合格,Hedera Hashgraph,分布式账本,20230111,物联网,智能设备连接,企业级区块链,V1.0,快速、高效,国际区块链管理机构,http://www.cbtca.org/,2024-09-28,
皖网信备34020223603146870013号,NEO,公有区块链,性能测试,公有区块链,2023-09-10,江苏信立泰药业股份有限公司,浙江长生生物科技有限公司,正在办理,2023-09-15,待审查,NEO Foundation,智能合约,20230112,资产管理,投资组合管理,公有区块链,V1.0,高安全性、可编程性,国际金融市场观察机构,https://www.dca.edu.cn/,2024-09-28,
京网信备11010523289175130015号,Polygon,公有区块链,功能测试,公有区块链,2023-06-05,浙江海正药业股份有限公司,浙江以岭药业股份有限公司,正在办理,2023-06-10,待审查,Polygon Technology,侧链架构,20230106,电子商务,区块链支付,公有区块链,V1.0,高可扩展性、低交易费用,中国信息通信科技部,http://www.sic.gov.cn/,2024-09-28,
粤网信备44010423456789012345号,Avalanche,公有区块链,性能测试,公有区块链,2023-07-15,成都倍特药业有限公司,浙江医药有限公司,已完成,2023-07-20,合格,Avalanche Labs,共识机制,20230107,供应链,商品追踪,公有区块链,V1.0,高交易吞吐量、安全性,国家信息中心,http://www.caict.ac.cn/,2024-09-28,
浙网信备33010623890123456789号,Cardano,公有区块链,安全审计,公有区块链,2023-08-01,北京诺禾致源科技股份有限公司,浙江医药有限公司,正在办理,2023-08-05,待审查,IOHK,智能合约,20230108,保险,理赔管理,公有区块链,V1.0,高安全性、去中心化,国际标准化组织,https://www.sac.gov.cn/,2024-09-28,
苏网信备32010623901234567890号,Zilliqa,公有区块链,功能测试,公有区块链,2023-08-20,安徽沃华医药股份有限公司,浙江医药有限公司,已完成,2023-08-25,合格,Zilliqa Research,分片技术,20230109,传媒,数据安全,公有区块链,V1.0,高效、透明性,电子居住证明,http://www.nber.org/,2024-09-28,
桂网信备45010323983456789012号,Algorand,公有区块链,系统审计,公有区块链,2023-09-05,广东海利生物科技有限公司,浙江医药股份有限公司,正在办理,2023-09-10,待审查,Algorand Foundation,无许可协议,20230110,物联网,设备管理,公有区块链,V1.0,快速、安全性,中国区块链技术研究中心,https://www.btcnews.com/,2024-09-28,
晋网信备14010623456789012345号,EOS,公有区块链,性能测试,公有区块链,2023-09-20,山东时代药业有限公司,浙江医药股份有限公司,已完成,2023-09-25,合格,Block.one,商业链,20230111,电子商务,数字身份,公有区块链,V1.0,用户友好、安全性高,信息产业部,https://www.galaxyblockchain.org/,2024-09-28,
渝网信备50010323987654321098号,Hedera,公有区块链,功能测试,公有区块链,2023-10-01,华生药业有限公司,浙江医药股份有限公司,正在办理,2023-10-05,待审查,Hedera Hashgraph,DAG架构,20230112,物流,数据共享,公有区块链,V1.0,高吞吐量、低延迟,区块链研究所, http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,
鲁网信备37020223456789012345号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-10-10,启德医药研发股份有限公司,浙江医药股份有限公司,已完成,2023-10-15,合格,Tezos Foundation,自我修正,20230113,金融,数字资产管理,自我修正区块链,V1.0,自我治理、高安全性,中国电子技术标准化研究院,https://www.cnii.com.cn/,2024-09-28,
内蒙古网信备15010523345678901234号,Tron,公有区块链,功能测试,公有区块链,2023-05-20,博瑞生物科技有限公司,浙江医药股份有限公司,已完成,2023-06-05,合格,Tron Foundation,高性能区块链,20230106,传媒,数字内容,公有区块链,V2.0,高吞吐量、低交易费用,Tron Foundation,https://www.ibc.org/,2024-09-28,
皖网信备34020223603146870025号,Cardano,公有区块链,安全审计,公有区块链,2023-06-12,精锐制药股份有限公司,浙江医药股份有限公司,正在办理,2023-06-18,待审查,IOHK,权益证明,20230107,供应链,供应链管理,公有区块链,V1.0,可持续性、高安全性,IOHK Research,http://www.china-telecom.com.cn/,2024-09-28,
京网信备11010523289175130029号,Polkadot,公有区块链,互操作性测试,公有区块链,2023-07-05,盈科药品开发有限公司,浙江医药股份有限公司,已完成,2023-07-10,合格,Web3 Foundation,多链结构,20230108,物联网,智能设备交互,公有区块链,V1.1,跨链互操作性、安全性,Web3 Foundation,https://www.worldblockchainconference.org/,2024-09-28,
沪网信备31010123603146870033号,Ripple,企业级区块链,性能测试,企业级区块链,2023-08-15,创新药物研发中心,浙江医药股份有限公司,正在办理,2023-08-20,待审查,Ripple Labs,银行间转账,20230109,金融,国际支付,企业级区块链,V1.0,即时支付、低成本,Ripple Labs,http://www.cbtca.org/,2024-09-28,
粤网信备44010623289175130037号,Avalanche,公有区块链,安全审计,公有区块链,2023-09-10,华科医药集团,浙江新昌药品有限公司,已完成,2023-09-15,合格,Avalanche Labs,第一个分簇区块链,20230110,供应链,资产跟踪,公有区块链,V1.0,高可扩展性、快确认时间,Avalanche Labs, http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,
苏网信备32010623603146870041号,Algorand,公有区块链,功能测试,公有区块链,2023-10-01,方圆制药有限公司,浙江天路药业有限公司,正在办理,2023-10-05,待审查,Algorand Foundation,分层机制,20230111,高科技,智能合约,公有区块链,V1.0,快速、安全,Algorand Foundation,https://www.cnii.com.cn/,2024-09-28,
闽网信备35010123289175130045号,EOSIO,公有区块链,性能测试,公有区块链,2023-10-15,佳药科技股份公司,浙江天龙制药有限公司,已完成,2023-10-20,合格,Block.one,无状态区块链,20230112,社交媒体,社交平台,公有区块链,V1.0,高性能、低延迟,Block.one,https://www.ibc.org/,2024-09-28,
川网信备51010423603146870049号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-05,智汇生物制药公司,浙江天金药业有限公司,正在办理,2023-06-10,待审查,Avalanche Labs,高效共识机制,20230106,供应链,供应链管理,公有区块链,V1.0,快速、灵活,中国信息通信研究院,http://www.china-telecom.com.cn/,2024-09-28,
浙网信备33010223289175130053号,Polygon,层二解决方案,功能测试,层二解决方案,2023-07-01,华药集团有限公司,浙江天辉制药有限公司,已完成,2023-07-05,合格,Polygon Technology,侧链结构,20230107,交易,快速交易,层二解决方案,V1.0,低费用、高速度,国家标准化管理委员会,https://www.worldblockchainconference.org/,2024-09-28,
湘网信备43010523603146870057号,Cardano,公有区块链,安全审计,公有区块链,2023-08-15,中瑞药业股份有限公司,浙江天诚药业有限公司,正在办理,2023-08-20,待审查,IOHK,权益证明机制,20230108,电子投票,数字身份验证,公有区块链,V1.0,可扩展性、高安全性,区块链行业协会,http://www.cbtca.org/,2024-09-28,
豫网信备41010623289175130061号,NEO,公有区块链,功能测试,公有区块链,2023-09-01,北京普华药业有限公司,浙江省医药有限公司,已完成,2023-09-05,合格,Neo Foundation,智能合约平台,20230109,物流,货物追踪,公有区块链,V1.0,便捷性、透明化,中国网络安全产业发展中心,https://www.dca.edu.cn/,2024-09-28,
"皖网信备34020223603146870039号,京网信备11010523289175130027号,沪网信备31010123643146870045号,粤网信备44010623603146870056号,苏网信备32010623603146870068号,浙网信备33010623603146870072号,川网信备51010623603146870081号,陕网信备61010623603146870093号,辽网信备21010623603146870105号,哈网信备23010623603146870117号",Algorand,公有区块链,性能测试,公有区块链,2023-09-15,上海创生医药科技有限公司,浙江省医药有限公司,正在办理,2023-09-20,待审查,Algorand Foundation,代理共识,20230110,物联网,设备连接,公有区块链,V1.0,高效率、低延迟,中国物联网产业发展联盟,http://www.sic.gov.cn/,2024-09-28,
皖网信备34020223603146870015号,Hedera,公有区块链,安全审计,公有区块链,2023-10-01,江苏联和药业有限公司,浙江省医药科技有限公司,已完成,2023-10-05,合格,Hedera Hashgraph,分布式账本,20230111,智能合约,合约执行,公有区块链,V1.0,速度快、安全性高,《区块链技术前沿》期刊,http://www.caict.ac.cn/,2024-09-28,
京网信备11010523289175130016号,Fantom,公有区块链,功能测试,公有区块链,2023-10-10,广东华南制药厂,浙江省药业协会,正在办理,2023-10-15,待审查,Fantom Foundation,无主链协议,20230112,供应链,追踪系统,公有区块链,V1.0,高吞吐量、低费用,国家物联网中心,https://www.sac.gov.cn/,2024-09-28,
粤网信备44010623456789010011号,Zilliqa,公有区块链,性能测试,公有区块链,2023-10-20,浙江天龙制药有限公司,浙江省药品研发中心,已完成,2023-10-25,合格,Zilliqa Research,分片技术,20230113,电子商务,交易优化,公有区块链,V1.0,高效、低延迟,中国电子商务协会,http://www.nber.org/,2024-09-28,
苏网信备32010423123456780013号,Cardano,公有区块链,功能测试,公有区块链,2023-06-15,四川兴药制药有限公司,浙江诺华制药有限公司,正在办理,2023-06-20,待审查,IOHK,分层架构,20230106,电子商务,供应链管理,公有区块链,V1.0,可扩展性、低能耗,区块链技术研究所,https://www.blockchain.com,2024-09-28,
浙网信备33010623543219860012号,Avalanche,公有区块链,性能测试,公有区块链,2023-07-05,天津生物制药公司,浙江诺和诺德制药有限公司,已完成,2023-07-10,合格,Avalanche Labs,动态共识机制,20230107,物流,资产追踪,公有区块链,V1.0,快速交易、高安全性,中国信息产业部,http://www.miit.gov.cn,2024-09-28,
川网信备51010423678901230017号,Polkadot,跨链区块链,安全审计,跨链区块链,2023-08-10,河北盛世药业有限公司,浙江浩阳生物科技有限公司,正在办理,2023-08-15,待审查,Web3 Foundation,并行链,20230108,物联网,设备互联,跨链区块链,V1.1,互操作性、灵活性,区块链趋势观察,https://www.coindesk.com,2024-09-28,
新网信备65010023456789120015号,Algorand,公有区块链,功能测试,公有区块链,2023-09-05,辽宁辉瑞生物制药有限公司,浙江海正药业股份有限公司,已完成,2023-09-10,合格,Algorand Foundation,纯权证明,20230109,电子支付,支付解决方案,公有区块链,V2.0,快速、可扩展,金融科技观察,https://www.techcrunch.com,2024-09-28,
陕网信备61010423234567890019号,Hyperledger Sawtooth,企业级区块链,系统审计,企业级区块链,2023-10-02,福建阿尔法制药有限公司,浙江海正药业股份有限公司,正在办理,2023-10-05,待审查,Hyperledger,模块化设计,20230110,供应链,商品管理,企业级区块链,V1.2,可插拔、模块化,区块链先锋,https://www.blockchainnews.com,2024-09-28,
冀网信备13010823567890110018号,Zilliqa,公有区块链,安全审计,公有区块链,2023-11-12,山东蓝海药业集团,浙江海翔药业有限公司,已完成,2023-11-15,合格,Zilliqa Research,高吞吐量,20230111,传媒,媒体内容分发,公有区块链,V1.0,安全、动态,科技创新服务平台,https://www.innovation.gov.cn,2024-09-28,
鄂网信备42010623654321080014号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-05,安徽济人药业股份有限公司,浙江大冢制药有限公司,已完成,2023-06-10,合格,Avalanche Labs,多链架构,20230106,电子商务,去中心化金融,公有区块链,V1.0,快速确认、低成本,金融科技协会,https://www.finent.com,2024-09-28,
皖网信备34020223603146870013号,Cardano,公有区块链,功能测试,公有区块链,2023-05-15,陕西赛特药业有限公司,浙江百映药业有限公司,正在办理,2023-05-20,待审查,Cardano Foundation,权益证明,20230107,供应链,可追溯解决方案,公有区块链,V1.1,高安全性、可扩展性,中国网络安全协会,https://www.cac.gov.cn,2024-09-28,
京网信备11010523289175130015号,EOS.IO,公有区块链,系统审计,公有区块链,2023-07-10,中国生物制药有限公司,长春长生生物科技有限公司,已完成,2023-07-15,合格,Block.one,DApp平台,20230108,继承管理,数字遗产管理,公有区块链,V2.0,高效率、高流动性,区块链创新中心,https://www.blockchaininnovation.cn,2024-09-28,
鄂网信备42010012345678930016号,Polkadot,公有区块链,性能测试,公有区块链,2023-08-05,北京中医药集团制药有限公司,云南昆药集团股份有限公司,正在办理,2023-08-10,待审查,Web3 Foundation,跨链技术,20230109,物联网,智能设备连接,公有区块链,V1.2,互操作性、可定制性,科技监督管理局,http://www.sst.gov.cn,2024-09-28,
粤网信备44010098765432130017号,Algorand,公有区块链,安全审计,公有区块链,2023-09-01,广东省药业集团有限公司,云南白药集团股份有限公司,已完成,2023-09-05,合格,Algorand Foundation,快速支付网络,20230110,物流,供应链金融,公有区块链,V1.0,快速确认、环境友好,中国互联网金融协会,https://www.cifp.org.cn,2024-09-28,
川网信备51010011223344560018号,Hedera,公有区块链,功能测试,公有区块链,2023-09-15,上海医药工业有限公司,优宁达药品开发有限公司,正在办理,2023-09-20,待审查,Hedera Hashgraph,分布式分类账,20230111,教育,数字凭证,公有区块链,V1.0,高吞吐量、低延迟,中国教育信息化协会,https://www.ceita.org.cn,2024-09-28,
浙网信备33010055667788990019号,Fantom,公有区块链,性能测试,公有区块链,2023-10-10,浙江省医药有限公司,颖达医药科技有限公司,已完成,2023-10-15,合格,Fantom Foundation,有向无环图,20230112,物流,运输监控,公有区块链,V1.1,快速响应、可扩展性,国家智能交通研究院,http://www.nitr.gov.cn,2024-09-28,
苏网信备32010044556677880020号,The Graph,公有区块链,安全审计,公有区块链,2023-10-20,天津药品研发有限公司,盈科药品开发有限公司,正在办理,2023-10-25,待审查,The Graph Foundation,数据索引,20230113,大数据,数据服务,公有区块链,V1.0,去中心化、数据安全,大数据协会,http://www.dba.org.cn,2024-09-28,
桂网信备45010099887766550021号,Algorand,公有区块链,性能测试,公有区块链,2023-06-05,江苏华药集团有限公司,益丰制药有限公司,正在办理,2023-06-10,待审查,Algorand Inc.,分层架构,20230106,物流,供应链管理,公有区块链,V1.0,高效、透明,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,
闽网信备35010012398765430022号,Cardano,公有区块链,安全审计,公有区块链,2023-07-15,四川省民族药业股份有限公司,亿康药业股份有限公司,已完成,2023-07-20,合格,IOHK,分布式账本,20230107,保险,保险理赔,公有区块链,V1.0,可扩展性、模块化,国家金融监管局,http://www.nra.gov.cn/,2024-09-28,
新网信备64010012345678930023号,Avalanche,公有区块链,功能测试,公有区块链,2023-07-25,安徽省医学科学院制药公司,亿帆医药股份有限公司,正在办理,2023-08-01,待审查,Avalanche Labs,多链应用,20230108,资产交易,金融交易,公有区块链,V1.0,快速、安全,信息通讯研究所,http://www.cirb.cn/,2024-09-28,
皖网信备34020223604146870055号,Hedera Hashgraph,企业级区块链,系统审计,企业级区块链,2023-08-10,福建省药品采购有限公司,亿帆生物制药股份有限公司,已完成,2023-08-15,合格,Hedera LLC,基于Gossip协议,20230109,供应链,物流信息追踪,企业级区块链,V1.0,高吞吐量、低延迟,中关村管委会,http://www.zgc.gov.cn/,2024-09-28,
京网信备11010523290175130078号,NEAR Protocol,公有区块链,性能测试,公有区块链,2023-08-20,北京辉瑞药品有限公司,宜昌人福药业股份有限公司,正在办理,2023-08-30,待审查,NEAR Inc.,分布式共识,20230110,物联网,设备管理,公有区块链,V1.0,高可用性、快速迭代,国家科技部,http://www MOST.gov.cn/,2024-09-28,
粤网信备44010612301578960013号,EOSIO,公有区块链,安全审计,公有区块链,2023-09-02,上海创新药业有限公司,药品科技有限公司,已完成,2023-09-07,合格,Block.one,智能合约平台,20230111,文化娱乐,在线游戏,公有区块链,V1.0,用户友好性、低交易费用,文化和旅游部,http://www.mct.gov.cn/,2024-09-28,
苏网信备32010467895321560022号,Bitshares,公有区块链,功能测试,公有区块链,2023-09-12,广州医药集团股份有限公司,药品科技有限公司,正在办理,2023-09-15,待审查,BitShares Foundation,去中心化交易所,20230112,证券,数字资产交易,公有区块链,V1.0,去中心化、快速交易,证券市场监管局,http://www.csrc.gov.cn/,2024-09-28,
浙网信备33010345627890340099号,Zilliqa,公有区块链,性能测试,公有区块链,2023-09-20,杭州华大基因科技有限公司,药明康德新药开发有限公司,已完成,2023-09-25,合格,Zilliqa Research,高吞吐量平台,20230113,电子商务,在线支付,公有区块链,V1.0,高效能、智能合约支持,信息产业部,http://www.miit.gov.cn/,2024-09-28,
沪网信备31010123456789010011号,Cardano,公有区块链,功能测试,公有区块链,2023-06-01,深圳赛诺菲制药有限公司,鑫诺医药股份有限公司,正在办理,2023-06-05,待审查,IOHK,去中心化平台,20230106,供应链,供应链管理,公有区块链,V1.0,可扩展性、高安全性,区块链研究发展中心,http://www.caict.ac.cn/,2024-09-28,
川网信备51010578901234560044号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-10,南京百济神州医药有限公司,新诺药业有限公司,已完成,2023-06-20,合格,Ava Labs,快速结账,20230107,贸易,交易优化,公有区块链,V1.0,高吞吐量、低延迟,国家信息技术标准化委员会,http://www.nra.gov.cn/,2024-09-28,
陕网信备61010498765432120033号,EOSIO,公有区块链,安全审计,公有区块链,2023-06-15,成都天源药业股份有限公司,新疆克拉玛依生物医药有限公司,正在办理,2023-06-25,待审查,Block.one,高性能应用,20230108,互联网,去中心化社交,公有区块链,V1.0,高灵活性、低成本,中国网络安全审查办公室,http://www.cirb.cn/,2024-09-28,
冀网信备13010456473829160066号,Polygon,二层解决方案,功能测试,二层解决方案,2023-07-01,西安洋铭生物医药有限公司,先声药业有限公司,已完成,2023-07-10,合格,Polygon Technology,互操作性架构,20230109,交易,跨链交易,二层解决方案,V1.0,高互操作性、快速交易,中央数字货币研究所,http://www.zgc.gov.cn/,2024-09-28,
辽网信备21010623478964570088号,Algorand,公有区块链,性能测试,公有区块链,2023-07-15,浙江长生生物科技有限公司,先锋医药集团,正在办理,2023-07-20,待审查,Algorand Foundation,多链架构,20230110,资产管理,资产交易,公有区块链,V1.0,当前交易、高效处理,金融科技研究院,http://www MOST.gov.cn/,2024-09-28,
"粤网信备44010612345678900001号,苏网信备32010298765432100002号,桂网信备45010123456789000003号,浙网信备33010534567891200004号,川网信备51010687654321000005号,鄂网信备42010612309876540006号,鲁网信备37010123456789040007号,豫网信备41010634567890120008号,晋网信备14010523456789090009号,辽网信备21010198765432130010号",NEO,公有区块链,安全审计,公有区块链,2023-07-30,苏州金斯瑞生物科技有限公司,西安医药研发中心,已完成,2023-08-05,合格,NEO Foundation,智能合约平台,20230111,电子商务,去中心化电商,公有区块链,V1.0,快速交易、可编程性,国家网络信息中心,http://www.mct.gov.cn/,2024-09-28,
皖网信备34020223603146870015号,Zilliqa,公有区块链,性能测试,公有区块链,2023-08-01,北京医药科技有限公司,西安洋铭生物医药有限公司,正在办理,2023-08-10,待审查,Zilliqa Research,分片架构,20230112,游戏,去中心化游戏,公有区块链,V1.0,高吞吐量、低延迟,国际区块链会议,http://www.csrc.gov.cn/,2024-09-28,
京网信备11010523289175130016号,Ripple,企业级区块链,安全审计,企业级区块链,2023-08-15,深圳市药品研发有限公司,西安杨森制药有限公司,已完成,2023-08-20,合格,Ripple Labs,跨境支付解决方案,20230113,金融,跨境支付,企业级区块链,V1.0,快速、高效,中央银行数字货币研究所,http://www.miit.gov.cn/,2024-09-28,
粤网信备44010612345678900017号,Polygon,公有区块链,功能测试,公有区块链,2023-06-20,上海创新药物研究院,西安生物制药研究院,正在办理,2023-07-01,待审查,Polygon科技有限公司,多链互操作,20230106,电子商务,跨链交易,公有区块链,V1.1,可扩展性、低交易费用,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,
