登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,Avalanche,公有区块链,正在进行,第一阶段,性能测试,Avalanche Foundation,天津大学,2023-11-01,2023-11-15,2024-07-10,2024-07-11,天津大学,技术评估,区块链时代,http://www.blockchain.com/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Near Protocol,企业级区块链,待审核,第二阶段,功能测试,Near Inc.,华中科技大学,2023-12-01,2023-12-10,2024-12-10,2024-12-11,华中科技大学,项目提案,可靠区块链数据报告,http://www.blockchainnews.com/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1469-2019,Hedera,公有区块链,正在进行,第三阶段,安全审计,Hedera Hashgraph,南京大学,2023-12-15,2023-12-20,2024-06-30,2024-07-01,南京大学,功能审计,中国区块链技术研究中心,http://www.chinaled.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,Ripple,公有区块链,已完成,第一阶段,功能测试,Ripple Labs,复旦大学,2023-01-15,2023-02-10,2023-10-01,2023-11-01,复旦大学,技术评估,区块链发展研究中心,https://blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1471-2019,Cardano,公有区块链,正在进行,第三阶段,性能测试,Cardano Foundation,武汉大学,2023-03-01,2023-03-15,2024-04-30,2024-05-01,武汉大学,技术验证,中国区块链技术与应用协同创新中心,http://www.chinatech.org,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1472-2019,Polkadot,公有区块链,已完成,第二阶段,安全测试,Web3 Foundation,南京大学,2023-02-20,2023-03-05,2023-08-15,2023-09-01,南京大学,系统审计,国家区块链技术标准化委员会,http://www.nbtc.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Polygon,联盟链,进行中,第一阶段,功能测试,Polygon Technology,浙江大学,2023-04-05,2023-04-20,2024-01-30,2024-02-01,浙江大学,安全审计,中国网络安全审查技术与认证中心,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Chainlink,公有区块链,已完成,第三阶段,集成测试,Chainlink Labs,哈尔滨工业大学,2023-05-12,2023-06-01,2023-12-15,2024-01-05,哈尔滨工业大学,技术评估,中国区块链应用研究院,http://www.bca.org.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Avalanche,公有区块链,进行中,第一阶段,技术测试,Avalanche Foundation,天津大学,2023-06-10,2023-06-15,2024-01-10,2024-01-11,天津大学,系统审计,中国智能科技发展促进中心,http://www.zstic.org,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Tezos,企业级区块链,已完成,第二阶段,安全测试,Tezos Foundation,东南大学,2023-07-15,2023-08-01,2023-11-30,2023-12-01,东南大学,技术验证,中国区块链市场研究中心,http://www.blockchainmarket.org.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,EOS,公有区块链,正在进行,第一阶段,性能测试,Block.one,北京航空航天大学,2023-08-20,2023-09-01,2024-04-30,2024-05-01,北京航空航天大学,应用测试,国家信息中心,http://www.nic.org.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,华中科技大学,2023-06-01,2023-07-01,2024-07-01,2024-07-02,华中科技大学,新兴技术测试,华中科技大学科技处,http://www.hust.edu.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,EOS,公有区块链,已完成,第二阶段,安全测试,Block.one,北京航空航天大学,2023-07-10,2023-08-01,2023-12-31,2024-01-15,北京航空航天大学,系统评估,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,Polygon,公有区块链,进行中,第一阶段,性能测试,Polygon Technology,复旦大学,2023-07-20,2023-08-10,2024-08-10,2024-08-11,复旦大学,技术测试,复旦大学科技处,http://www.fudan.edu.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,Cardano,公有区块链,正在进行,第三阶段,技术测试,Input Output Hong Kong,南京理工大学,2023-08-05,2023-08-15,2024-08-15,2024-08-16,南京理工大学,研究阶段测试,南京理工大学,http://www.njtech.edu.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Algorand,公有区块链,已完成,第二阶段,安全测试,Algorand Foundation,西安交通大学,2023-08-25,2023-09-01,2023-12-01,2024-01-05,西安交通大学,技术审计,西安交通大学,http://www.xjtu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,Zilliqa,公有区块链,进行中,第一阶段,功能测试,Zilliqa Research,哈尔滨工业大学,2023-09-15,2023-09-20,2024-09-20,2024-09-21,哈尔滨工业大学,新技术标准,哈尔滨工业大学科技处,http://www.hit.edu.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Tron,公有区块链,所有阶段已完成,第三阶段,安全审计,Tron Foundation,南方科技大学,2023-09-30,2023-10-05,2023-12-15,2024-01-01,南方科技大学,技术审计,南方科技大学,http://www.sust.edu.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,IOTA,公有区块链,正在进行,第二阶段,技术测试,IOTA Foundation,浙江大学,2023-10-10,2023-10-15,2024-10-15,2024-10-16,浙江大学,应用测试,浙江大学科技处,http://www.zju.edu.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,华东师范大学,2023-06-15,2023-07-01,2024-01-31,2024-02-01,华东师范大学,新技术标准,全球区块链技术展览会,https://www.blockchainexpo.com/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,Chainlink,企业级区块链,已完成,第二阶段,性能测试,Chainlink Labs,复旦大学,2023-07-10,2023-08-01,2023-10-31,2023-11-01,复旦大学,技术评估,国家互联网信息办公室,http://www.cac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Avalanche,公有区块链,正在进行,第一阶段,安全测试,Avalanche Foundation,浙江大学,2023-07-20,2023-08-15,2024-02-14,2024-02-15,浙江大学,安全审计,区块链技术创新大会,https://www.blockchaininnovation.com/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1469-2019,EOS,公有区块链,已完成,第三阶段,应用测试,Block.one,武汉大学,2023-08-15,2023-09-01,2023-11-30,2023-12-01,武汉大学,应用测试,国家科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,Tezos,联盟链,进行中,第一阶段,安全测试,Tezos Foundation,南开大学,2023-05-10,2023-06-15,2024-06-30,2024-07-01,南开大学,技术验证,中国电子信息产业发展研究院,http://www.cntic.org/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1471-2019,Algorand,公有区块链,进行中,第二阶段,功能测试,Algorand Foundation,山东大学,2023-09-05,2023-10-01,2024-03-01,2024-03-02,山东大学,新技术标准,中国区块链技术标准化委员会,http://www.cnbc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1472-2019,Cosmos,公有区块链,已完成,第三阶段,性能测试,Cosmos Network,南昌大学,2023-10-01,2023-10-15,2023-12-15,2023-12-16,南昌大学,技术评估,中国移动互联网发展研究中心,http://www.imi.org.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Hedera,联盟链,进行中,第一阶段,应用测试,Hedera Hashgraph,中国科技大学,2023-11-01,2023-11-15,2024-05-15,2024-05-16,中国科技大学,技术验证,中国区块链平台,http://www.cba.org.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Polygon,公有区块链,已完成,第一阶段,功能测试,Polygon Technology,香港科技大学,2023-06-01,2023-06-15,2023-11-15,2023-11-16,香港科技大学,技术验证,区块链应用研究中心,https://www.blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Avalanche,公有区块链,正在进行,第二阶段,性能测试,Avalanche Labs,复旦大学,2023-07-15,2023-08-01,2024-02-01,2024-02-02,复旦大学,技术评估,中国区块链应用协会,http://www.chinablockchain.org,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Ripple,企业级区块链,已完成,第三阶段,安全测试,Ripple Labs,中山大学,2023-08-20,2023-09-01,2024-03-01,2024-03-02,中山大学,安全审计,金融科技研究院,https://www.fintechresearch.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Cardano,公共链,进行中,第一阶段,功能测试,IOHK,华中科技大学,2023-09-05,2023-09-15,2024-01-15,2024-01-16,华中科技大学,技术测试,中国区块链技术发展推进中心,http://www.cbdc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1483-2019,Tezos,企业级区块链,正在进行,第二阶段,性能测试,Tezos Foundation,天津大学,2023-10-10,2023-10-15,2024-05-15,2024-05-16,天津大学,系统审计,区块链技术创新中心,https://www.blockchaininnovation.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1495-2019,EOS,公有区块链,已完成,第一阶段,功能测试,Block.one,南开大学,2023-11-01,2023-11-10,2024-04-11,2024-04-12,南开大学,技术验证,技术标准化研究院,http://www.tsa.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1502-2019,Chainlink,公有区块链,进行中,第二阶段,数据测试,Chainlink Labs,西安交通大学,2023-12-01,2023-12-10,2024-06-10,2024-06-11,西安交通大学,功能测试,区块链技术与应用促进会,http://www.blockchainpromote.org,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1511-2019,Arbitrum,公有区块链,已完成,第一阶段,性能测试,Offchain Labs,清华大学,2023-08-15,2023-08-20,2024-02-20,2024-02-21,清华大学,技术评估,信息技术监管局,http://www.itechnology.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1524-2019,Tezos,公有区块链,已完成,第三阶段,安全审计,Tezos Foundation,南开大学,2023-05-12,2023-06-01,2024-06-01,2024-06-02,南开大学,系统审计,国际区块链实验室,https://www.blockchainlabs.org/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1530-2019,Avalanche,公有区块链,正在进行,第一阶段,性能评测,Avalanche Foundation,复旦大学,2023-07-01,2023-07-15,2023-12-15,2023-12-16,复旦大学,技术测试,ethereum.org,https://ethereum.org/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1548-2019,Cardano,公有区块链,进行中,第二阶段,功能测试,IOHK,北京大学,2023-08-10,2023-08-15,2024-01-15,2024-01-16,北京大学,系统验证,中国区块链技术应用推广中心,http://www.cbmap.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1556-2019,Polkadot,联盟链,已完成,第一阶段,性能测试,Web3 Foundation,厦门大学,2023-09-15,2023-09-20,2024-02-20,2024-02-21,厦门大学,安全评估,中国区块链研究中心,http://www.blockchainresearch.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1563-2019,NEO,公有区块链,进行中,第三阶段,技术验证,NEO Foundation,浙江大学,2023-10-01,2023-10-10,2024-04-01,2024-04-02,浙江大学,新技术测试,信息工业部,http://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Zilliqa,公有区块链,已完成,第一阶段,安全测试,Zilliqa Research,华中科技大学,2023-11-05,2023-11-10,2024-01-15,2024-01-16,华中科技大学,风险评估,国家互联网信息办公室,http://www.cac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,EOS,公有区块链,进行中,第二阶段,功能测试,EOS Alliance,华南理工大学,2023-10-20,2023-10-25,2024-01-30,2024-02-01,华南理工大学,技术审计,中国网络安全协会,http://www.cnnca.org/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,Ripple,公有区块链,已完成,第三阶段,安全测试,Ripple Labs,南京大学,2023-03-15,2023-03-20,2023-09-20,2023-09-21,南京大学,合规测试,金融稳定委员会,http://www.fsb.org/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,Ripple,公有区块链,正在进行,第一阶段,功能测试,Ripple Labs,厦门大学,2023-05-02,2023-06-01,2024-06-01,2024-06-02,厦门大学,新技术标准,国家信息技术标准化技术委员会,https://www.snitac.org/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,Polygon,混合链,已完成,第二阶段,性能测试,Polygon Technology,复旦大学,2023-05-15,2023-06-15,2023-12-15,2023-12-16,复旦大学,技术评估,中国区块链技术研究院,https://www.cbrc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Cardano,公有区块链,正在进行,第三阶段,安全测试,IOHK,华中科技大学,2023-06-10,2023-07-01,2024-01-01,2024-01-02,华中科技大学,安全审计,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,Flow,公有区块链,已完成,第一阶段,功能测试,Dapper Labs,东南大学,2023-06-25,2023-07-15,2023-09-30,2023-10-01,东南大学,技术验证,信息产业部,https://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Algorand,公有区块链,正在进行,第二阶段,性能测试,Algorand Foundation,兰州大学,2023-07-01,2023-07-10,2024-01-10,2024-01-11,兰州大学,技术报告,中国区块链技术产业发展论坛,http://www.china-blockchain.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,Bitcoin,公有区块链,已完成,第三阶段,安全测试,Bitcoin Foundation,清华大学,2023-07-15,2023-08-01,2023-11-30,2023-12-01,清华大学,安全审计,全国信息标准化技术委员会,http://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,EOSIO,公有区块链,正在进行,第二阶段,应用测试,Block.one,南京大学,2023-08-10,2023-08-15,2024-02-15,2024-02-16,南京大学,功能测试,上海区块链技术协会,http://www.shblockchain.org/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Hedera,公有区块链,进行中,第三阶段,技术测试,Hedera Hashgraph,华南理工大学,2023-09-12,2023-09-15,2024-03-12,2024-03-13,华南理工大学,技术报告,国家互联网信息办公室,http://www.cac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,Ripple,企业级区块链,已完成,第三阶段,综合测试,Ripple Labs,上海财经大学,2023-05-20,2023-06-01,2023-11-30,2023-12-01,上海财经大学,标准认证,国际区块链协会,https://www.ibcassociation.org/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1472-2019,Polygon,公有区块链,进行中,第一阶段,功能测试,Polygon Foundation,中国人民大学,2023-07-15,2023-07-20,2024-01-20,2024-01-21,中国人民大学,技术试验证明,区块链新闻网,https://www.blockchainnews.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1473-2019,Cardano,公有区块链,正在进行,第二阶段,性能测试,IOHK,香港科技大学,2023-08-10,2023-09-01,2024-04-15,2024-04-16,香港科技大学,效能评估,区块链发展研究中心,https://www.blockchainresearchcentre.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1474-2019,HyperLedger Besu,联盟链,已完成,第三阶段,安全测试,Hyperledger,浙江大学,2023-06-25,2023-07-01,2023-11-30,2023-12-01,浙江大学,安全审查,区块链技术论坛,https://www.blockchainforum.com/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1475-2019,Tezos,公有区块链,进行中,第一阶段,功能测试,Tezos Foundation,南开大学,2023-09-05,2023-09-10,2024-01-10,2024-01-11,南开大学,系统测试,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1476-2019,Algorand,公有区块链,已完成,第二阶段,技术评估,Algorand Inc.,西安交通大学,2023-07-20,2023-08-01,2023-12-20,2023-12-21,西安交通大学,技术认证,中国区块链技术协会,https://www.chinabl.com/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1477-2019,Aeternity,公有区块链,进行中,第一阶段,应用测试,Aeternity Blockchain AG,复旦大学,2023-08-15,2023-09-01,2024-02-28,2024-02-29,复旦大学,性能验证,中国区块链信息中心,https://www.cbcic.org/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1478-2019,Fantom,公有区块链,已完成,第二阶段,拉拽性能测试,Fantom Foundation,东南大学,2023-10-01,2023-10-10,2024-03-10,2024-03-11,东南大学,拉拽性能认证,中国高等教育数字化出版社,https://www.cernet.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1479-2019,Hyperledger Iroha,企业级区块链,正在进行,第一阶段,功能测试,Hyperledger Foundation,中国人民大学,2023-05-01,2023-06-01,2024-06-01,2024-06-02,中国人民大学,新技术标准,中国社会科学院,http://www.cass.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1467-2019,Algorand,公有区块链,已完成,第二阶段,性能测试,Algorand Foundation,复旦大学,2023-06-10,2023-06-15,2023-12-10,2023-12-11,复旦大学,技术评估,上海市经济和信息化委员会,http://www.sheit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1468-2019,Polkadot,公有区块链,正在进行,第一阶段,安全测试,Parity Technologies,武汉大学,2023-07-15,2023-08-01,2024-02-01,2024-02-02,武汉大学,安全审计,全国区块链技术研究中心,http://www.cbirc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1469-2019,Cardano,公有区块链,进行中,第三阶段,功能测试,IOHK,电子科技大学,2023-08-20,2023-09-01,2024-01-01,2024-01-02,电子科技大学,技术验证,全国标准化管理委员会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,EOS,公有区块链,已完成,第二阶段,性能测试,Block.one,清华大学,2023-09-15,2023-09-20,2023-12-20,2023-12-21,清华大学,技术评估,中国区块链技术与产业发展论坛,http://www.cbti.org,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1471-2019,Ripple,企业级区块链,进行中,第一阶段,应用测试,Ripple Labs,南方科技大学,2023-10-01,2023-10-05,2024-03-01,2024-03-02,南方科技大学,技术验证,深圳市区块链研究中心,http://www.szbl.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,Zilliqa,公有区块链,已完成,第三阶段,安全测试,Zilliqa Research,杭州电子科技大学,2023-11-01,2023-11-05,2024-01-10,2024-01-11,杭州电子科技大学,安全审计,互联网信息中心,http://www.nic.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1473-2019,Hedera,企业级区块链,进行中,第二阶段,功能测试,Hedera Hashgraph,郑州大学,2023-11-15,2023-11-20,2024-04-15,2024-04-16,郑州大学,技术测试,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1474-2019,Ripple,企业级区块链,正在进行,第一阶段,功能测试,Ripple Labs,上海财经大学,2023-05-15,2023-06-01,2024-01-31,2024-02-01,上海财经大学,新技术标准,金融科技协会,https://www.fintech.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1475-2019,Polkadot,公有区块链,已完成,第二阶段,性能测试,Web3 Foundation,北京大学,2023-06-10,2023-07-01,2023-12-10,2023-12-11,北京大学,技术评估,区块链研究网,https://www.blockchainresearch.net/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1476-2019,Cardano,公有区块链,正在进行,第一阶段,安全测试,IOHK,清华大学,2023-07-20,2023-08-01,2024-01-01,2024-01-02,清华大学,安全审计,区块链产业发展联盟,https://www.blockchainalliance.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1467-2019,NEO,公有区块链,已完成,第三阶段,功能测试,NEO Foundation,复旦大学,2023-08-15,2023-09-01,2023-11-30,2023-12-01,复旦大学,技术验证,国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1468-2019,Avalanche,公有区块链,正在进行,第一阶段,性能测试,Ava Labs,南京大学,2023-09-01,2023-09-15,2024-03-15,2024-03-16,南京大学,安全审计,南京区块链产业中心,https://www.njchain.org/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1469-2019,EOS,公有区块链,已完成,第二阶段,安全测试,Block.one,厦门大学,2023-09-30,2023-10-15,2023-12-30,2023-12-31,厦门大学,系统审计,中华全国工商业联合会,https://www.acfic.org.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,Algorand,公有区块链,进行中,第一阶段,应用测试,Algorand Foundation,武汉大学,2023-10-01,2023-10-15,2024-04-15,2024-04-16,武汉大学,技术验证,数字技术与标准化研究中心,https://www.digitallab.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1471-2019,Fantom,公有区块链,已完成,第三阶段,性能测试,Fantom Foundation,西安交通大学,2023-11-01,2023-11-15,2023-12-30,2023-12-31,西安交通大学,系统审计,华夏区块链协会,https://www.chinablockchain.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,Polygon,公有区块链,正在进行,第一阶段,安全测试,Polygon Technology,复旦大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,复旦大学,安全审计,复旦大学区块链研究所,http://www.fudan.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1473-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche Labs,浙江大学,2023-06-20,2023-07-01,2024-01-15,2024-01-16,浙江大学,技术评估,浙江大学技术评价中心,http://www.zju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610015,DB52/T 1474-2019,Cardano,公有区块链,正在进行,第三阶段,功能测试,IOHK,南开大学,2023-07-05,2023-08-01,2024-08-01,2024-08-02,南开大学,新技术标准,南开大学区块链研究中心,http://www.nankai.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610016,DB52/T 1475-2019,Ripple,企业级区块链,已完成,第一阶段,安全测试,Ripple Labs,对外经济贸易大学,2023-08-10,2023-09-01,2024-03-01,2024-03-02,对外经济贸易大学,系统审计,对外经济贸易大学研究所,http://www.uibe.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610017,DB52/T 1476-2019,EOS,公有区块链,进行中,第二阶段,功能测试,Block.one,北京邮电大学,2023-09-12,2023-10-01,2024-04-01,2024-04-02,北京邮电大学,技术验证,北京邮电大学研究所,http://www.bupt.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610018,DB52/T 1470-2019,NEO,联盟链,正在进行,第一阶段,安全测试,NEO Foundation,华南理工大学,2023-10-18,2023-11-01,2024-11-01,2024-11-02,华南理工大学,技术评估,华南理工大学科技园,http://www.scut.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610019,DB52/T 1471-2019,Algorand,公有区块链,已完成,第二阶段,性能测试,Algorand Foundation,西安交通大学,2023-11-20,2023-12-01,2024-04-01,2024-04-02,西安交通大学,新技术标准,西安交通大学技术创新中心,http://www.xjtu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610020,DB52/T 1472-2019,Tezos,企业级区块链,进行中,第一阶段,技术测试,Tezos Foundation,武汉大学,2023-12-05,2023-12-15,2024-06-15,2024-06-16,武汉大学,安全审计,武汉大学科学实验室,http://www.whu.edu.cn/,2024-09-28,,,,
